date,open,high,low,close,volume
2006-09-20,8.66163,8.67007,8.6408,8.6408,12745.876426881
2006-09-21,8.93693,8.93693,8.59582,8.60428,10749.718392788
2006-09-22,8.81361,8.81361,8.45424,8.48527,50611.772196074
2006-09-25,8.46307,8.59426,8.43657,8.59426,14599.451744254
2006-09-26,8.76354,8.76354,8.57796,8.60603,35498.004223648
2006-09-27,8.85326,8.85326,8.62842,8.65276,24147.401524679
2006-09-28,8.69146,8.69146,8.6025,8.60603,12348.681716016
2006-09-29,8.64395,8.66673,8.56853,8.57246,33883.764180771
2006-10-02,8.54104,8.57796,8.4731,8.49684,36954.384830155
2006-10-03,8.4505,8.48684,8.44874,8.48684,8819.7594771706
2006-10-04,8.69636,8.69636,8.49313,8.64726,19600.031309256
2006-10-05,8.69146,8.76549,8.68028,8.76549,22578.991640747
2006-10-06,8.68832,8.75901,8.68832,8.75901,17619.14999481
2006-10-09,8.7158,8.77924,8.70521,8.76549,28852.631176472
2006-10-10,8.76019,8.79436,8.76019,8.79436,31755.207909721
2006-10-11,8.89234,8.89234,8.71778,8.71778,39999.544280126
2006-10-12,8.83559,8.91238,8.82717,8.91238,10795.548551734
2006-10-13,8.93515,8.98581,8.93515,8.96875,28674.402780572
2006-10-17,9.26607,9.26607,8.9438,8.97915,9644.7023381998
2006-10-18,9.01743,9.01921,8.95087,8.9658,15984.540992401
2006-10-19,8.96246,9.0155,8.96246,9.00292,16509.041700339
2006-10-20,8.94577,8.9542,8.94577,8.9542,2922.9456927806
2006-10-23,8.95578,8.99762,8.91435,8.97051,30533.070337827
2006-10-24,8.9658,9.02609,8.93693,8.97915,8875.7741158829
2006-10-25,9.02944,9.02944,8.96875,9.02275,49542.401820667
2006-10-26,9.04101,9.106,9.00468,9.106,25349.170137041
2006-10-27,9.19302,9.19302,8.99762,8.99762,11763.074129483
2006-10-30,9.06282,9.06457,9.00292,9.05222,18790.365167876
2006-10-31,9.37699,9.37699,8.98052,9.00114,92169.541880368
