date,open,high,low,close,volume
2021-06-21,25.13,25.19,25.09,25.13,496739
2021-06-21,25.13,25.19,25.09,25.13,496739
2021-06-22,25.13,25.14,25.03,25.1,766326
2021-06-23,25.11,25.22,25.1,25.2,509878
2021-06-24,25.23,25.28,25.22,25.26,673357
2021-06-25,25.28,25.28,25.17,25.23,590568
2021-06-28,25.25,25.28,25.2,25.28,589052
2021-06-29,25.25,25.28,25.22,25.26,925254
2021-06-30,25.26,25.35,25.24,25.28,3953925
2021-07-01,25.3,25.3,25.24,25.25,768001
2021-07-02,25.28,25.35,25.25,25.34,216180
2021-07-06,25.38,25.39,25.33,25.37,253048
2021-07-07,25.33,25.44,25.33,25.36,299857
2021-07-08,25.31,25.38,25.27,25.34,152318
2021-07-09,25.38,25.45,25.35,25.41,135482
2021-07-12,25.43,25.46,25.38,25.42,145963
2021-07-13,25.42,25.43,25.28,25.31,203114
2021-07-14,25.35,25.39,25.32,25.38,152164
2021-07-15,25.39,25.42,25.25,25.4,141519
2021-07-16,25.42,25.45,25.35,25.35,309194
2021-07-19,25.3,25.34,25.21,25.32,126562
2021-07-20,25.32,25.41,25.27,25.39,86448
2021-07-21,25.37,25.44,25.37,25.43,177149
2021-07-22,25.43,25.43,25.36,25.38,241430
2021-07-23,25.38,25.4,25.35,25.39,69243
2021-07-26,25.41,25.45,25.38,25.41,152670
2021-07-27,25.43,25.43,25.33,25.39,97230
2021-07-28,25.39,25.42,25.36,25.38,137942
2021-07-29,25.38,25.45,25.38,25.45,72379
2021-07-30,25.46,25.52,25.42,25.49,116827
2021-08-02,25.52,25.63,25.51,25.59,209062
2021-08-03,25.61,25.65,25.578,25.64,69277
2021-08-04,25.64,25.755,25.64,25.74,210447
2021-08-05,25.75,25.75,25.67,25.68,81491
2021-08-06,25.69,25.69,25.56,25.59,192211
2021-08-09,25.6,25.6,25.42,25.44,88614
2021-08-10,25.37,25.44,25.2,25.32,414195
2021-08-11,25.36,25.4,25.3,25.32,139378
2021-08-12,25.32,25.39,25.32,25.37,103286
2021-08-13,25.37,25.47,25.37,25.45,106609
2021-08-16,25.46,25.55,25.43,25.54,130884
2021-08-17,25.52,25.53,25.41,25.48,143734
2021-08-18,25.48,25.5,25.44,25.48,108381
2021-08-19,25.41,25.48,25.41,25.48,132431
2021-08-20,25.5,25.54,25.47,25.51,83241
