date,open,high,low,close,volume
2021-11-23,24.85,24.855,24.37,24.59,240694
2021-11-23,24.85,24.855,24.37,24.59,240694
2021-11-24,24.65,24.75,24.6,24.7,523226
2021-11-26,24.67,24.81,24.6,24.72,374374
2021-11-29,24.72,24.86,24.67,24.83,443200
2021-11-30,24.73,24.98,24.66,24.98,2350829
2021-12-01,25,25,24.88,24.91,146974
2021-12-02,24.91,25,24.9,25,491787
2021-12-03,24.95,25.03,24.95,24.99,209436
2021-12-06,25,25.04,24.96,25,285011
2021-12-07,25,25.09,25,25.05,313676
2021-12-08,25.06,25.1,24.95,24.95,63300
2021-12-09,24.91,24.99,24.91,24.92,36841
2021-12-10,24.95,24.95,24.87,24.92,47189
2021-12-13,24.96,24.99,24.89,24.92,20358
2021-12-14,24.88,24.97,24.8,24.915,56002
2021-12-15,24.86,24.95,24.82,24.9394,42753
2021-12-16,24.94,25.03,24.87,24.93,84860
2021-12-17,24.98,25.02,24.87,24.885,23919
2021-12-20,24.94,24.94,24.75,24.85,20522
2021-12-21,24.95,24.96,24.72,24.82,65865
2021-12-22,24.92,24.98,24.859,24.97,55596
2021-12-23,24.99,25,24.9,24.94,43749
2021-12-27,25,25,24.9,24.93,55957
2021-12-28,24.97,25,24.92,25,43370
2021-12-29,24.94,25.1,24.94,25.03,66115
2021-12-30,25,25.1,25,25.01,69684
2021-12-31,25.01,25.0634,24.95,25.03,49391
2022-01-03,25.06,25.06,24.938,24.9999,50412
2022-01-04,24.89,24.89,24.7,24.72,97411
2022-01-05,24.76,24.79,24.225,24.25,129010
2022-01-06,24.43,24.52,24.18,24.465,108737
2022-01-07,24.4,24.73,24.3,24.62,94026
2022-01-10,24.55,24.68,24.51,24.65,61882
2022-01-11,24.61,24.81,24.4326,24.71,39701
2022-01-12,24.73,24.85,24.68,24.74,42865
2022-01-13,24.69,24.76,24.6301,24.73,82786
2022-01-14,24.64,24.7083,24.5,24.53,56302
2022-01-18,24.43,24.4887,24.28,24.4,63969
2022-01-19,24.44,24.47,24.35,24.44,30810
2022-01-20,24.46,24.57,24.4,24.46,64776
2022-01-21,24.44,24.56,24.36,24.5,82236
2022-01-24,24.42,24.44,24.27,24.35,62208
2022-01-25,24.3,24.33,24.1,24.27,29141
2022-01-26,24.25,24.35,23.91,23.91,24686
2022-01-27,23.91,24.1,23.35,23.35,57915
2022-01-28,23.3,23.3,22.5,22.95,194263
2022-01-31,22.98,23.45,22.9016,23.45,87524
2022-02-01,23.46,23.555,23.35,23.51,80384
2022-02-02,23.53,23.5699,23.28,23.33,44076
2022-02-03,23.14,23.16,22.63,23.04,49697
2022-02-04,22.94,22.94,22.41,22.41,80857
2022-02-07,22.35,22.43,22.1809,22.25,61698
2022-02-08,22.15,22.15,21.82,21.84,90891
2022-02-09,22.07,22.07,21.69,21.8,154577
2022-02-10,21.55,21.65,21.15,21.35,104497
2022-02-11,21.32,21.48,21.2202,21.44,112685
2022-02-14,21.44,21.44,20.61,21.09,94026
2022-02-15,21.17,21.61,21.0201,21.46,187717
2022-02-16,21.38,21.465,21.24,21.45,54056
2022-02-17,21.38,21.6749,21.145,21.24,41182
2022-02-18,21.2601,21.4,21.2,21.35,36706
2022-02-22,21.21,21.28,21,21.11,40927
2022-02-23,21.2,21.37,20.8901,20.92,35652
2022-02-24,20.72,20.79,20.4941,20.79,147725
2022-02-25,20.83,21.08,20.74,21,87834
2022-02-28,20.87,21.6155,20.87,20.96,90043
2022-03-01,21.01,21.25,21.01,21.19,48072
2022-03-02,21.2,21.205,21.04,21.14,28999
2022-03-03,21.17,21.24,21.069,21.13,59615
2022-03-04,21.06,21.0999,20.93,21,20075
2022-03-07,20.96,20.96,20.67,20.705,22143
2022-03-08,20.66,20.8099,20.52,20.59,55319
2022-03-09,20.66,20.848,20.6579,20.73,35263
2022-03-10,20.64,20.67,20.54,20.58,25100
2022-03-11,20.57,20.72,20.4248,20.47,32799
2022-03-14,20.4757,20.4757,19.77,19.887,52769
2022-03-15,19.7,19.85,19.485,19.8,83124
2022-03-16,19.89,20.18,19.83,20.035,132856
2022-03-17,19.94,20.5124,19.94,20.305,26292
2022-03-18,20.31,20.64,20.31,20.45,27144
2022-03-21,20.4,20.4,20.02,20.12,47136
2022-03-22,20.02,20.16,19.93,20.085,51604
2022-03-23,20.14,20.19,19.99,20.05,54858
2022-03-24,20.05,20.1299,20.01,20.06,47711
2022-03-25,20,20.03,19.6317,19.9,45156
2022-03-28,19.93,19.99,19.7002,19.99,32899
2022-03-29,20.26,20.26,19.94,20.23,55086
2022-03-30,20.24,20.47,20.24,20.45,37287
2022-03-31,20.59,20.74,20.407,20.63,332020
2022-04-01,20.59,20.605,20.2262,20.52,44603
2022-04-04,20.41,20.65,20.41,20.5,54824
2022-04-05,20.44,20.45,20.1,20.11,63128
2022-04-06,19.97,20.11,19.87,19.88,144636
2022-04-07,19.83,20.14,19.83,20,110101
2022-04-08,19.89,20.02,19.73,19.73,42932
2022-04-11,19.55,19.7085,19.4013,19.43,37398
2022-04-12,19.58,19.61,19.32,19.39,27529
2022-04-13,19.32,19.4999,19.32,19.32,19692
2022-04-14,19.3,19.4084,19.15,19.32,73004
2022-04-18,19.19,19.33,19.19,19.25,26164
