date,open,high,low,close,volume
2021-10-13,20.61,21.06,20.61,20.64,9336
2021-10-14,20.7151,20.7151,20.7151,20.7151,1
2021-10-15,20.78,20.78,20.765,20.765,43921
2021-10-18,20.8,20.84,20.8,20.84,36011
2021-10-19,20.81,20.825,20.81,20.825,2125
2021-10-20,20.87,20.8763,20.87,20.8763,2100
2021-10-21,20.8809,20.8809,20.8809,20.8809,4
2021-10-22,20.86,20.8754,20.85,20.8754,200
2021-10-25,20.84,20.91,20.84,20.905,7655
2021-10-26,20.9047,20.9047,20.9047,20.9047,1
2021-10-27,20.865,20.865,20.865,20.865,1
2021-10-28,20.9178,20.9178,20.9178,20.9178,1
2021-10-29,20.925,20.925,20.925,20.925,10
2021-11-01,20.9,20.92,20.89,20.89,24883
2021-11-02,20.965,20.965,20.965,20.965,4
2021-11-03,21.005,21.005,21.005,21.005,2
2021-11-04,21.0257,21.0257,21.0257,21.0257,2
2021-11-05,21.08,21.08,20.97,20.97,21846
2021-11-08,21.0253,21.0253,21.0253,21.0253,1
2021-11-09,21.02,21.04,20.99,20.99,8426
2021-11-10,20.97,20.97,20.97,20.97,2679
2021-11-11,20.99,20.99,20.9551,20.9551,1730
2021-11-12,21.0066,21.0066,21.0066,21.0066,1
2021-11-15,20.9701,20.99,20.95,20.95,34668
2021-11-16,20.89,20.89,20.89,20.89,2687
2021-11-17,21.02,21.02,21.02,21.02,1044
2021-11-18,21.005,21.005,21.005,21.005,1
2021-11-19,20.99,20.99,20.975,20.99,948
2021-11-22,20.9757,20.9757,20.9757,20.9757,1
2021-11-23,20.9743,20.9743,20.9743,20.9743,1
2021-11-24,20.984,20.984,20.984,20.984,2
2021-11-26,20.87,20.87,20.8301,20.8301,100
2021-11-29,20.91,20.91,20.88,20.88,2773
2021-11-30,20.88,20.92,20.7979,20.7979,2000
2021-12-01,20.7699,20.7699,20.7699,20.7699,611
2021-12-02,20.797,20.797,20.797,20.797,12
2021-12-03,20.69,20.7382,20.69,20.7382,8600
2021-12-06,20.7979,20.7979,20.7979,20.7979,1
2021-12-07,20.9214,20.9214,20.9214,20.9214,1
2021-12-08,20.9649,20.9649,20.9649,20.9649,6
2021-12-09,20.9448,20.9448,20.9448,20.9448,1
2021-12-10,21.0,21.01,20.97,21.01,2983
2021-12-13,20.9449,20.9449,20.9449,20.9449,1
2021-12-14,20.8897,20.8897,20.8897,20.8897,16
2021-12-15,20.9971,20.9971,20.9971,20.9971,11
