date,open,high,low,close,volume
2024-12-06,24.96,24.96,24.8474,24.8474,2347
2024-12-09,25.7,25.7,24.6007,24.6007,4432
2024-12-10,24.707,24.77,24.6768,24.6768,1036
2024-12-11,24.813,24.814,24.6447,24.6447,8056
2024-12-12,24.66,24.705,24.5849,24.5849,1902
2024-12-13,24.4688,24.4688,24.4359,24.4359,290
2024-12-16,24.4905,24.4905,24.3314,24.3314,5514
2024-12-18,24.16,24.16,23.711,23.711,225
2024-12-19,23.78,23.78,23.4911,23.4911,648
2024-12-20,23.79,23.79,23.635,23.635,856
2024-12-23,23.58,23.6628,23.58,23.6628,953
2024-12-26,23.8496,23.8496,23.844,23.8444,244
2025-01-03,23.5988,23.599,23.5345,23.5345,1114
2025-01-06,23.55,23.55,23.2925,23.2925,295
2025-01-08,23.26,23.4755,23.26,23.4755,924
2025-01-10,23.25,23.25,23.0832,23.0832,189
2025-01-13,23.15,23.2371,23.15,23.2371,210
2025-01-15,23.46,23.46,23.4233,23.4233,101
2025-01-17,23.807,23.807,23.74,23.74,2035
2025-01-21,23.9,23.92,23.8999,23.92,3339
2025-01-24,23.54,23.695,23.54,23.695,118
2025-01-30,24.071,24.1956,24.071,24.1956,304
2025-01-31,24.224,24.2807,24.1361,24.1361,1412
2025-02-03,24.0,24.274,23.946,24.2166,4906
2025-02-04,24.138,24.1776,24.13,24.13,1156
2025-02-05,24.21,24.4102,24.21,24.4102,1643
2025-02-06,24.4854,24.5047,24.46,24.5047,225
2025-02-07,24.43,24.43,24.3297,24.3297,355
2025-02-10,24.4,24.49,24.4,24.4845,2072
2025-02-12,24.47,24.5349,24.47,24.5349,308
2025-02-14,24.83,24.83,24.7405,24.7405,1368
2025-02-18,24.7392,24.7885,24.7392,24.7885,215
2025-02-19,24.85,24.9112,24.85,24.9112,122
2025-02-20,24.895,24.9707,24.895,24.9707,671
2025-02-21,25.02,25.0322,25.01,25.0322,363
2025-02-25,25.215,25.389,25.215,25.3478,6880
2025-02-26,25.162,25.162,24.9652,24.9652,4114
2025-02-27,25.0636,25.0636,24.95,24.95,184
2025-02-28,24.96,25.1813,24.943,25.1813,343
2025-03-03,25.39,25.39,25.246,25.2565,4486
2025-03-04,25.25,25.26,25.0183,25.0183,838
2025-03-05,24.879,25.091,24.879,25.091,228
2025-03-06,25.08,25.08,24.87,24.9781,4109
2025-03-07,24.9553,25.109,24.9553,25.1074,3420
2025-03-10,25.2508,25.329,24.9709,24.9709,1321
2025-03-11,25.04,25.04,24.5163,24.5163,3728
2025-03-12,24.1894,24.23,24.1894,24.23,374
2025-03-13,24.141,24.141,24.1274,24.1274,2094
2025-03-14,24.329,24.3689,24.329,24.3689,277
2025-03-17,24.5293,24.6421,24.501,24.6421,761
2025-03-18,24.533,24.5399,24.5006,24.5006,2509
2025-03-19,24.514,24.521,24.42,24.5164,6280
2025-03-20,24.432,24.432,24.415,24.415,310
2025-03-21,24.26,24.288,24.234,24.2792,2195
2025-03-24,24.44,24.44,24.41,24.41,754
2025-03-25,24.37,24.3914,24.37,24.3914,213
2025-03-26,24.596,24.654,24.596,24.6492,1047
2025-03-27,24.696,24.89,24.691,24.87,5289
2025-03-28,24.7894,24.7894,24.6506,24.6506,626
2025-03-31,24.77,24.9566,24.77,24.9566,335
2025-04-01,24.924,24.9994,24.924,24.9914,656
2025-04-02,25.07,25.07,24.95,25.0425,1813
2025-04-03,25.08,25.09,24.93,24.9488,4976
2025-04-04,24.71,24.71,23.6876,23.6876,9088
2025-04-07,23.0,23.44,22.94,23.2287,7250
2025-04-08,23.63,23.63,22.71,22.9078,2541
2025-04-09,22.92,24.176,22.89,24.176,3168
2025-04-10,24.12,24.12,23.53,23.95,8548
2025-04-11,24.01,24.37,23.91,24.3357,5694
2025-04-14,24.57,24.69,24.5399,24.6393,2042
2025-04-15,24.7466,24.7466,24.5215,24.5215,1560
2025-04-16,24.4904,24.54,24.1512,24.1512,1551
2025-04-17,24.3496,24.49,24.29,24.3685,1559
2025-04-21,24.21,24.21,23.711,23.9267,1067
2025-04-22,24.3901,24.3934,24.3901,24.3934,309
2025-04-23,24.63,24.63,24.3458,24.3458,5782
2025-04-24,24.2702,24.3645,24.2702,24.3645,1730
2025-04-25,24.07,24.1378,24.0301,24.1378,10833
2025-04-28,24.19,24.19,24.13,24.1806,1028
2025-04-29,24.47,24.4773,24.44,24.4773,999
2025-04-30,24.364,24.67,24.364,24.6602,1386
2025-05-01,24.536,24.731,24.51,24.6124,4720
2025-05-02,24.9199,24.93,24.875,24.9023,3069
2025-05-05,24.9065,24.9499,24.85,24.8656,1866
2025-05-06,24.7045,24.7865,24.7045,24.77,502
2025-05-07,24.9101,24.9101,24.9,24.9,337
2025-05-08,24.88,25.0229,24.8162,24.8238,6655
2025-05-09,24.748,24.8,24.7387,24.7387,2160
2025-05-12,24.92,24.92,24.7,24.8775,1656
2025-05-13,24.86,24.86,24.7328,24.7328,4065
2025-05-14,24.4899,24.5919,24.4899,24.5919,1304
2025-05-15,24.9162,25.0732,24.9162,25.0732,1939
2025-05-16,25.15,25.2949,25.1499,25.2949,3021
2025-05-19,25.44,25.44,25.4024,25.4024,334
2025-05-20,25.4027,25.4027,25.3383,25.3383,299
2025-05-21,25.09,25.0927,25.09,25.0927,1548
2025-05-22,24.94,25.054187,24.93,25.01,3439
2025-05-28,25.2109,25.215,25.0586,25.0586,977
2025-05-29,25.073,25.1592,25.073,25.1314,703
2025-05-30,25.258,25.3301,25.258,25.3301,186
2025-06-02,25.1799,25.29,25.14,25.2717,866
2025-06-03,25.17,25.36,25.17,25.3565,16425
2025-06-04,25.32,25.47,25.3052,25.3052,11207
2025-06-05,25.24,25.29,25.24,25.249,1436
2025-06-06,25.438,25.44,25.43,25.431,1270
2025-06-09,25.3296,25.38,25.2521,25.2521,2464
2025-06-10,25.31,25.35,25.31,25.3251,1522
2025-06-11,25.1999,25.21,25.1233,25.1367,19690
2025-06-12,25.16,25.28,25.16,25.2629,7493
2025-06-13,25.02,25.04,24.97,24.9825,1578
2025-06-16,25.1909,25.1909,24.9972,24.9972,2987
2025-06-17,24.92,24.92,24.74,24.7803,4184
2025-06-18,24.8,24.823,24.7338,24.7338,2844
2025-06-20,24.792,24.792,24.7531,24.7531,415
2025-06-23,24.86,24.9173,24.83,24.9173,1383
2025-06-24,24.91,25.0,24.91,25.0,1487
2025-06-25,24.676,24.676,24.6006,24.6006,647
2025-06-26,24.7,24.74,24.7,24.7383,4647
2025-06-27,24.743,24.84,24.743,24.8148,1264
2025-06-30,24.815,25.03,24.8116,25.03,6712
2025-07-01,25.1,25.36,25.096,25.3297,39855
2025-07-02,25.17,25.24,25.1508,25.2178,5639
2025-07-03,25.2734,25.359,25.2734,25.359,269
2025-07-07,25.285,25.285,25.17,25.249,13304
2025-07-08,25.172,25.19,25.172,25.19,385
2025-07-09,25.06,25.195,25.05,25.195,1017
2025-07-10,25.12,25.2114,25.12,25.1696,3007
2025-07-11,25.0091,25.09,24.9949,25.0748,842
2025-07-14,24.95,25.1973,24.95,25.1973,581
2025-07-15,25.054,25.07,24.8306,24.8306,656
2025-07-16,24.7999,24.9674,24.7999,24.9674,518
2025-07-17,25.23,25.2955,25.23,25.2955,145
2025-07-21,25.28,25.3299,25.28,25.2853,356
2025-07-22,25.6,25.7099,25.46,25.6509,7488
2025-07-23,25.682,25.682,25.583,25.6383,1967
2025-07-24,25.729,25.74,25.6655,25.6655,26924
2025-07-25,25.602,25.7083,25.602,25.7083,1334
2025-07-28,25.465,25.48,25.4496,25.4496,324
2025-07-29,25.595,25.6559,25.595,25.6559,219
2025-07-31,25.57,25.57,25.2938,25.2938,117
2025-08-01,25.28,25.28,25.1873,25.1873,354
2025-08-04,25.3301,25.4111,25.3301,25.4111,584
2025-08-05,25.36,25.36,25.2534,25.259,6393
2025-08-06,25.253,25.285,25.253,25.285,1081
2025-08-08,25.5,25.5169,25.481,25.5169,1054
2025-08-12,25.41,25.41,25.3888,25.3888,192
2025-08-13,25.441,25.6009,25.441,25.6009,1401
2025-08-14,25.519,25.519,25.4688,25.4688,531
2025-08-15,25.45,25.51,25.45,25.4566,1860
2025-08-18,25.33,25.36,25.3077,25.3077,554
2025-08-19,25.45,25.5327,25.45,25.5327,212
2025-08-21,25.559,25.559,25.4834,25.4834,252
2025-08-25,25.34,25.34,25.1492,25.1492,625
2025-08-27,25.0,25.1484,25.0,25.1484,567
2025-09-02,24.994,25.02,24.849,24.849,1141
2025-09-03,24.74,24.91,24.74,24.8915,626
2025-09-05,25.0417,25.0417,24.781,24.8548,2334
2025-09-08,24.77,24.8188,24.75,24.8188,1332
2025-09-10,24.789,24.789,24.5854,24.6543,2721
2025-09-11,24.757,24.9242,24.757,24.9242,503
2025-09-15,24.68,24.68,24.542,24.542,869
2025-09-16,24.55,24.55,24.4612,24.4612,175
2025-09-18,24.62,24.62,24.526,24.526,1429
2025-09-19,24.52,24.55,24.52,24.5408,1075
2025-09-22,24.37,24.4544,24.37,24.4544,281
2025-09-23,24.3652,24.4727,24.339,24.4727,5614
2025-09-26,24.3852,24.5305,24.3852,24.5305,632
2025-09-30,24.41,24.7647,24.41,24.7647,399
2025-10-03,24.74,24.7401,24.7334,24.7334,2081
2025-10-07,24.81,24.8124,24.81,24.8124,421
2025-10-08,24.7328,24.7945,24.7328,24.7945,248
2025-10-10,24.675,24.675,24.5897,24.5897,1363
2025-10-13,24.61,24.61,24.565,24.565,349
2025-10-14,24.6,24.851,24.6,24.835,1551
2025-10-15,24.79,24.79,24.766,24.77,348
2025-10-21,24.89,24.8922,24.8873,24.8922,1343
2025-10-22,24.98,24.9896,24.866,24.866,3213
2025-10-24,24.69,24.7,24.6534,24.6534,1602
2025-10-27,24.7,24.77,24.681,24.745,1430
2025-10-28,24.709,24.709,24.6213,24.6213,11224
2025-10-30,24.2,24.22,24.17,24.1796,1247
2025-10-31,23.95,24.09,23.95,24.0567,1943
2025-11-03,23.79,23.905,23.79,23.905,18597
2025-11-04,23.89,23.9222,23.89,23.9222,266
2025-11-05,24.0,24.0,23.935,23.935,1061
2025-11-06,23.784,23.785,23.6811,23.6811,5066
2025-11-10,23.93,23.9744,23.93,23.9744,422
2025-11-11,24.0,24.18,24.0,24.1735,1767
2025-11-12,24.173,24.205,24.173,24.205,1198
2025-11-20,23.9344,23.9344,23.8733,23.8733,125
2025-11-21,24.285,24.285,24.2252,24.2252,718
2025-11-24,24.062,24.0853,24.062,24.0853,624
2025-12-01,24.375,24.375,24.3735,24.3735,323
2025-12-03,24.379,24.38,24.3482,24.3482,2541
2025-12-08,24.1,24.112,24.0877,24.0877,934
2025-12-09,24.07,24.091,23.9892,23.9892,2266
2025-12-10,24.03,24.0817,24.03,24.0817,391
2025-12-11,24.2,24.22,24.1644,24.1644,1329
2025-12-12,24.2435,24.2605,24.2435,24.2605,305
2025-12-15,24.36,24.39,24.2866,24.39,2374
2025-12-16,24.3,24.3,24.272,24.272,189
2025-12-17,24.2915,24.2928,24.2412,24.2412,3832
2025-12-18,24.293,24.293,24.25,24.2665,2689
2025-12-19,24.1999,24.32,24.1999,24.2064,526
2025-12-22,24.19,24.2135,24.19,24.2135,170
2025-12-24,24.2187,24.2575,24.2187,24.2575,259
2025-12-26,24.19,24.2602,24.17,24.2602,1100
2025-12-29,24.2651,24.2838,24.2651,24.2838,655
2025-12-30,24.2414,24.295,24.235,24.2615,1288
2025-12-31,24.18,24.18,24.0819,24.0819,307
2026-01-02,23.92,23.92,23.8753,23.8753,206
2026-01-06,23.95,24.0751,23.911,24.0751,18801
2026-01-08,24.1316,24.195,24.1316,24.195,1009
2026-01-09,24.2684,24.3615,24.2684,24.3615,927
2026-01-13,24.2696,24.3703,24.26,24.3703,1275
2026-01-14,24.451,24.4964,24.451,24.4964,440
2026-01-15,24.57,24.57,24.5316,24.5316,461
2026-01-20,24.46,24.46,24.3,24.3802,893
2026-01-21,24.39,24.52,24.39,24.5099,1358
2026-01-26,24.77,24.77,24.7044,24.7044,782
2026-01-28,24.48,24.48,24.4726,24.4726,506
2026-02-04,24.611,24.611,24.5288,24.5288,507
2026-02-06,24.4782,24.563,24.45,24.563,1460
2026-02-09,24.5,24.53,24.41,24.5213,3820
2026-02-10,24.61,24.64,24.53,24.53,7764
