date,open,high,low,close,volume
2025-08-19,25.0627,25.0627,25.0546,25.0546,223
2025-08-21,25.05,25.05,25.04,25.045,700
2025-08-25,25.15,25.15,25.0689,25.0689,597
2025-08-26,24.8169,24.8317,24.8169,24.8317,339
2025-09-03,24.57,24.57,24.55,24.565,477
2025-09-05,24.86,24.86,24.8278,24.8278,425
2025-09-08,25.09,25.09,25.0601,25.0601,383
2025-09-10,25.13,25.13,25.09,25.09,342
2025-09-17,25.28,25.28,25.2208,25.2208,169
2025-09-18,25.3,25.3,25.3,25.3,174
2025-09-30,25.18,28.16,25.18,25.235,835332
2025-10-01,26.36,26.63,24.75,25.5542,299675
2025-10-02,25.66,25.66,25.38,25.53,83133
2025-10-03,25.79,25.84,25.72,25.77,89330
2025-10-06,25.81,25.86,25.8,25.84,10891
2025-10-07,25.6544,25.68,25.53,25.5672,23536
2025-10-08,25.655,25.74,25.61,25.67,10647
2025-10-09,26.94,26.94,25.445,25.4808,7354
2025-10-10,25.33,25.39,24.92,24.92,109873
2025-10-13,25.26,25.32,25.13,25.2,6468
2025-10-14,25.16,25.39,25.1599,25.35,146290
2025-10-15,25.47,25.47,25.305,25.3617,9437
2025-10-16,25.61,25.69,25.5,25.57,10412
2025-10-17,25.43,25.62,25.39,25.5675,94768
2025-10-20,25.64,25.87,25.64,25.8264,68316
2025-10-21,27.1,27.1,25.44,25.5519,51988
2025-10-22,25.62,26.3216,25.49,25.5966,45000
2025-10-23,25.64,26.35,25.6031,25.6681,19368
2025-10-24,25.7,25.93,25.68,25.7099,22493
2025-10-27,25.86,25.98,25.84,25.98,30686
2025-10-28,25.98,26.03,25.95,25.97,6066
2025-10-29,25.94,26.26,25.75,25.83,34624
2025-10-30,25.59,26.08,25.59,25.78,47780
2025-10-31,25.7,25.74,25.6208,25.72,5862
2025-11-03,25.65,25.723,25.6305,25.6883,5134
2025-11-04,25.54,25.58,25.4444,25.4444,18647
2025-11-05,25.5322,25.68,25.51,25.615,20210
2025-11-06,25.66,25.67,25.57,25.6195,37524
2025-11-07,25.56,25.68,25.45,25.6516,9793
2025-11-10,25.82,25.9248,25.73,25.9247,26636
2025-11-11,26.0148,26.31,26.0148,26.085,19392
2025-11-12,26.2,26.5698,26.19,26.2756,31188
2025-11-13,26.1799,26.44,25.94,25.9604,14338
2025-11-14,25.785,26.2512,25.785,25.9221,48578
2025-11-17,25.765,25.96,25.52,25.63,22432
2025-11-18,25.22,25.34,25.1602,25.2975,10901
2025-11-19,25.3,25.3,25.0964,25.1556,17845
2025-11-20,25.41,25.44,24.8993,24.8993,14257
2025-11-21,25.12,25.7099,25.01,25.232,26781
2025-11-24,25.18,25.27,25.1075,25.2252,29859
2025-11-25,25.4,25.64,25.35,25.525,21086
2025-11-26,25.6,26.3299,25.6,25.86,31337
2025-11-28,25.8866,26.02,25.8502,25.9009,4916
2025-12-01,25.86,25.96,25.75,25.75,11588
2025-12-02,25.87,25.8871,25.83,25.8871,9566
2025-12-03,25.9494,26.05,25.92,26.02,13311
2025-12-04,26.16,26.22,26.05,26.0855,16785
2025-12-05,26.17,26.29,26.0023,26.0023,25412
2025-12-08,26.11,26.13,25.9001,26.0,8533
2025-12-09,26.115,26.2,25.8801,26.08,24291
2025-12-10,26.13,26.28,26.106,26.2766,8529
2025-12-11,26.25,26.46,25.94,26.456,33172
2025-12-12,26.41,26.41,26.13,26.18,12892
2025-12-15,26.43,26.52,26.333,26.4647,19725
2025-12-16,26.4,26.4,26.2303,26.3121,27474
2025-12-17,26.35,26.35,26.05,26.16,50416
2025-12-18,26.2711,26.36,26.233,26.233,8309
2025-12-19,26.45,26.56,26.4255,26.4597,6508
2025-12-22,26.35,26.58,26.35,26.4895,19571
2025-12-23,26.7,26.74,26.6,26.67,24343
2025-12-24,28.22,28.22,26.6024,26.675,3354
2025-12-26,26.85,27.0,26.54,26.708,3190
2025-12-29,26.73,27.4,26.43,26.5602,67898
2025-12-30,26.79,26.79,26.6,26.6477,32311
2025-12-31,26.68,26.68,26.5224,26.5233,18436
2026-01-02,26.92,26.93,26.7601,26.93,9488
2026-01-05,27.03,27.21,26.85,27.21,26123
2026-01-06,27.49,27.74,27.15,27.2074,99280
2026-01-07,27.13,27.19,26.99,27.05,59516
2026-01-08,26.92,27.11,26.92,27.11,38456
2026-01-09,27.18,27.82,27.18,27.615,114516
2026-01-12,27.51,27.65,27.46,27.5,11054
2026-01-13,27.46,27.4996,27.32,27.47,44264
2026-01-14,27.5,27.57,27.445,27.5478,7192
2026-01-15,27.63,27.8,27.513,27.54,25346
2026-01-16,27.63,27.895,27.5492,27.64,16035
2026-01-20,27.41,27.545,27.2,27.2,36245
2026-01-21,27.31,27.59,27.2458,27.53,34352
2026-01-22,27.67,27.69,27.49,27.68,59789
2026-01-23,27.63,27.8,27.52,27.7849,15330
2026-01-26,27.94,28.61,27.86,27.86,15349
2026-01-27,28.2064,28.6,28.2064,28.42,10661
2026-01-28,28.16,28.46,27.96,28.088,108165
2026-01-29,28.31,28.53,28,28.26,20480
2026-01-30,28.27,28.56,28.11,28.21,34777
2026-02-02,28.1293,28.31,28.1293,28.29,10262
2026-02-03,28.41,28.47,28.11,28.44,19193
2026-02-04,28.6579,28.6579,28.37,28.48,6970
2026-02-05,28.18,28.18,28.03,28.04,53396
2026-02-06,28.57,28.742,28.44,28.742,18284
2026-02-09,28.91,29.17,28.8784,29.15,16036
2026-02-10,29.23,29.5,29.1173,29.175,21002
