date,open,high,low,close,volume
2023-09-22,0.071,0.089999,0.0423,0.0451,114892
2023-09-25,0.0495,0.0525,0.0462,0.05125,95294
2023-09-26,0.0495,0.05,0.0479,0.05,2229
2023-09-27,0.0501,0.0598,0.0501,0.050201,3621
2023-09-28,0.0545,0.0549,0.04,0.0406,31266
2023-09-29,0.0396,0.0435,0.0356,0.0356,14177
2023-10-02,0.04,0.045,0.04,0.045,20122
2023-10-03,0.046,0.048,0.046,0.048,336
2023-10-04,0.037,0.06,0.037,0.0594,2868
2023-10-05,0.0371,0.0575,0.031,0.05,9246
2023-10-06,0.0495,0.054,0.0495,0.05,23913
2023-10-09,0.0495,0.0495,0.0452,0.0452,500
2023-10-11,0.031,0.031,0.031,0.031,572
2023-10-12,0.034,0.034,0.034,0.034,700
2023-10-19,0.0373,0.0389,0.0373,0.0389,2010
2023-10-20,0.0363,0.0363,0.0363,0.0363,124
2023-10-24,0.031,0.04,0.03,0.04,279685
2023-10-31,0.03,0.035,0.03,0.035,5314
2023-11-01,0.0316,0.0358,0.0275,0.0297,18055
2023-11-02,0.028,0.028,0.0225,0.0225,22291
2023-11-03,0.0332,0.035,0.0201,0.0208,1818
2023-11-07,0.0206,0.021,0.0171,0.0171,50524
2023-11-08,0.0172,0.031101,0.016,0.0295,109732
2023-11-09,0.0299,0.0299,0.0299,0.0299,200
2023-11-10,0.0393,0.045,0.03,0.045,33872
2023-11-14,0.04,0.04,0.04,0.04,533
2023-11-16,0.0495,0.0495,0.0495,0.0495,859
2023-11-21,0.0495,0.05,0.029,0.049,8923
2023-11-24,0.04,0.04,0.029,0.035,161365
2023-11-27,0.0384,0.0503,0.023,0.0303,365484
2023-11-28,0.03,0.0495,0.025,0.0399,16700
2023-11-29,0.0398,0.04,0.0398,0.04,314
2023-11-30,0.04,0.05,0.04,0.05,4918
2023-12-01,0.04,0.0545,0.0391,0.04,270987
2023-12-04,0.0495,0.0495,0.0495,0.0495,111
2023-12-07,0.04,0.04,0.04,0.04,1893
2023-12-08,0.04,0.04,0.04,0.04,84830
2023-12-11,0.0545,0.055,0.0322,0.0353,7044
2023-12-14,0.04,0.04,0.04,0.04,632
2023-12-15,0.04,0.04,0.0396,0.04,4433
2023-12-18,0.0396,0.04,0.03,0.032,45033
2023-12-20,0.04,0.0401,0.04,0.04,4700
2023-12-21,0.0565,0.0975,0.03,0.03,38380
2023-12-26,0.0475,0.0475,0.0475,0.0475,500
2023-12-27,0.05,0.075,0.045,0.06,2150
2023-12-28,0.06945,0.07,0.0693,0.07,22398
2023-12-29,0.0701,0.0701,0.0699,0.0699,5111
2024-01-02,0.0733,0.0739,0.0733,0.0733,1200
2024-01-03,0.0733,0.085,0.0733,0.076,20669
2024-01-04,0.0809,0.085,0.0809,0.0848,18103
2024-01-09,0.075,0.084,0.0725,0.084,102644
2024-01-10,0.0792,0.08,0.053,0.065,33965
2024-01-12,0.069949,0.0849,0.069949,0.0775,55233
2024-01-16,0.082,0.093,0.06,0.08,10672
2024-01-17,0.08,0.1,0.0791,0.0791,1175
2024-01-18,0.0792,0.08,0.0784,0.0789,12470
2024-01-19,0.0792,0.08,0.0792,0.0798,1283
2024-01-22,0.0792,0.0792,0.0792,0.0792,100
2024-01-23,0.0792,0.0792,0.0792,0.0792,100
2024-01-24,0.08,0.085,0.0792,0.085,9522
