date,open,high,low,close,volume
2021-07-26,348.3,349.8,298.5,300.0,41445.633291888
2021-07-27,312.3,312.3,295.5,299.1,25083.499974916
2021-07-28,300.0,300.0,267.3,276.0,14267.033319066
2021-07-29,298.5,298.5,249.0,250.5,14375.666652291
2021-07-30,248.4,248.4,234.3,241.5,12820.166653846
2021-08-02,249.0,268.2,245.7,265.2,15429.399984571
2021-08-03,279.0,301.05,273.003,300.3,23753.666642913
2021-08-04,304.5,314.4,298.8,310.5,17434.666649232
2021-08-05,315.3,315.3,300.0,311.7,10797.433322536
2021-08-06,311.7,323.97,308.1,322.5,10609.533322724
2021-08-09,327.6,327.6,306.495,324.6,10138.099989862
2021-08-10,326.4,326.7,310.503,322.2,5291.0999947089
2021-08-11,323.1,324.483,312.0,321.6,5739.666660927
2021-08-12,315.9,327.6,306.3,324.3,10105.766656561
2021-08-13,324.3,327.3,307.5,308.85,3863.2666628034
2021-08-16,303.6,317.7,294.0,294.9,3373.4666632932
2021-08-17,294.0,300.6,276.0,286.2,5887.1999941128
2021-08-18,297.0,304.5,295.5,298.8,7354.8999926451
2021-08-19,293.7,298.8,272.4,274.8,4836.4333284969
2021-08-20,280.8,293.1,277.5,288.9,15377.299984623
2021-08-23,283.8,287.097,264.9,272.1,10994.699989005
2021-08-24,272.838,276.0,255.9,262.8,8187.7999918122
2021-08-25,261.0,268.2,241.8,261.0,20340.09997966
2021-08-26,261.0,261.0,244.086,247.8,7084.4999929155
2021-08-27,246.0,261.0,246.0,258.9,8147.666658519
2021-08-30,256.2,273.0,250.503,271.5,7036.5999929634
2021-08-31,261.0,261.0,174.6,180.0,361316.49963868
2021-09-01,184.8,185.67,169.8,172.2,159241.39984076
2021-09-02,175.5,176.4,164.4,164.7,147454.03318588
2021-09-03,169.5,177.0,165.6,173.1,126257.53320708
2021-09-07,175.53,184.5,173.4,180.9,121993.73321134
2021-09-08,185.565,186.0,174.0,178.5,73216.833260116
2021-09-09,181.2,197.4,178.8,188.7,121847.19987815
2021-09-10,193.2,193.872,176.1,176.7,77540.499922459
2021-09-13,177.9,181.35,168.0,181.2,58576.499941423
2021-09-14,169.8,175.8,162.9,165.6,75516.833257816
2021-09-15,168.6,168.9,156.9,164.7,43424.966623242
2021-09-16,163.5,167.7,161.1,165.3,24092.799975907
2021-09-17,165.6,176.1,161.7,165.6,57509.333275824
2021-09-20,160.947,165.0,158.022,160.5,28764.966637902
2021-09-21,162.9,165.9,159.0,161.7,34529.366632137
2021-09-22,162.0,170.4,162.0,164.7,37380.033295953
2021-09-23,168.0,168.6,158.1,159.6,53593.266613073
2021-09-24,160.2,162.6,158.4,158.7,28412.666638254
2021-09-27,160.5,163.5,157.8,161.7,18664.733314669
2021-09-28,160.296,161.556,151.2,152.7,33609.366633057
2021-09-29,153.0,159.6,145.5,148.2,56527.833276805
2021-09-30,149.7,150.597,133.5,136.2,63192.466603474
2021-10-01,138.3,140.7,133.2,140.4,26601.799973398
2021-10-04,141.0,143.1,130.8,131.7,23658.399976342
2021-10-05,133.2,133.5,117.9,120.3,57558.833275774
2021-10-06,119.7,120.0,114.0,119.7,34210.09996579
2021-10-07,121.5,128.7,120.879,126.0,25912.733307421
2021-10-08,125.1,126.3,119.4,120.0,13351.999986648
2021-10-11,120.6,124.5,118.2,121.2,13548.299986452
2021-10-12,122.1,128.1,121.752,128.1,14405.633318928
2021-10-13,126.105,129.0,124.8,125.7,8726.1999912738
2021-10-14,127.5,127.8,123.3,125.7,12229.033321104
2021-10-15,124.8,127.8,120.9,120.9,14614.233318719
2021-10-18,123.3,126.6,122.4,126.3,14158.699985841
2021-10-19,126.9,127.5,123.0,123.6,19041.399980959
2021-10-20,124.8,126.0,120.6,121.2,19009.666647657
2021-10-21,121.506,124.2,119.1,119.4,24316.533309017
2021-10-22,119.4,120.315,114.0,116.4,25368.166641298
2021-10-25,115.5,121.8,115.2,121.5,24915.033308418
2021-10-26,123.3,127.2,120.6,123.3,22743.966643923
2021-10-27,123.6,125.4,120.9,121.5,13906.033319427
2021-10-28,120.6,129.0,120.0,125.1,34395.299965605
2021-10-29,125.1,126.3,120.3,122.4,17591.466649075
2021-11-01,123.0,125.55,121.5,123.0,20769.766645897
2021-11-02,123.06,123.9,120.0,121.2,17003.699982996
2021-11-03,123.0,123.3,118.8,120.9,20963.13331237
2021-11-04,120.9,121.5,117.0,117.6,24196.933309136
2021-11-05,120.0,124.35,117.3,124.2,45348.466621318
2021-11-08,122.1,128.1,122.1,125.7,28690.133304643
2021-11-09,126.6,127.569,118.2,120.3,26962.666639704
2021-11-10,120.0,120.3,113.1,114.9,37494.566629172
2021-11-11,116.1,121.5,115.5,118.5,25438.499974561
2021-11-12,119.4,119.4,113.349,116.1,41820.09995818
2021-11-15,116.805,132.9,114.9,125.7,197272.89980273
2021-11-16,125.7,126.525,114.3,117.0,99474.399900526
2021-11-17,119.1,120.0,111.0,113.7,94830.699905169
2021-11-18,102.3,111.3,101.964,106.8,95123.266571543
2021-11-19,105.0,114.0,103.5,112.8,56473.966610193
2021-11-22,115.5,115.5,110.4,112.2,36688.666629978
2021-11-23,112.8,114.75,109.8,111.6,45345.099954655
2021-11-24,109.8,118.8,109.65,118.5,27577.299972423
2021-11-26,114.0,129.6,113.1,129.6,37031.833296301
2021-11-29,130.5,139.5,126.9,127.5,60477.633272856
2021-11-30,128.7,136.2,121.2,124.2,40577.166626089
2021-12-01,126.0,128.1,121.5,126.6,31965.299968035
2021-12-02,125.7,128.55,123.6,126.3,19943.13331339
2021-12-03,122.76,125.1,117.9,120.3,35021.733298312
2021-12-06,116.7,120.3,106.8,119.7,43676.86662299
2021-12-07,121.5,124.2,119.7,121.8,15967.166650699
2021-12-08,119.505,131.7,118.2,128.7,42187.166624479
2021-12-09,133.533,133.533,121.5,123.0,18202.466648464
2021-12-10,122.7,127.8,120.597,125.1,21457.033311876
2021-12-13,123.3,127.2,120.3,126.0,38003.266628663
2021-12-14,123.9,127.2,122.4,123.3,42193.766624473
2021-12-15,121.8,123.6,113.4,123.0,77014.899922985
2021-12-16,123.6,125.7,120.3,125.4,36658.399963342
2021-12-17,123.3,126.3,120.3,122.7,21295.466645371
2021-12-20,120.0,122.4,117.9,121.2,19774.533313559
2021-12-21,120.6,121.8,117.0,121.8,17671.366648995
2021-12-22,120.6,121.5,116.7,119.4,28477.733304856
2021-12-23,122.7,161.169,121.8,151.2,223286.73311005
2021-12-27,147.3,165.15,146.4,155.4,77027.06658964
2021-12-28,155.4,168.588,154.35,166.5,57915.833275417
2021-12-29,165.6,173.436,150.0,150.0,53162.366613504
2021-12-30,150.0,156.75,148.35,150.9,250865.8664158
2021-12-31,150.3,166.5,150.3,166.5,32114.066634553
2022-01-03,167.1,178.8,166.8,167.4,39470.866627196
2022-01-04,168.0,203.4,167.7,201.9,109044.86655762
2022-01-05,201.3,224.7,185.4,192.6,129489.53320384
2022-01-06,195.0,201.6,156.6,175.2,70329.433263004
2022-01-07,177.9,181.2,165.303,168.9,29708.099970292
2022-01-10,169.2,169.5,151.2,153.9,32557.933300775
2022-01-11,154.8,167.1,154.5,160.2,26370.633306963
2022-01-12,167.7,170.4,158.7,161.1,17075.933316257
2022-01-13,160.5,162.516,156.0,159.3,13619.533319714
2022-01-14,156.0,158.4,142.5,157.5,40997.533292336
2022-01-18,151.5,153.0,144.9,144.9,28019.766638647
2022-01-19,144.0,144.0,125.7,126.6,57383.03327595
2022-01-20,126.0,135.9,123.6,133.8,75952.499924047
2022-01-21,127.605,137.1,127.5,132.0,56732.666609934
2022-01-24,123.0,132.0,120.6,129.9,56290.699943709
2022-01-25,131.1,131.4,126.6,127.2,29945.599970054
2022-01-26,126.0,133.2,125.55,126.9,50160.899949839
2022-01-27,125.205,126.3,116.7,118.5,37884.166628782
