date,open,high,low,close,volume
2010-07-14,1.15023,1.18072,1.15023,1.1593,2411097.093102
2010-07-15,1.1606,1.17864,1.15811,1.17594,3201806.4670888
2010-07-16,1.1292,1.1301,1.10369,1.10788,2019198.7887813
2010-07-19,1.09851,1.09851,1.09442,1.09622,386385.35137995
2010-07-20,1.08765,1.13737,1.08765,1.13737,141096.0731603
2010-07-21,1.15531,1.15641,1.12103,1.12103,127664.898222
2010-07-22,1.15283,1.16348,1.15283,1.16348,342692.13880328
2010-07-23,1.14954,1.19886,1.13937,1.19886,237869.77074906
2010-07-26,1.19568,1.22487,1.19408,1.22487,119284.08588842
2010-07-27,1.23344,1.23344,1.23344,1.23344,12827.098187255
2010-07-28,1.17594,1.17594,1.17545,1.17545,6715.0857442785
2010-07-30,1.132,1.132,1.132,1.132,3370.5877189228
2010-08-02,1.21172,1.21172,1.21172,1.21172,3370.5877189228
2010-08-03,1.17714,1.17714,1.17714,1.17714,3370.5877189228
2010-08-04,1.17993,1.21152,1.17993,1.20633,1726895.8827537
2010-08-05,1.20923,1.20923,1.20923,1.20923,3370.5877189228
2010-08-06,1.17954,1.18112,1.17954,1.18112,114253.79227873
2010-08-09,1.22239,1.23524,1.22239,1.22487,33607.539113475
2010-08-10,1.19766,1.22189,1.19766,1.20066,1028075.4129601
2010-08-11,1.16348,1.16917,1.16259,1.16259,20830.613413849
2010-08-12,1.15531,1.15531,1.15401,1.15461,10060.587219386
2010-08-13,1.14654,1.14654,1.1305,1.1305,36953.040588583
2010-08-16,1.13937,1.13937,1.13937,1.13937,33607.539113475
2010-08-17,1.18222,1.18222,1.16288,1.16288,18189.533665053
2010-08-18,1.19568,1.19568,1.19189,1.19189,13431.17493831
2010-08-19,1.19029,1.19029,1.14904,1.15223,386385.35137995
2010-08-20,1.14266,1.14266,1.14266,1.14266,3370.5877189228
2010-08-23,1.17515,1.19189,1.15372,1.15401,436774.58415561
2010-08-24,1.12183,1.13588,1.11496,1.13588,58789.11065452
2010-08-25,1.13767,1.16678,1.1283,1.16518,117574.20751003
2010-08-26,1.16967,1.17037,1.16428,1.16428,55595.130092051
2010-08-27,1.14624,1.16468,1.12582,1.16468,215002.15433747
2010-08-30,1.12223,1.12223,1.12223,1.12223,40323.628307506
2010-08-31,1.11027,1.13588,1.11027,1.13549,97905.58890967
2010-09-01,1.17714,1.19029,1.17564,1.19029,278871.73108931
2010-09-02,1.21292,1.23623,1.21152,1.23623,83991.754640368
2010-09-03,1.26165,1.27809,1.25108,1.26125,40323.628307506
2010-09-07,1.26055,1.26055,1.23254,1.23254,58462.98948493
2010-09-08,1.2468,1.2477,1.24381,1.2462,16801.762657233
2010-09-09,1.26703,1.26703,1.24201,1.24291,94082.445352332
2010-09-10,1.26464,1.26464,1.26444,1.26444,16801.762657233
2010-09-13,1.28905,1.28905,1.28905,1.28905,3370.5877189228
2010-09-14,1.32901,1.33679,1.32901,1.33679,6715.0857442785
2010-09-15,1.30909,1.32633,1.30909,1.32633,31922.74697889
2010-09-16,1.32752,1.32752,1.31855,1.31885,27672.133826953
2010-09-17,1.31626,1.31626,1.31626,1.31626,3370.5877189228
2010-09-20,1.35751,1.37276,1.35751,1.37276,84871.780073382
2010-09-21,1.46565,1.46565,1.36888,1.36888,47038.714051785
2010-09-22,1.38352,1.38502,1.37187,1.37187,23521.865650273
2010-09-24,1.4493,1.4493,1.449,1.449,36953.040588583
2010-09-27,1.39299,1.44053,1.38682,1.43336,204941.56711809
2010-09-28,1.41053,1.45847,1.41053,1.45847,21837.073515689
2010-09-29,1.4513,1.4513,1.44451,1.44451,36953.040588583
2010-09-30,1.46525,1.46525,1.42489,1.43614,50384.215526892
2010-10-01,1.42638,1.42787,1.42638,1.42787,10060.587219386
2010-10-05,1.44322,1.46495,1.44322,1.46145,251980.28116987
2010-10-06,1.45668,1.45668,1.45668,1.45668,6715.0857442785
2010-10-07,1.46086,1.46086,1.46086,1.46086,6715.0857442785
2010-10-08,1.47012,1.47012,1.47012,1.47012,10060.587219386
2010-10-11,1.4787,1.4787,1.4787,1.4787,10060.587219386
2010-10-12,1.46953,1.47392,1.46953,1.47392,16801.762657233
2010-10-13,1.48229,1.49603,1.46026,1.46026,12072.503973313
2010-10-14,1.45588,1.45588,1.42449,1.42449,36953.040588583
2010-10-15,1.45847,1.47392,1.45548,1.47392,50384.215526892
2010-10-18,1.51737,1.51737,1.46066,1.46415,146755.52976487
2010-10-19,1.44143,1.451,1.41502,1.42329,264359.84076747
2010-10-20,1.43107,1.45219,1.43107,1.44601,40323.628307506
2010-10-21,1.48289,1.49544,1.46525,1.48129,329260.96386497
2010-10-22,1.49066,1.49146,1.49066,1.49146,13431.17493831
2010-10-25,1.51707,1.51707,1.49803,1.49803,25282.919966055
2010-10-26,1.48786,1.51049,1.48786,1.5073,36953.040588583
2010-10-27,1.47979,1.48308,1.45608,1.45877,238549.10623156
2010-10-28,1.48618,1.48618,1.47092,1.47392,17460.025694926
2010-10-29,1.46624,1.47372,1.46624,1.47372,30236.951394552
2010-11-01,1.47571,1.48816,1.46445,1.47451,335950.96336543
2010-11-02,1.48648,1.52165,1.48338,1.50461,507335.16385766
2010-11-03,1.5062,1.51199,1.49205,1.51199,191510.39217977
2010-11-04,1.54597,1.56589,1.54577,1.56589,134707.10858561
2010-11-05,1.56889,1.59679,1.56889,1.58264,464345.36955755
2010-11-08,1.57566,1.58145,1.56889,1.57248,275502.14682014
2010-11-09,1.56331,1.57368,1.54358,1.54358,268760.9713823
2010-11-10,1.55464,1.56481,1.53261,1.56481,33607.539113475
2010-11-11,1.54358,1.57038,1.54188,1.56859,188164.89070467
2010-11-12,1.55972,1.55972,1.52126,1.52574,360931.84495596
2010-11-15,1.53181,1.53181,1.50222,1.5064,282217.23256442
2010-11-16,1.50461,1.54397,1.49623,1.5053,292307.92327638
2010-11-17,1.52165,1.52304,1.51527,1.51737,203607.9823969
2010-11-18,1.55732,1.57288,1.5368,1.5368,315799.68543408
2010-11-19,1.53461,1.56511,1.53181,1.56511,635000.06207966
2010-11-22,1.56559,1.60486,1.56032,1.59629,322364.25371547
2010-11-23,1.58323,1.58323,1.56151,1.57636,201268.94102363
2010-11-24,1.60516,1.63974,1.60516,1.63645,224086.38494759
2010-11-26,1.6234,1.63018,1.6222,1.62988,63845.493957779
2010-11-29,1.76919,1.76919,1.5928,1.61333,165095.58089281
2010-11-30,1.57905,1.63197,1.57905,1.6251,188844.22618716
2010-12-01,1.67333,1.67372,1.64512,1.66436,350161.81876149
2010-12-02,1.67333,1.7099,1.66067,1.70581,369508.32999127
2010-12-03,1.69565,1.70033,1.67153,1.69744,1153049.0589456
2010-12-06,1.69834,1.70601,1.69834,1.70103,53457.782119052
2010-12-07,1.7386,1.7386,1.7099,1.7099,81803.230729987
2010-12-08,1.69894,1.70552,1.69894,1.70552,16801.762657233
2010-12-09,1.75485,1.75485,1.70422,1.70422,36953.040588583
2010-12-10,1.70601,1.7115,1.70492,1.7115,23194.741030932
2010-12-13,1.71468,1.71588,1.69744,1.69973,69755.813000487
2010-12-14,1.68639,1.69146,1.6811,1.69146,300331.50749802
2010-12-15,1.6806,1.69665,1.6806,1.69665,140316.39270255
2010-12-16,1.68887,1.7108,1.6232,1.70631,34789.602922017
2010-12-17,1.7115,1.71648,1.7111,1.7111,13431.17493831
2010-12-20,1.7087,1.72166,1.7087,1.72166,137750.57168519
2010-12-21,1.71937,1.72824,1.71827,1.72365,90384.733014068
2010-12-22,1.7096,1.72027,1.709,1.7115,45353.921917199
2010-12-23,1.70522,1.71558,1.70452,1.71558,71139.570209298
2010-12-27,1.71429,1.71429,1.71379,1.71379,10060.587219386
2010-12-28,1.70791,1.70791,1.69963,1.70492,201243.85477981
2010-12-29,1.70303,1.72644,1.70303,1.72266,60499.992482672
2010-12-30,1.72007,1.72724,1.72007,1.72236,36953.040588583
2011-01-03,1.73143,1.74328,1.73143,1.74328,20151.277931351
2011-01-05,1.69774,1.70751,1.6806,1.69266,92723.774387336
2011-01-06,1.67752,1.67752,1.61124,1.64512,280858.56159943
2011-01-07,1.652,1.652,1.6229,1.64084,101326.34911622
2011-01-10,1.62748,1.64781,1.62748,1.64781,65530.286092365
2011-01-11,1.64811,1.64841,1.64632,1.64632,55419.52638535
2011-01-12,1.65938,1.67372,1.65938,1.66565,42335.545061433
2011-01-13,1.67273,1.67402,1.66675,1.66705,860087.88988033
2011-01-14,1.66236,1.69007,1.66097,1.68847,606447.90281969
2011-01-18,1.68549,1.68549,1.68549,1.68549,13431.17493831
2011-01-19,1.66974,1.66974,1.66038,1.66386,137750.57168519
2011-01-20,1.68937,1.69864,1.68937,1.69864,181419.7014678
2011-01-21,1.72395,1.72395,1.68259,1.68259,295678.51099531
2011-01-24,1.69386,1.69386,1.69386,1.69386,11771.469047539
2011-01-25,1.70273,1.70273,1.68289,1.69774,36953.040588583
2011-01-26,1.71349,1.72445,1.71349,1.72027,51671.641559456
2011-01-27,1.74837,1.75136,1.74837,1.74957,43693.212576676
2011-01-28,1.73183,1.73382,1.66735,1.67044,457600.18032069
2011-01-31,1.65539,1.65748,1.65539,1.65748,36424.222568973
2011-02-01,1.67871,1.69007,1.67871,1.68609,96572.004188488
2011-02-03,1.67253,1.68529,1.67223,1.68529,26892.453369197
2011-02-04,1.68349,1.71528,1.68349,1.71259,76547.160925963
2011-02-07,1.70791,1.72335,1.70791,1.72335,14261.027883695
2011-02-08,1.74837,1.74837,1.74837,1.74837,20151.277931351
2011-02-09,1.77458,1.77458,1.77309,1.77368,41303.998715779
2011-02-10,1.76362,1.76661,1.76362,1.76661,50384.215526892
2011-02-11,1.75943,1.7976,1.75943,1.7969,31695.967334807
2011-02-14,1.78185,1.78225,1.78185,1.78225,14336.286615139
2011-02-15,1.77926,1.78315,1.77816,1.78315,64171.615127369
2011-02-16,1.82211,1.82211,1.7972,1.80219,243579.39984125
2011-02-17,1.78853,1.81564,1.78853,1.80487,37280.165207925
2011-02-18,1.81394,1.81394,1.80876,1.81234,20956.044632922
2011-02-22,1.7681,1.7681,1.74089,1.74089,37807.979777783
2011-02-23,1.67542,1.67542,1.67542,1.67542,3370.5877189228
2011-02-24,1.67073,1.67073,1.66466,1.66466,36953.040588583
2011-02-25,1.68349,1.7108,1.68349,1.68758,73101.314475596
2011-03-01,1.68758,1.70552,1.66117,1.66236,90711.857633409
2011-03-02,1.652,1.67044,1.652,1.67004,43693.212576676
2011-03-03,1.69665,1.70373,1.69665,1.70133,20151.277931351
2011-03-04,1.66565,1.66645,1.66565,1.66645,10060.587219386
2011-03-07,1.64304,1.6526,1.64304,1.6526,97905.58890967
2011-03-09,1.6817,1.70253,1.6817,1.69804,30236.951394552
