date,open,high,low,close,volume
2017-11-29,41500.0,62400.0,41500.0,52850.0,60.1904
2017-11-30,52900.0,59250.0,45550.0,50500.0,54.1844
2017-12-01,50300.0,53225.0,42100.0,42800.0,44.6978
2017-12-04,42600.0,58500.0,37750.0,56200.0,98.4838
2017-12-05,53700.0,63750.0,48850.0,50000.0,106.018
2017-12-06,50050.0,54550.0,41500.0,41650.0,52.8288
2017-12-07,41500.0,43500.0,33000.0,37275.0,109.5
2017-12-08,37500.0,40900.0,36250.0,38700.0,42.7594
2017-12-11,39944.5,39944.5,34450.5,36300.0,36.332
2017-12-12,36950.0,40999.5,36900.0,40000.0,42.5222
2017-12-13,39500.0,44000.0,39500.0,43000.0,41.8194
2017-12-14,42950.0,45000.0,39800.0,43000.0,51.212
2017-12-15,44000.0,47950.0,41550.0,47300.0,89.475
2017-12-18,47250.0,51400.0,46600.0,49500.0,51.7618
2017-12-19,49500.0,51600.0,45105.0,49300.0,36.7362
2017-12-20,49800.0,50750.0,48000.0,48650.0,22.6156
2017-12-21,48800.0,49750.0,42000.0,42800.0,44.5818
2017-12-22,42150.0,43850.0,38075.0,41700.0,31.7938
2017-12-26,42750.0,46400.0,41850.0,42700.0,74.373
2017-12-27,43300.0,45000.0,34294.5,35050.0,113.452
2017-12-28,35750.0,37300.0,29700.0,30300.0,90.4314
2017-12-29,30500.0,36750.0,30300.0,35200.0,49.139
2018-01-02,36700.0,36700.0,31450.0,35550.0,13.4846
2018-01-03,35149.5,38399.5,33000.0,37900.0,60.7732
2018-01-04,38350.0,41917.0,35307.0,41650.0,66.0678
2018-01-05,41750.0,47399.5,39800.0,42900.0,96.09
2018-01-08,42000.0,48000.0,39400.0,43700.0,180.838
2018-01-09,41600.0,44600.0,40700.0,43650.0,97.574
2018-01-10,44400.0,44400.0,39000.0,42150.0,77.2688
2018-01-11,42100.0,49700.0,41250.0,45300.0,126.722
2018-01-12,45300.0,47800.0,38000.5,40000.0,92.7282
2018-01-16,39950.0,41895.0,39900.0,40300.0,11.4086
2018-01-17,40200.0,47750.0,39350.0,45200.0,83.8096
2018-01-18,44450.0,50500.0,40650.5,50350.0,57.9252
2018-01-19,49350.0,56600.0,48350.0,55650.0,62.7428
2018-01-22,55750.0,55950.0,50050.0,53850.0,41.755
2018-01-23,53900.0,55500.0,51128.0,52700.0,61.7928
2018-01-24,53350.0,53350.0,48000.0,48500.0,42.0862
2018-01-25,48250.0,50050.0,43350.0,44800.0,41.1322
2018-01-26,44400.0,46500.0,43000.0,44800.0,59.2968
2018-01-29,45000.0,47250.0,44300.0,46200.0,16.8282
2018-01-30,45050.0,48600.0,45000.0,48050.0,29.5556
2018-01-31,48250.0,51500.0,46400.0,47300.0,38.6718
2018-02-01,47500.0,50250.0,40750.0,45450.0,86.4062
2018-02-02,45600.0,46850.0,44100.0,46850.0,13.4472
2018-02-05,45900.0,51950.0,45900.0,50950.0,17.7254
2018-02-06,49050.0,53725.5,47450.0,50500.0,70.4986
2018-02-07,49550.0,52393.0,43100.0,43100.0,100.121
2018-02-08,43500.0,44800.0,39900.0,40600.0,18.2102
2018-02-09,40350.0,43950.0,39525.0,39800.0,10.178
2018-02-12,40500.0,41150.0,37400.0,37850.0,9.775
2018-02-13,38150.0,39650.0,37050.0,37450.0,7.2692
2018-02-14,37000.0,37000.0,34500.0,35100.0,24.8358
2018-02-15,35679.0,37050.0,34050.0,35800.0,22.1942
2018-02-16,37099.0,43300.0,36850.0,42900.0,51.2166
2018-02-20,43250.0,46520.0,40576.5,43250.0,47.1248
2018-02-21,42850.0,47000.0,42850.0,46550.0,35.2094
2018-02-22,45650.0,47200.0,44400.0,45750.0,19.8294
2018-02-23,46250.0,51450.0,45100.0,50750.0,35.262
2018-02-26,50500.0,52450.0,47500.0,47900.0,105.006
2018-02-27,47000.0,53455.0,43050.0,43350.0,155.846
2018-02-28,42950.0,46550.0,42500.0,42950.0,75.2816
2018-03-01,44200.0,45000.0,38050.0,39700.0,35.8468
2018-03-02,39749.5,40850.0,38599.5,39900.0,10.2626
2018-03-05,39300.0,40500.0,39300.0,39750.0,8.4132
2018-03-06,39650.0,41500.0,39550.0,40600.0,5.0852
2018-03-07,40600.0,41650.0,39450.0,39900.0,30.3404
2018-03-08,41950.0,41950.0,39100.0,39250.0,11.4968
2018-03-09,40250.0,40300.0,39050.0,39800.0,5.5214
2018-03-12,40400.0,42000.0,40200.0,41600.0,6.2204
2018-03-13,41350.0,42499.5,40500.0,42250.0,8.8402
2018-03-14,41150.0,42450.0,39500.0,40800.0,12.6748
2018-03-15,41375.0,41999.5,37800.0,38450.0,19.1856
2018-03-16,38950.0,39200.0,36550.0,38000.0,42.1178
2018-03-19,38750.0,44150.0,38350.0,42450.0,60.021
2018-03-20,42050.0,49400.0,41950.0,48550.0,96.7134
2018-03-21,48150.0,48550.0,42500.0,46875.0,71.527
2018-03-22,46000.0,47500.0,41550.0,42500.0,82.8022
2018-03-23,42800.0,44900.0,40800.0,43250.0,16.8616
2018-03-26,43850.0,44750.0,42450.0,43450.0,10.98
2018-03-27,43350.0,47750.0,43300.0,45050.0,21.916
2018-03-28,44800.0,47600.0,43050.0,45050.0,54.8968
2018-03-29,44950.0,46150.0,42750.0,43500.0,5.199
2018-04-02,45400.0,45650.0,42650.0,43100.0,4.3222
2018-04-03,43550.0,43550.0,42050.0,42050.0,1.8558
2018-04-04,42250.0,42250.0,40600.0,40700.0,1.0184
2018-04-05,41500.0,42500.0,40050.0,40750.0,4.3878
2018-04-06,43613.0,44000.0,40100.0,40900.0,4.183
2018-04-09,41500.0,41975.0,39950.0,41500.0,2.9496
2018-04-10,44250.0,44950.0,40150.0,41350.0,23.271
2018-04-11,39700.0,42800.0,38500.0,39700.0,55.235
2018-04-12,40000.0,40300.0,36500.0,36850.0,44.7142
2018-04-13,37350.0,38822.5,37050.0,37100.0,33.1518
2018-04-16,37700.0,38500.0,36400.0,37825.0,28.6904
2018-04-17,37850.0,38850.0,36355.0,37850.0,15.4198
2018-04-18,36805.0,38150.0,36800.0,37850.0,4.0836
2018-04-19,37900.0,38450.0,34250.0,34400.0,23.1902
2018-04-20,34700.0,36945.0,31050.0,31300.0,32.5256
2018-04-23,32850.0,32850.0,29750.0,30050.0,27.416
2018-04-24,29800.0,32750.0,27550.0,27550.0,16.6848
2018-04-25,27750.0,29100.0,27000.0,27950.0,14.9446
2018-04-26,28400.0,28750.0,26200.0,26250.0,12.7822
2018-04-27,26726.0,26750.0,26000.0,26500.0,11.7896
2018-04-30,27550.0,29846.5,27000.0,27800.0,62.209
2018-05-01,28000.0,28761.0,25762.0,26150.0,19.3798
2018-05-02,25650.0,27850.0,25300.0,26650.0,44.768
2018-05-03,27350.0,28150.0,26450.0,27400.0,37.4152
2018-05-04,27700.0,28850.0,26250.0,26950.0,26.9084
2018-05-07,27450.0,29500.0,27450.0,28450.0,39.0878
2018-05-08,28900.0,29350.0,26650.0,27200.0,28.9171
2018-05-09,27550.0,28499.5,25500.0,25800.0,19.3532
2018-05-10,26250.0,26300.0,21448.0,25050.0,48.8942
2018-05-11,24650.0,25217.0,22000.0,24900.0,36.8912
2018-05-14,25100.0,25150.0,24150.0,25000.0,6.2444
2018-05-15,24521.5,25000.0,23750.5,25000.0,2.9294
2018-05-16,25155.0,25950.0,24600.0,25050.0,13.0644
2018-05-17,25025.0,25050.0,23550.0,24800.0,9.2888
2018-05-18,24100.0,24950.0,23750.0,24900.0,9.0476
2018-05-21,25150.0,26500.0,25150.0,25200.0,15.6976
2018-05-22,25376.0,25900.0,24300.0,25050.0,13.6018
2018-05-23,25500.0,25500.0,24550.0,25400.0,1.9704
2018-05-24,25100.0,25400.0,24227.5,25100.5,3.8958
2018-05-25,24200.0,25250.0,24200.0,25050.0,2.9854
2018-05-29,25200.0,25850.0,24950.0,25800.0,7.5036
2018-05-30,25850.0,26450.0,25690.0,26150.0,6.2612
2018-05-31,26050.0,26450.0,25800.0,26300.0,4.1712
2018-06-01,26250.0,26600.0,25300.0,25850.0,7.8638
2018-06-04,25276.0,25600.0,24625.0,25600.0,2.6984
2018-06-05,25400.0,25600.0,24800.0,25550.0,3.8622
2018-06-06,25000.0,25200.0,24127.5,24950.0,7.5292
2018-06-07,24850.0,24950.0,23914.0,24300.0,7.3236
2018-06-08,23850.0,24400.0,23264.0,23800.0,21.2848
2018-06-11,23650.0,25500.0,23650.0,25350.0,7.1426
2018-06-12,25500.0,26400.0,24600.0,25000.0,4.61
2018-06-13,25050.0,25550.0,24775.0,25000.0,3.7466
2018-06-14,25250.0,25650.0,24350.0,24800.0,4.1172
2018-06-15,24674.0,26150.0,24674.0,25900.0,15.0912
2018-06-18,25700.0,26250.0,25602.5,26150.0,1.6324
2018-06-19,25000.0,26145.0,24950.0,25700.0,1.3904
2018-06-20,24225.5,26400.0,24225.5,26350.0,6.9864
2018-06-21,25860.5,26326.0,25400.0,25700.0,2.7776
2018-06-22,25600.0,27450.0,25506.5,26100.0,11.6896
2018-06-25,26100.0,28000.0,26100.0,27500.0,19.0326
2018-06-26,29750.0,29900.0,26500.0,26850.0,14.833
2018-06-27,27300.0,27300.0,25564.0,25800.0,2.8762
2018-06-28,28500.0,29000.0,25600.0,26000.0,9.7256
2018-06-29,26168.5,26550.0,26168.5,26450.0,2.2588
2018-07-02,26300.0,26800.0,25800.0,26750.0,0.9156
2018-07-03,26800.0,27900.0,26625.0,27400.0,4.7824
2018-07-05,27600.0,27650.0,25200.0,25200.0,2.6166
2018-07-06,25250.0,25969.0,24550.5,24850.0,5.8234
2018-07-09,24250.0,24300.0,23104.0,23650.0,4.2444
2018-07-10,24500.0,24500.0,23800.0,23800.0,0.4208
2018-07-11,23500.0,23900.0,22500.0,23700.0,2.2488
2018-07-12,23500.0,24872.5,23152.0,23800.0,14.8494
2018-07-13,23250.0,25650.0,23200.0,25650.0,17.387
2018-07-16,23255.0,25700.0,23255.0,25550.0,13.8838
2018-07-17,26000.0,26000.0,22600.0,25350.0,15.3764
2018-07-18,25550.0,25800.0,25200.0,25700.0,14.3382
2018-07-19,25845.0,25950.0,24350.0,24850.0,8.666
2018-07-20,24250.0,24750.0,23324.5,23324.5,3.63
2018-07-23,23600.0,24550.0,23350.0,24550.0,1.5266
2018-07-24,24950.0,24950.0,22552.5,23500.0,9.839
2018-07-25,23300.0,24050.0,22700.0,23325.0,0.8492
2018-07-26,23150.0,23600.0,21300.0,21750.0,6.0824
2018-07-27,21950.0,23400.0,20500.0,23200.0,18.9676
2018-07-30,23500.0,23500.0,18550.0,18750.0,46.9834
2018-07-31,18905.0,19900.0,18905.0,19300.0,22.5886
2018-08-01,20000.0,20100.0,18000.0,18982.5,8.7194
2018-08-02,19699.5,19699.5,18000.0,18775.0,1.8674
2018-08-03,18750.0,18750.0,18050.0,18350.0,1.2992
2018-08-06,18386.0,19412.5,15650.0,16450.0,8.7212
2018-08-07,16100.0,18300.0,16100.0,17755.0,7.5462
