date,open,high,low,close,volume
2005-02-25,2.36666,2.4,2.33334,2.35334,137400
2005-02-28,2.37,2.40334,2.35166,2.35166,201000
2005-03-01,2.35166,2.40334,2.35,2.355,169200
2005-03-02,2.35833,2.4,2.35833,2.37666,56400
2005-03-03,2.385,2.39167,2.31334,2.35,488400
2005-03-04,2.36666,2.37666,2.34834,2.35,124200
2005-03-07,2.33334,2.33833,2.3,2.31666,304200
2005-03-08,2.31666,2.37,2.31666,2.35334,186600
2005-03-09,2.35166,2.35166,2.33,2.34166,156000
2005-03-10,2.33833,2.34834,2.33334,2.335,193800
2005-03-11,2.33334,2.35166,2.315,2.32834,130200
2005-03-14,2.33166,2.33166,2.315,2.31666,178200
2005-03-15,2.31666,2.34666,2.28834,2.30334,100200
2005-03-16,2.3,2.30166,2.22334,2.23166,135600
2005-03-17,2.23,2.23,2.17834,2.18834,75000
2005-03-18,2.19,2.20666,2.16334,2.165,167400
2005-03-21,2.16334,2.175,2.15,2.15,63000
2005-03-22,2.15,2.15666,2.1,2.11166,122400
2005-03-23,2.11166,2.125,2.11166,2.12,136800
2005-03-24,2.11666,2.135,2.11,2.12834,246600
2005-03-28,2.12666,2.15,2.11834,2.14167,220800
2005-03-29,2.13334,2.13666,2.11666,2.12666,114000
2005-03-30,2.13334,2.2,2.13,2.2,161400
2005-03-31,2.24166,2.40666,2.24166,2.35,379800
2005-04-01,2.35,2.38834,2.31666,2.33334,251400
2005-04-04,2.34166,2.475,2.34166,2.45167,249600
2005-04-05,2.45334,2.45334,2.35,2.35,207000
2005-04-06,2.35833,2.43,2.35833,2.415,162600
2005-04-07,2.43,2.43666,2.34166,2.35666,58800
2005-04-08,2.35,2.36166,2.30834,2.33666,102600
2005-04-11,2.34666,2.355,2.325,2.355,75000
2005-04-12,2.35166,2.4,2.35166,2.4,63000
2005-04-13,2.4,2.4,2.31334,2.31666,124800
2005-04-14,2.315,2.315,2.28166,2.28667,58800
2005-04-15,2.27666,2.29166,2.25,2.275,80400
2005-04-18,2.26667,2.275,2.20167,2.21666,144600
2005-04-19,2.21834,2.26334,2.21834,2.26334,66600
2005-04-20,2.26334,2.26334,2.21,2.225,123000
2005-04-21,2.22834,2.25,2.205,2.24834,106200
2005-04-22,2.23333,2.29166,2.21834,2.29166,144000
2005-04-25,2.295,2.29833,2.22834,2.24834,79200
2005-04-26,2.24666,2.25666,2.23666,2.24166,58200
2005-04-27,2.24334,2.25834,2.21666,2.25666,76800
2005-04-28,2.25666,2.25834,2.18666,2.19333,109200
2005-04-29,2.19666,2.22834,2.18167,2.22834,60600
2005-05-02,2.23666,2.245,2.21333,2.245,67200
2005-05-03,2.245,2.25,2.22,2.23166,52800
2005-05-04,2.24166,2.315,2.24166,2.275,101400
2005-05-05,2.27666,2.31166,2.26,2.27,57000
2005-05-06,2.27,2.28334,2.255,2.27834,12600
2005-05-09,2.28,2.29666,2.20167,2.21666,72600
2005-05-10,2.21834,2.27666,2.21666,2.27166,90600
2005-05-11,2.25834,2.28166,2.24834,2.27,532800
2005-05-12,2.27166,2.28334,2.27166,2.28334,63600
2005-05-13,2.25334,2.285,2.25,2.26834,58200
2005-05-16,2.26334,2.27166,2.225,2.25,154800
2005-05-17,2.25834,2.28166,2.25,2.28166,246000
2005-05-18,2.27666,2.43334,2.27666,2.41167,65400
2005-05-19,2.41666,2.41666,2.345,2.35166,67200
2005-05-20,2.36666,2.38334,2.35,2.36666,99600
2005-05-23,2.41666,2.41666,2.375,2.375,29400
2005-05-24,2.37666,2.4,2.36334,2.36334,36000
2005-05-25,2.375,2.375,2.31666,2.31833,42000
2005-05-26,2.30834,2.32,2.295,2.30334,20400
2005-05-27,2.295,2.41666,2.295,2.40334,68400
2005-05-31,2.41666,2.45666,2.32166,2.33334,115200
2005-06-01,2.33334,2.35666,2.31,2.31666,129000
2005-06-02,2.43334,2.59166,2.43334,2.53334,534000
2005-06-03,2.59666,2.775,2.575,2.575,533400
2005-06-06,2.57667,2.59166,2.45,2.45834,216600
2005-06-07,2.45,2.58334,2.45,2.5,451200
2005-06-08,2.52,2.52666,2.48834,2.49334,373200
2005-06-09,2.48333,2.5,2.48333,2.5,73800
2005-06-10,2.51334,2.51334,2.48166,2.5,96600
2005-06-13,2.51667,2.51667,2.46,2.46834,163200
2005-06-14,2.48333,2.54833,2.48333,2.505,178200
2005-06-15,2.52166,2.535,2.50834,2.51166,150000
2005-06-16,2.52,2.54833,2.50666,2.51834,203400
2005-06-17,2.51667,2.53,2.46834,2.47,94200
2005-06-20,2.46834,2.54166,2.45834,2.49,231600
2005-06-21,2.48333,2.5,2.45666,2.46166,3960000
2005-06-22,2.47834,2.50834,2.46666,2.5,185400
2005-06-23,2.50834,2.52166,2.42,2.465,171600
2005-06-24,2.475,2.5,2.45,2.45,179400
2005-06-27,2.45,2.47334,2.39334,2.40666,469200
2005-06-28,2.41666,2.42666,2.34834,2.37334,318000
2005-06-29,2.37834,2.42166,2.375,2.38334,187800
2005-06-30,2.4,2.44666,2.37666,2.40834,340800
2005-07-01,2.40834,2.42,2.40834,2.41834,334200
2005-07-05,2.42666,2.46666,2.41666,2.45834,268200
2005-07-06,2.45834,2.47334,2.44333,2.44834,158400
2005-07-07,2.41666,2.475,2.41666,2.44834,134400
2005-07-08,2.41666,2.41666,2.38334,2.39666,273600
2005-07-11,2.39666,2.46666,2.39666,2.45,431400
2005-07-12,2.46666,2.51667,2.46166,2.49666,129600
2005-07-13,2.48333,2.50666,2.475,2.49666,1086600
2005-07-14,2.49666,2.515,2.495,2.49666,194400
2005-07-15,2.43334,2.48333,2.42333,2.47834,220200
2005-07-18,2.49,2.54,2.48834,2.54,708000
2005-07-19,2.53334,2.57667,2.53,2.56334,240600
2005-07-20,2.57834,2.6,2.56666,2.58166,265200
2005-07-21,2.59166,2.59166,2.56166,2.56166,304200
2005-07-22,2.55,2.61834,2.54166,2.54833,244200
2005-07-25,2.55834,2.58833,2.55834,2.58,301800
