date,open,high,low,close,volume
2021-11-11,15.99,17.57,15.8204,15.8204,2491
2021-11-12,16.0,16.0,15.85,15.9134,6234
2021-11-15,15.908,15.908,15.908,15.908,2
2021-11-16,15.96,16.005,15.96,15.9689,12896
2021-11-17,15.92,15.94,15.91,15.913,425
2021-11-18,15.92,15.95,15.92,15.95,766
2021-11-19,15.97,15.97,15.9,15.9055,97992
2021-11-22,15.97,15.97,15.8456,15.8456,6185
2021-11-23,15.765,15.8341,15.765,15.8341,1576
2021-11-24,15.78,15.86,15.7609,15.8568,6823
2021-11-26,15.61,15.61,15.5094,15.5094,12324
2021-11-29,15.66,15.72,15.66,15.6717,179317
2021-11-30,15.79,15.79,15.3661,15.3661,11876
2021-12-01,15.6,15.64,15.1887,15.1887,24861
2021-12-02,15.42,15.455,15.3822,15.3822,8095
2021-12-03,15.37,15.37,15.17,15.2397,2996
2021-12-06,15.38,15.48,15.38,15.4243,3458
2021-12-07,15.75,15.77,15.7001,15.7102,11563
2021-12-08,15.75,15.79,15.75,15.7859,1568
2021-12-09,15.85,15.85,15.642,15.642,498
2021-12-10,15.64,15.7268,15.64,15.7241,1353
2021-12-13,15.62,15.62,15.6,15.6015,617
2021-12-14,15.5371,15.5371,15.43,15.4571,2957
2021-12-15,15.45,15.76,15.45,15.7592,20226
2021-12-16,15.72,15.725,15.5546,15.5546,1796
2021-12-17,15.52,15.52,15.4555,15.4555,2778
2021-12-20,15.2588,15.299,15.25,15.299,7615
2021-12-21,15.405,15.585,15.405,15.5606,8216
2021-12-22,15.67,15.7098,15.67,15.7098,2037
2021-12-23,15.84,15.84,15.81,15.8328,1287
2021-12-27,15.97,16.012,15.94,16.0025,3106
2021-12-28,16.01,16.01,15.9716,15.974,996
2021-12-29,16.01,16.0231,16.0,16.0231,2574
2021-12-30,16.07,16.07,15.9798,15.9798,2393
2021-12-31,15.97,16.03,15.9499,15.9499,19109
2022-01-03,15.94,16.0083,15.94,16.0009,66115
2022-01-04,15.99,15.99,15.94,15.9749,778
2022-01-05,15.89,15.93,15.6499,15.6499,11985
2022-01-06,15.72,15.755,15.6338,15.6338,14655
2022-01-07,15.5006,15.59,15.5006,15.5527,3669
2022-01-10,15.33,15.5036,15.33,15.5036,1866
2022-01-11,15.67,15.67,15.6489,15.6489,122
2022-01-12,15.7,15.7,15.63,15.68,1443
2022-01-13,15.5996,15.5996,15.4576,15.4576,1589
2022-01-14,15.3751,15.4686,15.3751,15.4686,2379
2022-01-18,15.31,15.31,15.1864,15.1864,5328
2022-01-19,15.28,15.29,15.0737,15.0737,4659
2022-01-20,15.09,15.24,14.869,14.869,8306
2022-01-21,14.84,14.84,14.6283,14.6283,1567
2022-01-24,14.44,14.7299,14.42,14.7299,172946
2022-01-25,14.63,14.63,14.5661,14.5661,1521
2022-01-26,14.4612,14.4801,14.4612,14.4612,913
2022-01-27,14.52,14.63,14.4323,14.4323,1727
2022-01-28,14.43,14.63,14.43,14.6237,4984
2022-01-31,14.71,14.7831,14.71,14.7831,15354
2022-02-01,14.75,14.78,14.74,14.7698,125698
2022-02-02,14.8199,14.87,14.8032,14.842,10863
2022-02-03,14.7,14.72,14.676,14.676,2424
2022-02-04,14.745,14.745,14.6796,14.6796,2378
2022-02-07,14.725,14.83,14.608,14.608,4287
2022-02-08,14.7492,14.78,14.68,14.76,1730
2022-02-09,14.91,14.96,14.874,14.9393,8681
2022-02-10,14.86,14.86,14.6598,14.6598,739
2022-02-11,14.5395,14.55,14.4918,14.5256,3199
2022-02-14,14.44,14.4849,14.44,14.4849,203
2022-02-15,14.67,14.72,14.64,14.6811,2498
2022-02-16,14.59,14.7099,14.59,14.67,2139
2022-02-17,14.54,14.54,14.3975,14.3975,1614
2022-02-18,14.3,14.43,14.3,14.3468,90270
2022-02-22,14.24,14.35,14.23,14.2463,6671
2022-02-23,14.0915,14.0915,14.0915,14.0915,175
2022-02-24,14.13,14.2883,13.97,14.2883,5123
2022-02-25,14.29,14.4786,14.29,14.4786,9382
2022-02-28,14.45,14.4729,14.39,14.4729,1362
2022-03-01,14.4,14.4499,14.3604,14.3604,696
2022-03-02,14.27,14.65,14.27,14.551,10552
2022-03-03,14.49,14.57,14.44,14.4797,2512
2022-03-04,14.46,14.49,14.38,14.4187,5036
2022-03-07,14.29,14.4,14.2,14.2,20378
2022-03-08,14.31,14.31,14.15,14.1614,9685
2022-03-09,14.33,14.36,14.28,14.3251,2365
2022-03-10,14.17,14.34,14.17,14.3192,1631
2022-03-11,14.26,14.3,14.1938,14.1938,1458
2022-03-14,14.0517,14.07,14.02,14.0411,7058
2022-03-15,13.92,14.1951,13.92,14.1951,1163
2022-03-16,14.31,14.3648,14.2529,14.3648,966
2022-03-17,14.45,14.5786,14.45,14.5164,9896
2022-03-18,14.6,14.65,14.5789,14.6155,2690
2022-03-21,14.62,14.62,14.55,14.5656,9103
2022-03-22,14.72,14.77,14.6899,14.7212,2835
2022-03-23,14.54,14.6,14.54,14.5515,1637
2022-03-24,14.67,14.76,14.63,14.7497,4134
2022-03-25,14.74,14.8028,14.7203,14.8028,1914
2022-03-28,14.8279,14.8279,14.8279,14.8279,141
2022-03-29,14.99,15.11,14.97,15.0661,603344
2022-03-30,15.07,15.07,14.9175,14.9175,8010
2022-03-31,14.91,14.91,14.7815,14.7815,1761
2022-04-01,14.8111,14.8445,14.8111,14.8445,553
2022-04-04,14.8753,14.93,14.8753,14.9247,6492
2022-04-05,14.71,14.71,14.69,14.691,1214
2022-04-06,14.57,14.64,14.51,14.567,25622
2022-04-07,14.5501,14.62,14.45,14.5963,257269
2022-04-08,14.57,14.64,14.54,14.568,9209
2022-04-11,14.49,14.49,14.379,14.379,1561
2022-04-12,14.54,14.54,14.3725,14.3725,553
2022-04-13,14.49,14.62,14.49,14.6132,6831
2022-04-14,14.4861,14.4861,14.4562,14.4562,681
2022-04-18,14.28,14.52,14.28,14.4194,5020
2022-04-19,14.6336,14.6336,14.6336,14.6336,166
2022-04-20,14.68,14.73,14.61,14.6724,1080
2022-04-21,14.4707,14.4707,14.3814,14.3814,2793
2022-04-22,14.1,14.1,14.0106,14.0106,697
2022-04-25,13.74,13.96,13.74,13.96,776
2022-04-26,13.7808,13.82,13.6939,13.6939,1543
2022-04-27,13.7005,13.7005,13.7005,13.7005,413
2022-04-28,13.9571,13.9797,13.9571,13.9797,446
2022-04-29,13.4945,13.4945,13.4945,13.4945,121
2022-05-02,13.55,13.66,13.4115,13.6579,8969
2022-05-03,13.75,13.75,13.732,13.732,383
2022-05-04,13.64,14.0731,13.64,14.0731,1053
2022-05-05,13.55,13.57,13.4737,13.4737,723
2022-05-06,13.4201,13.5171,13.4201,13.5171,2018
2022-05-09,13.17,13.18,13.0,13.0242,15422
2022-05-10,13.25,13.35,13.21,13.2355,10350
2022-05-11,13.125,13.17,13.0471,13.0471,2370
2022-05-12,12.88,12.971,12.8001,12.971,1947
2022-05-13,13.41,13.4764,13.34,13.4374,3494
2022-05-16,13.32,13.32,13.3001,13.3001,685
2022-05-17,13.6699,13.6699,13.6529,13.6529,432
2022-05-18,12.8892,12.8892,12.8892,12.8892,2
2022-05-19,13.0361,13.21,13.0361,13.1251,1755
2022-05-20,12.99,13.1,12.89,13.0843,2247
2022-05-23,13.3056,13.33,13.23,13.3239,1091
2022-05-24,13.04,13.04,13.04,13.04,92
2022-05-25,13.28,13.34,13.28,13.3108,374
2022-05-26,13.53,13.6829,13.53,13.6439,712
2022-05-27,13.7537,13.8618,13.7537,13.8618,2087
2022-05-31,13.68,13.71,13.6797,13.6797,979
2022-06-01,13.555,13.68,13.555,13.6483,739
2022-06-02,13.66,13.97,13.66,13.97,606
2022-06-03,13.6,13.68,13.6,13.6607,1993
2022-06-06,13.75,13.84,13.75,13.7806,2771
2022-06-07,13.81,13.98,13.81,13.967,1901
2022-06-08,13.8231,13.8231,13.8231,13.8231,60
2022-06-09,13.75,13.75,13.49,13.49,2991
2022-06-10,13.05,13.1392,13.04,13.1392,531
2022-06-13,12.6894,12.6894,12.5159,12.5159,4711
2022-06-14,12.64,12.6514,12.612,12.612,570
2022-06-15,12.73,12.8366,12.73,12.8366,570
2022-06-16,12.23,12.26,12.19,12.2446,8567
2022-06-17,12.3855,12.44,12.37,12.4041,4599
2022-06-21,12.73,12.7673,12.67,12.6793,2155
2022-06-22,12.68,12.68,12.43,12.5448,1322
2022-06-23,12.5,12.6651,12.5,12.6651,8775
2022-06-24,12.95,13.0706,12.95,13.0706,1040
2022-06-27,12.9993,12.9993,12.9993,12.9993,64
2022-06-28,12.8565,12.9,12.7303,12.7303,6714
2022-06-29,12.67,12.8,12.66,12.7208,124870
2022-06-30,12.69,12.69,12.47,12.5313,1299
2022-07-01,12.66,12.7067,12.66,12.7067,529
2022-07-05,12.36,12.7065,12.36,12.7065,1914
2022-07-06,12.8099,12.81,12.7013,12.7013,923
2022-07-07,12.86,12.9882,12.86,12.9882,4505
2022-07-08,13.08,13.08,12.9333,12.9333,1182
2022-07-11,12.77,12.77,12.6452,12.6452,1864
2022-07-12,12.61,12.61,12.5824,12.5824,235
2022-07-13,12.53,12.5912,12.53,12.5912,1780
2022-07-14,12.4771,12.4915,12.4771,12.4915,716
2022-07-15,12.76,12.77,12.734,12.734,1160
2022-07-18,12.7,12.7,12.6574,12.6574,426
2022-07-19,12.95,13.0651,12.95,13.0651,2343
2022-07-20,12.96,13.17,12.96,13.1432,1368
2022-07-21,13.13,13.2474,13.13,13.2474,946
2022-07-22,13.0747,13.0747,12.985,13.0192,294
2022-07-25,13.085,13.13,13.0,13.073,6897
2022-07-26,12.9989,12.9999,12.9174,12.9174,2153
2022-07-27,13.14,13.3864,13.14,13.3864,1339
2022-07-28,13.39,13.51,13.39,13.4638,1534
2022-07-29,13.58,13.65,13.58,13.6458,1064
2022-08-01,13.66,13.66,13.51,13.5652,2575
2022-08-02,13.53,13.6,13.53,13.5445,2447
2022-08-03,13.5508,13.81,13.5508,13.7507,3841
2022-08-04,14.85,14.85,13.641,13.6779,4576
2022-08-05,13.7,13.71,13.58,13.6681,3273
2022-08-08,13.7,13.75,13.62,13.6718,11078
2022-08-09,13.64,13.64,13.52,13.5637,4428
2022-08-10,13.8436,13.96,13.8,13.9017,2152
2022-08-11,13.9378,14.0,13.8728,13.8728,5231
2022-08-12,13.98,14.16,13.98,14.1285,996
2022-08-15,14.13,14.21,14.07,14.1493,7010
2022-08-16,15.56,15.56,14.13,14.195,9626
2022-08-17,13.94,14.012,13.89,13.9618,3324
2022-08-18,14.0,14.0699,14.0,14.0215,1604
2022-08-19,13.85,13.85,13.78,13.8093,2448
2022-08-22,13.55,13.62,13.55,13.5597,8259
2022-08-23,13.7,13.7,13.5916,13.5916,2102
2022-08-24,13.67,13.74,13.6369,13.6369,2520
2022-08-25,13.74,13.88,13.74,13.8447,3040
2022-08-26,13.49,13.57,13.33,13.33,4648
2022-08-29,13.48,13.48,13.3503,13.3503,175
2022-08-30,13.25,13.3,13.1401,13.1714,6630
