date,open,high,low,close,volume
2022-08-03,23.592,23.592,23.1,23.18,15504
2022-08-03,23.592,23.592,23.1,23.18,15504
2022-08-04,23.1211,23.29,23.0535,23.25,10507
2022-08-05,23.25,23.3038,23.0201,23.14,8698
2022-08-08,23.14,23.15,22.88,22.88,9061
2022-08-09,22.77,23.0896,22.37,22.7705,10946
2022-08-10,22.96,23,22.6122,22.8169,17548
2022-08-11,22.98,23,22.85,22.85,14002
2022-08-12,22.92,22.99,22.9,22.99,5632
2022-08-15,23.1,23.2802,22.92,23.1001,46041
2022-08-16,23.01,23.3,22.925,23.24,10582
2022-08-17,23.08,23.2522,22.87,23.2522,9458
2022-08-18,23.24,23.24,22.9,23.0133,3166
2022-08-19,22.98,23.7287,22.9223,23.11,19902
2022-08-22,23.1,23.1,22.7924,22.9,17954
2022-08-23,22.82,23.05,22.82,23.03,8021
2022-08-24,22.775,23,22.775,22.946,5484
2022-08-25,22.9294,22.95,22.6,22.95,25330
2022-08-26,22.94,22.95,22.6,22.81,6290
2022-08-29,22.79,22.79,22.03,22.35,18004
2022-08-30,22.47,22.52,21.71,22.19,11255
2022-08-31,22.04,22.1968,21.78,21.78,33324
2022-09-01,21.61,21.65,21.35,21.52,26355
2022-09-02,21.6,21.75,21.35,21.5,26736
2022-09-06,21.42,21.48,21.1501,21.23,27961
2022-09-07,21.2,21.6,21.1002,21.4,15070
2022-09-08,21.39,21.57,21.265,21.57,8592
2022-09-09,21.47,21.8561,21.45,21.6,24472
2022-09-12,21.65,21.985,21.65,21.8112,6183
2022-09-13,21.79,21.865,21.6,21.83,4830
2022-09-14,21.95,21.97,21.6075,21.84,9594
2022-09-15,21.89,21.89,21.79,21.85,9904
2022-09-16,21.8,21.8,21.365,21.365,12731
2022-09-19,21.5,21.51,21.31,21.4,14434
2022-09-20,21.57,21.57,21.17,21.2384,5629
2022-09-21,21.37,21.39,21.21,21.305,10250
2022-09-22,21.37,21.37,21.07,21.12,8340
2022-09-23,21.08,21.08,20.16,20.4368,19824
2022-09-26,20.5,20.85,18.8,19.81,32087
2022-09-27,19.72,20.3425,19.04,19.04,25820
2022-09-28,19.1,19.87,19.1,19.63,14645
2022-09-29,19.89,19.89,18.73,19.0289,37211
2022-09-30,18.91,19.44,18.91,19.24,44628
2022-10-03,19.48,20.49,19.3784,20.27,35342
2022-10-04,20.27,21.24,20.27,20.79,20943
2022-10-05,20.79,20.79,19.8,19.8,13310
2022-10-06,19.76,19.77,19.25,19.305,30264
2022-10-07,19.2,19.25,18.85,18.97,43492
2022-10-10,18.86,19.17,18.86,18.97,9261
2022-10-11,19.03,19.03,18.79,18.91,25017
2022-10-12,18.91,19.1499,18.7,18.7,15301
2022-10-13,18.7,19.1,18.55,18.91,60520
2022-10-14,18.58,18.68,18.4521,18.5351,9877
2022-10-17,18.74,19.1898,18.45,18.7,9806
2022-10-18,18.58,18.8621,18.4,18.4829,23261
2022-10-19,18.3,18.5769,17.7,17.92,61292
2022-10-20,18.42,18.62,17.4,17.6901,51108
2022-10-21,17.82,18.0063,17.25,17.745,84626
2022-10-24,18.29,18.29,17.31,17.6,35760
2022-10-25,17.51,17.93,17.4,17.9166,261808
2022-10-26,18.102,18.2,17.771,17.97,25220
2022-10-27,17.97,18.8025,17.9001,18.25,34902
2022-10-28,18.56,18.6809,18.26,18.49,47212
2022-10-31,18.78,18.78,18.37,18.37,186302
2022-11-01,18.44,18.825,18.38,18.77,45994
2022-11-02,18.71,19.77,18.71,19.19,41045
