date,open,high,low,close,volume
2018-06-25,24.9,24.93,24.81,24.89,102175
2018-06-25,24.9,24.93,24.81,24.89,102175
2018-06-26,24.91,24.95,24.8274,24.87,265005
2018-06-27,24.89,24.97,24.88,24.97,202541
2018-06-28,24.95,24.98,24.92,24.94,229402
2018-06-29,24.96,25.25,24.96,25.19,546548
2018-07-02,25.13,25.3,25.12,25.18,317417
2018-07-03,25.18,25.24,25.13,25.22,94817
2018-07-05,25.24,25.27,25.22,25.25,62945
2018-07-06,25.29,25.35,25.235,25.27,128157
2018-07-09,25.25,25.26,25.16,25.25,142565
2018-07-10,25.24,25.275,25.18,25.26,184331
2018-07-11,25.24,25.4,25.23,25.4,111187
2018-07-12,25.4,25.65,25.36,25.38,96690
2018-07-13,25.44,25.47,25.32,25.41,57803
2018-07-16,25.35,25.37,25.2,25.26,101474
2018-07-17,25.2,25.29,25.08,25.14,124307
2018-07-18,25.12,25.31,25.11,25.14,102653
2018-07-19,25.15,25.22,25.145,25.165,237402
2018-07-20,25.2,25.47,25.17,25.46,1439116
2018-07-23,25.22,25.2899,25.18,25.2899,54375
2018-07-24,25.28,25.3488,25.22,25.28,121806
2018-07-25,25.35,25.35,25.2629,25.3,35991
2018-07-26,25.36,25.38,25.36,25.38,25070
2018-07-27,25.3,25.45,25.3,25.4,53556
2018-07-30,25.44,25.44,25.39,25.44,11243
2018-07-31,25.45,25.45,25.36,25.36,21932
2018-08-01,25.45,25.45,25.36,25.4,22756
2018-08-02,25.4,25.49,25.36,25.49,49502
2018-08-03,25.49,25.55,25.381,25.55,58589
2018-08-06,25.55,25.55,25.38,25.38,64498
2018-08-07,25.36,25.37,25.2993,25.3,13656
2018-08-08,25.41,25.41,25.2524,25.34,21946
2018-08-09,25.35,25.35,25.27,25.35,38513
2018-08-10,25.41,25.44,25.33,25.35,8236
2018-08-13,25.35,25.35,25.26,25.32,13257
2018-08-14,25.34,25.34,25.3,25.34,44903
2018-08-15,25.34,25.35,25.3201,25.35,24083
2018-08-16,25.37,25.385,25.3,25.31,23622
2018-08-17,25.35,25.3848,25.31,25.35,81237
2018-08-20,25.41,25.41,25.352,25.38,16535
2018-08-21,25.45,25.46,25.4301,25.46,10633
2018-08-22,25.49,25.74,25.45,25.74,72935
2018-08-23,25.64,25.699,25.53,25.6,36816
2018-08-24,25.6,25.6,25.5,25.6,26841
2018-08-27,25.6,25.6,25.51,25.53,46006
2018-08-28,25.56,25.59,25.5,25.59,34739
2018-08-29,25.56,25.6,25.56,25.6,16826
2018-08-30,25.37,25.45,25.29,25.34,74236
2018-08-31,25.33,25.34,25.23,25.23,15004
2018-09-04,25.31,25.33,25.17,25.17,19798
2018-09-05,25.23,25.23,25.03,25.05,38303
2018-09-06,25.05,25.1,24.9701,25.0694,40303
2018-09-07,25.04,25.12,24.98,25.05,36160
2018-09-10,25.05,25.1,25.01,25.05,23456
2018-09-11,25.09,25.09,25.01,25.01,36910
2018-09-12,25.05,25.07,24.94,25,60305
2018-09-13,25,25.07,24.97,25.02,40471
2018-09-14,25,25.05,24.94,25.05,40692
2018-09-17,25,25.0499,24.978,24.98,87019
2018-09-18,25.02,25.05,24.941,24.99,48984
2018-09-19,24.98,25,24.8,24.9,57420
