date,open,high,low,close,volume
2005-02-25,4.28247,4.34354,4.2166,4.28247,138963.94080279
2005-02-28,4.34774,4.37315,4.27386,4.35202,589564.20354765
2005-03-01,4.3811,4.46628,4.34354,4.46628,668003.6453952
2005-03-02,4.51693,4.52929,4.46214,4.51285,121797.83418584
2005-03-03,4.55741,4.55741,4.40514,4.48746,140594.39669301
2005-03-04,4.51693,4.51693,4.41355,4.48746,75627.831832296
2005-03-07,4.51285,4.51285,4.40514,4.44652,132383.44553372
2005-03-08,4.4385,4.4385,4.3111,4.42204,120386.6252051
2005-03-09,4.40514,4.41355,4.3811,4.3883,40829.332917668
2005-03-10,4.3394,4.3811,4.29038,4.29038,723134.97917567
2005-03-11,4.28247,4.33091,4.28247,4.32755,87255.637996376
2005-03-14,4.44652,4.44652,4.26977,4.32372,364843.84129148
2005-03-15,4.29892,4.34774,4.26556,4.3153,99056.37130033
2005-03-16,4.28622,4.36467,4.26556,4.34774,136894.9910936
2005-03-17,4.28247,4.4499,4.28247,4.42204,1285526.4618786
2005-03-18,4.46214,4.46214,4.39257,4.40514,163281.81984731
2005-03-21,4.35202,4.41355,4.30683,4.41355,224028.65369668
2005-03-22,4.35623,4.46214,4.35623,4.41355,284676.67203755
2005-03-23,4.40514,4.43435,4.24866,4.36467,432649.8080292
2005-03-24,4.36039,4.3811,4.30683,4.33513,471013.38521137
2005-03-28,4.4499,4.4499,4.29892,4.3153,469321.16962835
2005-03-29,4.3394,4.3811,4.32372,4.36467,157280.32169836
2005-03-30,4.36467,4.36467,4.32372,4.36039,103674.45233031
2005-03-31,4.3111,4.3394,4.29038,4.29038,67338.137064674
2005-04-01,4.35202,4.35202,4.28247,4.3394,183029.48162378
2005-04-04,4.3883,4.3883,4.23687,4.27386,486268.02933582
2005-04-05,4.31945,4.32372,4.28247,4.29892,140263.98233647
2005-04-06,4.27386,4.30683,4.2166,4.25703,182306.89321788
2005-04-07,4.24866,4.26977,4.15074,4.24096,232431.05990368
2005-04-08,4.24096,4.39666,4.17566,4.20054,275161.04736763
2005-04-11,4.53636,4.53636,4.17566,4.2166,111068.63155216
2005-04-12,4.24866,4.29038,4.18823,4.19257,214281.43017872
2005-04-13,4.29038,4.29038,4.18403,4.18823,136041.16334048
2005-04-14,4.20857,4.24866,4.10054,4.10054,127924.39571274
2005-04-15,4.13383,4.17566,4.01486,4.02754,161061.55889072
2005-04-18,3.98992,4.10054,3.98577,4.07775,109098.49735148
2005-04-19,4.28622,4.5043,4.24096,4.26977,431842.30004572
2005-04-20,4.29038,4.36886,4.16304,4.3111,353387.41827497
2005-04-21,4.29038,4.3883,4.2166,4.27386,417209.88482635
2005-04-22,4.32755,4.41355,4.20054,4.33091,505053.78389675
2005-04-25,4.3883,4.3883,4.29892,4.34774,141110.09012799
2005-04-26,4.3394,4.39666,4.26556,4.36467,154088.88957232
2005-04-27,4.37315,4.39257,4.03175,4.17566,174725.89092528
2005-04-28,4.14658,4.24866,4.10903,4.1216,49257.986994113
2005-04-29,4.15876,4.15876,3.98577,4.02333,155747.13732432
2005-05-02,4.0736,4.13804,4.04445,4.13383,321607.42434649
2005-05-03,4.17133,4.17133,3.94115,4.00242,774523.67557179
2005-05-04,4.02754,4.05287,3.91678,3.962,255271.33829769
2005-05-05,3.99425,4.01071,3.94115,3.94115,161404.32518584
2005-05-06,3.95332,3.99425,3.91279,3.96977,318777.2864234
2005-05-09,3.93343,3.9822,3.93343,3.962,386186.44713481
2005-05-10,3.962,3.9738,3.94115,3.96556,115544.66528867
2005-05-11,3.95332,3.96977,3.90441,3.96977,427227.30700037
2005-05-12,3.96977,4.0486,3.95332,3.96977,480959.78373867
2005-05-13,3.96977,3.96977,3.79366,3.87975,209901.12396605
2005-05-16,3.77709,3.84692,3.64173,3.64989,417200.62087242
2005-05-17,3.67865,3.68272,3.51452,3.64989,1156082.7777227
2005-05-18,3.68272,3.97806,3.67043,3.86329,734324.2915208
2005-05-19,3.89218,3.97806,3.89218,3.962,292194.37064502
2005-05-20,3.98992,3.98992,3.95332,3.95747,155409.00300616
2005-05-23,3.89218,3.98577,3.89218,3.91279,343431.75579375
2005-05-24,3.99829,4.01071,3.90858,3.962,402549.67774521
2005-05-25,3.95332,3.95332,3.80598,3.8758,86843.392046859
2005-05-26,3.86329,4.01913,3.81401,3.91279,284755.41564588
2005-05-27,3.92949,3.93733,3.83467,3.88389,435827.34422437
2005-05-31,3.92522,3.97806,3.90441,3.94115,168775.34452289
2005-06-01,3.90441,3.94917,3.90441,3.93733,573841.72975015
2005-06-02,3.93733,3.96977,3.91279,3.92522,282397.7393728
2005-06-03,3.81401,3.96556,3.81401,3.83467,329185.33865447
2005-06-06,3.80183,3.85105,3.7813,3.80598,237672.91383104
2005-06-07,3.77709,3.93733,3.77709,3.78966,564931.35006979
2005-06-08,3.78966,3.82644,3.71564,3.72386,429371.91233325
2005-06-09,3.85105,3.8758,3.64173,3.69509,198886.28275313
2005-06-10,3.69509,3.74017,3.68272,3.69923,315161.2564093
2005-06-13,3.75261,3.83467,3.67463,3.74853,323151.41666678
2005-06-14,3.82242,3.82242,3.69923,3.74017,197581.60924247
2005-06-15,3.74017,3.82644,3.73616,3.76486,228080.08954511
2005-06-16,3.81012,3.8758,3.76486,3.85105,335088.02129492
2005-06-17,3.85105,3.9208,3.74017,3.88389,159401.76714643
2005-06-20,3.79769,3.89632,3.79769,3.85935,338995.86585757
2005-06-21,3.86329,3.90858,3.80598,3.89632,188353.16714413
2005-06-22,3.91279,3.91279,3.80598,3.81829,221624.65765397
2005-06-23,3.7813,3.79366,3.69095,3.75662,580571.9922743
2005-06-24,3.67043,3.7813,3.54309,3.77314,5899816.9907107
2005-06-27,3.69923,3.76892,3.60481,3.63772,704515.97578535
2005-06-28,3.62935,3.73616,3.60889,3.69923,423304.02251452
2005-06-29,3.72386,3.83046,3.69923,3.77709,119484.93369005
2005-06-30,3.78545,3.78966,3.62528,3.66633,173345.56179093
2005-07-01,3.62528,3.7074,3.62528,3.68687,383919.86640865
2005-07-05,3.69095,3.74017,3.65404,3.73616,776399.62624093
2005-07-06,3.76083,3.84692,3.71971,3.84692,435223.64322715
2005-07-07,3.80598,3.89218,3.78545,3.85526,340201.72385972
2005-07-08,3.84295,3.87975,3.82242,3.87975,743379.80647928
2005-07-11,3.90022,3.962,3.86329,3.95747,1411720.0422003
2005-07-12,3.92949,4.06931,3.92949,3.962,333343.309973
2005-07-13,3.94917,3.99425,3.93733,3.9822,96328.136870382
2005-07-14,4.02754,4.06122,3.92949,3.92949,631122.30084049
2005-07-15,3.90022,4.02754,3.85526,3.98992,294516.53509473
2005-07-18,4.03598,4.13015,3.99829,4.02754,141298.45719106
2005-07-19,3.98992,4.0929,3.89632,4.08203,301472.22049763
2005-07-20,4.06931,4.3111,4.05287,4.20857,1688928.4233846
2005-07-21,4.22496,4.37729,4.17566,4.26556,1021100.7931139
2005-07-22,4.2335,4.3811,4.1216,4.36467,863273.89813421
2005-07-25,4.3811,4.51693,4.32372,4.45793,748457.99722069
2005-07-26,4.44652,4.47055,4.28247,4.30683,707020.33132886
2005-07-27,4.30683,4.35623,4.25288,4.25703,707481.9850326
2005-07-28,4.26556,4.33513,4.20054,4.33513,505087.75172779
2005-07-29,4.3811,4.3811,4.24866,4.35202,647221.50876414
2005-08-01,4.3811,4.48746,4.27386,4.37315,1162320.5066967
2005-08-02,4.39666,4.39666,4.32372,4.33091,1163021.4792101
2005-08-03,4.30683,4.35623,4.27386,4.34354,1002078.807728
2005-08-04,4.35202,4.35623,4.26123,4.26977,522675.36824818
2005-08-05,4.32755,4.42626,4.17566,4.29038,248676.94709774
2005-08-08,4.36039,4.36039,4.13804,4.19257,364985.88858496
2005-08-09,4.17133,4.33513,4.15488,4.25703,184689.27336809
2005-08-10,4.3111,4.3394,4.08203,4.25703,711956.4747768
2005-08-11,4.28247,4.39666,4.20482,4.36467,406916.08802699
2005-08-12,4.37729,4.3811,4.26556,4.31945,181239.99452455
2005-08-15,4.27386,4.41355,4.27386,4.36039,333559.46889782
2005-08-16,4.35202,4.44652,4.3111,4.34774,326727.30288057
2005-08-17,4.32755,4.44652,4.29465,4.41355,193133.36736773
2005-08-18,4.46214,4.52929,4.3394,4.46214,542972.69129067
2005-08-19,4.50857,4.50857,4.39666,4.40514,237427.41905213
2005-08-22,4.39257,4.53636,4.39257,4.5043,611218.69583967
2005-08-23,4.51285,4.52929,4.42204,4.42626,282618.5302746
2005-08-24,4.42626,4.46214,4.385,4.40099,189313.53036734
2005-08-25,4.42204,4.45793,4.385,4.4385,628400.24237983
2005-08-26,4.43047,4.4385,4.13015,4.26977,502404.29307513
2005-08-29,4.22923,4.47055,4.13804,4.40514,345611.87294999
2005-08-30,4.40514,4.42626,4.11323,4.22496,376121.16119887
2005-08-31,4.26123,4.37729,4.16719,4.37729,307725.38939478
2005-09-01,4.39666,4.45371,4.33513,4.43435,317278.06988041
2005-09-02,4.46214,4.47903,4.41355,4.47055,300683.24042197
2005-09-06,4.47482,4.51285,4.46214,4.48746,337638.69660803
2005-09-07,4.46628,4.51285,4.44652,4.5043,295767.16887418
2005-09-08,4.47055,4.52929,4.45371,4.51693,192219.32391413
2005-09-09,4.52929,4.60177,4.47482,4.54056,514728.43977567
2005-09-12,4.56169,4.58157,4.4499,4.54484,323432.42326907
2005-09-13,4.56169,4.57768,4.47482,4.5043,181857.59145268
2005-09-14,4.54484,4.54484,4.385,4.41355,241619.3582017
2005-09-15,4.44652,4.45371,4.29892,4.34354,222728.61216298
2005-09-16,4.37315,4.40514,4.29465,4.40514,451932.72811729
2005-09-19,4.42626,4.42626,4.27813,4.27813,201582.09334434
2005-09-20,4.32372,4.32372,3.9822,4.10903,545768.86138271
2005-09-21,4.11743,4.11743,3.9453,3.99829,473398.85334622
2005-09-22,4.01913,4.01913,3.91678,3.97806,161524.75658682
2005-09-23,3.94917,4.15488,3.8716,4.14231,277262.42091553
2005-09-26,4.14231,4.16304,3.962,4.08577,383919.86640865
2005-09-27,4.05287,4.17133,3.99425,4.13804,465780.79523792
2005-09-28,4.15876,4.15876,4.01071,4.01913,224708.0103176
2005-09-29,4.05709,4.12586,4.00242,4.12586,183511.20722771
2005-09-30,4.15876,4.20857,4.02754,4.18403,216818.20956093
2005-10-03,4.21232,4.21232,4.12586,4.13383,187862.17758627
2005-10-04,4.17566,4.17566,4.0896,4.11743,348415.76300364
2005-10-05,4.13804,4.13804,4.00242,4.01071,310155.63330692
2005-10-06,4.0486,4.08203,4.00242,4.04445,216812.03359166
2005-10-07,4.09724,4.09724,3.99425,3.99425,166067.18199311
2005-10-10,4.01486,4.01913,3.90441,3.91279,216589.69869755
