date,open,high,low,close,volume
2005-02-25,38.3522,38.996,38.3522,38.8144,72513.162779245
2005-02-28,39.0647,39.0647,38.3316,38.7801,91430.570300985
2005-03-01,38.9793,39.1757,38.8714,39.1757,109447.29444634
2005-03-02,39.0254,39.1472,38.8262,38.945,212584.71089505
2005-03-03,39.0991,39.1973,38.84,39.1344,39637.200668835
2005-03-04,38.6613,39.9461,38.6613,39.8971,46837.573316874
2005-03-07,39.7302,40.4359,39.7302,40.1915,82872.040480194
2005-03-08,40.2199,40.2199,39.7508,39.85,63954.632958455
2005-03-09,39.6654,39.6654,38.731,38.731,142772.57937235
2005-03-10,39.0324,39.159,38.6319,39.0589,72060.78334586
2005-03-11,39.0324,39.0324,38.6054,38.6054,38734.479547261
2005-03-14,38.4866,39.0991,38.4719,39.053,59452.23494916
2005-03-15,39.4937,39.7194,38.9312,39.0991,68911.448146329
2005-03-16,39.1394,39.1394,38.5917,38.6613,86026.470042715
2005-03-17,38.682,39.1649,38.6761,38.9529,97285.012247445
2005-03-18,38.7998,38.9214,38.1078,38.7585,102237.75194492
2005-03-21,38.4258,38.5465,38.1529,38.2658,48644.034432619
2005-03-22,38.7232,38.7232,37.6387,37.7947,190515.93042859
2005-03-23,37.6259,37.8604,37.2068,37.567,92783.633110748
2005-03-24,37.5935,38.1461,37.5866,37.7741,75668.611214362
2005-03-28,37.7397,37.7397,37.3737,37.4326,146833.80554683
2005-03-29,37.2137,37.7064,37.1165,37.3855,65755.999711212
2005-03-30,37.5268,37.9263,37.5268,37.9056,55848.482571049
2005-03-31,37.9311,38.3463,37.8085,37.9537,506695.53156873
2005-04-01,38.5603,38.5603,37.5346,37.9606,119803.1155295
2005-04-04,38.5917,38.5917,37.3943,37.7064,288250.26549162
2005-04-05,37.6063,37.9311,37.514,37.5866,64408.031264437
2005-04-06,37.7662,38.0333,37.7662,37.8988,47743.351056241
2005-04-07,37.9213,38.3316,37.9213,38.3316,88276.140738465
2005-04-08,38.306,38.3188,37.9311,37.9311,66658.720832785
2005-04-11,37.995,38.1078,37.9145,38.1019,30174.930853873
2005-04-12,37.9606,38.6467,37.9056,38.6319,49095.394993406
2005-04-13,38.6869,38.8262,38.5407,38.7448,52247.78681073
2005-04-14,38.5407,38.731,38.2737,38.4209,110346.95895013
2005-04-15,38.3316,38.624,38.1529,38.3738,64855.316334833
2005-04-18,38.306,38.5407,38.1529,38.4866,126560.27859754
2005-04-19,38.5407,38.6535,38.4258,38.6319,89626.146930435
2005-04-20,38.6869,38.6869,38.467,38.5603,36480.733361119
2005-04-21,38.5062,38.6683,38.3738,38.5917,118004.80539453
2005-04-22,38.5848,38.9126,38.5848,38.9126,187812.86142685
2005-04-25,38.8577,39.4073,38.8577,39.4073,54046.096945694
2005-04-26,39.4191,39.4721,39.2601,39.3612,41887.890237183
2005-04-27,39.2542,39.7576,39.1472,39.6115,77923.376273102
2005-04-28,39.6654,39.6791,39.4348,39.4504,26120.836787572
2005-04-29,39.7253,40.2367,39.4721,40.1512,305369.3628784
2005-05-02,40.2572,40.2572,39.6654,39.9333,46837.573316874
2005-05-03,39.9137,40.1189,39.8706,39.8833,57651.887069001
2005-05-04,39.9775,40.3996,39.9775,40.3309,34681.404353558
2005-05-05,40.3838,40.7058,40.3564,40.5644,218440.17171411
2005-05-06,40.6233,40.6763,40.0129,40.2367,95935.006055475
2005-05-09,40.2916,41.0052,40.2199,41.0052,44590.959238916
2005-05-10,40.7313,40.9914,40.6135,40.8922,70709.758281293
2005-05-11,40.9914,41.0641,40.5183,41.0375,286003.65141367
