date,open,high,low,close,volume
2024-06-27,24.77,24.77,24.7,24.74,39672
2024-06-28,24.73,24.73,24.64,24.7,39753
2024-07-01,24.7,24.73,24.67,24.68,44804
2024-07-02,24.61,24.68,24.6,24.68,39017
2024-07-03,24.71,24.75,24.65,24.75,55247
2024-07-05,24.789,24.79,24.755,24.7799,18953
2024-07-08,24.76,24.79,24.71,24.73,36314
2024-07-09,24.686,24.7698,24.66,24.72,33833
2024-07-10,24.72,24.75,24.685,24.7,37259
2024-07-11,24.715,24.8,24.7,24.73,37202
2024-07-12,24.74,24.74,24.68,24.73,46071
2024-07-15,24.79,24.79,24.69,24.7,35539
2024-07-16,24.72,24.72,24.6804,24.72,54411
2024-07-17,24.6999,24.75,24.65,24.75,48584
2024-07-18,24.74,24.7699,24.69,24.72,38680
2024-07-19,24.72,24.7899,24.68,24.6999,50117
2024-07-22,24.75,24.75,24.58,24.64,65647
2024-07-23,24.67,24.67,24.61,24.6201,24855
2024-07-24,24.699,24.699,24.58,24.61,30904
2024-07-25,24.729,24.729,24.58,24.6,27053
2024-07-26,24.6,24.65,24.6,24.62,14926
2024-07-29,24.66,24.68,24.55,24.57,21226
2024-07-30,24.6799,24.6799,24.58,24.65,27745
2024-07-31,24.68,24.68,24.6,24.639,20850
2024-08-01,24.6799,24.68,24.62,24.651,26987
2024-08-02,24.71,24.75,24.55,24.7112,21610
2024-08-05,24.55,24.65,24.2654,24.6,23139
2024-08-06,24.4,24.7499,24.4,24.7098,23474
2024-08-07,24.7,24.75,24.6,24.69,17283
2024-08-08,24.75,24.75,24.65,24.7399,5831
2024-08-09,24.73,24.73,24.641,24.69,5213
2024-08-12,24.75,24.9,24.747,24.9,30873
2024-08-13,24.9,24.9,24.76,24.78,16012
2024-08-14,24.825,24.95,24.8,24.88,31760
2024-08-15,24.5,24.65,24.45,24.54,36658
2024-08-16,24.55,24.825,24.5303,24.58,18317
2024-08-19,24.8,24.8,24.62,24.75,10846
2024-08-20,24.81,24.82,24.72,24.73,23839
2024-08-21,24.81,24.85,24.51,24.65,25639
2024-08-22,24.65,24.7499,24.6,24.73,9969
2024-08-23,24.73,24.75,24.7,24.72,28791
2024-08-26,24.9,24.9,24.7,24.72,31724
2024-08-27,24.78,24.815,24.755,24.7999,17280
2024-08-28,24.8,25.0,24.7999,24.9499,21175
2024-08-29,24.99,24.99,24.935,24.99,11271
2024-08-30,24.99,25.04,24.99,25.0,8116
2024-09-03,25.0499,25.0499,24.89,24.92,25838
2024-09-04,25.02,25.02,24.9,24.91,20282
2024-09-05,25.0,25.05,24.9899,24.9899,10612
2024-09-06,25.0399,25.05,25.0,25.0,9086
2024-09-09,25.05,25.05,25.0,25.02,5810
2024-09-10,25.048,25.12,25.01,25.0299,11373
2024-09-11,25.01,25.1,24.99,25.05,14153
2024-09-12,25.1196,25.12,24.92,24.92,25476
2024-09-13,24.97,25.11,24.9,25.11,36600
2024-09-16,25.1,25.15,25.02,25.02,22755
2024-09-17,25.12,25.19,25.0,25.0,31382
2024-09-18,25.06,25.275,24.94,25.0,31000
2024-09-19,25.0,25.2,25.0,25.15,32131
2024-09-20,25.19,25.19,25.01,25.03,30543
2024-09-23,25.09,25.4999,25.01,25.01,28769
2024-09-24,25.07,25.11,25.02,25.03,20030
2024-09-25,25.06,25.1,25.01,25.1,24187
2024-09-26,25.07,25.625,25.04,25.08,27628
2024-09-27,25.2099,25.35,25.2,25.3399,12737
2024-09-30,25.505,25.53,25.2,25.25,26501
2024-10-01,25.43,25.47,25.23,25.32,3340
2024-10-02,25.4,25.4699,25.34,25.34,5098
2024-10-03,25.4,25.4,25.275,25.345,8684
2024-10-04,25.4,25.99,25.4,25.45,9508
2024-10-07,25.32,25.4,25.2,25.35,3507
2024-10-08,25.35,25.4,25.25,25.39,10212
2024-10-09,25.26,25.35,25.18,25.22,23098
2024-10-10,25.3,25.35,25.29,25.35,8233
2024-10-11,25.25,25.6,25.246,25.6,8525
2024-10-14,26.0,26.0,25.55,25.765,20364
2024-10-15,25.97,25.97,25.54,25.75,12288
2024-10-16,25.85,25.95,25.5501,25.7999,10165
2024-10-17,25.86,25.8999,25.715,25.8,2631
2024-10-18,25.88,25.88,25.7,25.701,1650
2024-10-21,25.66,25.7,25.25,25.49,14081
2024-10-22,25.7499,25.85,25.67,25.795,6274
2024-10-23,25.7999,25.7999,25.5,25.6286,7127
2024-10-24,25.7,25.7,25.3,25.5,25770
2024-10-25,25.5,25.6999,25.5,25.6,1440
2024-10-28,25.59,25.5999,25.59,25.5999,1048
2024-10-29,25.56,25.56,25.34,25.39,14951
2024-10-30,25.5,25.6,25.31,25.4,8418
2024-10-31,25.44,25.44,25.31,25.32,10201
2024-11-01,25.32,25.55,25.32,25.35,4621
2024-11-04,25.416,25.5,25.37,25.416,4570
2024-11-05,25.58,25.5999,25.5,25.5501,7513
2024-11-06,25.5,25.5,25.39,25.49,10796
2024-11-07,25.49,25.58,25.3712,25.55,7790
2024-11-08,25.5695,25.5695,25.43,25.53,3117
