date,open,high,low,close,volume
2022-10-19,18.3177,18.3177,18.2674,18.3073,307.292
2022-10-20,18.4398,18.4608,18.1492,18.1492,1326.5
2022-10-21,18.4874,18.4874,18.4874,18.4874,144.608
2022-10-24,18.5145,18.5145,18.4605,18.5108,459.325
2022-10-25,18.8288,18.8531,18.82,18.8531,405.368
2022-10-26,18.9285,18.9285,18.9285,18.9285,113.447
2022-10-27,18.959,18.959,18.9461,18.9461,287.769
2022-10-28,19.2156,19.2156,19.2156,19.2156,200.608
2022-10-31,19.2275,19.2275,19.2275,19.2275,558.937
2022-11-01,19.284,19.284,19.2781,19.2781,1456.83
2022-11-02,19.1109,19.1109,18.8687,18.8687,174.322
2022-11-03,18.8074,18.8232,18.8073,18.8232,330.658
2022-11-04,18.9737,18.9737,18.9574,18.9574,211.676
2022-11-07,18.9951,19.0399,18.9951,19.0371,2184.56
2022-11-08,19.0312,19.0424,19.0312,19.0424,178.472
2022-11-09,18.7198,18.7198,18.7198,18.7198,146.651
2022-11-10,19.2873,19.4202,19.2873,19.4202,979.524
2022-11-11,19.5229,19.5229,19.4871,19.4871,318.207
2022-11-14,19.4651,19.4652,19.3745,19.3745,807.969
2022-11-15,19.5823,19.6239,19.5527,19.5527,18925.0
2022-11-16,19.3138,19.3138,19.3138,19.3138,201.992
2022-11-17,19.1252,19.2344,19.1252,19.2344,193.691
2022-11-18,19.1757,19.1767,19.1757,19.1767,480.077
2022-11-21,19.1246,19.1246,19.1031,19.1031,418.467
2022-11-22,19.3048,19.3048,19.3048,19.3048,176.196
2022-11-23,19.3303,19.3564,19.2983,19.3564,3368.38
2022-11-25,19.4184,19.4184,19.4184,19.4184,16.5184
2022-11-28,19.215,19.215,19.105,19.105,624.947
2022-11-29,19.3385,19.3385,19.1489,19.1489,158.301
2022-11-30,19.5262,19.5262,19.5262,19.5262,53.6849
2022-12-01,19.767,19.767,19.5191,19.5191,3643.69
2022-12-02,19.4183,19.6129,19.4183,19.6129,609.805
2022-12-05,19.4829,19.4836,19.2217,19.2217,4455.85
2022-12-06,19.1784,19.1784,18.9928,18.9928,1413.7
2022-12-07,19.0188,19.0188,18.9445,18.9445,2927.89
2022-12-08,19.1533,19.1533,19.0454,19.0454,1907.88
2022-12-09,18.9151,18.9151,18.9151,18.9151,37.1665
2022-12-12,19.0679,19.0679,19.0679,19.0679,48.1788
2022-12-13,19.1687,19.2175,19.1601,19.2175,649.725
2022-12-14,19.2366,19.3385,19.1277,19.1623,1953.3
2022-12-15,18.7572,18.7572,18.6701,18.6729,2766.83
2022-12-16,18.4448,18.5889,18.4448,18.5889,209.233
2022-12-19,18.4448,18.4448,18.3668,18.3668,222.999
2022-12-20,18.4376,18.4626,18.4113,18.4626,492.8
2022-12-21,18.4885,18.6846,18.4885,18.6567,499.682
2022-12-22,18.3941,18.4743,18.3941,18.4743,159.678
2022-12-23,18.4811,18.5467,18.4687,18.5467,890.619
2022-12-27,18.5249,18.5249,18.4779,18.4779,556.121
2022-12-28,18.3103,18.3103,18.2694,18.2694,417.09
2022-12-29,18.5089,18.6603,18.5068,18.6357,982.777
2022-12-30,18.5405,18.6288,18.5329,18.6288,2383.7
2023-01-03,18.7434,18.7434,18.5176,18.5541,2313.12
2023-01-04,18.7205,18.7205,18.6905,18.7141,423.473
2023-01-05,18.6382,18.6382,18.5946,18.5946,545.987
2023-01-06,18.9309,18.9309,18.8558,18.8788,494.051
2023-01-09,19.0471,19.0471,18.9161,18.9161,1355.64
2023-01-10,18.9009,19.1073,18.9009,19.1073,1627.3
2023-01-11,19.1963,19.2248,19.1963,19.2248,787.02
2023-01-12,19.0738,19.4137,19.0738,19.4137,1508.78
2023-01-13,19.3702,19.484,19.3702,19.484,669.833
2023-01-17,19.4792,19.4939,19.4717,19.4717,7280.27
2023-01-18,19.5543,19.5543,19.3364,19.3516,3080.16
2023-01-19,19.2454,19.2454,19.2454,19.2454,420.809
2023-01-20,19.2087,19.4869,19.1678,19.4774,4426.49
2023-01-23,19.4338,19.6302,19.4338,19.6103,1905.36
2023-01-24,19.5924,19.6151,19.5773,19.5825,3044.86
2023-01-25,19.6112,19.6112,19.6112,19.6112,593.603
2023-01-26,19.7772,19.7772,19.6151,19.6986,282.226
2023-01-27,19.7737,19.7737,19.7737,19.7737,41.0752
2023-01-30,19.7131,19.736,19.6112,19.6112,8093.14
2023-01-31,19.8969,19.8969,19.8969,19.8969,145.75
2023-02-01,19.8791,20.0804,19.8791,20.0804,303.426
2023-02-02,20.098,20.332,20.0299,20.3131,1087.83
2023-02-03,19.8491,20.2792,19.8491,20.2428,2728.18
2023-02-06,20.1092,20.1092,20.083,20.083,166.95
2023-02-07,19.8114,20.1981,19.8114,20.1981,5937.35
2023-02-08,20.0301,20.0733,20.0088,20.0088,783.079
2023-02-09,19.85,19.85,19.85,19.85,7.95004
2023-02-10,20.0076,20.0076,19.8339,19.8771,826.804
2023-02-13,20.0087,20.0087,20.0087,20.0087,113.95
2023-02-14,20.0076,20.0393,20.0076,20.0393,25.1751
2023-02-15,20.1327,20.1327,20.1327,20.1327,310.051
2023-02-16,20.1012,20.1012,20.0513,20.0513,336.551
2023-02-17,19.9591,20.0751,19.9394,20.0751,703.578
2023-02-21,19.9486,19.9486,19.5944,19.5944,1406.71
2023-02-22,19.6415,19.6415,19.6415,19.6415,18.4573
2023-02-23,19.6151,19.7701,19.6112,19.7701,483.845
2023-02-24,19.6455,19.6608,19.5773,19.6195,603.817
2023-02-27,19.7213,19.7213,19.6958,19.6958,620.956
2023-02-28,19.7413,19.7413,19.7413,19.7413,15.8205
2023-03-01,19.8185,19.8185,19.6608,19.7301,2395.49
2023-03-02,19.8654,19.8654,19.4784,19.7735,2109.4
2023-03-03,19.9867,20.0401,19.9867,20.004,681.602
2023-03-06,19.778,19.778,19.778,19.778,58.0086
2023-03-07,19.7819,19.7819,19.5919,19.5919,473.298
2023-03-08,19.5694,19.5941,19.5694,19.5941,354.644
2023-03-09,19.4502,19.4502,19.0829,19.0829,3912.95
2023-03-10,18.659,18.659,18.4879,18.4879,904.408
2023-03-13,18.659,18.659,18.2403,18.2403,133.156
2023-03-14,18.7429,18.7429,18.4771,18.5563,2052.71
2023-03-15,18.1588,18.28,18.0297,18.1992,1553.05
2023-03-16,18.4172,18.5032,18.371,18.5032,603.817
2023-03-17,18.0564,18.1207,18.0353,18.0353,938.686
2023-03-20,18.2267,18.2877,18.1912,18.1912,502.421
2023-03-21,18.5164,18.5164,18.4748,18.4748,612.613
2023-03-22,18.4328,18.4328,18.1497,18.1497,310.898
2023-03-23,18.3411,18.3411,17.975,18.0473,1348.53
2023-03-24,17.9141,18.151,17.9141,18.151,880.222
2023-03-27,18.3029,18.3408,18.3029,18.3408,181.029
2023-03-28,18.3791,18.3791,18.3044,18.3451,4828.75
2023-03-29,18.4247,18.4861,18.4247,18.4861,696.569
2023-03-30,18.5851,18.6097,18.4859,18.4859,1606.96
2023-03-31,18.2192,18.7184,18.2192,18.7184,527.346
2023-04-03,18.7833,18.7833,18.6994,18.7299,1467.91
2023-04-04,18.6307,18.6307,18.5019,18.5019,484.056
2023-04-05,18.387,18.4175,18.3715,18.4175,4569.02
2023-04-06,18.4097,18.4245,18.4097,18.4245,153.481
