date,open,high,low,close,volume
2024-04-05,24.77,24.97,24.73,24.9101,11217
2024-04-08,25.0397,25.06,25.0113,25.0373,7057
2024-04-09,25.45,25.45,24.89,25.15,221933
2024-04-10,24.84,25.0,24.7,24.82,52377
2024-04-11,24.9,24.9,24.6289,24.8506,26805
2024-04-12,24.8,24.8,24.4157,24.45,19613
2024-04-15,24.74,24.74,24.08,24.16,28307
2024-04-16,23.94,24.12,23.87,24.03,15865
2024-04-17,24.15,24.22,23.95,24.0394,11273
2024-04-18,24.08,24.1199,23.84,23.8645,14080
2024-04-19,23.76,23.96,23.76,23.835,11304
2024-04-22,23.85,24.09,23.85,24.0627,9675
2024-04-23,24.1801,24.35,24.17,24.31,14027
2024-04-24,24.44,24.44,24.2,24.3314,5740
2024-04-25,24.08,24.4127,24.07,24.4061,8630
2024-04-26,24.6998,24.72,24.58,24.6543,11992
2024-04-29,24.74,24.77,24.69,24.7501,8370
2024-04-30,24.7,24.7,24.3147,24.3147,26323
2024-05-01,24.28,24.49,24.12,24.1744,25899
2024-05-02,24.3401,24.4,24.17,24.3633,22955
2024-05-03,24.56,24.64,24.45,24.5851,9026
2024-05-06,24.64,24.85,24.64,24.8392,7859
2024-05-07,24.95,24.95,24.78,24.7907,19285
2024-05-08,24.7,24.7,24.63,24.6563,12804
2024-05-09,24.6801,24.881,24.6801,24.881,11424
2024-05-10,24.9803,24.9803,24.84,24.8691,22039
2024-05-13,24.98,25.13,24.9667,24.9667,12419
2024-05-14,25.05,25.1193,25.01,25.1193,16417
2024-05-15,25.1905,25.4049,25.1905,25.4049,15639
2024-05-16,25.45,25.5099,25.42,25.4369,15276
2024-05-17,25.62,25.6695,25.62,25.6695,10506
2024-05-20,25.73,25.82,25.73,25.8051,14590
2024-05-21,25.64,25.65,25.5685,25.5764,11385
2024-05-22,25.45,25.45,25.22,25.2998,12608
2024-05-23,25.235,25.28,25.0,25.0748,2019
2024-05-24,25.215,25.255,25.215,25.2189,6126
2024-05-28,25.39,25.39,25.145,25.2214,1650
2024-05-29,24.9,24.99,24.9,24.9388,5409
2024-05-30,24.8001,25.08,24.8001,25.0306,3968
2024-05-31,24.9951,25.1592,24.9,25.1592,1525
2024-06-03,25.06,25.0969,24.9301,25.0969,2009
2024-06-04,24.92,24.9699,24.9,24.934,1462
2024-06-05,25.0,25.2479,25.0,25.2448,2499
2024-06-06,25.2446,25.35,25.2446,25.33,2972
2024-06-07,25.16,25.16,25.0989,25.0989,1510
2024-06-10,25.25,25.26,25.2272,25.2272,2247
2024-06-11,25.0818,25.0818,25.0818,25.0818,170
2024-06-12,25.58,25.5801,25.4669,25.4669,1850
2024-06-13,25.2425,25.2425,25.2425,25.2425,164
2024-06-14,24.95,25.06,24.95,25.0571,12763
2024-06-17,24.95,25.17,24.9392,25.1592,2932
2024-06-18,25.269,25.3207,25.269,25.2887,2052
2024-06-20,25.251,25.275,25.15,25.2138,3251
2024-06-21,25.0042,25.0596,25.0042,25.0596,2231
2024-06-24,25.1,25.26,25.1,25.1992,2905
2024-06-25,25.04,25.065,24.9742,24.9967,3113
2024-06-26,24.9699,24.975,24.915,24.94,2396
2024-06-27,24.9602,24.9602,24.9602,24.9602,113
2024-06-28,25.13,25.14,24.8,24.8863,1831
2024-07-01,25.055,25.055,24.81,24.8625,3323
2024-07-02,24.89,25.0068,24.89,25.0068,1488
2024-07-03,25.22,25.2952,25.22,25.2952,629
2024-07-05,25.15,25.2553,25.15,25.2543,3161
2024-07-08,25.27,25.355,25.24,25.3263,1164
2024-07-09,25.3003,25.345,25.3,25.3236,1164
2024-07-10,25.45,25.6151,25.45,25.6151,6210
2024-07-11,25.8,25.83,25.69,25.765,3957
2024-07-12,25.951,25.951,25.92,25.92,857
2024-07-15,26.0746,26.0746,25.8808,25.8808,3005
2024-07-16,26.05,26.1648,26.05,26.1648,1958
2024-07-17,25.77,25.785,25.6018,25.6018,7128
2024-07-18,25.54,25.54,25.25,25.365,1254
2024-07-19,25.48,25.48,25.26,25.26,4172
2024-07-22,25.52,25.7,25.52,25.7,593
2024-07-23,25.6268,25.6268,25.6268,25.6268,158
2024-07-24,25.3175,25.3175,25.022,25.022,1461
2024-07-25,25.18,25.18,24.88,24.88,1209
2024-07-26,25.15,25.15,25.0882,25.0882,260
2024-07-29,24.9801,25.0453,24.9801,25.0453,785
2024-07-30,25.09,25.09,24.9877,24.9877,100
2024-07-31,25.3676,25.39,25.3501,25.3518,2174
2024-08-01,25.4237,25.4237,24.8262,24.8262,112
2024-08-02,24.08,24.09,23.82,23.8223,2045
2024-08-05,23.02,23.27,23.02,23.2311,2220
2024-08-06,23.28,23.7,23.1901,23.5825,3483
2024-08-07,23.58,23.58,23.4028,23.4028,2751
2024-08-08,23.92,24.0702,23.92,24.0702,632
2024-08-09,24.23,24.2486,24.23,24.2486,429
2024-08-12,24.365,24.365,24.1992,24.1992,680
2024-08-13,24.455,24.5006,24.455,24.5006,358
2024-08-14,24.49,24.58,24.49,24.5739,3272
2024-08-15,24.95,25.0031,24.95,25.0031,266
2024-08-16,25.06,25.12,25.06,25.1104,4641
2024-08-19,25.3232,25.3698,25.3232,25.3698,622
2024-08-20,25.3704,25.3704,25.22,25.2474,19488
2024-08-21,25.31,25.4,25.27,25.39,2631
2024-08-22,25.22,25.2425,25.2088,25.2088,3263
2024-08-23,25.62,25.6392,25.5098,25.6392,1207
2024-08-26,25.5148,25.5148,25.5148,25.5148,72
2024-08-27,25.5366,25.5366,25.465,25.4951,50990
2024-08-28,25.3119,25.3612,25.3119,25.3612,206
2024-08-29,25.475,25.4776,25.475,25.4776,183
2024-08-30,25.595,25.763,25.595,25.763,404
2024-09-03,25.0174,25.0174,25.0174,25.0174,67
2024-09-04,25.01,25.1299,25.0,25.0392,9865
2024-09-05,24.93,24.93,24.9198,24.9198,527
2024-09-06,24.97,24.97,24.6318,24.6318,1048
2024-09-09,24.91,24.95,24.91,24.9491,709
2024-09-10,24.9832,25.002,24.96,25.002,4410
2024-09-11,25.085,25.13,25.085,25.1245,7115
2024-09-12,25.22,25.4004,25.22,25.4004,4558
2024-09-13,25.53,25.7101,25.53,25.71,14512
2024-09-16,25.8625,25.8954,25.7999,25.8954,1356
2024-09-17,25.95,26.02,25.95,25.9558,2225
2024-09-18,26.22,26.22,26.0109,26.0109,284
2024-09-19,26.39,26.48,26.32,26.43,5650
2024-09-20,26.39,26.4329,26.39,26.4329,239
2024-09-23,26.495,26.51,26.47,26.51,1342
2024-09-24,26.51,26.61,26.51,26.5895,1731
2024-09-25,26.4,26.4,26.3799,26.3799,601
2024-09-26,26.642,26.642,26.5899,26.6057,1114
2024-09-27,26.765,26.765,26.605,26.6571,1087
2024-09-30,26.555,26.73,26.555,26.7289,1802
2024-10-01,26.53,26.6096,26.53,26.6096,200
2024-10-02,26.6501,26.6981,26.63,26.6981,452
2024-10-03,26.6819,26.6819,26.6819,26.6819,88
2024-10-04,26.9121,26.9121,26.9121,26.9121,29
2024-10-07,26.89,26.9,26.7877,26.7877,52113
2024-10-08,26.77,26.9299,26.77,26.8995,3088
2024-10-09,26.9599,27.1148,26.93,27.1148,846
2024-10-10,27.04,27.05,26.9899,27.0474,4095
2024-10-11,27.35,27.37,27.3499,27.37,4031
2024-10-14,27.36,27.47,27.3362,27.4531,733
2024-10-15,27.415,27.42,27.2502,27.2502,2302
2024-10-16,27.48,27.58,27.48,27.57,4810
2024-10-17,27.64,27.64,27.5854,27.5854,6591
2024-10-18,27.65,27.77,27.65,27.7596,1691
2024-10-21,27.75,27.75,27.5511,27.5668,2237
2024-10-22,27.515,27.5799,27.5111,27.543,2241
2024-10-23,27.3736,27.3736,27.3736,27.3736,83
2024-10-24,27.24,27.3336,27.24,27.3084,1356
2024-10-25,27.23,27.23,27.1718,27.1718,1304
2024-10-28,27.3,27.3938,27.3,27.3938,603
2024-10-29,27.3264,27.3264,27.3264,27.3264,5
2024-10-30,27.305,27.3396,27.2332,27.2332,795
2024-10-31,27.07,27.07,26.775,26.8455,4938
2024-11-01,26.93,26.93,26.82,26.84,2729
2024-11-04,26.9,26.9,26.8206,26.8206,560
2024-11-05,27.4701,27.6605,27.4701,27.6605,823
2024-11-06,28.04,28.38,28.0145,28.365,9645
2024-11-07,28.48,28.5612,28.46,28.54,5527
2024-11-08,28.5615,28.74,28.5615,28.74,3356
2024-11-11,29.15,29.15,29.02,29.04,2618
2024-11-12,28.8445,28.8445,28.545,28.6611,1651
2024-11-13,28.8586,28.8586,28.609,28.609,822
2024-11-14,28.545,28.545,28.3311,28.3311,507
2024-11-18,28.229,28.3951,28.229,28.2937,2456
2024-11-19,28.379,28.4573,28.379,28.4573,1722
2024-11-20,28.396,28.45,28.27,28.446,5010
2024-11-21,28.63,28.9,28.63,28.8163,2832
2024-11-22,28.82,28.951,28.82,28.951,26398
2024-11-25,29.24,29.26,28.9798,28.9798,5043
2024-11-26,28.89,28.9946,28.86,28.9946,1250
2024-11-27,28.8234,28.851,28.8234,28.851,436
2024-11-29,29.05,29.09,29.0467,29.0467,3305
2024-12-02,29.0,29.0,28.971,28.971,451
2024-12-03,28.9882,29.0995,28.9882,29.0995,1219
2024-12-04,29.17,29.2272,29.1509,29.2272,1513
2024-12-05,29.31,29.38,29.2316,29.2316,13198
2024-12-06,29.2818,29.342,29.2818,29.3328,1651
2024-12-09,29.4396,29.4396,28.9535,28.9535,16421
2024-12-10,28.86,28.93,28.621,28.621,1979
2024-12-11,28.83,28.89,28.83,28.8592,2093
2024-12-12,28.83,28.84,28.7154,28.7154,6004
2024-12-13,28.59,28.76,28.5254,28.5542,2357
2024-12-16,28.5176,28.57,28.5176,28.56,4081
2024-12-17,28.44,28.48,28.405,28.4571,2165
2024-12-18,28.51,28.51,27.2773,27.3824,1626
2024-12-19,27.7202,27.77,27.3683,27.3683,3577
2024-12-20,27.82,27.82,27.7127,27.7127,910
2024-12-23,27.56,27.7273,27.56,27.7273,561
2024-12-24,27.895,28.0024,27.87,28.0024,9305
2024-12-26,27.96,28.0486,27.96,28.0486,587
2024-12-27,27.66,27.6692,27.66,27.6692,622
2024-12-30,27.31,27.31,27.2572,27.2572,309
2024-12-31,27.34,27.34,27.1305,27.1305,1456
2025-01-02,27.0,27.1637,27.0,27.1637,489
2025-01-06,27.7,27.719,27.521,27.521,4890
2025-01-08,26.92,27.1607,26.91,27.1607,5597
2025-01-10,26.78,26.78,26.64,26.7142,1177
2025-01-13,26.5522,26.6767,26.49,26.6767,11462
2025-01-14,27.05,27.05,26.8752,26.8752,2952
2025-01-15,27.51,27.56,27.36,27.5482,2380
2025-01-16,27.54,27.695,27.54,27.6759,3187
2025-01-17,28.07,28.12,28.0218,28.0218,19526
2025-01-21,28.215,28.36,28.215,28.35,876
2025-01-22,28.46,28.5,28.4039,28.4039,2527
2025-01-23,28.496,28.56,28.496,28.56,1622
2025-01-24,28.46,28.48,28.4206,28.4206,1106
2025-01-27,27.46,27.62,27.42,27.4826,1755
2025-01-28,27.6946,27.8715,27.6,27.8715,1179
2025-01-29,27.8882,27.89,27.8671,27.8671,884
2025-01-30,28.27,28.3537,28.26,28.3537,3028
2025-01-31,28.45,28.45,28.12,28.1336,2774
2025-02-03,27.6,27.94,27.6,27.9382,616
2025-02-04,28.0,28.0,27.88,27.9846,2088
2025-02-05,28.065,28.2382,28.065,28.2382,1202
2025-02-06,28.322,28.41,28.322,28.3317,3145
2025-02-07,28.33,28.35,28.1155,28.1155,4290
2025-02-10,28.16,28.27,28.1599,28.27,1716
2025-02-11,28.196,28.26,28.196,28.2384,2296
2025-02-12,28.01,28.26,28.01,28.225,6153
2025-02-13,27.81,28.03,27.8001,28.0223,4072
2025-02-18,28.27,28.409,28.25,28.409,1529
2025-02-19,28.25,28.4316,28.25,28.4316,1533
2025-02-20,27.99,28.0286,27.99,28.0286,18191
2025-02-21,28.0467,28.0467,27.18,27.229,8780
2025-02-24,27.23,27.23,27.1,27.15,9182
2025-02-25,26.72,26.89,26.59,26.8462,3231
2025-02-26,27.14,27.16,26.94,26.9603,11418
2025-02-27,26.89,27.055,26.597,26.597,5072
2025-02-28,26.655,26.9032,26.54,26.9032,2493
2025-03-03,27.0975,27.0975,26.35,26.4194,6377
2025-03-04,26.02,26.0857,25.67,26.0857,1412
2025-03-05,26.07,26.4921,26.07,26.4921,157
2025-03-06,26.29,26.29,25.74,25.7527,2963
2025-03-07,25.77,25.77,25.35,25.742,916
2025-03-10,25.37,25.37,24.87,24.9954,4002
2025-03-11,25.023,25.0528,24.81,25.0528,1683
2025-03-12,24.98,25.25,24.97,25.1601,6488
2025-03-13,25.0,25.0,24.7581,24.7581,4075
2025-03-14,25.009,25.2187,25.0,25.2187,1541
2025-03-17,25.41,25.5779,25.41,25.5779,256
2025-03-18,25.34,25.36,25.24,25.3324,772
2025-03-19,25.59,25.8,25.59,25.6895,543
2025-03-20,25.7,25.7,25.475,25.5097,4124
2025-03-21,25.31,25.4319,25.31,25.4319,193
2025-03-24,25.84,25.9806,25.84,25.9806,1131
2025-03-25,26.03,26.03,25.9625,25.9625,2003
2025-03-26,25.86,25.86,25.56,25.5923,706
2025-03-27,25.51,25.51,25.41,25.4117,1231
2025-03-28,25.05,25.05,24.86,24.87,7879
2025-03-31,24.65,24.913,24.51,24.913,21494
2025-04-01,24.67,25.07,24.67,25.0193,801
2025-04-03,24.165,24.3,24.04,24.0623,2652
2025-04-04,23.0,23.0,22.46,22.52,7057
2025-04-07,22.3,22.58,22.3,22.4035,21625
2025-04-08,23.085,23.229,21.88,22.1136,10290
2025-04-09,22.2199,23.9501,21.96,23.882,4982
2025-04-10,23.24,23.24,22.66,22.9048,2658
2025-04-11,22.93,23.3851,22.83,23.3851,615
2025-04-14,23.55,23.59,23.55,23.59,361
2025-04-15,23.68,23.6847,23.68,23.6847,1712
