date,open,high,low,close,volume
2009-11-03,8.22641,8.37571,8.21926,8.36989,563469.98082874
2009-11-04,8.49199,8.53896,8.44063,8.4647,338329.82787398
2009-11-05,8.59663,8.62794,8.52599,8.57247,274640.92377789
2009-11-06,8.56346,8.7973,8.49512,8.614,482705.21209352
2009-11-09,8.79378,8.8832,8.75611,8.86882,687139.14563981
2009-11-10,8.81119,8.82856,8.73561,8.7973,480743.52316393
2009-11-11,8.90013,8.91936,8.80087,8.8246,816637.45680265
2009-11-12,8.84201,8.84475,8.66497,8.6954,388803.61430072
2009-11-13,8.78395,8.83839,8.69853,8.80361,340425.72585235
2009-11-16,8.89304,9.0012,8.87958,8.95022,542027.84846948
2009-11-17,8.90013,8.90155,8.80709,8.89304,576307.07634407
2009-11-18,8.92699,8.92699,8.82856,8.87958,363478.36679692
2009-11-19,8.78708,8.78708,8.63058,8.72265,462672.27474639
2009-11-20,8.62794,8.66771,8.5595,8.66228,333560.93300751
2009-11-23,8.86173,8.90908,8.78708,8.8179,314306.40814328
2009-11-24,8.82856,8.82856,8.71326,8.76692,416743.70143817
2009-11-25,8.85141,8.90507,8.7973,8.90013,272992.38929543
2009-11-27,8.57604,8.68469,8.49512,8.63635,462303.19986227
2009-11-30,8.66497,8.71326,8.58269,8.66497,364001.78208714
2009-12-01,8.84201,8.92963,8.81477,8.91309,297836.72104113
2009-12-02,8.92699,8.96681,8.88585,8.91579,249557.25256186
2009-12-03,8.99093,9.0012,8.86173,8.86882,206460.49018278
2009-12-04,8.98779,9.00472,8.78395,8.87958,498817.00839895
2009-12-07,8.86574,8.88585,8.7973,8.81119,342058.60261245
2009-12-08,8.75611,8.76017,8.62427,8.65069,668296.19519182
2009-12-09,8.66497,8.67574,8.5595,8.66228,374360.48383507
2009-12-10,8.73302,8.74329,8.65426,8.6954,212640.81687886
2009-12-11,8.74329,8.74329,8.66497,8.69853,290605.09012966
2009-12-14,8.78708,8.79378,8.72265,8.78116,671262.21516974
2009-12-15,8.72671,8.73561,8.66771,8.68777,443733.14114679
2009-12-16,8.78708,8.83174,8.75611,8.78116,453816.71434475
2009-12-17,8.67168,8.67168,8.54297,8.55593,477269.74561813
2009-12-18,8.60994,8.63058,8.49512,8.57604,393724.61275579
2009-12-21,8.64487,8.66228,8.60373,8.61762,347650.64631141
2009-12-22,8.68469,8.70171,8.63635,8.69134,441256.98419688
2009-12-23,8.73561,8.74329,8.66771,8.73561,260642.91999067
2009-12-24,8.80087,8.80087,8.74951,8.78708,174098.21488821
2009-12-28,8.85141,8.98417,8.78708,8.82098,356108.0532017
2009-12-29,8.90155,8.90155,8.80087,8.8246,547691.47032779
2009-12-30,8.79016,8.79378,8.73561,8.79378,531709.40943618
2009-12-31,8.8832,8.89304,8.74951,8.76017,422047.19568226
2010-01-04,8.96358,9.00472,8.93364,8.99093,641722.80353439
2010-01-05,9.03202,9.03877,8.97033,9.02488,605790.56754242
2010-01-06,9.05301,9.06196,8.9739,9.03877,383773.01178915
2010-01-07,9.02801,9.02801,8.92699,8.98417,531405.20225896
2010-01-08,9.01861,9.08343,8.98417,9.07947,456185.50405561
2010-01-11,9.18093,9.18093,9.09596,9.13397,828025.09459121
2010-01-12,9.03877,9.07536,8.98417,9.01103,566561.26258552
2010-01-13,9.06602,9.12056,8.98779,9.1098,581471.88790441
2010-01-14,9.12056,9.16073,9.09014,9.15138,335041.70617901
2010-01-15,9.12991,9.12991,8.97033,9.00746,625340.35231396
2010-01-19,9.02801,9.1031,8.99093,9.1031,937320.47027847
2010-01-20,8.95022,8.95022,8.78395,8.86173,984615.73906672
2010-01-21,8.88585,8.88585,8.61762,8.66771,669181.97491374
2010-01-22,8.66228,8.66497,8.4647,8.48436,487840.94502665
2010-01-25,8.65426,8.67574,8.56982,8.60994,835041.99102465
2010-01-26,8.53216,8.60994,8.47722,8.52237,276616.03361235
2010-01-27,8.51254,8.52863,8.42404,8.51518,365355.05666228
2010-01-28,8.55593,8.55593,8.31221,8.39317,554871.65443724
2010-01-29,8.41998,8.44772,8.23981,8.26667,486664.37903237
2010-02-01,8.38285,8.44063,8.36549,8.43691,460384.01046479
2010-02-02,8.51518,8.58269,8.45794,8.56346,403210.95568671
2010-02-03,8.52237,8.54962,8.44415,8.48842,263723.01766006
2010-02-04,8.34533,8.34533,8.12495,8.14236,538178.28558713
2010-02-05,8.08332,8.11105,7.87277,8.05299,777980.77712053
2010-02-08,8.08694,8.12495,7.97153,7.97153,411037.58004775
2010-02-09,8.15934,8.29436,8.08332,8.22284,307490.825283
2010-02-10,8.20312,8.21251,8.08332,8.16521,384936.15687852
2010-02-11,8.179,8.29123,8.10117,8.29123,486619.64268279
2010-02-12,8.16198,8.20586,8.08694,8.18884,228162.09336968
2010-02-16,8.27787,8.39949,8.22284,8.38285,474182.93749633
2010-02-17,8.43432,8.43432,8.36236,8.3896,215154.99972591
2010-02-18,8.38285,8.45491,8.37263,8.44772,299022.23430532
2010-02-19,8.36989,8.41377,8.30067,8.39317,206681.93511326
2010-02-22,8.45794,8.45794,8.38598,8.41377,1688374.4385798
2010-02-23,8.41377,8.41377,8.27019,8.28051,336661.16203423
2010-02-24,8.31221,8.37263,8.28051,8.33907,205778.26085151
2010-02-25,8.21618,8.29123,8.14236,8.2877,389324.79277347
2010-02-26,8.30067,8.37263,8.22954,8.35252,378664.12066579
2010-03-01,8.36989,8.43691,8.34269,8.43432,264559.5873974
2010-03-02,8.50946,8.53896,8.44772,8.48842,775220.54435073
2010-03-03,8.57247,8.63371,8.53896,8.56982,518487.58131437
2010-03-04,8.59663,8.60373,8.50946,8.55231,565013.38488965
2010-03-05,8.63058,8.73561,8.614,8.716,487764.89323233
2010-03-08,8.74951,8.76379,8.69853,8.72671,483400.86232968
2010-03-09,8.66771,8.75264,8.64487,8.68469,833002.01348326
2010-03-10,8.70523,8.78395,8.70171,8.75611,326040.75264117
2010-03-11,8.76017,8.78116,8.70171,8.78116,235427.27654336
2010-03-12,8.86574,8.86574,8.79378,8.81477,370208.95059296
2010-03-15,8.78708,8.78708,8.69853,8.76692,337068.26281549
2010-03-16,8.8179,8.88898,8.78395,8.87557,353687.81668879
2010-03-17,8.92699,8.96358,8.90908,8.92699,352247.30623194
2010-03-18,8.92963,8.92963,8.82098,8.87958,269621.50535371
2010-03-19,8.90013,8.90013,8.74951,8.77759,274253.95435392
2010-03-22,8.68195,8.8246,8.66497,8.81477,402416.88548146
2010-03-23,8.82856,8.87557,8.78395,8.87557,403226.61340906
2010-03-24,8.73302,8.76379,8.69134,8.71957,452206.20575943
2010-03-25,8.8179,8.83839,8.72265,8.72935,444923.12804594
2010-03-26,8.80361,8.83174,8.74633,8.79378,364133.75431842
2010-03-29,8.90155,8.90155,8.83839,8.88585,382668.02395424
2010-03-30,8.95375,8.95375,8.84201,8.88898,384710.2383131
2010-03-31,8.88585,8.91309,8.83492,8.88585,359492.3580483
2010-04-01,8.98779,9.03202,8.95649,9.03202,255243.24259495
2010-04-05,9.08661,9.08661,9.03202,9.06915,359461.04260358
2010-04-06,9.01455,9.07272,8.97033,9.06196,462951.87693135
2010-04-07,9.02801,9.02801,8.95375,8.98417,599699.7135455
2010-04-08,8.90908,8.9944,8.87557,8.97033,1604236.5490854
2010-04-09,9.01861,9.09014,9.01103,9.08661,1077000.7746084
2010-04-12,9.11699,9.12634,9.08343,9.1031,451781.21043831
2010-04-13,9.12365,9.12365,9.01861,9.09283,387745.59963288
2010-04-14,9.1777,9.21537,9.13759,9.21092,2937370.8196457
2010-04-15,9.20236,9.21889,9.16073,9.20236,350876.13711696
2010-04-16,9.1438,9.15138,8.95375,9.00472,542361.13427393
2010-04-19,8.92298,8.97747,8.85454,8.97747,470123.11377087
2010-04-20,9.07536,9.07536,9.01861,9.04904,355139.51123303
2010-04-21,9.03202,9.03202,8.93951,9.0012,902526.7743836
2010-04-22,8.88585,8.93951,8.80087,8.92699,329973.07777028
2010-04-23,8.90908,9.0012,8.86882,9.0012,330825.30522999
2010-04-26,9.00472,9.04141,8.98779,9.00472,499190.55691803
2010-04-27,8.90507,8.93951,8.63635,8.66228,1102997.0673561
2010-04-28,8.73918,8.73918,8.56346,8.65069,488961.59058391
2010-04-29,8.7746,8.81477,8.74633,8.80087,296326.86924242
2010-04-30,8.83174,8.83174,8.67887,8.68777,368473.18022881
2010-05-03,8.74329,8.78116,8.69134,8.74633,810351.99968503
2010-05-04,8.54566,8.54566,8.35648,8.39317,503679.84959956
2010-05-05,8.24656,8.33105,8.18536,8.24656,406532.62964389
2010-05-06,8.22641,8.30468,7.47627,7.87947,1011153.3416445
2010-05-07,8.01532,8.03283,7.72708,7.84283,1296050.0735662
2010-05-10,8.36236,8.39949,8.28413,8.36989,1759239.0531504
2010-05-11,8.18301,8.36989,8.16198,8.24338,978301.20332187
2010-05-12,8.32474,8.36989,8.3082,8.35834,175988.32565845
2010-05-13,8.30468,8.34895,8.23981,8.25772,276343.14187985
2010-05-14,8.179,8.179,7.95153,8.04315,286997.10353509
2010-05-17,8.03635,8.04986,7.85002,8.02212,276680.90131925
2010-05-18,8.10523,8.11105,7.81514,7.85486,257620.97957575
2010-05-19,7.81514,7.88309,7.7306,7.85354,326130.22534036
2010-05-20,7.63228,7.69308,7.48561,7.54691,572195.80581659
2010-05-21,7.46326,7.74137,7.46326,7.74137,412164.93605747
2010-05-24,7.69577,7.70962,7.58438,7.59788,214823.95073893
2010-05-25,7.38102,7.57103,7.3095,7.5634,419848.40409982
2010-05-26,7.60772,7.65595,7.4454,7.46326,269022.03826917
2010-05-27,7.69308,7.8871,7.68995,7.8871,291352.18716783
2010-05-28,7.89067,7.89067,7.71314,7.75076,243728.10621007
2010-06-01,7.64793,7.8397,7.64793,7.66579,361930.48910105
2010-06-02,7.73824,7.88309,7.68276,7.87639,372157.21861768
2010-06-03,7.9412,7.9412,7.79591,7.86611,416703.43872354
2010-06-04,7.7239,7.7239,7.51643,7.53933,775936.32594421
2010-06-07,7.59373,7.59373,7.44139,7.44139,887173.25920375
2010-06-08,7.45876,7.5746,7.42481,7.5746,401314.13446402
2010-06-09,7.64162,7.68995,7.51643,7.5496,535505.28869903
2010-06-10,7.77131,7.8397,7.73466,7.83617,209115.59253105
2010-06-11,7.76416,7.85892,7.75076,7.85892,314825.34979855
2010-06-14,7.99174,8.01532,7.89067,7.90011,350947.71527631
2010-06-15,8.02931,8.15171,8.00876,8.14818,370396.84326125
2010-06-16,8.0771,8.15171,8.04315,8.11776,733937.8409476
2010-06-17,8.15582,8.15582,8.06414,8.13791,335180.38886273
2010-06-18,8.12094,8.15934,8.10753,8.145,298829.86800208
2010-06-21,8.28051,8.28051,8.10523,8.15582,400159.93664455
2010-06-22,8.16521,8.17553,8.01273,8.02564,300167.48485485
2010-06-23,8.10117,8.11776,7.98548,8.06996,374854.82049806
2010-06-24,8.04315,8.04315,7.91264,7.93401,389839.26079376
2010-06-25,7.93093,7.99174,7.85486,7.96801,158089.31218685
2010-06-28,7.97153,8.00597,7.9072,7.91704,186154.66110315
2010-06-29,7.76871,7.78153,7.60405,7.63497,831979.7878951
2010-06-30,7.63228,7.70693,7.56075,7.57103,1194494.0863583
2010-07-01,7.64519,7.67342,7.53933,7.66941,354045.70748551
2010-07-02,7.71676,7.72708,7.60772,7.65913,361326.54838155
2010-07-06,7.87277,7.91038,7.74675,7.79591,282259.52411334
2010-07-07,7.82903,8.03283,7.82903,8.02931,192129.20059111
