date,open,high,low,close,volume
2025-08-29,20.08,20.08,20.0672,20.0672,231
2025-09-03,19.98,20.0,19.92,19.9306,25205
2025-09-04,20.08,20.179,20.073,20.179,530
2025-09-05,20.29,20.29,20.1764,20.1764,205
2025-09-08,20.27,20.32,20.27,20.3099,4924
2025-09-09,20.19,20.57,20.09,20.1566,3393
2025-09-10,20.02,20.06,19.94,20.0372,5824
2025-09-11,20.4272,20.4951,20.4272,20.4951,770
2025-09-12,20.3,20.3,20.1959,20.1959,1475
2025-09-15,20.21,20.21,20.0855,20.0855,1338
2025-09-16,20.13,20.1601,20.13,20.1601,233
2025-09-17,20.39,20.65,20.2525,20.2525,1083
2025-09-18,20.62,20.7484,20.565,20.7484,1136
2025-09-22,20.58,20.6677,20.58,20.6677,124
2025-09-23,20.85,20.85,20.66,20.6851,507
2025-09-26,20.58,20.6591,20.58,20.6591,205
2025-09-29,20.57,20.7851,20.57,20.7851,134
2025-09-30,20.58,20.58,20.4,20.5351,410
2025-10-03,21.0384,21.0384,20.7953,20.7953,301
2025-10-06,20.75,20.75,20.6415,20.6415,201
2025-10-07,20.4001,20.437,20.4001,20.437,235
2025-10-08,20.4784,20.54,20.4784,20.54,673
2025-10-09,20.42,20.42,20.4072,20.4072,131
2025-10-10,19.94,19.94,19.705,19.705,568
2025-10-13,19.85,19.9719,19.85,19.9719,356
2025-10-15,20.55,20.55,20.3954,20.3954,306
2025-10-16,20.39,20.39,20.2213,20.2213,520
2025-10-17,20.25,20.2885,20.245,20.2885,404
2025-10-20,20.51,20.5433,20.51,20.5433,124
2025-10-21,20.6382,20.6382,20.6269,20.6269,451
2025-10-22,20.53,20.53,20.43,20.4421,665
2025-10-27,20.78,20.78,20.7569,20.7569,215
2025-10-30,19.98,19.98,19.8056,19.8056,1252
2025-10-31,19.805,19.805,19.695,19.7556,5056
2025-11-03,19.55,19.8,19.55,19.7706,211
2025-11-04,19.6,19.6,19.5052,19.5052,246
2025-11-05,19.75,19.8049,19.75,19.7846,754
2025-11-06,19.76,19.76,19.685,19.685,173
2025-11-07,19.55,19.6284,19.5,19.6284,400
2025-11-10,19.77,19.8858,19.77,19.8858,209
2025-11-12,20.18,20.18,20.065,20.065,324
2025-11-13,19.87,19.87,19.5158,19.5158,329
2025-11-14,19.35,19.51,19.35,19.4731,558
2025-11-17,19.33,19.33,18.9666,18.9666,1306
2025-11-18,18.9,19.0155,18.9,19.0155,220
2025-11-19,19.01,19.01,18.887,18.887,197
2025-11-20,19.1,19.1,18.6969,18.6969,201
2025-11-21,18.9685,19.25,18.9685,19.1671,1095
2025-11-24,19.24,19.2702,19.24,19.2702,102
2025-11-26,19.91,19.91,19.7583,19.7583,102
2025-11-28,19.81,19.82,19.7127,19.7127,213
2025-12-01,19.76,19.76,19.6294,19.6294,231
2025-12-02,19.68,19.7562,19.68,19.7562,135
2025-12-05,20.06,20.06,19.987,19.987,348
2025-12-08,20.021,20.021,19.9657,19.9657,811
2025-12-09,20.0652,20.0652,20.0359,20.0359,495
2025-12-12,20.58,20.58,20.5207,20.5207,333
2025-12-19,20.4358,20.4564,20.4358,20.4564,125
2025-12-23,20.51,20.51,20.5081,20.5081,2602
2025-12-30,20.4,20.4,20.2561,20.2561,479
2026-01-05,20.094,20.0996,20.094,20.095,781
2026-01-07,19.96,20.085,19.96,20.0611,801
2026-01-20,19.895,20.0,19.895,19.8966,2219
2026-01-21,20.12,20.3002,20.12,20.3002,2013
2026-01-22,20.68,20.68,20.545,20.545,402
2026-01-26,20.3,20.3337,20.3,20.3337,248
2026-01-29,19.93,19.9451,19.92,19.9451,346
2026-02-02,19.9601,19.9601,19.9386,19.9386,2500
2026-02-03,19.9045,19.91,19.5081,19.5081,4594
2026-02-06,20.45,20.4922,20.45,20.4922,102
2026-02-09,20.5,20.5,20.4691,20.4691,991
