date,open,high,low,close,volume
2025-06-05,0.21,0.21,0.21,0.21,200
2025-06-06,0.2,0.21,0.2,0.21,416579
2025-06-12,0.19,0.22,0.19,0.22,68900
2025-06-13,0.21,0.22,0.21,0.22,201900
2025-06-16,0.23,0.23,0.22,0.22,507336
2025-06-17,0.23,0.23,0.23,0.23,400
2025-06-18,0.23,0.23,0.23,0.23,400
2025-06-23,0.222,0.222,0.22,0.2201,3200
2025-06-27,0.23,0.23,0.23,0.23,18550
2025-06-30,0.208,0.2301,0.208,0.23,35527
2025-07-01,0.23,0.23,0.23,0.23,1000
2025-07-08,0.23,0.24,0.23,0.24,85000
2025-07-21,0.24,0.24,0.24,0.24,500
2025-07-28,0.23,0.23,0.23,0.23,16037
2025-07-29,0.24,0.24,0.23,0.23,55643
2025-07-31,0.23,0.23,0.23,0.23,279962
2025-08-05,0.24,0.24,0.24,0.24,420
2025-08-07,0.23,0.23,0.23,0.23,101105
2025-08-08,0.23,0.2301,0.23,0.2301,300
2025-08-14,0.24,0.24,0.24,0.24,1201
2025-08-18,0.24,0.24,0.24,0.24,300
2025-08-19,0.24,0.24,0.225002,0.225002,3120
2025-09-09,0.22,0.22,0.22,0.22,174395
2025-09-11,0.23,0.23,0.23,0.23,210438
2025-09-15,0.23,0.23,0.2298,0.2298,3850
2025-09-25,0.21,0.21,0.21,0.21,1355
2025-10-01,0.21,0.21,0.19,0.2,25100
2025-10-07,0.22,0.22,0.22,0.22,10845
2025-10-08,0.23,0.23,0.23,0.23,109402
2025-10-09,0.27,0.27,0.24,0.26,73830
2025-10-10,0.26,0.26,0.255,0.255,2310
2025-10-13,0.26,0.26,0.26,0.26,787
2025-10-14,0.26,0.26,0.255,0.26,2761
2025-10-15,0.2857,0.2857,0.26,0.26,1600
2025-10-17,0.25,0.25,0.25,0.25,26287
2025-10-21,0.28,0.28,0.25,0.25,13270
2025-10-22,0.27,0.27,0.27,0.27,414134
2025-10-23,0.250101,0.250101,0.250101,0.250101,290
2025-10-24,0.27,0.27,0.27,0.27,60000
2025-10-27,0.25,0.25,0.25,0.25,140
2025-10-31,0.25,0.274,0.25,0.274,1100
2025-11-04,0.25,0.25,0.25,0.25,500
2025-11-05,0.25,0.25,0.25,0.25,38300
2025-11-06,0.25,0.2988,0.25,0.28,53012
2025-11-07,0.27,0.29,0.27,0.28,10813
2025-11-10,0.28,0.2899,0.2399,0.2399,30930
2025-11-17,0.28,0.28,0.28,0.28,25274
2025-11-18,0.28,0.28,0.28,0.28,1400
2025-11-20,0.29,0.29,0.29,0.29,350
2025-11-21,0.29,0.29,0.29,0.29,100
2025-11-25,0.29,0.3,0.28,0.28,22053
2025-11-26,0.28,0.2801,0.28,0.28,3707
2025-12-05,0.2888,0.29,0.2888,0.29,400
2025-12-08,0.26,0.26,0.26,0.26,600
2025-12-17,0.25,0.25,0.25,0.25,300
2025-12-26,0.25,0.25,0.25,0.25,400
2026-01-06,0.21,0.25,0.180101,0.25,1555
2026-01-14,0.25,0.25,0.25,0.25,506
2026-01-22,0.25,0.285,0.25,0.285,41306
2026-01-30,0.285,0.285,0.285,0.285,100
2026-02-02,0.285,0.285,0.285,0.285,24887
2026-02-05,0.28,0.29,0.2763,0.2763,105058
2026-02-10,0.2858,0.29,0.2858,0.2885,300
