date,open,high,low,close,volume
2012-07-05,17.562,17.57,17.4483,17.5386,25262.985848774
2012-07-06,17.5013,17.5013,17.3101,17.412,10530.407865198
2012-07-09,17.4679,17.4679,17.2571,17.3297,20189.994744933
2012-07-10,17.4817,17.4817,17.1993,17.2071,24456.40575568
2012-07-11,17.2963,17.3591,17.2071,17.3101,59827.645034076
2012-07-12,17.3385,17.3385,17.109,17.2277,54928.002369964
2012-07-13,17.3385,17.4483,17.263,17.4198,42376.555636864
2012-07-16,17.5219,17.5219,17.4032,17.4954,28552.527416811
2012-07-17,17.6415,17.6788,17.4278,17.6641,463847.79442085
2012-07-18,17.6994,17.7857,17.6249,17.7739,58303.198461162
2012-07-19,17.823,17.823,17.7503,17.8014,33601.045799749
2012-07-20,17.6994,17.7278,17.6415,17.6592,35902.50126133
2012-07-23,17.6111,17.6111,17.412,17.5219,34383.153171939
2012-07-24,17.5719,17.5719,17.211,17.2816,55022.834163463
2012-07-25,17.4542,17.4542,17.2708,17.3101,60178.420700351
2012-07-26,17.5827,17.6043,17.4954,17.5827,43641.999246888
2012-07-27,17.6788,17.8965,17.6788,17.8386,38912.645932392
2012-07-30,17.8308,17.9328,17.8082,17.8759,52129.954613394
2012-07-31,18.0661,18.0661,17.8612,17.9023,64502.954423242
2012-08-01,17.9936,18.0014,17.8897,17.9033,82803.451175127
2012-08-02,17.8465,17.8465,17.5827,17.7278,41057.068101513
2012-08-03,18.0279,18.0357,17.97,17.9936,30206.475471169
2012-08-06,18.0907,18.0976,18.0495,18.0495,46248.344023051
2012-08-07,18.1172,18.1779,18.0809,18.1102,37137.353970225
2012-08-08,18.1368,18.1927,18.0907,18.1779,70996.383036158
2012-08-09,18.1927,18.2005,18.1172,18.1623,47361.852824136
2012-08-10,18.1289,18.2594,18.1289,18.2594,60359.926713714
2012-08-13,18.2662,18.2662,18.1623,18.2388,21404.453519741
2012-08-14,18.3555,18.3555,18.2299,18.2299,68345.171605005
2012-08-15,18.2524,18.2524,18.2005,18.2191,50112.994532308
2012-08-16,18.3339,18.3339,18.2054,18.3025,28630.024366337
2012-08-17,18.3623,18.3623,18.274,18.3133,58648.875643917
2012-08-20,18.3339,18.3339,18.225,18.2947,46680.695425671
2012-08-21,18.3437,18.3672,18.2191,18.2191,22485.332026288
2012-08-22,18.2191,18.2191,18.0907,18.1711,30680.634438663
2012-08-23,18.1623,18.1623,18.0201,18.0279,24950.958657261
2012-08-24,18.0436,18.1623,17.9936,18.1436,40649.189419797
2012-08-27,18.2299,18.2299,18.1436,18.1573,17981.331683441
2012-08-28,18.1779,18.1779,18.1044,18.1436,6342.5135006809
2012-08-29,18.1779,18.2191,18.124,18.2054,47282.316481201
2012-08-30,18.1485,18.1485,18.0544,18.0976,34119.051725528
2012-08-31,18.1299,18.2133,18.0907,18.1633,74260.432186589
2012-09-04,18.1505,18.1583,18.0347,18.1299,34661.53037221
2012-09-05,18.1446,18.1446,18.0907,18.1102,29259.177232883
2012-09-06,18.2015,18.4054,18.2015,18.4054,46713.325720207
2012-09-07,18.4506,18.4506,18.3966,18.4094,25958.419001098
2012-09-10,18.3898,18.4633,18.3672,18.3839,23382.665126063
2012-09-11,18.4026,18.4791,18.4026,18.4633,22338.495700871
2012-09-12,18.5202,18.5202,18.4457,18.4791,26185.811366155
2012-09-13,18.4398,18.7429,18.4398,18.6908,61588.661242383
2012-09-14,18.7173,18.8536,18.6742,18.6977,86370.350246732
2012-09-17,18.7379,18.7379,18.5967,18.5967,26505.996131302
2012-09-18,18.6565,18.6565,18.5594,18.5653,52492.966640121
2012-09-19,18.5418,18.631,18.5418,18.5722,180566.87269888
2012-09-20,18.5722,18.6565,18.5202,18.6565,41922.790603455
2012-09-21,18.7723,18.7723,18.7046,18.7046,40875.56208815
2012-09-24,18.7124,18.7183,18.6418,18.6908,29629.327136541
2012-09-25,18.7644,18.7644,18.5172,18.5172,47759.534538808
2012-09-26,18.5172,18.534,18.428,18.4525,45951.612282103
2012-09-27,18.5114,18.5702,18.4359,18.534,73413.064225325
2012-09-28,18.4506,18.5232,18.382,18.4575,83451.978279055
2012-10-01,18.5172,18.6133,18.4359,18.4613,36243.079960563
2012-10-02,18.5438,18.5644,18.4054,18.4888,24051.586164077
2012-10-03,18.5438,18.5947,18.4683,18.5575,39754.915410136
2012-10-04,18.6408,18.6977,18.6222,18.6908,52211.530349737
2012-10-05,18.8086,18.8282,18.7173,18.7429,46032.168321742
2012-10-08,18.7379,18.7791,18.683,18.7644,45456.039683818
2012-10-09,18.7723,18.7791,18.6359,18.6467,277192.31270066
2012-10-10,18.5506,18.6301,18.4957,18.5035,29765.966494915
2012-10-11,18.6301,18.7791,18.534,18.5408,58913.996787032
2012-10-12,18.5575,18.5644,18.4133,18.4437,27011.76569663
2012-10-15,18.7173,18.7173,18.4359,18.6065,28478.089557398
2012-10-16,18.7252,18.7879,18.7252,18.7791,48703.773686981
2012-10-17,18.8399,18.9429,18.8399,18.9311,44935.99436463
2012-10-18,18.9733,19.0399,18.9311,19.0351,22372.145692112
2012-10-19,18.9802,18.9939,18.7575,18.7938,23942.478616718
2012-10-22,18.8212,18.8212,18.6408,18.7644,39407.198833973
2012-10-23,18.6359,18.6359,18.3938,18.5506,37822.590155508
2012-10-24,18.5859,18.5859,18.4477,18.4525,41716.811869189
2012-10-25,18.5771,18.6133,18.4751,18.5644,33840.674525256
2012-10-26,18.5644,18.5947,18.4829,18.5575,39777.34873763
2012-10-31,18.7252,18.7644,18.5172,18.5771,71768.293441306
2012-11-01,18.6742,18.7575,18.6742,18.7252,40981.610545396
2012-11-02,18.8615,18.8615,18.4477,18.4751,130888.26896261
2012-11-05,18.4829,18.4829,18.3447,18.4437,58092.121243374
2012-11-06,18.6133,18.683,18.5172,18.6222,121228.68208287
2012-11-07,18.5575,18.5575,18.1172,18.226,59239.2800357
2012-11-08,18.226,18.2614,18.0191,18.0191,74066.689812774
2012-11-09,17.9475,18.1172,17.9023,17.9622,53796.139028202
2012-11-12,18.0436,18.0436,17.9023,17.9396,30318.642108641
2012-11-13,17.7709,18.0495,17.717,17.8563,23570.289319653
2012-11-14,17.8739,17.8739,17.5984,17.6121,39236.909484357
2012-11-15,17.6435,17.6818,17.5072,17.6062,56024.176327076
2012-11-16,17.6121,17.7523,17.4954,17.7465,66072.267651144
2012-11-19,17.9622,17.9848,17.9396,17.9848,35700.60131388
2012-11-20,18.0495,18.0495,17.8955,18.0004,23544.796902045
2012-11-21,18.0191,18.0495,17.9926,18.0347,16257.024556488
2012-11-23,18.1633,18.2133,18.1102,18.2133,10423.339711248
2012-11-26,18.2614,18.2614,18.1789,18.226,84172.903848987
2012-11-27,18.2692,18.3241,18.2074,18.2074,49260.528087523
2012-11-28,18.2133,18.3594,18.0495,18.3378,110869.58326399
2012-11-29,18.4683,18.4683,18.3447,18.3986,28271.091126428
2012-11-30,18.4016,18.4575,18.3888,18.4575,37341.293311082
2012-12-03,18.4957,18.6222,18.3938,18.3938,62747.036698456
2012-12-04,18.3858,18.4525,18.3045,18.3299,44150.827902328
2012-12-05,18.4133,18.4133,18.2476,18.3299,40761.356057269
2012-12-06,18.4477,18.4477,18.3378,18.4054,23774.22866051
2012-12-07,18.4525,18.4888,18.4054,18.4888,46712.306023503
2012-12-10,18.5859,18.5859,18.4683,18.5035,76197.855924739
2012-12-11,18.527,18.6065,18.5172,18.5575,35268.249911262
2012-12-12,18.6614,18.7321,18.6007,18.6007,26315.3128476
2012-12-13,18.6654,18.6654,18.4613,18.5114,61963.909629562
2012-12-14,18.4613,18.4888,18.4212,18.428,25466.925189631
2012-12-17,18.5114,18.5859,18.5035,18.5859,49267.665964453
2012-12-18,18.6556,18.7791,18.5408,18.7791,63306.850189111
2012-12-19,18.7879,18.8615,18.6977,18.6977,49103.494795062
2012-12-20,18.7791,18.7791,18.6556,18.7497,24937.702600105
2012-12-21,18.4829,18.6556,18.3858,18.5438,301730.29419267
2012-12-24,18.5408,18.5438,18.4683,18.4957,9845.1716799154
2012-12-26,18.6153,18.6153,18.4035,18.4202,22644.404712157
2012-12-27,18.4957,18.4957,18.1741,18.377,108571.18689252
2012-12-28,18.3976,18.3976,18.1907,18.1975,30743.855634329
2012-12-31,18.2231,18.5114,18.1956,18.5114,45526.398756414
2013-01-02,18.9654,20.5159,18.7918,18.9233,206856.69312888
2013-01-03,19.0498,19.0498,18.9007,18.9654,73683.283851961
2013-01-04,19.092,19.1606,19.0067,19.1469,113165.94024205
2013-01-07,19.1675,19.1675,19.0498,19.0978,115416.41086842
2013-01-08,19.1322,19.1322,18.9282,18.9576,120089.68086418
2013-01-09,19.0645,19.0645,19.0027,19.0399,104318.03193893
2013-01-10,19.1194,19.1812,19.0832,19.1723,244296.89702028
2013-01-11,19.2773,19.2773,19.1723,19.2312,341768.6852866
2013-01-14,19.3019,19.3019,19.1871,19.2636,63283.397164912
2013-01-15,19.2695,19.2841,19.2038,19.2841,89501.838825605
2013-01-16,19.3234,19.3234,19.2184,19.237,222097.08007119
2013-01-17,19.3666,19.4469,19.3087,19.4352,136705.63866058
2013-01-18,19.4352,19.4823,19.342,19.4823,129508.6193217
2013-01-22,19.5038,19.7137,19.4665,19.7137,129033.4406575
2013-01-23,19.7196,19.7275,19.6362,19.6558,394688.90484583
2013-01-24,19.7275,19.7451,19.6294,19.6628,71923.287340357
2013-01-25,19.7275,19.7618,19.6412,19.7618,139655.62122608
2013-01-28,19.8118,19.8118,19.7137,19.8058,151984.77407765
2013-01-29,19.7902,19.8814,19.7618,19.8814,249656.42289802
2013-01-30,19.8814,19.8814,19.7333,19.7451,143417.28236821
2013-01-31,19.7451,19.8186,19.6833,19.7843,164861.50405942
2013-02-01,19.8883,19.9089,19.8599,19.8814,121978.15916052
2013-02-04,19.8236,19.8236,19.6921,19.7088,105999.51180431
2013-02-05,19.8431,19.8687,19.7373,19.8118,186742.15594006
2013-02-06,19.7451,19.8687,19.7451,19.8687,92138.774502898
2013-02-07,19.9157,19.9157,19.7196,19.8814,126267.00349876
2013-02-08,19.9658,19.9922,19.9275,19.9579,89400.88885188
2013-02-11,19.9863,19.9991,19.9216,19.9922,66329.231220625
2013-02-12,20.055,20.1805,20.0119,20.1461,119938.76575194
2013-02-13,20.0893,20.1677,20.0255,20.0982,167027.33985933
2013-02-14,19.9412,20.0197,19.901,19.9922,127844.4743003
2013-02-15,20.1168,20.1168,19.9658,20.0638,126708.53217172
2013-02-19,20.1373,20.203,20.0982,20.203,104968.59843626
2013-02-20,20.203,20.2236,19.9658,19.9658,100715.44348268
2013-02-21,19.9863,19.9863,19.799,19.852,337881.60144986
2013-02-22,19.9746,19.9863,19.9157,19.9863,83071.631408355
