date,open,high,low,close,volume
2024-09-04,24.7397,24.74,24.622,24.6511,38221
2024-09-05,24.68,24.7,24.5573,24.598,5962
2024-09-06,24.38,24.41,24.3493,24.3493,18912
2024-09-09,24.4739,24.5096,24.4713,24.5096,4102
2024-09-10,24.5699,24.595,24.525,24.595,5589
2024-09-11,24.39,24.7578,24.385,24.7578,5193
2024-09-12,24.9499,25.05,24.75,24.8804,99207
2024-09-13,24.99,25.04,24.99,25.04,17150
2024-09-16,25.27,25.27,24.965,25.0349,20556
2024-09-17,25.1,25.14,24.99,25.0221,3039
2024-09-18,25.1,25.1302,24.9804,24.9804,4942
2024-09-19,25.205,25.3499,25.205,25.247,15973
2024-09-20,25.22,25.27,25.15,25.269,31028
2024-09-23,25.27,25.32,25.26,25.32,28721
2024-09-24,25.3,25.35,25.25,25.34,18862
2024-09-25,25.35,25.36,25.25,25.2901,5415
2024-09-26,25.3971,25.405,25.33,25.3713,20206
2024-09-27,25.46,25.4787,25.37,25.3984,35793
2024-09-30,25.31,25.49,25.25,25.41,28356
2024-10-01,25.25,25.36,25.25,25.3,16063
2024-10-02,25.285,25.33,25.24,25.29,33625
2024-10-03,25.3,25.3,25.22,25.2357,4139
2024-10-04,25.3,25.4021,25.3,25.4021,1365
2024-10-07,25.35,25.36,25.2098,25.2098,1346
2024-10-08,25.36,25.4077,25.34,25.4077,15851
2024-10-09,25.47,25.549,25.41,25.549,3807
2024-10-10,25.46,25.5043,25.46,25.5043,1801
2024-10-11,25.63,25.6599,25.6298,25.6298,1100
2024-10-14,25.7937,25.7937,25.7937,25.7937,37
2024-10-15,25.65,25.65,25.65,25.65,137
2024-10-16,25.6599,25.7295,25.65,25.7295,2738
2024-10-17,25.735,25.75,25.7193,25.7193,819
2024-10-18,25.78,25.79,25.78,25.7896,79009
2024-10-21,25.72,25.73,25.72,25.7259,47000
2024-10-22,25.71,25.7558,25.699,25.7558,572
2024-10-23,25.5,25.5435,25.5,25.5435,500
2024-10-24,25.62,25.62,25.58,25.5997,47998
2024-10-25,25.5906,25.5906,25.5906,25.5906,40
2024-10-28,25.66,25.66,25.64,25.66,25613
2024-10-29,25.87,25.87,25.6915,25.6915,280
2024-10-30,25.6142,25.6142,25.6142,25.6142,9
2024-10-31,25.36,25.36,25.2811,25.2811,640
2024-11-04,25.32,25.32,25.2633,25.2633,5987
2024-11-05,25.34,25.4768,25.34,25.4768,8100
2024-11-06,25.8799,26.01,25.835,25.99,19469
2024-11-07,26.07,26.15,26.07,26.1452,5946
2024-11-08,26.2192,26.2395,26.2192,26.2395,2407
2024-11-11,26.3,26.3,26.26,26.263,7100
2024-11-12,26.25,26.25,26.1875,26.1875,304
2024-11-13,26.2493,26.255,26.2011,26.2011,4765
2024-11-14,26.21,26.21,26.0857,26.0857,325
2024-11-18,25.855,25.875,25.85,25.875,1014
2024-11-19,25.88,25.9424,25.86,25.9424,1453
2024-11-21,26.11,26.11,26.0708,26.0708,100
2024-11-22,26.1,26.1347,26.1,26.1347,8190
2024-12-03,26.38,26.406,26.38,26.406,231
2024-12-04,26.5075,26.5498,26.5075,26.5498,3834
2024-12-09,26.48,26.48,26.4301,26.4301,108
