date,open,high,low,close,volume
2005-03-01,19.0196,19.0196,19.0196,19.0196,357.5225147612
2005-03-02,18.724,18.7417,18.6092,18.7417,3417.3448348257
2005-03-03,18.8606,19.0254,18.8606,19.0254,1071.5489616204
2005-03-07,18.6348,18.6602,18.6348,18.6602,4389.0726954586
2005-03-09,18.6348,18.8773,18.6348,18.8773,4110.9996284222
2005-03-10,18.6435,18.6435,18.6435,18.6435,358.54109742433
2005-03-11,19.0107,19.0107,18.6916,18.7928,43375.32412704
2005-03-14,18.6348,18.6348,18.2588,18.2588,8400.2512228934
2005-03-15,18.2763,18.2763,18.0781,18.0849,988.0251832432
2005-03-16,18.1045,18.4266,18.1045,18.2498,6967.1054158592
2005-03-17,17.9651,17.9651,17.9651,17.9651,175.19621805962
2005-03-18,18.5267,18.5267,18.5267,18.5267,175.19621805962
2005-03-21,18.188,18.6435,18.188,18.4639,3436.6979054253
2005-03-23,18.2057,18.2411,17.974,18.2411,41236.300534451
2005-03-28,18.2411,18.2411,17.974,17.974,537.8116461365
2005-03-30,18.0466,18.0466,17.8542,17.8542,721.15652550122
2005-03-31,17.6274,17.6274,17.3997,17.3997,2499.601855339
2005-04-01,17.3496,17.3496,17.3496,17.3496,175.19621805962
2005-04-04,17.3909,17.3909,17.0982,17.0982,718.10077751181
2005-04-05,17.063,17.1837,16.845,17.1759,3665.8790046312
2005-04-06,17.1759,17.1759,17.1759,17.1759,175.19621805962
2005-04-07,17.7954,17.7954,17.4497,17.5165,1960.7716265393
2005-04-08,17.8787,17.9043,17.6845,17.7954,2499.601855339
2005-04-11,17.9043,17.9043,17.6039,17.6511,2499.601855339
2005-04-12,17.9043,17.9043,17.3496,17.6039,12154.746919218
2005-04-13,17.3496,17.3496,17.2573,17.2573,4644.7369439062
2005-04-14,17.8699,17.8699,16.9785,17.0472,3896.0786865003
2005-04-15,16.8292,17.2907,16.8292,17.2907,1268.1354156059
2005-04-18,16.786,16.786,16.786,16.786,718.10077751181
2005-04-20,17.063,17.063,17.063,17.063,175.19621805962
2005-04-21,17.063,17.063,17.063,17.063,1071.5489616204
2005-04-22,17.0139,17.0139,16.8705,16.8705,41099.81045759
2005-04-25,16.8126,16.8126,16.786,16.786,718.10077751181
2005-04-26,16.786,16.786,16.786,16.786,537.8116461365
2005-04-27,16.786,16.9323,16.786,16.8793,16182.222769262
2005-04-28,17.063,17.063,17.063,17.063,175.19621805962
2005-04-29,17.2907,17.2907,17.063,17.2809,6660.5120342549
2005-05-02,17.2907,17.2907,16.8381,17.2907,890.24124758201
2005-05-04,17.1984,17.1984,17.063,17.063,2961.0198017402
2005-05-06,16.7055,16.7055,16.4581,16.4581,1249.8009276695
2005-05-09,16.7626,16.786,16.3767,16.3767,1249.8009276695
2005-05-12,16.7055,16.7055,16.6791,16.6791,1608.3420250938
2005-05-13,16.6791,16.6791,16.6791,16.6791,357.5225147612
2005-05-16,16.786,16.786,16.7793,16.7793,1960.7716265393
2005-05-17,16.5111,16.5622,16.4022,16.5622,2681.9281520406
2005-05-18,16.6437,16.6791,16.2932,16.4934,8421.6414588193
2005-05-20,16.4179,16.4179,15.9575,16.3668,2499.601855339
2005-05-23,16.3335,16.4503,16.0311,16.0311,6257.1532996526
2005-05-24,15.9496,16.2854,15.8554,16.2854,890.24124758201
2005-05-25,16.7703,16.7703,16.3276,16.3276,7316.4792693153
2005-05-26,16.7626,16.7626,16.7626,16.7626,175.19621805962
2005-05-27,16.6437,16.786,16.6437,16.6791,1503.4280107906
2005-05-31,16.6604,16.7292,16.5111,16.7292,10007.574665324
2005-06-01,16.5622,16.7379,16.5622,16.7379,2856.105787437
2005-06-02,16.786,16.786,16.6193,16.6193,6434.3866830384
2005-06-03,16.8126,16.9137,16.8126,16.8705,6582.0811691934
2005-06-06,16.9323,16.9323,16.786,16.9323,6434.3866830384
2005-06-07,16.9323,16.9323,16.4267,16.5455,5694.8956696007
2005-06-08,16.6193,16.898,16.6193,16.898,1037.935733737
2005-06-09,16.898,16.9226,16.5622,16.5711,10183.789466046
2005-06-10,16.845,16.9059,16.845,16.9059,18651.267144707
2005-06-13,16.6791,16.845,16.6791,16.845,3189.1823182829
2005-06-14,16.8204,16.8292,16.8204,16.8292,1907.8053280562
2005-06-16,16.786,16.786,16.5111,16.5455,1528.8925773691
2005-06-17,16.5111,16.786,16.4581,16.786,2702.2998053033
2005-06-20,16.5111,16.5455,16.5111,16.5111,1071.5489616204
2005-06-21,16.3668,16.786,16.0988,16.786,7351.111079862
2005-06-22,16.6604,16.6791,16.5111,16.5111,1456.5732082864
2005-06-23,16.5111,16.5111,16.3668,16.3668,1023.675576453
2005-06-24,16.5111,16.5111,14.7077,14.7077,76029.047141896
2005-06-27,15.6698,16.1754,15.4018,15.9496,30379.22792807
2005-06-28,16.2255,16.2854,16.1244,16.1244,2856.105787437
2005-06-29,15.9898,16.2255,15.8063,15.9496,11799.261569783
2005-06-30,15.9496,15.9496,15.8063,15.8141,8086.5277626472
2005-07-01,15.9496,16.2098,15.8063,16.2098,3632.2657767477
2005-07-05,15.9496,16.6701,15.9496,16.5111,10302.963637633
2005-07-06,16.2854,16.5111,16.2854,16.5111,1970.9574531707
2005-07-07,16.41,16.786,16.41,16.786,3576.2437302752
2005-07-08,16.3855,16.7793,16.2255,16.3276,10543.349146135
2005-07-11,16.4444,16.4739,16.2255,16.4346,6147.1463720337
2005-07-12,16.5111,16.5111,15.9751,16.2019,6199.0940878537
