date,open,high,low,close,volume
2023-09-15,24.853,24.853,24.853,24.853,63
2023-09-18,25.11,25.11,25.0578,25.0578,345
2023-09-19,25.005,25.01,24.895,24.895,587
2023-09-20,24.755,24.755,24.73,24.73,331
2023-09-21,24.58,24.58,24.3482,24.3482,443
2023-09-22,24.15,24.15,24.0969,24.0969,148
2023-09-25,23.99,24.0887,23.99,24.0887,505
2023-09-26,24.0,24.0,23.9668,23.9668,801
2023-09-27,24.1812,24.1812,24.1812,24.1812,7
2023-09-28,24.29,24.45,24.29,24.45,458
2023-09-29,24.42,24.42,24.3305,24.3305,270
2023-10-02,24.1913,24.1913,24.1913,24.1913,58
2023-10-03,23.96,23.9611,23.96,23.9611,252
2023-10-04,23.71,23.71,23.71,23.71,393
2023-10-05,23.7,23.7,23.7,23.7,14
2023-10-06,23.875,23.8975,23.875,23.8975,260
2023-10-09,24.6,25.3693,24.6,25.3693,7915
2023-10-10,25.64,25.64,25.4501,25.4615,6462
2023-10-11,25.65,25.82,25.645,25.7468,5638
2023-10-12,25.92,25.92,25.57,25.698,21631
2023-10-13,25.95,26.0,25.8,25.8734,10439
2023-10-16,25.99,26.02,25.75,25.9087,5220
2023-10-17,25.72,26.13,25.72,25.8932,7055
2023-10-18,26.16,26.16,25.7548,25.7548,8725
2023-10-19,25.66,25.669,25.5274,25.5274,3634
2023-10-20,25.58,25.82,25.31,25.31,5416
2023-10-23,25.26,25.4501,25.26,25.2777,1377
2023-10-24,25.58,25.62,25.425,25.4571,5522
2023-10-25,25.58,25.9099,25.545,25.545,4665
2023-10-26,25.57,25.585,25.3847,25.4348,10386
2023-10-27,25.33,25.44,25.03,25.0933,7550
2023-10-30,25.3237,25.38,25.2491,25.3343,3237
2023-10-31,25.35,25.68,25.35,25.5759,2834
2023-11-01,25.8284,26.017,25.718,25.832,4243
2023-11-02,26.22,26.52,26.22,26.4189,6558
2023-11-03,26.64,26.89,26.6194,26.63,2970
2023-11-06,26.75,26.75,26.43,26.5344,4989
2023-11-07,26.46,26.56,26.4205,26.4666,5375
2023-11-08,26.6,26.6,26.3399,26.3399,2045
2023-11-09,26.385,26.44,26.1923,26.1923,1944
2023-11-10,26.37,26.67,26.37,26.6093,2527
2023-11-13,26.64,26.97,26.63,26.8213,2817
2023-11-14,26.91,27.0065,26.91,27.0065,3306
2023-11-15,26.99,26.99,26.8696,26.8696,1668
2023-11-16,26.89,26.89,26.6932,26.712,1638
2023-11-17,26.89,27.1899,26.8175,26.9158,3618
2023-11-20,27.02,27.2283,26.92,27.1736,4082
2023-11-21,27.24,27.37,27.0593,27.1163,4345
2023-11-22,27.1729,27.1729,27.0514,27.1198,1362
2023-11-24,27.224,27.51,27.2196,27.2901,4774
2023-11-27,27.11,27.11,26.99,26.99,4073
2023-11-28,27.03,27.2,27.0299,27.0699,1914
2023-11-29,27.16,27.16,26.9591,26.9591,1978
2023-11-30,27.01,27.1,26.95,27.0591,1099
2023-12-01,27.23,27.54,27.23,27.54,1588
2023-12-04,27.31,27.5,27.31,27.4773,2305
2023-12-05,27.3727,27.45,27.2803,27.2803,2461
2023-12-06,27.3,27.36,27.1553,27.1553,2885
2023-12-07,27.0271,27.0499,26.93,26.93,3741
2023-12-08,27.07,27.1887,27.07,27.141,2473
2023-12-11,27.13,27.3,27.13,27.2678,3819
2023-12-12,27.24,27.45,27.175,27.4,2486
2023-12-13,27.3617,27.8005,27.3617,27.7891,4014
2023-12-14,27.53,27.55,27.39,27.4273,3358
2023-12-15,27.52,27.52,27.25,27.327,2001
2023-12-18,27.45,27.55,27.4,27.4528,3550
2023-12-19,27.6,27.84,27.6,27.6646,8476
2023-12-20,27.63,27.73,27.4315,27.4315,4124
