date,open,high,low,close,volume
2021-07-21,25.67,25.67,25.36,25.54,41020
2021-07-21,25.67,25.67,25.36,25.54,41020
2021-07-22,25.5,25.53,25.41,25.5,33768
2021-07-23,25.42,25.47,25.3,25.46,68264
2021-07-26,25.435,25.54,25.42,25.54,75622
2021-07-27,25.495,25.52,25.47,25.52,53837
2021-07-28,25.54,25.64,25.52,25.585,129297
2021-07-29,25.64,25.69,25.5,25.69,153652
2021-07-30,25.65,25.87,25.41,25.53,494901
2021-08-02,25.8899,25.8899,25.45,25.5,49940
2021-08-03,25.5,25.5,25.41,25.42,36010
2021-08-04,25.36,25.54,25.25,25.52,74212
2021-08-05,25.54,25.5532,25.32,25.36,58965
2021-08-06,25.34,25.43,25.2,25.21,38087
2021-08-09,25.2,25.3,25.08,25.17,81392
2021-08-10,25.07,25.1,24.83,25.09,26022
2021-08-11,25.11,25.11,24.92,25.01,31051
2021-08-12,25.01,25.1299,25,25.07,23283
2021-08-13,25.09,25.22,25.09,25.2,26522
2021-08-16,25.2,25.25,25.15,25.19,41415
2021-08-17,25.19,25.32,25.16,25.31,72488
2021-08-18,25.3182,25.36,25.25,25.3,13511
2021-08-19,25.27,25.48,25.27,25.42,18766
2021-08-20,25.48,25.89,25.3515,25.84,12640
2021-08-23,25.89,26.075,25.79,26,18622
2021-08-24,25.9285,26,25.745,26,18348
2021-08-25,26,26.35,25.85,26,6601
2021-08-26,26.02,26.02,25.9,25.93,8260
2021-08-27,25.8499,25.8499,25.8,25.84,1831
2021-08-30,25.87,26.16,25.8402,25.91,8502
2021-08-31,26.06,26.18,26.06,26.18,675
2021-09-01,25.7801,26.19,25.7801,26,4535
2021-09-02,25.9999,25.9999,25.93,25.93,1901
2021-09-03,26.1347,26.1347,25.6301,25.6301,677
2021-09-07,25.885,25.885,25.885,25.885,207
2021-09-08,25.83,25.83,25.57,25.59,838
2021-09-09,25.5401,26.01,25.54,25.69,12203
2021-09-10,25.43,25.45,24.77,25.02,13461
2021-09-13,25.2,25.25,25.0604,25.22,6585
2021-09-14,25.22,25.25,25.07,25.15,8165
2021-09-15,25.15,25.3351,25.15,25.198,6441
2021-09-16,25.2812,25.3,25.1611,25.3,63623
2021-09-17,25.215,25.49,25.2,25.49,2332
2021-09-20,25.3,25.38,25.05,25.15,13835
2021-09-21,25.27,25.38,25.15,25.38,7935
2021-09-22,25.41,25.59,25.339,25.51,2531
2021-09-23,25.59,25.59,25.53,25.55,6486
2021-09-24,25.55,25.5689,25.21,25.21,5197
2021-09-27,25.52,25.56,25.34,25.35,1304
2021-09-28,25.13,25.23,25.1,25.13,20318
2021-09-29,25.06,25.07,25.05,25.0699,1422
2021-09-30,25.32,25.32,25.32,25.32,920
2021-10-01,25.3399,25.3399,25.3399,25.3399,644
2021-10-04,25.25,25.25,25.15,25.15,4566
2021-10-05,25.12,25.32,25.12,25.13,8566
2021-10-06,25.13,25.33,25.13,25.32,2138
2021-10-07,25.4,25.4,25.285,25.3,1582
2021-10-08,25.37,25.37,25.3,25.3,4427
2021-10-11,25.5,25.69,25.5,25.69,1250
2021-10-12,25.44,25.45,25.31,25.35,11608
