date,open,high,low,close,volume
2021-12-14,2700.0,2970.0,1050.0,1219.0,26484.0
2021-12-15,1014.0,1365.99,825.0,1186.0,38668.9
2021-12-16,1119.0,1199.0,1055.34,1137.0,4382.07
2021-12-17,1223.05,1250.0,1002.0,1163.0,16359.7
2021-12-20,1100.0,1161.0,1007.0,1020.0,10142.1
2021-12-21,1050.0,1079.0,851.0,935.0,29320.1
2021-12-22,916.0,948.0,882.0,925.01,7060.64
2021-12-23,957.0,964.0,877.0,890.0,5806.47
2021-12-27,890.0,904.0,793.1,830.0,6025.0
2021-12-28,830.0,905.0,800.01,903.0,5751.56
2021-12-29,903.0,969.0,903.0,963.0,4630.78
2021-12-30,953.0,1029.0,941.01,990.0,4447.51
2021-12-31,995.0,1064.0,930.0,1052.0,3160.71
2022-01-03,1051.0,1067.0,986.0,1057.0,2746.37
2022-01-04,1044.0,1055.0,995.0,1034.0,2418.34
2022-01-05,1017.0,1054.0,960.0,984.0,2385.4
2022-01-06,995.0,997.99,892.76,948.0,2333.59
2022-01-07,940.0,960.0,871.0,886.0,2103.31
2022-01-10,866.0,949.0,825.0,934.0,2276.32
2022-01-11,936.0,947.0,891.01,918.0,1429.18
2022-01-12,909.0,939.0,878.0,882.0,841.28
2022-01-13,887.0,989.0,874.26,989.0,1271.04
2022-01-14,980.0,1102.0,959.0,1092.0,2923.47
2022-01-18,1112.0,1220.0,1000.0,1018.0,4821.01
2022-01-19,1018.0,1130.0,1018.0,1072.0,617.41
2022-01-20,1125.01,1174.99,1013.0,1016.0,2141.17
2022-01-21,985.0,1017.0,851.01,899.0,4117.25
2022-01-24,855.0,939.38,855.0,934.0,984.69
2022-01-25,921.0,921.0,829.94,881.0,1331.39
2022-01-26,883.0,897.5,805.0,821.0,1342.14
2022-01-27,812.0,1115.0,804.0,1080.0,10795.8
2022-01-28,1020.0,1062.0,941.0,988.0,2792.37
2022-01-31,999.0,1136.0,981.0,1136.0,1436.25
2022-02-01,1118.0,1163.45,1067.0,1133.0,1635.3
2022-02-02,1119.0,1205.0,1111.0,1189.0,976.68
2022-02-03,1184.0,1245.0,1033.94,1044.0,2990.59
2022-02-04,1055.0,1140.99,1020.0,1113.0,909.21
2022-02-07,1116.0,1123.0,1000.0,1002.0,1005.01
2022-02-08,1000.0,1044.0,1000.0,1038.0,440.17
2022-02-09,1044.0,1069.09,980.0,999.0,1546.65
2022-02-10,965.0,1087.47,965.0,1018.0,6077.21
2022-02-11,1014.0,1014.0,932.0,954.0,2336.4
2022-02-14,931.0,994.0,912.28,965.0,1453.72
2022-02-15,992.0,1004.0,948.19,963.0,537.95
2022-02-16,944.0,972.0,854.01,878.0,2114.97
2022-02-17,872.0,895.48,710.0,808.0,2522.31
2022-02-18,803.0,838.99,630.0,659.0,1928.66
2022-02-22,644.0,644.0,487.0,498.0,1926.52
2022-02-23,493.0,568.0,453.13,500.0,2174.25
2022-02-24,455.0,548.0,401.0,548.0,3056.78
2022-02-25,548.0,618.99,526.0,573.0,706.54
2022-02-28,555.0,604.0,513.0,536.0,616.81
2022-03-01,537.0,579.0,406.0,418.0,3315.7
2022-03-02,449.0,495.0,440.0,467.0,921.66
2022-03-03,467.0,481.0,424.0,449.0,867.36
2022-03-04,459.0,581.0,430.0,548.0,10442.1
2022-03-07,537.0,537.0,412.0,431.0,1894.98
2022-03-08,412.0,481.0,412.0,451.0,821.4
2022-03-09,479.0,485.03,410.0,425.0,2173.94
2022-03-10,425.0,427.6,366.0,382.0,4387.45
2022-03-11,383.0,387.0,365.0,383.0,799.8
2022-03-14,375.0,410.0,340.0,400.0,1413.86
2022-03-15,405.0,405.0,359.5,374.0,968.96
2022-03-16,376.0,395.0,340.0,344.0,1557.89
2022-03-17,361.0,385.0,324.0,360.0,2741.26
2022-03-18,377.0,386.64,348.0,348.0,3209.89
