date,open,high,low,close,volume
2024-07-25,40.75,41.1025,40.33,40.3458,16664
2024-07-26,40.87,40.96,40.56,40.7186,18392
2024-07-29,40.93,41.14,40.575,40.7147,10262
2024-07-30,40.85,40.89,39.98,39.98,12694
2024-07-31,41.07,41.67,41.05,41.5312,27449
2024-08-01,41.29,41.55,39.65,39.8976,299351
2024-08-02,38.78,38.955,38.4,38.6683,53054
2024-08-05,36.24,38.08,36.24,37.54,48827
2024-08-06,37.7,38.3332,37.42,37.7673,126742
2024-08-07,38.39,38.62,37.19,37.1901,23974
2024-08-08,37.85,38.7051,37.74,38.6583,20328
2024-08-09,38.57,38.9871,38.55,38.905,18361
2024-08-12,38.94,39.265,38.825,38.9741,19339
2024-08-13,39.34,39.58,39.32,39.58,19434
2024-08-14,40.22,40.3559,39.85,40.1,9334
2024-08-15,40.8,41.3704,40.8,41.3191,12331
2024-08-16,41.12,41.53,41.12,41.4945,19379
2024-08-19,41.43,41.99,41.32,41.99,9950
2024-08-20,41.86,42.0952,41.72,41.88,16183
2024-08-21,41.89,42.31,41.89,42.27,20656
2024-08-22,42.34,42.5,41.5,41.57,29841
2024-08-23,41.99,42.5,41.97,42.4389,21515
2024-08-26,42.37,42.5218,41.82,41.95,23684
2024-08-27,41.7,42.1885,41.55,42.0932,14023
2024-08-28,41.96,42.09,41.345,41.68,13433
2024-08-29,41.68,42.2799,41.68,41.83,19091
2024-08-30,42.28,42.43,41.9394,42.41,14261
2024-09-03,41.94,41.98,40.38,40.56,21250
2024-09-04,40.35,40.85,40.3,40.6133,14365
2024-09-05,40.26,40.65,40.08,40.2209,45172
2024-09-06,40.05,40.13,38.97,39.11,29732
2024-09-09,39.42,39.76,39.33,39.6316,14540
2024-09-10,39.77,40.16,39.65,40.16,20792
2024-09-11,40.15,41.19,39.66,41.15,9841
2024-09-12,41.1,41.64,41.03,41.55,13448
2024-09-13,41.84,42.06,41.84,42.0,13634
2024-09-16,41.66,41.9673,41.63,41.95,15145
2024-09-17,42.24,42.34,41.82,41.96,18022
2024-09-18,42.01,42.54,41.74,41.74,21965
2024-09-19,42.79,43.15,42.69,42.99,27441
2024-09-20,42.76,42.99,42.57,42.86,23448
2024-09-23,42.93,42.94,42.6856,42.9,16447
2024-09-24,43.04,43.2901,42.8693,43.28,17730
2024-09-25,43.12,43.2693,42.95,43.0,9265
2024-09-26,43.45,43.63,43.04,43.4,35443
2024-09-27,43.5,43.5,43.2139,43.3,19516
2024-09-30,43.05,43.4,43.0,43.38,13614
2024-10-01,43.32,43.42,42.33,42.54,17258
2024-10-02,42.44,43.0595,42.4,43.01,14816
2024-10-03,42.74,43.18,42.6704,42.87,20569
2024-10-04,43.37,43.45,43.1,43.45,14004
2024-10-07,43.26,43.37,43.04,43.19,9929
2024-10-08,43.25,43.7,43.23,43.64,11718
2024-10-09,43.52,44.26,43.52,44.26,34376
2024-10-10,43.96,44.27,43.7704,44.25,15637
2024-10-11,44.17,44.65,44.17,44.62,30697
2024-10-14,44.69,44.91,44.65,44.84,11928
2024-10-15,44.92,45.0,44.38,44.47,21502
2024-10-16,44.64,44.86,44.45,44.86,30550
2024-10-17,45.0,45.2681,44.9,45.04,21912
2024-10-18,45.25,45.3281,45.08,45.08,20863
2024-10-21,44.98,45.24,44.79,44.99,39109
2024-10-22,44.62,44.85,44.6,44.73,12941
2024-10-23,44.43,44.67,43.88,44.24,55882
2024-10-24,44.58,44.6435,44.37,44.48,18499
2024-10-25,44.65,44.93,44.45,44.45,9378
2024-10-28,44.74,44.895,44.74,44.83,8161
2024-10-29,44.78,45.31,44.78,45.23,9566
2024-10-30,44.86,45.06,44.55,44.55,15056
2024-10-31,44.26,44.26,43.47,43.47,19669
2024-11-01,43.98,44.3499,43.96,44.085,17037
2024-11-04,44.0,44.5,44.0,44.25,14779
2024-11-05,44.28,44.82,44.28,44.82,10431
2024-11-06,45.74,46.21,45.555,46.17,14321
2024-11-07,46.31,46.66,46.27,46.57,22588
2024-11-08,46.4,46.43,46.245,46.4,12336
2024-11-11,46.54,46.54,46.04,46.29,15811
2024-11-12,46.13,46.295,45.6501,45.93,10199
2024-11-13,45.83,45.99,45.53,45.53,11379
