date,open,high,low,close,volume
2021-04-27,0.97,0.97,0.9699,0.97,3060
2021-04-29,1.06,1.06,0.81,0.97,2002
2021-04-30,0.83,0.83,0.8,0.8,385
2021-05-03,0.81,0.81,0.81,0.81,1246
2021-05-05,0.802,0.802,0.7502,0.77,10300
2021-05-06,0.6998,0.6998,0.6998,0.6998,135
2021-05-10,0.7,0.7,0.65,0.65,11670
2021-05-11,0.68,0.68,0.65,0.65,2175
2021-05-12,0.66,0.66,0.639899,0.639899,2563
2021-05-13,0.71,0.71,0.5988,0.5988,4920
2021-05-14,0.58,0.61,0.579899,0.61,79013
2021-05-17,0.62,0.64,0.5999,0.6001,5530
2021-05-18,0.65,0.65,0.65,0.65,280
2021-05-19,0.68,0.68,0.68,0.68,215
2021-05-20,0.65,0.65,0.65,0.65,3280
2021-05-21,0.68,0.68,0.66506,0.6651,1400
2021-05-25,0.67,0.67,0.67,0.67,200
2021-05-26,0.6301,0.6301,0.629899,0.63,22185
2021-05-27,0.6201,0.6201,0.62,0.6201,21428
2021-06-01,0.689899,0.689899,0.689899,0.689899,150
2021-06-02,0.625,0.64,0.625,0.64,385
2021-06-03,0.69,0.69,0.69,0.69,100
2021-06-04,0.635,0.643251,0.63,0.63,1900
2021-06-07,0.6895,0.69,0.6895,0.69,1002
2021-06-08,0.69,0.69,0.68056,0.68056,1200
2021-06-09,0.699899,0.7,0.699899,0.7,2100
2021-06-10,0.7,0.7,0.6999,0.7,1337
2021-06-11,0.7,1.0676,0.629999,0.9746,6695
2021-06-14,0.899899,0.99,0.798501,0.9,7968
2021-06-15,0.8101,0.932399,0.8,0.8,6799
2021-06-16,0.8,0.8,0.7705,0.78,2990
2021-06-17,0.75,0.76,0.75,0.7501,3258
2021-06-18,0.75,0.75,0.7199,0.75,78406
2021-06-22,0.749899,0.749899,0.749899,0.749899,171
2021-06-23,0.76,0.76,0.72,0.75,5750
2021-06-24,0.75,0.75,0.73,0.74,103279
2021-06-25,0.7401,0.75,0.74,0.7451,16228
2021-06-28,0.79,0.804,0.7798,0.790049,18702
2021-06-29,0.81,0.8101,0.7899,0.8,15377
2021-06-30,0.7925,0.8,0.78,0.78,1960
2021-07-01,0.75,0.7907,0.75,0.76,33609
2021-07-02,0.8495,0.85,0.8372,0.8372,1700
2021-07-06,0.81,0.899899,0.81,0.81,659
2021-07-07,0.84,0.865597,0.82,0.83,9805
2021-07-08,0.82,0.829899,0.82,0.829899,1318
2021-07-09,0.8583,0.8583,0.8583,0.8583,1201
2021-07-12,0.84,0.8405,0.83,0.83,1715
2021-07-13,0.83,0.9,0.83,0.832,15324
2021-07-14,0.890101,0.890101,0.890101,0.890101,240
2021-07-19,0.7601,0.8698,0.7601,0.86,8469
2021-07-20,0.771,0.83,0.771,0.8201,2248
2021-07-21,0.8199,0.82,0.78,0.8199,11103
2021-07-22,0.8507,0.9,0.8507,0.8901,1926
2021-07-27,0.87,0.87,0.76,0.8175,11529
2021-07-28,0.8299,0.8299,0.777,0.79,5360
2021-07-29,0.82,0.82,0.81,0.810397,7265
2021-07-30,0.78,0.7825,0.77,0.7825,9806
2021-08-02,0.7561,0.779699,0.7561,0.779699,450
2021-08-03,0.751,0.751741,0.7499,0.7499,6750
2021-08-04,0.746,0.746,0.719899,0.719999,10733
2021-08-05,0.66,0.7398,0.653,0.7398,11809
2021-08-06,0.701,0.745,0.66,0.72,13057
2021-08-09,0.701,0.71,0.7,0.71,3243
2021-08-10,0.7011,0.72,0.7,0.7001,3600
2021-08-11,0.71,0.71,0.71,0.71,400
2021-08-16,0.7,0.705,0.65,0.652201,2545
2021-08-18,0.6611,0.6611,0.6611,0.6611,301
2021-08-19,0.6611,0.67,0.6401,0.6401,1910
2021-08-20,0.5827,0.63,0.579899,0.63,3161
2021-08-23,0.65,0.6501,0.5702,0.570201,7762
2021-08-24,0.601,0.650001,0.601,0.650001,7596
2021-08-26,0.65,0.65,0.65,0.65,4000
2021-08-27,0.58,0.58,0.5702,0.5702,900
2021-08-31,0.635,0.635001,0.5732,0.581,12301
