date,open,high,low,close,volume
2009-03-11,13.02,13.02,13.02,13.02,182.34863437073
2009-03-12,12.7818,12.7907,12.752,12.752,10368.685883666
2009-03-13,12.8582,12.8791,12.7907,12.7907,8526.0579706048
2009-03-16,12.7688,12.8135,12.7688,12.8135,2152.9228267969
2009-03-17,12.752,12.8135,12.752,12.8135,4612.1107632552
2009-03-18,12.6885,12.7321,12.6885,12.7321,3282.2754186731
2009-03-19,12.8274,12.8274,12.8274,12.8274,4883.1150872647
2009-03-20,12.8096,12.8274,12.8096,12.8274,3646.9726874145
2009-03-23,12.8403,12.8403,12.8403,12.8403,9675.5595828534
2009-03-25,12.8274,12.8324,12.8096,12.8096,4861.9586158736
2009-03-26,12.752,12.7956,12.2596,12.7956,8181.5097222358
2009-03-27,12.7907,12.8185,12.7907,12.8185,5767.6570816155
2009-03-30,12.9158,12.9158,12.8234,12.8234,18438.368542834
2009-03-31,12.8234,12.8234,12.8234,12.8234,21775.046316513
2009-04-01,12.8373,12.8373,12.8373,12.8373,531.93413783284
2009-04-02,12.885,12.885,12.8373,12.8373,3708.4271995505
2009-04-06,12.885,12.885,12.8234,12.8234,2071.3192942885
2009-04-07,12.8373,12.8373,12.8373,12.8373,558.12786431703
2009-04-08,12.8135,12.8135,12.8096,12.8096,2826.9075582556
2009-04-09,12.8373,12.8373,12.8135,12.8135,9960.6682211236
2009-04-13,12.885,12.885,12.8403,12.885,5136.9927439577
2009-04-14,12.8989,12.9158,12.8989,12.8989,8526.0579706048
2009-04-15,13.0477,13.0507,13.0477,13.0477,23048.464404053
2009-04-16,13.0389,13.0895,13.0389,13.0507,7830.916767755
2009-04-17,13.0477,13.0477,13.0477,13.0477,1533.3404503439
2009-04-20,13.0697,13.0697,13.0081,13.0081,28370.828135437
2009-04-21,13.1073,13.1232,13.1073,13.1073,35325.262516989
2009-04-22,13.1073,13.1073,13.1073,13.1073,11649.156128336
2009-04-24,13.1073,13.1073,13.1073,13.1073,3020.3381538312
2009-04-27,13.1073,13.1073,13.1073,13.1073,647.79100497446
2009-04-29,13.154,13.1957,13.1391,13.154,8047.5187367589
2009-05-05,13.154,13.154,13.154,13.154,367.71962179732
2009-05-06,13.1738,13.1738,13.1738,13.1738,142672.19090431
2009-05-07,13.1738,13.1738,13.1738,13.1738,34865.864852498
2009-05-08,13.1957,13.1957,13.1887,13.1887,18070.648921037
2009-05-11,13.2383,13.2383,13.1957,13.1957,1891.9930129736
2009-05-12,13.1957,13.1957,13.1887,13.1887,2162.9973369832
2009-05-13,13.1957,13.2383,13.1659,13.2175,9167.8042694675
2009-05-14,13.2175,13.2225,13.1887,13.2175,16803.275539609
2009-05-15,13.2255,13.2255,13.2175,13.2175,8393.0744361465
2009-05-18,13.2255,13.3922,13.2076,13.3634,16522.196705414
2009-05-19,13.3634,13.4289,13.3634,13.4151,15803.884129136
2009-05-20,13.4061,13.4478,13.4061,13.4478,10142.009404476
2009-05-21,13.4239,13.4478,13.2771,13.3128,12786.56832836
2009-05-22,13.3019,13.3068,13.2383,13.2573,12934.663628098
2009-05-26,13.3555,13.3555,13.2383,13.2721,9702.7607603562
2009-05-27,13.3813,13.3813,13.1957,13.1957,30765.539206703
2009-05-28,13.1917,13.3634,13.1738,13.3634,11911.093393178
2009-05-29,13.4577,13.5669,13.4577,13.553,6573.6178965138
2009-06-01,13.4478,13.5997,13.4061,13.5997,6739.8473145865
2009-06-02,13.4706,13.5957,13.4706,13.5957,1404.3867199602
2009-06-03,13.5749,13.6384,13.5749,13.6384,1404.3867199602
2009-06-04,13.6602,13.7753,13.6602,13.7654,2495.4561731287
2009-06-05,13.7446,13.7654,13.7406,13.7515,8587.5124827407
2009-06-08,13.7813,13.7813,13.7565,13.7565,4709.8335120616
2009-06-09,13.693,13.7903,13.683,13.7515,3492.8326815652
2009-06-10,13.8726,13.8726,13.8548,13.8548,1125.3227878017
