date,open,high,low,close,volume
2015-05-08,4.9,4.9,4.9,4.9,14100
2015-05-11,4.9,4.9,4.81,4.81,200
2015-05-12,4.9,5.0,4.8999,4.9999,4358
2015-05-13,5.0,5.0,4.95,5.0,23200
2015-05-14,5.0,5.0,4.95,4.95,9200
2015-05-15,4.8101,4.943,4.8101,4.943,750
2015-05-18,4.95,4.95,4.95,4.95,172
2015-05-19,4.85,4.85,4.85,4.85,100
2015-05-20,4.83,4.9,4.83,4.88,1400
2015-05-21,4.9,5.0,4.9,4.9,41400
2015-05-22,4.9,4.92,4.9,4.9,2900
2015-05-27,4.91,4.97,4.8,4.81,6600
2015-05-28,4.83,5.0,4.81,5.0,3904
2015-05-29,4.97,5.0,4.76,4.9,700
2015-06-02,4.9321,4.9321,4.9321,4.9321,100
2015-06-03,4.96,4.96,4.92,4.95,2800
2015-06-04,4.9,4.9,4.9,4.9,700
2015-06-08,4.8,4.83,4.8,4.83,300
2015-06-09,4.88,4.93,4.75,4.76,5600
2015-06-10,4.8,4.82,4.7592,4.7592,4200
2015-06-11,4.98,4.98,4.8,4.89,6788
2015-06-12,4.96,4.99,4.88,4.95,3600
2015-06-15,5.0,5.0,4.9,4.95,39000
2015-06-16,4.93,5.0,4.93,5.0,46700
2015-06-17,5.0,5.0,4.83,4.9,79200
2015-06-18,4.94,5.0,4.82,4.85,27200
2015-06-19,4.89,4.9,3.71,4.0,107000
2015-06-22,4.45,4.55,4.2,4.32,92400
2015-06-23,3.76,4.49,3.76,4.1884,10286
2015-06-24,4.23,4.45,4.11,4.25,46600
2015-06-25,4.13,4.43,4.1,4.19,10800
2015-06-26,4.12,4.17,4.1,4.1,73300
2015-06-29,4.1,4.15,4.1,4.14,23600
2015-06-30,4.27,4.27,4.19,4.19,568
2015-07-01,4.14,4.17,4.14,4.17,300
2015-07-02,4.1,4.24,3.8,4.01,21900
2015-07-06,4.05,4.05,4.01,4.02,700
2015-07-07,4.0,4.16,3.83,4.11,15000
2015-07-08,4.0,4.12,4.0,4.12,3300
2015-07-09,4.03,4.25,4.03,4.1,36600
2015-07-10,3.95,4.22,3.95,4.22,10600
2015-07-13,4.34,4.38,4.29,4.38,900
2015-07-15,4.21,4.21,4.09,4.09,505
