date,open,high,low,close,volume
2016-04-14,25.78,25.8,24.78,25.79,75230
2016-04-14,25.78,25.8,24.78,25.79,75230
2016-04-15,25.7956,25.81,25.75,25.75,160744
2016-04-18,25.82,25.84,25.7,25.76,192724
2016-04-19,25.84,25.9,25.79,25.81,232248
2016-04-20,25.86,25.94,25.84,25.91,58459
2016-04-21,25.91,26.05,25.8975,25.95,121765
2016-04-22,26.02,26.04,25.95,25.96,45030
2016-04-25,25.99,26.09,25.7,25.76,267087
2016-04-26,25.77,25.89,25.77,25.89,39623
2016-04-27,25.88,26.06,25.8683,26.03,165912
2016-04-28,26.05,26.07,25.95,26.07,198102
2016-04-29,26.12,26.33,26,26.29,380462
2016-05-02,26.25,26.25,26.1,26.25,127413
2016-05-03,26.25,26.25,26.1,26.18,139592
2016-05-04,26.2,26.2,26.11,26.18,92911
2016-05-05,26.24,26.24,26.15,26.2,155264
2016-05-06,26.24,26.24,26.15,26.23,46477
2016-05-09,26.24,26.31,26.18,26.2999,63217
2016-05-10,26.29,26.33,26.2,26.28,161514
2016-05-11,26.255,26.29,26.25,26.255,14468
2016-05-12,26.3292,26.3292,26.25,26.27,6424
2016-05-13,26.26,26.29,26.25,26.27,68529
2016-05-16,26.29,26.32,26.18,26.28,70218
2016-05-17,26.28,26.34,26.25,26.31,35394
2016-05-18,26.28,26.4495,26.26,26.3,67425
2016-05-19,26.38,26.38,26.16,26.29,17641
2016-05-20,26.44,26.44,26.27,26.36,230208
2016-05-23,26.44,26.468,26.32,26.38,248813
2016-05-24,26.39,26.44,26.3228,26.37,839713
2016-05-25,26.47,26.47,26.37,26.4,890560
2016-05-26,26.22,26.25,26.15,26.22,292773
2016-05-27,26.31,26.3599,26.24,26.26,53923
2016-05-31,26.34,26.34,26.23,26.23,117382
2016-06-01,26.25,26.25,26.2,26.2,69113
2016-06-02,26.2,26.3094,26.2,26.24,419793
2016-06-03,26.29,26.61,26.24,26.61,306137
2016-06-06,26.6,26.6,26.46,26.5,25326
2016-06-07,26.5,26.65,26.5,26.6,199817
2016-06-08,26.64,26.64,26.494,26.5277,250312
2016-06-09,26.53,26.6399,26.4701,26.5,144944
2016-06-10,26.53,26.53,26.45,26.46,28008
2016-06-13,26.53,26.53,26.4,26.4,42398
2016-06-14,26.5,26.5,25.95,26.355,686196
2016-06-15,26.45,26.5,25.95,26.44,489920
2016-06-16,26.49,26.49,26.32,26.4,119203
2016-06-17,26.44,26.45,26.3126,26.45,23060
2016-06-20,26.66,26.66,26.4753,26.52,88508
2016-06-21,26.59,26.59,26,26.48,1254800
2016-06-22,26.52,26.53,26.43,26.45,44997
2016-06-23,26.48,26.48,26.43,26.45,46289
2016-06-24,26.35,26.44,26.0618,26.36,49972
2016-06-27,26.36,26.36,26.2473,26.3,38798
2016-06-28,26.45,26.49,26.29,26.49,101909
2016-06-29,26.62,26.7,26.5351,26.69,41394
2016-06-30,26.7,26.92,26.64,26.84,29816
2016-07-01,26.95,27.25,26.95,27.25,231919
2016-07-05,27.24,27.24,27.13,27.24,92839
2016-07-06,27.29,27.35,27.22,27.35,98257
2016-07-07,27.4,27.46,27.39,27.46,83322
2016-07-08,27.49,27.65,27.4601,27.64,75665
2016-07-11,27.7,27.73,27.5736,27.73,74532
2016-07-12,27.76,27.77,27.7,27.75,341672
2016-07-13,27.78,27.79,27.68,27.77,65618
2016-07-14,27.77,27.79,27.73,27.78,72990
2016-07-15,27.89,27.89,27.53,27.65,992845
2016-07-18,27.75,27.75,27.63,27.66,52556
2016-07-19,27.66,27.7,27.58,27.66,237491
2016-07-20,27.73,27.8117,27.705,27.79,69869
2016-07-21,27.8,27.8,27.57,27.66,105512
2016-07-22,27.71,27.71,27.63,27.7,35163
2016-07-25,27.74,27.74,27.66,27.7,27064
2016-07-26,27.75,27.75,27.64,27.68,69275
2016-07-27,27.75,27.75,27.66,27.67,249413
2016-07-28,27.75,27.75,27.67,27.73,36744
2016-07-29,27.8,27.8,27.67,27.67,54436
2016-08-01,27.75,27.75,27.58,27.5801,162240
2016-08-02,27.64,27.64,27.48,27.59,27614
2016-08-03,27.58,27.58,27.45,27.53,126250
2016-08-04,27.57,27.58,27.45,27.5,91809
2016-08-05,27.59,27.59,27.51,27.57,20629
2016-08-08,27.59,27.59,27.47,27.58,483771
2016-08-09,27.62,27.74,27.54,27.74,381720
2016-08-10,27.74,27.78,27.68,27.78,142392
2016-08-11,27.78,27.79,27.72,27.77,30294
2016-08-12,27.77,27.77,27.67,27.75,29802
2016-08-15,27.77,27.77,27.6401,27.72,30382
2016-08-16,27.76,27.76,27.63,27.69,33620
2016-08-17,27.7,27.73,27.6,27.7,247879
2016-08-18,27.7,27.72,27.65,27.68,50125
2016-08-19,27.7,27.7,27.62,27.64,21203
2016-08-22,27.69,27.73,27.62,27.68,322006
2016-08-23,27.74,27.74,27.64,27.73,196692
2016-08-24,27.74,27.74,27.72,27.73,27071
2016-08-25,27.74,27.83,27.73,27.81,20343
2016-08-26,27.88,27.89,27.8377,27.88,17947
2016-08-29,27.55,27.65,27.53,27.63,144269
2016-08-30,27.63,27.69,27.6,27.68,18161
2016-08-31,27.68,27.68,27.56,27.6,38168
2016-09-01,27.65,27.66,27.6,27.65,19351
2016-09-02,27.65,27.74,27.6311,27.74,18951
2016-09-06,27.76,27.76,27.65,27.74,38703
2016-09-07,27.74,27.74,27.62,27.72,127189
2016-09-08,27.74,27.74,27.66,27.66,27687
2016-09-09,27.71,27.71,27.25,27.38,23568
2016-09-12,27.57,27.57,27.02,27.4,89772
2016-09-13,27.5,27.5,26.9182,26.95,47051
2016-09-14,27.11,27.11,26.88,26.95,22748
2016-09-15,27.03,27.1,26.87,26.94,47964
2016-09-16,26.94,26.94,26.62,26.73,160144
2016-09-19,26.82,26.82,26.64,26.76,17144
2016-09-20,26.76,26.79,26.6821,26.79,22378
2016-09-21,26.82,26.93,26.78,26.93,61324
2016-09-22,27.05,27.11,26.95,27.02,61886
2016-09-23,27.14,27.14,26.97,27.01,41307
2016-09-26,27.01,27.01,26.95,26.97,29131
2016-09-27,27.05,27.05,26.88,26.93,40859
2016-09-28,26.95,27.02,26.9247,26.99,38285
2016-09-29,26.99,26.99,26.82,26.82,31106
2016-09-30,26.82,26.89,26.79,26.81,36241
2016-10-03,26.87,26.93,26.84,26.92,27676
2016-10-04,26.94,26.94,26.88,26.91,34964
2016-10-05,26.91,27,26.9,26.92,80426
2016-10-06,26.92,26.92,26.7801,26.85,25843
2016-10-07,26.85,26.87,26.8195,26.85,44469
2016-10-10,26.96,26.96,26.72,26.79,15054
2016-10-11,26.87,26.87,26.66,26.75,16653
2016-10-12,26.75,26.75,26.55,26.58,11303
2016-10-13,26.6,26.6,26.4785,26.56,23797
2016-10-14,26.65,26.67,26.56,26.6,40971
2016-10-17,26.65,26.65,26.58,26.59,38708
2016-10-18,26.75,26.77,26.6,26.64,225590
2016-10-19,26.71,26.9,26.7072,26.8,24773
2016-10-20,26.85,26.91,26.7801,26.91,18134
2016-10-21,26.92,27,26.86,26.9,47127
2016-10-24,27.09,27.09,26.98,27.02,26599
2016-10-25,27.04,27.159,27.039,27.09,17006
2016-10-26,27.15,27.15,27.08,27.15,108119
2016-10-27,27.16,27.16,26.9496,26.99,24584
2016-10-28,26.99,26.99,26.83,26.83,18761
2016-10-31,26.94,26.94,26.75,26.77,174575
2016-11-01,26.85,26.85,26.66,26.6699,13193
2016-11-02,26.75,26.75,26.31,26.33,21173
2016-11-03,26.47,26.47,26.08,26.1,16618
2016-11-04,26.27,26.33,26.14,26.33,14711
2016-11-07,26.35,26.5099,26.15,26.15,39371
2016-11-08,26.2,26.3,26.14,26.3,22638
2016-11-09,26,26.2,25.92,26.02,13402
2016-11-10,26,26,25.38,25.4,164472
2016-11-11,25.2,25.46,25.06,25.22,62819
2016-11-14,25.17,25.17,24.7568,24.97,91263
2016-11-15,25.03,25.59,25,25.55,67687
2016-11-16,25.49,25.62,25.3701,25.51,53739
2016-11-17,25.52,25.5227,25.14,25.3,33359
2016-11-18,25.3,25.4199,25.22,25.25,70782
2016-11-21,25.35,25.37,25.26,25.35,24438
2016-11-22,25.52,25.52,25.3079,25.47,36447
2016-11-23,25.35,25.3878,25.29,25.34,22191
2016-11-25,25.4,25.61,25.39,25.61,13048
2016-11-28,25.41,25.43,25.2,25.2,25617
2016-11-29,25.22,25.28,25.05,25.15,130906
2016-11-30,25.02,25.0686,24.901,24.9752,31701
2016-12-01,24.78,24.9,24.64,24.66,52302
2016-12-02,24.66,24.7799,24.59,24.59,34326
2016-12-05,24.65,24.69,24.3879,24.59,33730
2016-12-06,24.59,24.76,24.5652,24.655,32814
2016-12-07,24.62,24.9,24.62,24.8,32140
2016-12-08,24.85,24.85,24.64,24.665,18636
2016-12-09,24.75,24.75,24.46,24.54,74900
2016-12-12,24.54,24.55,24.33,24.38,25719
2016-12-13,24.36,24.49,24.33,24.46,32161
2016-12-14,24.46,24.54,24.33,24.46,273106
2016-12-15,24.25,24.6788,24.25,24.5,291323
2016-12-16,24.42,24.66,24.42,24.645,361132
2016-12-19,24.59,24.856,24.59,24.8097,22826
2016-12-20,24.69,25.02,24.69,24.95,31157
2016-12-21,24.85,25.3499,24.85,25.2,25687
2016-12-22,25.45,25.45,25.148,25.26,14659
2016-12-23,25.18,25.2133,25.12,25.13,6114
2016-12-27,25.07,25.28,25.07,25.28,27090
2016-12-28,25.13,25.2,25.08,25.19,25672
2016-12-29,25.16,25.18,25.09,25.09,65021
2016-12-30,25.01,25.0899,25.01,25.02,31355
2017-01-03,25.02,25.26,25.02,25.1384,62458
2017-01-04,25.15,25.39,25.15,25.39,64842
2017-01-05,25.4,25.53,25.27,25.37,38679
2017-01-06,25.27,25.41,25.27,25.3,33244
2017-01-09,25.31,25.43,25.3,25.3214,51998
2017-01-10,25.35,25.5,25.35,25.42,259165
2017-01-11,25.41,25.58,25.4,25.58,36895
2017-01-12,25.62,25.7337,25.57,25.57,33869
2017-01-13,25.56,25.62,25.4701,25.53,20188
2017-01-17,25.5,25.63,25.5,25.55,53228
2017-01-18,25.47,25.55,25.46,25.55,28751
2017-01-19,25.44,25.49,25.17,25.27,66892
2017-01-20,25.17,25.36,25.15,25.3,29466
2017-01-23,25.21,25.46,25.21,25.31,22860
2017-01-24,25.31,25.43,25.3,25.31,42101
2017-01-25,25.31,25.31,25.089,25.09,92282
2017-01-26,25.2,25.24,25.1393,25.18,49365
2017-01-27,25.24,25.31,25.24,25.27,75989
2017-01-30,25.42,25.42,25.25,25.33,26109
2017-01-31,25.31,25.4701,25.31,25.47,39335
2017-02-01,25.41,25.47,25.32,25.33,527706
2017-02-02,25.34,25.45,25.34,25.4,162387
2017-02-03,25.42,25.67,25.42,25.57,163422
2017-02-06,25.56,25.74,25.56,25.72,24190
2017-02-07,25.63,25.84,25.63,25.8,135395
2017-02-08,25.86,26.05,25.81,26,41319
2017-02-09,25.88,26.1,25.82,25.95,694924
2017-02-10,25.86,25.99,25.86,25.91,53496
2017-02-13,25.93,26.04,25.852,25.98,50464
2017-02-14,25.98,25.9899,25.8,25.93,108660
2017-02-15,25.83,25.9599,25.83,25.88,76807
2017-02-16,25.86,26,25.86,25.88,64941
2017-02-17,25.92,26.0665,25.92,26.0101,163791
2017-02-21,25.98,26.15,25.98,26.15,22917
2017-02-22,26.06,26.24,26.06,26.24,18823
2017-02-23,26.24,26.59,26.24,26.5,32164
2017-02-24,26.26,26.43,26.25,26.36,87466
2017-02-27,26.41,26.47,26.36,26.46,10853
2017-02-28,26.31,26.53,26.31,26.53,54859
2017-03-01,26.3,26.62,26.3,26.59,113545
2017-03-02,26.5,26.61,26.46,26.57,38444
2017-03-03,26.58,26.76,26.5001,26.75,80183
2017-03-06,26.69,26.69,26.5102,26.6,109343
2017-03-07,26.6,26.6,26.5,26.55,165820
2017-03-08,26.36,26.36,26.12,26.2,30071
2017-03-09,26.09,26.15,25.84,25.99,108161
