date,open,high,low,close,volume
2023-08-11,20.045,20.0599,20.03,20.0567,12138
2023-08-14,20.03,20.059,20.02,20.04,28832
2023-08-15,20.0,20.045,19.89,19.89,10343
2023-08-16,19.85,19.93,19.83,19.9093,11743
2023-08-17,19.83,19.85,19.83,19.85,5499
2023-08-18,19.85,19.9,19.82,19.8435,19797
2023-08-21,19.86,19.9,19.82,19.8832,4025
2023-08-22,19.8,19.82,19.77,19.81,4712
2023-08-23,19.79,19.93,19.78,19.9099,8827
2023-08-24,20.0,20.0,19.9473,19.9473,2726
2023-08-25,20.0,20.0,19.885,19.89,4706
2023-08-28,19.95,19.96,19.945,19.9597,13042
2023-08-29,20.0,20.09,19.97,20.05,7854
2023-08-30,20.1,20.1,20.06,20.06,1461
2023-08-31,20.13,20.15,20.1,20.125,3502
2023-09-01,20.125,20.125,20.055,20.075,3567
2023-09-05,20.0292,20.0292,19.96,19.9826,12447
2023-09-06,19.965,19.965,19.94,19.9424,4526
2023-09-07,19.9225,19.96,19.915,19.95,8753
2023-09-08,19.988,19.988,19.9672,19.9672,425
2023-09-11,20.05,20.05,19.9774,19.9796,3531
2023-09-12,19.975,19.98,19.92,19.9515,8171
2023-09-13,19.85,19.91,19.85,19.9,11936
2023-09-14,19.99,19.99,19.96,19.97,1774
2023-09-15,19.95,19.95,19.94,19.94,1566
2023-09-18,19.93,19.93,19.93,19.93,987
2023-09-19,19.93,19.94,19.88,19.91,459776
2023-09-20,19.9391,19.9391,19.875,19.875,5532
2023-09-21,19.7802,19.8,19.75,19.75,4470
2023-09-22,19.84,19.84,19.79,19.8136,4699
2023-09-25,19.78,19.79,19.7648,19.7648,5109
2023-09-26,19.7,19.71,19.695,19.71,2643
2023-09-27,19.6107,19.6107,19.53,19.53,1501
2023-09-28,19.515,19.54,19.515,19.54,392
2023-09-29,19.54,19.65,19.5399,19.6199,7111
2023-10-02,19.56,19.56,19.51,19.51,920
2023-10-03,19.35,19.45,19.34,19.37,9536
2023-10-04,19.375,19.39,19.37,19.386,3152
2023-10-05,19.4,19.42,19.4,19.4087,3916
2023-10-06,19.4,19.4,19.35,19.365,9420
2023-10-09,19.42,19.57,19.42,19.5499,13200
2023-10-10,19.59,19.59,19.56,19.57,5151
2023-10-11,19.585,19.62,19.58,19.62,3097
2023-10-12,19.6076,19.62,19.45,19.4594,3790
2023-10-13,19.53,19.54,19.52,19.53,3722
2023-10-16,19.5663,19.5867,19.44,19.44,3581
2023-10-17,19.46,19.47,19.295,19.31,13054
2023-10-18,19.202,19.21,19.2,19.21,916
2023-10-19,19.18,19.2,19.1788,19.1825,7005
2023-10-20,19.23,19.23,19.19,19.2148,1534
2023-10-23,19.21,19.26,19.145,19.2594,2084
2023-10-24,19.24,19.33,19.24,19.33,6691
2023-10-25,19.29,19.29,19.24,19.24,1384
2023-10-26,19.27,19.3183,19.26,19.3183,2412
2023-10-27,19.2549,19.26,19.24,19.26,3735
2023-10-30,19.15,19.2242,19.15,19.2242,5374
2023-10-31,19.24,19.26,19.23,19.2446,8483
2023-11-01,19.3,19.38,19.3,19.38,2716
2023-11-02,19.46,19.5,19.46,19.4821,3675
2023-11-03,19.7,19.7,19.6355,19.6355,6380
2023-11-06,19.565,19.565,19.54,19.5454,919
2023-11-07,19.6,19.64,19.565,19.62,7752
2023-11-08,19.6202,19.7,19.6202,19.69,7231
2023-11-09,19.69,19.69,19.5874,19.5874,1842
2023-11-10,19.62,19.625,19.56,19.5722,1983
2023-11-13,19.54,19.56,19.5204,19.532,1753
2023-11-14,19.7301,19.82,19.7301,19.7997,4169
2023-11-15,19.74,19.75,19.72,19.7211,335450
2023-11-16,19.81,19.83,19.7815,19.8,95236
2023-11-17,19.772,19.86,19.772,19.84,6773
2023-11-20,19.95,19.95,19.8272,19.84,10861
2023-11-21,19.92,19.92,19.86,19.88,11982
2023-11-22,19.93,19.93,19.885,19.8897,20751
2023-11-24,19.75,19.79,19.75,19.75,2602
2023-11-27,19.75,19.899,19.75,19.865,7272
2023-11-28,19.71,19.85,19.71,19.83,5599
2023-11-29,19.75,19.98,19.75,19.98,5777
2023-11-30,19.99,19.99,19.9615,19.9642,5449
2023-12-01,19.94,20.1,19.94,20.065,24079
2023-12-04,20.05,20.052,20.02,20.0395,5870
2023-12-05,20.06,20.15,20.06,20.1355,2972
2023-12-06,20.145,20.21,20.11,20.1782,36302
2023-12-07,20.18,20.2,20.18,20.185,6085
2023-12-08,20.12,20.12,20.07,20.11,4392
2023-12-11,20.08,20.08,20.05,20.0607,2596
2023-12-12,20.09,20.14,20.0579,20.13,8448
2023-12-13,20.14,20.35,20.11,20.35,6284
2023-12-14,20.5,20.5,20.38,20.425,5417
2023-12-15,20.42,20.5,20.385,20.4454,12555
2023-12-18,20.44,20.4892,20.4,20.425,35119
2023-12-19,20.46,20.4653,20.43,20.4535,22679
2023-12-20,20.351,20.402,20.351,20.3754,20692
2023-12-21,20.4,20.434,20.38,20.41,14650
2023-12-22,20.4,20.42,20.4,20.4105,18193
2023-12-26,20.4,20.41,20.35,20.4049,14165
2023-12-27,20.44,20.52,20.44,20.4681,9209
2023-12-28,20.47,20.52,20.4371,20.5,15731
2023-12-29,20.48,20.505,20.4,20.48,6995
2024-01-02,20.65,20.65,20.33,20.33,9754
2024-01-03,20.295,20.435,20.25,20.37,6703
2024-01-04,20.39,20.39,20.28,20.2993,6573
2024-01-05,20.3096,20.36,20.3096,20.3277,8803
2024-01-08,20.329,20.33,20.329,20.329,2596
2024-01-09,20.3129,20.33,20.31,20.3202,4847
2024-01-10,20.33,20.33,20.31,20.3199,7981
2024-01-11,20.33,20.3757,20.3299,20.3757,3557
2024-01-12,20.47,20.48,20.431,20.4486,5960
2024-01-16,20.42,20.425,20.36,20.385,17703
2024-01-17,20.3,20.32,20.26,20.279,69549
2024-01-18,20.28,20.29,20.275,20.29,61199
2024-01-19,20.19,20.2699,20.18,20.24,67811
2024-01-22,20.2708,20.3,20.2666,20.27,18992
2024-01-23,20.13,20.405,20.13,20.27,24933
2024-01-24,20.27,20.27,20.21,20.23,35278
2024-01-25,20.29,20.3,20.22,20.289,37634
2024-01-26,20.2569,20.3,20.23,20.25,16928
2024-01-29,20.2436,20.29,20.2206,20.29,18624
2024-01-30,20.3,20.312,20.21,20.28,57102
2024-01-31,20.389,20.4111,20.37,20.3943,27637
2024-02-01,20.51,20.56,20.44,20.528,17734
2024-02-02,20.38,20.415,20.345,20.379,16844
2024-02-05,20.35,20.35,20.23,20.24,21045
2024-02-06,20.15,20.81,20.15,20.29,139911
2024-02-07,20.269,20.33,20.23,20.2594,42569
2024-02-08,20.22,20.23,20.205,20.21,25470
2024-02-09,20.24,20.24,20.172,20.24,82574
2024-02-12,20.185,20.23,20.14,20.2242,63216
2024-02-13,20.061,20.08,19.94,20.0,179650
2024-02-14,19.9501,20.04,19.93,20.0,46979
2024-02-15,20.08,20.11,20.0699,20.09,26020
2024-02-16,20.02,20.06,19.98,20.06,24194
2024-02-20,20.0,20.1,20.0,20.0565,28957
2024-02-21,20.07,20.07,19.99,20.02,37490
2024-02-22,20.005,20.02,19.99,20.0,34057
2024-02-23,20.03,20.13,20.03,20.13,52738
2024-02-26,20.18,20.18,20.0501,20.08,36499
2024-02-27,19.96,20.01,19.96,20.0,48616
2024-02-28,20.0,20.01,19.95,20.0082,17610
2024-02-29,20.02,20.07,20.0,20.0,27237
2024-03-01,20.0,20.14,20.0,20.1348,8048
2024-03-04,20.17,20.17,20.07,20.12,25931
2024-03-05,20.15,20.19,20.13,20.1617,25912
2024-03-06,20.17,20.23,20.17,20.2185,13690
2024-03-07,20.23,20.27,20.22,20.25,43922
2024-03-08,20.29,20.31,20.28,20.28,105576
2024-03-11,20.28,20.31,20.26,20.29,20629
2024-03-12,20.26,20.26,20.21,20.225,20648
2024-03-13,20.22,20.22,20.19,20.1995,6159
2024-03-14,20.13,20.15,20.09,20.13,21830
2024-03-15,20.15,20.15,20.04,20.0498,33942
2024-03-18,20.02,20.04,20.01,20.03,26849
2024-03-19,20.0497,20.07,20.045,20.07,22402
2024-03-20,20.15,20.15,20.06,20.11,265037
2024-03-21,20.14,20.16,20.12,20.14,28328
2024-03-22,20.18,20.22,20.17,20.1994,33296
2024-03-25,20.19,20.2,20.16,20.1886,19046
2024-03-26,20.19,20.19,20.08,20.1295,21578
2024-03-27,20.12,20.19,20.12,20.19,37744
2024-03-28,20.1585,20.19,20.15,20.1785,23361
2024-04-01,20.14,20.14,20.01,20.0303,16750
2024-04-02,20.0,20.01,19.9,20.0094,20568
2024-04-03,19.96,20.02,19.96,20.0197,21667
2024-04-04,20.0448,20.085,20.015,20.0842,9278
2024-04-05,20.0095,20.03,19.9925,19.9954,17871
2024-04-08,19.98,19.98,19.93,19.9606,26524
2024-04-09,19.99,20.04,19.9802,20.0316,22826
2024-04-10,19.86,19.87,19.7401,19.7599,39766
2024-04-11,19.76,19.77,19.7,19.75,40842
2024-04-12,19.8122,19.84,19.7901,19.8097,10597
2024-04-15,19.8,19.8,19.65,19.69,20911
2024-04-16,19.61,19.636,19.57,19.62,38587
2024-04-17,19.75,19.75,19.64,19.73,18785
2024-04-18,19.72,19.72,19.65,19.67,8923
2024-04-19,19.62,19.7,19.62,19.69,15156
2024-04-22,19.6704,19.7,19.67,19.6946,27713
2024-04-23,19.69,19.77,19.67,19.7345,24958
2024-04-24,19.73,19.73,19.674,19.6976,11146
2024-04-25,19.5,19.63,19.5,19.6202,4945
2024-04-26,19.58,19.6,19.55,19.59,15367
2024-04-29,19.65,19.68,19.64,19.649,10823
2024-04-30,19.582,19.61,19.565,19.57,20744
2024-05-01,19.58,19.67,19.58,19.6495,48224
2024-05-02,19.7,19.74,19.66,19.73,32441
2024-05-03,19.84,19.85,19.78,19.84,11960
2024-05-06,19.85,19.87,19.85,19.87,6937
2024-05-07,19.88,19.93,19.867,19.89,24869
2024-05-08,19.88,19.88,19.86,19.86,8875
2024-05-09,19.87,19.92,19.85,19.91,15041
2024-05-10,19.85,19.87,19.846,19.86,14161
2024-05-13,19.87,19.9,19.85,19.879,21822
2024-05-14,19.91,19.94,19.905,19.93,1832
2024-05-15,20.0,20.0522,20.0,20.0522,5686
2024-05-16,20.06,20.06,20.03,20.04,6116
2024-05-17,20.01,20.01,19.9711,19.9711,3761
2024-05-20,19.95,19.96,19.93,19.955,2859
2024-05-21,19.97,20.01,19.97,20.01,7060
2024-05-22,19.96,19.99,19.94,19.975,6161
2024-05-23,19.895,19.92,19.89,19.91,7490
2024-05-24,19.91,19.93,19.9,19.93,1097
2024-05-28,19.8901,19.8901,19.82,19.82,6792
2024-05-29,19.75,19.78,19.735,19.78,4806
2024-05-30,19.7,19.77,19.7,19.74,16531
2024-05-31,19.79,19.8299,19.789,19.82,5533
2024-06-03,19.84,19.91,19.84,19.91,8952
2024-06-04,19.97,20.01,19.96,20.01,4730
2024-06-05,20.03,20.07,19.99,20.07,20943
2024-06-06,20.13,20.13,20.05,20.07,8881
2024-06-07,19.97,19.97,19.9101,19.9101,1883
2024-06-10,19.84,19.8792,19.83,19.8651,5062
2024-06-11,19.9,19.97,19.8753,19.97,8939
2024-06-12,20.08,20.14,20.06,20.06,20628
2024-06-13,20.12,20.19,20.12,20.17,5749
2024-06-14,20.18,20.18,20.15,20.1702,66356
2024-06-17,20.09,20.11,20.0701,20.1051,19033
2024-06-18,20.1,20.18,20.1,20.18,9351
2024-06-20,20.15,20.15,20.1,20.149,9181
2024-06-21,20.13,20.14,20.1,20.14,75403
2024-06-24,20.18,20.18,20.13,20.17,18319
2024-06-25,20.17,20.1797,20.13,20.17,20174
2024-06-26,20.13,20.18,20.0697,20.0697,18854
2024-06-27,19.98,20.06,19.98,20.05,11649
2024-06-28,20.07,20.07,19.96,19.98,4352
2024-07-01,19.899,19.91,19.83,19.83,16705
2024-07-02,19.87,19.91,19.87,19.91,14459
2024-07-03,19.91,20.01,19.91,20.01,10198
2024-07-05,20.04,20.12,20.04,20.11,8437
2024-07-08,20.09,20.13,20.09,20.12,17357
2024-07-09,20.09,20.12,20.064,20.12,17381
2024-07-10,20.14,20.14,20.09,20.13,39461
2024-07-11,20.24,20.25,20.223,20.23,10495
2024-07-12,20.25,20.28,20.23,20.28,16519
2024-07-15,20.34,20.34,20.2,20.2294,40710
2024-07-16,20.22,20.29,20.21,20.29,13637
2024-07-17,20.34,20.34,20.25,20.31,26562
2024-07-18,20.28,20.35,20.26,20.27,29997
2024-07-19,20.22,20.22,20.2,20.21,2828
2024-07-22,20.23,20.23,20.17,20.2,79620
2024-07-23,20.22,20.24,20.215,20.22,15570
2024-07-24,20.22,20.25,20.18,20.19,7262
2024-07-25,20.22,20.246,20.18,20.22,34776
2024-07-26,20.28,20.29,20.27,20.29,6127
2024-07-29,20.34,20.34,20.3084,20.32,32264
