date,open,high,low,close,volume
2025-12-18,25.1799,25.1799,25.15,25.155,600
2025-12-19,25.15,25.15,25.14,25.14,320
2025-12-22,25.17,25.18,25.16,25.16,505
2025-12-26,25.246,25.246,25.22,25.245,200
2025-12-31,25.21,25.21,25.159,25.159,1543
2026-01-05,25.22,25.22,25.21,25.21,640
2026-01-09,25.225,25.2255,25.22,25.2255,200
2026-01-12,25.22,25.27,25.205,25.205,601
2026-01-16,25.275,25.28,25.215,25.215,1046
2026-01-22,25.19,25.2,25.19,25.2,122
2026-01-23,25.2296,25.235,25.21,25.235,1032
2026-01-26,25.2895,25.34,25.27,25.27,1933
2026-01-27,25.19,25.26,25.1899,25.1899,2643
2026-01-28,25.16,25.18,25.1599,25.175,62211
2026-01-29,25.16,25.21,25.15,25.185,3147
2026-01-30,25.22,25.27,25.17,25.1745,3573
2026-02-02,25.15,25.16,25.145,25.145,954
2026-02-03,25.15,25.15,25.1245,25.145,218
2026-02-05,25.2299,25.2299,25.225,25.225,300
2026-02-06,25.24,25.26,25.24,25.24,2656
2026-02-10,25.35,25.36,25.34,25.34,3302
