date,open,high,low,close,volume
2022-05-03,78.04,83.225,75.8275,77.6225,66996.4
2022-05-04,77.875,86.9995,70.0,85.55,68884.0
2022-05-05,81.05,81.068,68.1,70.025,73649.2
2022-05-06,67.675,69.2125,59.175,63.9765,89860.4
2022-05-09,59.85,61.975,50.5,51.375,71130.4
2022-05-10,55.725,58.9,46.5,51.398,123235.2
2022-05-11,46.7,51.15,40.3,41.225,174412.8
2022-05-12,39.125,49.1748,36.926,45.825,145086.4
2022-05-13,50.3,57.4,50.25,55.95,161191.6
2022-05-16,54.8,57.025,49.3875,49.4,240733.2
2022-05-17,53.45,55.45,48.61,54.75,231714.8
2022-05-18,51.025,56.132,49.175,50.0,238779.6
2022-05-19,50.5,56.725,48.75,53.425,143773.2
2022-05-20,57.05,57.825,46.5,52.8,235868.4
2022-05-23,53.35,53.575,48.575,51.95,297427.6
2022-05-24,49.275,49.3295,43.375,45.0,317214.4
2022-05-25,45.05,49.835,44.65,48.7,264990.4
2022-05-26,48.2875,53.575,47.5,52.85,234915.6
2022-05-27,54.6,59.725,53.875,59.5,292161.2
2022-05-31,60.125,60.975,53.775,55.875,334546.8
2022-06-01,56.575,58.465,50.2,51.725,286968.8
2022-06-02,52.325,60.85,51.275,59.4,365051.2
2022-06-03,55.625,57.5,52.475,53.05,322076.8
2022-06-06,56.35,57.45,52.0025,54.0,228226.0
2022-06-07,51.725,57.35,50.65,57.25,157774.4
2022-06-08,56.775,62.75,56.753,60.175,220128.8
2022-06-09,59.375,60.75,52.5,52.5,237421.2
2022-06-10,48.95,50.945,44.75,45.55,421024.4
2022-06-13,40.175,41.5,36.65,37.275,498697.2
2022-06-14,38.5,39.25,35.625,38.175,350880.0
2022-06-15,39.15,44.4975,38.725,42.925,731668.0
2022-06-16,39.0,40.125,36.773,38.125,448679.6
2022-06-17,38.55,42.4,38.55,41.275,508229.2
2022-06-21,44.0,48.1,43.75,45.125,437264.8
2022-06-22,43.25,48.6245,42.525,46.45,437653.2
2022-06-23,47.45,53.475,45.9875,53.075,514258.8
2022-06-24,54.75,57.85,52.975,57.35,606159.2
2022-06-27,57.525,58.275,51.8,54.875,435036.0
2022-06-28,54.975,56.125,48.2,48.55,400896.0
2022-06-29,48.0,48.571,45.0615,47.0,807836.8
2022-06-30,45.025,45.8215,41.5,43.525,523550.4
2022-07-01,44.325,47.25,43.5595,45.9,569217.6
2022-07-05,44.675,54.425,43.05,54.425,571684.4
2022-07-06,54.35,56.875,51.0,52.2,607923.6
2022-07-07,52.525,58.9,51.65,58.6,802451.2
2022-07-08,56.025,61.9625,55.075,58.725,1250937.6
2022-07-11,57.375,57.9,50.45,50.675,609920.4
2022-07-12,51.875,54.5,48.5,51.975,705584.8
2022-07-13,48.25,54.214,47.5788,51.5,1010966.0
2022-07-14,50.4,51.375,47.5,49.45,713658.8
2022-07-15,50.825,52.0,47.325,52.0,631362.8
2022-07-18,54.5,56.575,50.75,51.15,860019.2
2022-07-19,53.125,55.7625,50.1775,55.676,775935.6
2022-07-20,56.875,63.475,56.305,61.175,1185952.0
2022-07-21,60.475,64.15,59.45,63.275,548762.8
2022-07-22,63.4,64.325,55.05,56.25,771617.6
2022-07-25,55.7,56.15,52.575,54.7455,281217.6
2022-07-26,52.55,52.55,49.475,49.65,561633.6
2022-07-27,52.1,56.825,50.675,56.3,505976.0
2022-07-28,55.3,57.5,50.775,55.6,500624.0
2022-07-29,52.475,53.5975,50.5525,53.1,471433.2
2022-08-01,51.7,56.625,50.625,54.4,536623.6
2022-08-02,52.5,59.2975,52.5,57.5,598043.6
2022-08-03,59.875,65.05,59.8125,64.3,543171.6
2022-08-04,65.05,67.9,62.4,65.35,402334.8
2022-08-05,61.3,67.025,59.87,65.025,486732.0
2022-08-08,66.95,71.275,65.85,67.05,412988.8
2022-08-09,64.55,65.0,58.0465,59.95,524395.6
2022-08-10,65.375,68.625,62.316,68.35,619527.2
2022-08-11,70.475,74.525,63.5125,64.1,689610.8
2022-08-12,66.1,69.625,64.05,69.025,400673.6
2022-08-15,68.175,71.25,67.225,69.975,348647.2
2022-08-16,69.375,69.75,62.5,66.075,453474.0
2022-08-17,62.825,64.2,58.576,59.025,506571.6
2022-08-18,59.0,59.125,56.0,57.75,338016.8
2022-08-19,54.525,54.8235,50.0,50.675,554059.6
2022-08-22,48.75,50.675,47.275,48.025,459678.8
2022-08-23,47.85,50.125,46.1,47.475,572806.0
