date,open,high,low,close,volume
2020-06-02,25.65,25.65,25.38,25.45,1048706
2020-06-02,25.65,25.65,25.38,25.45,1048706
2020-06-03,25.49,25.49,25.32,25.4,408441
2020-06-04,25.32,25.56,25.32,25.52,1159568
2020-06-05,25.58,25.6,25.44,25.48,264067
2020-06-08,25.45,25.55,25.37,25.55,382243
2020-06-09,25.53,25.65,25.47,25.62,194619
2020-06-10,25.56,25.69,25.53,25.69,90466
2020-06-11,25.55,25.62,25.06,25.16,188986
2020-06-12,25.28,25.35,25.1,25.12,92410
2020-06-15,25.12,25.47,25.1,25.46,105524
2020-06-16,25.58,25.64,25.51,25.52,116666
2020-06-17,25.57,25.65,25.5,25.64,137821
2020-06-18,25.56,25.62,25.43,25.58,134520
2020-06-19,25.59,25.675,25.51,25.53,187652
2020-06-22,25.63,25.96,25.6,25.89,136199
2020-06-23,25.94,26.128,25.849,26.05,256952
2020-06-24,25.98,26,25.68,25.8,356673
2020-06-25,25.87,25.95,25.735,25.92,481851
2020-06-26,25.94,25.94,25.8,25.86,353150
2020-06-29,25.87,25.95,25.83,25.93,627233
2020-06-30,25.97,26.34,25.85,26.08,2417546
2020-07-01,26.19,26.19,26.03,26.03,69563
2020-07-02,26.15,26.1624,25.96,25.96,114205
2020-07-06,26.2,26.22,25.95,26.01,60449
2020-07-07,26,26.14,25.95,25.95,107113
2020-07-08,26.03,26.132,25.94,26.056,34138
2020-07-09,26.0749,26.09,26.005,26.03,44454
2020-07-10,26.1,26.1,26.015,26.04,64905
2020-07-13,26.07,26.0786,25.87,25.87,24872
2020-07-14,25.98,26.03,25.79,25.86,61859
2020-07-15,26.01,26.06,25.863,25.95,103651
2020-07-16,25.95,26.1299,25.869,26.08,54747
2020-07-17,26.13,26.28,26.07,26.28,71206
2020-07-20,26.2,26.3,26.17,26.28,40353
2020-07-21,26.3,26.46,26.2557,26.42,54104
2020-07-22,26.4,26.4,26.17,26.35,55962
2020-07-23,26.38,26.56,26.28,26.48,34809
2020-07-24,26.5,26.57,26.21,26.36,48139
2020-07-27,26.49,26.5,26.395,26.45,33016
2020-07-28,26.515,26.59,26.3915,26.5898,50490
2020-07-29,26.59,26.97,26.46,26.96,95993
2020-07-30,26.75,26.94,26.59,26.7,271544
2020-07-31,26.75,26.89,26.6,26.85,62873
2020-08-03,26.87,27.35,26.868,27.16,67820
2020-08-04,27.22,27.35,26.91,27.18,75250
2020-08-05,27.19,27.44,27.1,27.4,44450
2020-08-06,27.24,27.46,27.24,27.375,69260
2020-08-07,27.42,27.49,27.14,27.49,55803
2020-08-10,27.48,27.59,27.27,27.47,108120
2020-08-11,27.47,27.67,27.38,27.6,53026
2020-08-12,27.64,27.83,27.64,27.8,26574
2020-08-13,27.58,27.74,27.41,27.63,104061
2020-08-14,27.71,27.87,27.57,27.84,39196
2020-08-17,27.87,27.99,27.7563,27.98,31615
2020-08-18,27.96,28.16,27.819,28.1,103171
2020-08-19,27.91,28.17,27.91,27.95,40692
2020-08-20,27.96,28.23,27.873,28.02,203455
2020-08-21,28.03,28.15,27.92,27.92,29570
2020-08-24,28.02,28.05,27.7808,27.83,57038
2020-08-25,27.93,27.93,27.65,27.76,43725
2020-08-26,27.87,27.8995,27.75,27.8,40618
2020-08-27,27.83,27.87,27.71,27.76,31538
2020-08-28,27.89,27.89,27.6301,27.64,39769
2020-08-31,27.65,27.86,27.6,27.6,80344
2020-09-01,27.74,27.78,27.63,27.75,30185
2020-09-02,27.78,27.78,27.5,27.75,111266
2020-09-03,27.69,27.69,27.39,27.52,77999
2020-09-04,27.58,27.58,27,27.35,127846
2020-09-08,27.4,27.555,27.11,27.39,40517
2020-09-09,27.49,27.64,27.3,27.6,31861
2020-09-10,27.64,27.64,27.5023,27.58,50469
2020-09-11,27.63,27.6365,27.5012,27.5943,15271
2020-09-14,27.62,27.68,27.45,27.5,44312
2020-09-15,27.64,27.67,27.55,27.6,30532
2020-09-16,27.6,27.66,27.51,27.6266,40240
2020-09-17,27.53,27.65,27.53,27.5657,28867
2020-09-18,27.62,27.62,27.26,27.34,39684
2020-09-21,27.39,27.39,27.07,27.25,15027
2020-09-22,27.33,27.41,27.1542,27.39,77530
2020-09-23,27.23,27.323,26.87,27.06,57884
2020-09-24,27,27.16,26.75,27,53457
2020-09-25,26.9,27.52,26.9,27.43,37761
2020-09-28,27.5,27.5556,27.1,27.5,57611
2020-09-29,27.45,27.51,27.27,27.42,75311
2020-09-30,27.49,27.68,27.43,27.5,171384
2020-10-01,27.58,27.6,27.35,27.48,56020
2020-10-02,27.38,27.5599,27.255,27.49,96372
2020-10-05,27.58,27.6,27.4117,27.48,204618
2020-10-06,27.55,27.6,27.48,27.48,124274
2020-10-07,27.58,27.585,27.4101,27.5,38980
2020-10-08,27.5,27.59,27.485,27.55,44390
2020-10-09,27.45,27.6,27.4,27.55,38829
2020-10-12,27.58,27.64,27.46,27.61,19096
2020-10-13,27.64,28.01,27.61,27.88,59175
2020-10-14,27.86,28.11,27.79,28,59358
2020-10-15,27.88,28.16,27.88,28.11,38181
2020-10-16,28.12,28.16,27.96,27.96,29222
2020-10-19,27.96,27.985,27.72,27.77,62237
2020-10-20,27.84,27.95,27.76,27.77,29240
2020-10-21,27.76,27.76,26.85,27.15,160831
2020-10-22,27.15,27.38,27.08,27.3,48075
2020-10-23,27.3,27.6,27.3,27.59,35175
2020-10-26,27.57,27.6,27.46,27.49,32352
2020-10-27,27.58,27.58,27.35,27.35,65206
2020-10-28,27.31,27.31,26.87,26.9,245355
2020-10-29,26.91,27.1,26.86,27,48360
2020-10-30,27.08,27.09,26.76,26.95,107597
2020-11-02,27.08,27.193,26.892,26.96,15927
2020-11-03,27.07,27.19,26.95,26.95,31359
2020-11-04,27.13,27.47,27.13,27.47,117496
2020-11-05,27.61,27.73,27.5,27.69,19382
2020-11-06,27.69,27.96,27.56,27.61,37369
2020-11-09,27.92,28.05,27.71,27.75,71374
2020-11-10,27.65,27.78,27.62,27.69,55362
2020-11-11,27.69,27.8,27.69,27.69,26500
2020-11-12,27.47,27.52,27.3481,27.43,23183
2020-11-13,27.45,27.53,27.41,27.53,27886
2020-11-16,27.54,28.16,27.4926,27.95,105624
2020-11-17,27.91,28.09,27.8,27.83,82960
2020-11-18,27.89,27.91,27.66,27.71,72209
2020-11-19,27.78,27.88,27.7,27.88,51829
2020-11-20,27.88,27.88,27.65,27.73,85929
2020-11-23,27.77,27.9,27.68,27.77,52880
2020-11-24,27.82,27.84,27.67,27.84,32163
2020-11-25,27.84,27.84,27.65,27.66,35420
2020-11-27,27.73,27.89,27.73,27.85,22185
2020-11-30,27.84,27.8699,27.5,27.52,86639
2020-12-01,27.69,27.69,27.4,27.44,43526
2020-12-02,27.51,27.67,27.42,27.42,81842
2020-12-03,27.49,27.58,27.35,27.42,67524
2020-12-04,27.45,27.51,27.422,27.5,59342
2020-12-07,27.51,27.51,27.38,27.47,26392
2020-12-08,27.42,27.63,27.42,27.6,68829
2020-12-09,27.59,27.67,27.55,27.61,28649
