date,open,high,low,close,volume
2025-04-07,25.0,25.0,24.63,24.891,2754
2025-04-08,25.3915,25.3915,24.3901,24.3901,1719
2025-04-09,24.65,26.7819,24.65,26.7819,400
2025-04-10,26.015,26.015,25.655,25.7834,1764
2025-04-11,25.74,26.1787,25.74,26.1787,1793
2025-04-14,26.413,26.55,26.3755,26.3755,1976
2025-04-15,26.57,26.57,26.3828,26.3828,988
2025-04-16,26.18,26.18,25.79,25.9283,704
2025-04-17,25.98,26.16,25.9641,25.9641,850
2025-04-21,25.5494,25.5494,25.4815,25.4815,271
2025-04-22,25.9276,26.1901,25.9276,26.1788,2908
2025-04-23,27.11,27.11,26.6842,26.6842,333
2025-04-24,27.12,27.3269,27.12,27.3269,470
2025-04-25,27.5799,27.5799,27.5631,27.5631,117
2025-04-28,27.58,27.66,27.58,27.595,2304
2025-04-29,27.59,27.715,27.59,27.715,410
2025-04-30,27.69,27.835,27.69,27.835,191
2025-05-01,28.11,28.11,28.0846,28.0846,134
2025-05-02,28.38,28.465,28.35,28.465,1516
2025-05-06,28.27,28.27,28.185,28.185,208
2025-05-07,28.14,28.2125,28.14,28.2125,105
2025-05-12,29.18,29.2032,29.18,29.2032,608
2025-05-13,29.45,29.4788,29.4,29.4116,972
2025-05-14,29.36,29.42,29.2547,29.2547,1275
2025-05-15,29.27,29.4225,29.25,29.4225,721
2025-05-16,29.55,29.5509,29.55,29.5509,207
2025-05-19,29.48,29.5798,29.45,29.5798,348
2025-05-21,29.25,29.25,29.1339,29.1339,236
2025-05-28,29.3984,29.41,29.2997,29.2997,1476
2025-05-29,29.32,29.3221,29.3,29.3221,1827
2025-06-02,29.31,29.3291,29.31,29.3291,312
2025-06-05,29.69,29.69,29.544,29.544,869
2025-06-06,29.83,29.85,29.8199,29.8199,1222
2025-06-23,29.055,29.3228,29.055,29.3228,2058
2025-06-24,29.58,29.7926,29.58,29.7926,578
2025-06-26,29.9784,30.0527,29.9784,30.0527,1002
2025-06-27,30.37,30.37,30.15,30.303,650
2025-06-30,30.32,30.3813,30.32,30.3813,410
2025-07-08,30.48,30.485,30.33,30.4166,1825
2025-07-10,30.54,30.58,30.436,30.5334,1483
2025-07-11,30.36,30.36,30.27,30.2779,1469
2025-07-15,30.31,30.31,30.265,30.265,185
2025-07-17,30.53,30.53,30.5169,30.5169,130
2025-07-18,30.33,30.3974,30.33,30.3974,541
2025-07-21,30.47,30.48,30.3807,30.3807,1118
2025-07-22,30.5,30.5,30.37,30.4702,1908
2025-07-23,30.99,30.99,30.9732,30.9732,248
2025-07-24,31.0,31.0583,31.0,31.0583,105
2025-07-25,31.15,31.1556,31.15,31.1556,161
2025-07-28,31.035,31.035,30.9953,30.9953,353
2025-07-29,31.05,31.05,30.928,30.9356,331
2025-07-31,30.82,30.82,30.6528,30.6528,147
2025-08-05,30.61,30.61,30.335,30.335,310
2025-08-07,30.68,30.68,30.4399,30.4399,100
2025-08-08,30.58,30.63,30.555,30.5951,661
2025-08-11,30.47,30.47,30.397,30.397,209
2025-08-14,30.96,30.9733,30.96,30.9733,101
2025-08-18,30.813,30.8525,30.813,30.8525,641
2025-08-19,30.98,30.98,30.835,30.835,370
2025-08-20,30.83,30.835,30.53,30.7659,2051
