date,open,high,low,close,volume
2005-02-25,8.05156,8.07878,7.85456,8.06951,197666.16618972
2005-02-28,7.93565,8.08767,7.38963,7.45227,226170.00270024
2005-03-01,7.40768,7.45227,7.03153,7.12161,235062.41371066
2005-03-02,7.15712,7.2019,6.89767,6.89767,206482.38517795
2005-03-03,7.15712,7.33606,6.99622,7.18395,144930.25904415
2005-03-04,7.34504,7.38963,7.16599,7.19293,74251.130673717
2005-03-07,7.30045,7.36271,6.91553,6.93308,85715.022432925
2005-03-08,7.13048,7.18395,6.27146,6.53049,469584.46557977
2005-03-09,6.6917,7.07632,6.46816,6.99622,274774.49769542
2005-03-10,7.13048,7.25526,6.70995,6.75433,142384.84398716
2005-03-11,7.06774,7.15712,6.91553,6.91553,130060.78439854
2005-03-14,6.79922,7.09437,6.79922,6.89767,77853.208775233
2005-03-15,7.04081,7.19293,6.78147,6.81718,73721.796624844
2005-03-16,6.79034,6.96919,6.71862,6.82605,93280.088214733
2005-03-17,6.82605,7.02276,6.70067,6.93308,99692.248397671
2005-03-18,6.79034,7.0856,6.44143,6.6917,372102.7883521
2005-03-21,6.83513,6.87972,6.68302,6.82605,205832.74793616
2005-03-22,6.77229,6.97807,6.55773,6.58455,127695.82413094
2005-03-23,6.57538,6.58455,6.23555,6.34307,230410.69025087
2005-03-24,6.44143,6.44143,6.02089,6.0568,225245.67316793
2005-03-28,6.04762,6.2535,6.01181,6.19076,96312.731203068
2005-03-29,6.27146,6.49509,6.02089,6.04762,114028.37888798
2005-03-30,6.11006,6.34307,6.11006,6.31574,116384.3164161
2005-03-31,6.34307,6.34307,6.00313,6.10139,238328.64539859
2005-04-01,6.11006,6.22638,5.68084,5.86858,163057.94516483
2005-04-04,6.08323,6.08323,5.67187,5.7794,254513.43495353
2005-04-05,5.83336,5.83336,5.62738,5.70777,422893.79387871
2005-04-06,5.68084,5.85989,5.60923,5.62738,219205.45035646
2005-04-07,5.68084,5.8956,5.59157,5.82409,63238.375887981
2005-04-08,5.85989,5.92204,5.66279,5.66279,137374.21600181
2005-04-11,5.72593,5.92204,5.51976,5.8956,199006.54426424
2005-04-12,5.83336,6.26227,5.77032,6.18179,146169.38193129
2005-04-13,6.24462,6.24462,5.88663,5.94946,173703.77521215
2005-04-14,5.85989,5.99415,5.82409,5.82409,172995.99142709
2005-04-15,5.86858,5.86858,5.50181,5.57362,290741.73897648
2005-04-18,5.65431,5.87785,5.50181,5.87785,136049.87835302
2005-04-19,5.87785,5.87785,5.70777,5.87785,125757.94019823
2005-04-20,5.90447,5.94946,5.61821,5.61821,122053.60438273
2005-04-21,5.62738,6.2535,5.62738,5.96732,192262.54777414
2005-04-22,6.02967,6.03894,5.72593,5.84214,115607.35829513
2005-04-25,5.87785,5.96732,5.72593,5.7794,79282.811717833
2005-04-26,5.80612,5.80612,5.55567,5.60045,104242.71667008
2005-04-27,5.59157,5.85989,5.49291,5.63606,98727.817801051
2005-04-28,5.59157,6.02089,5.18011,5.22449,278490.86383022
2005-04-29,5.23348,5.41253,5.22449,5.36774,201845.69961728
2005-05-02,5.39446,5.39446,5.09922,5.32295,164669.00542343
2005-05-03,5.35906,5.36774,5.20695,5.32295,98647.615672434
2005-05-04,5.36774,6.02089,5.34979,5.63606,219107.2027489
2005-05-05,5.68084,5.84214,5.64514,5.81491,130591.12097401
2005-05-06,6.11006,6.70995,5.90447,6.37858,562674.07373903
2005-05-09,6.48591,6.56641,6.28921,6.52212,146162.36424503
2005-05-10,6.50377,6.70995,6.17289,6.34307,177246.70424381
2005-05-11,6.28074,6.43245,6.24462,6.40571,100120.32725916
2005-05-12,6.48591,6.57538,6.21788,6.26227,170911.73860966
2005-05-13,6.36971,6.44143,5.71666,6.03894,222831.58909655
2005-05-16,6.11006,6.26227,6.02089,6.26227,124461.67329446
2005-05-17,6.19076,6.40571,6.19076,6.39664,100556.42633352
2005-05-18,6.45918,7.03153,6.45918,6.71862,253791.61579597
2005-05-19,6.87972,6.97807,6.71862,6.91553,144929.25651755
2005-05-20,6.97807,7.07632,6.77229,6.81718,252130.42920699
