date,open,high,low,close,volume
2020-10-19,10.7768,10.8745,10.5439,10.5903,398577.57801146
2020-10-20,10.7976,11.0067,10.7236,10.9031,351934.51831892
2020-10-21,10.8548,10.8548,10.6564,10.7334,327183.48505705
2020-10-22,10.7334,11.0719,10.7038,11.0719,266294.03790394
2020-10-23,10.8548,10.9919,10.7976,10.8074,219887.11737896
2020-10-26,10.769,10.9031,10.6663,10.8272,239715.71314378
2020-10-27,10.7136,10.7886,10.4541,10.4956,155542.74137523
2020-10-28,10.1266,10.2114,10.0141,10.0329,331596.14572457
2020-10-29,9.80588,10.0427,9.72103,9.99432,203640.13456751
2020-10-30,9.86312,9.89075,9.58783,9.73879,399516.05384475
2020-11-02,9.78714,9.89075,9.62532,9.65492,125057.47888578
2020-11-03,9.74866,9.82562,9.38062,9.51185,327107.47459539
2020-11-04,9.78714,10.1463,9.69143,9.98449,785304.61831385
2020-11-05,10.2598,10.4344,10.241,10.3535,642931.95626209
2020-11-06,10.3634,10.69,10.2686,10.6663,793088.08958774
2020-11-09,11.1774,11.4142,11.0067,11.2139,466887.67316815
2020-11-10,11.2622,11.4507,11.1478,11.3096,319280.42399014
2020-11-11,11.1005,11.2139,10.9801,10.9969,242637.55528995
2020-11-12,10.9869,11.0165,10.7432,10.8074,294193.93122414
2020-11-13,10.9031,11.3046,10.7886,11.2524,824158.12589554
2020-11-16,11.4044,11.5781,11.3382,11.4793,278342.20281333
2020-11-17,11.5069,12.0665,11.5069,11.9411,603918.31997449
2020-11-18,12.0565,12.3308,12.0269,12.1227,478573.01480722
2020-11-19,12.2184,12.3762,12.1789,12.321,411563.20528131
2020-11-20,12.1888,12.1986,11.9609,12.1039,321785.72880643
2020-11-23,12.0753,12.0753,11.7635,11.8582,284029.81229108
2020-11-24,11.9244,11.9806,11.7438,11.877,685708.61713823
2020-11-25,12.0171,12.0369,11.8296,11.9056,223932.90088487
2020-11-27,11.9332,12.2273,11.9332,12.1789,100863.85567608
2020-11-30,12.3408,12.3408,11.8494,11.8494,478605.44593753
2020-12-01,12.3674,12.5292,12.2835,12.4355,322024.90839245
2020-12-02,12.4355,12.5381,12.2638,12.472,158833.48762866
2020-12-03,12.6989,13.1617,12.6989,13.0127,421639.15207886
2020-12-04,13.1241,13.285,13.0877,13.0965,439655.65843773
2020-12-07,13.285,13.3798,12.8252,12.9732,300260.57953737
2020-12-08,13.0028,13.3048,12.9831,13.0965,210396.9578726
2020-12-09,13.1341,13.21,12.8884,12.9831,183655.46398808
2020-12-10,12.8696,13.3896,12.8026,13.285,257816.33774688
2020-12-11,13.2199,13.5791,13.1065,13.5307,505252.68684959
2020-12-14,13.806,14.0418,13.4271,13.4468,572512.82416256
2020-12-15,13.1241,13.4468,12.9929,13.285,709578.94251768
