date,open,high,low,close,volume
2025-01-03,25.5,25.6,25.45,25.5107,65048
2025-01-06,25.5944,25.71,25.49,25.58,23303
2025-01-07,25.52,25.64,25.4262,25.4262,106495
2025-01-08,25.495,25.52,25.44,25.49,34574
2025-01-10,25.46,25.58,25.35,25.367,61116
2025-01-13,25.35,25.38,25.31,25.3585,636281
2025-01-14,25.41,25.57,25.3599,25.3857,87596
2025-01-15,25.54,25.57,25.46,25.56,10551
2025-01-16,25.58,25.59,25.515,25.5491,36655
2025-01-17,25.62,25.81,25.5704,25.625,68211
2025-01-21,25.48,26.23,25.48,25.74,33434
2025-01-22,25.6685,25.74,25.6533,25.7148,50019
2025-01-23,25.73,25.76,25.6656,25.7347,25046
2025-01-24,25.766,25.81,25.7225,25.7439,30366
2025-01-27,25.683,25.72,25.6122,25.7,47723
2025-01-28,25.72,25.755,25.69,25.74,32702
2025-01-29,25.76,26.92,25.6431,25.72,20111
2025-01-30,25.69,25.77,25.69,25.7076,34852
2025-01-31,25.8,25.84,25.68,25.68,43691
2025-02-03,25.67,25.68,25.55,25.66,28826
2025-02-04,25.64,25.74,25.61,25.66,118264
2025-02-05,25.6895,25.75,25.6895,25.75,4879
2025-02-06,25.715,25.77,25.715,25.77,6125
2025-02-07,25.77,25.77,25.6749,25.72,7444
2025-02-10,25.7317,25.76,25.73,25.76,22327
2025-02-11,25.69,25.75,25.69,25.7465,8164
2025-02-12,25.71,25.72,25.644,25.71,51054
2025-02-13,25.75,25.8,25.72,25.8,29793
2025-02-14,25.77,25.86,25.77,25.81,72300
2025-02-18,25.8,25.83,25.6,25.76,14902
2025-02-19,25.75,25.83,25.75,25.815,2201
2025-02-20,25.8047,25.82,25.75,25.797,12783
2025-02-21,25.81,25.84,25.68,25.72,151611
2025-02-24,25.77,25.79,25.67,25.73,61240
2025-02-25,25.7267,25.74,25.69,25.73,29494
2025-02-26,25.769,25.78,25.6701,25.75,49481
2025-02-27,25.66,25.75,25.57,25.57,10256
2025-02-28,25.635,25.77,25.56,25.77,28506
2025-03-03,25.66,25.77,25.55,25.67,50499
2025-03-04,25.57,25.63,25.46,25.55,93425
2025-03-05,25.555,25.67,25.5,25.65,19836
2025-03-06,25.53,25.54,25.42,25.46,35912
2025-03-07,25.53,25.56,25.44,25.5407,3822
2025-03-10,25.43,25.45,25.3201,25.41,15549
2025-03-11,25.31,25.4,25.2422,25.34,12404
2025-03-12,25.23,25.32,25.23,25.3004,9212
2025-03-13,25.24,25.32,25.19,25.23,8883
2025-03-14,25.24,25.36,25.23,25.3448,4599
2025-03-17,25.4,25.47,25.2866,25.42,12731
2025-03-18,25.35,25.39,25.29,25.33,17246
2025-03-19,25.38,25.43,25.325,25.43,7478
2025-03-20,25.48,25.48,25.3238,25.3794,33680
2025-03-21,25.34,25.46,25.2818,25.44,8604
2025-03-24,25.51,25.51,25.4638,25.5002,7452
2025-03-25,25.505,25.5899,25.4817,25.5217,14009
2025-03-26,25.5,25.5092,25.4,25.42,12694
2025-03-27,25.45,25.5,25.4,25.4,8922
2025-03-28,25.45,25.45,25.26,25.29,27668
2025-03-31,25.26,25.32,25.2,25.3008,15582
2025-04-01,25.3504,25.45,25.27,25.42,15928
2025-04-02,25.3332,25.43,25.331,25.3843,1197
2025-04-03,25.3722,25.3722,25.02,25.1309,56417
2025-04-04,25.1,25.14,24.69,24.7757,23928
2025-04-07,24.82,24.91,24.353,24.5677,40608
2025-04-08,24.89,24.89,24.6809,24.6809,87397
2025-04-09,24.72,25.2434,24.72,25.2434,2640
2025-04-10,24.96,25.155,24.96,25.02,2921
2025-04-11,25.035,25.235,24.8301,25.15,7856
2025-04-14,25.24,25.31,25.12,25.2446,19635
2025-04-15,25.3042,25.3042,25.18,25.2103,1868
2025-04-16,25.15,25.16,24.9721,25.0,36375
2025-04-17,25.02,25.11,25.02,25.0453,3799
2025-04-21,24.91,24.93,24.84,24.91,11872
2025-04-22,24.975,25.0984,24.9201,25.0984,3329
2025-04-23,25.1,25.255,25.1,25.1622,24854
2025-04-24,25.25,25.3024,25.2,25.3024,18038
2025-04-25,25.2944,25.3452,25.2,25.3452,16980
2025-04-28,25.3601,25.4095,25.25,25.394,5584
2025-04-29,25.3931,25.46,25.3931,25.4448,2565
2025-04-30,25.2754,25.465,25.2754,25.45,14304
2025-05-01,25.55,25.56,25.49,25.49,13339
2025-05-02,25.57,25.6399,25.57,25.575,7606
2025-05-05,25.58,25.6,25.545,25.56,3184
2025-05-06,25.57,25.57,25.52,25.5224,9938
2025-05-07,25.47,25.5298,25.47,25.5298,2514
2025-05-08,25.5,25.61,25.5,25.56,1897
2025-05-09,25.56,25.56,25.54,25.5434,18038
2025-05-12,25.61,25.73,25.6047,25.6866,2263
2025-05-13,25.73,25.7922,25.71,25.74,8512
2025-05-14,25.77,25.77,25.7346,25.75,17882
2025-05-15,25.77,25.9,25.77,25.845,9914
2025-05-16,25.8813,25.92,25.843,25.8979,10021
2025-05-19,25.859,25.9148,25.859,25.9148,10880
2025-05-20,25.8501,25.969,25.85,25.8956,4083
2025-05-21,25.8045,25.92,25.78,25.7856,9547
2025-05-22,25.79,25.82,25.7597,25.8085,6608
2025-05-23,25.7129,25.81,25.7129,25.8,570
