date,open,high,low,close,volume
2015-06-30,17.7289,17.7621,17.6703,17.7084,174582.63836952
2015-07-01,17.5813,17.5813,17.5647,17.5813,20211.214755328
2015-07-02,17.6439,17.6439,17.6439,17.6439,285.32757763177
2015-07-06,17.4551,17.4551,17.4551,17.4551,1413.3430547925
2015-07-07,17.5568,17.5568,17.5568,17.5568,285.32757763177
2015-07-08,17.4737,17.4737,17.4737,17.4737,1695.6025939551
2015-07-09,17.3251,17.3828,17.3251,17.3397,2121.0372616784
2015-07-10,17.4023,17.4874,17.4023,17.4796,112938.58676769
2015-07-13,17.6292,17.7553,17.5949,17.6917,4805.5709221924
2015-07-17,17.77,17.77,17.3759,17.3828,707.69420688596
2015-07-20,17.3319,17.3319,17.0415,17.0415,2826.686109585
2015-07-21,16.978,16.978,16.978,16.978,707.69420688596
2015-07-23,16.978,16.978,16.4636,16.5282,150395.24575816
2015-07-24,16.4822,16.5556,16.4822,16.5116,27704.387376504
2015-07-27,16.5047,16.5408,16.5047,16.5408,19785.780087605
2015-07-28,16.5408,16.5408,16.5408,16.5408,849.84665595699
2015-07-30,16.9222,16.9222,16.9222,16.9222,1130.0608361402
2015-07-31,16.9652,16.9652,16.9154,16.9154,4664.4411526111
2015-08-03,16.9154,16.9154,16.9154,16.9154,140.10709009158
2015-08-05,16.9154,16.9154,16.9154,16.9154,140.10709009158
2015-08-06,16.0813,16.0813,15.6491,15.7557,18095.290891099
2015-08-07,16.05,16.05,15.8906,15.8906,3675.5100860522
2015-08-10,15.8906,15.8906,15.8906,15.8906,140.10709009158
2015-08-11,16.1243,16.1947,16.1243,16.1947,564.51907832522
2015-08-13,16.1947,16.1947,16.1947,16.1947,140.10709009158
2015-08-17,16.6964,16.7932,16.6964,16.7932,1130.0608361402
2015-08-18,16.7316,16.7316,16.5408,16.5732,7351.0201721045
2015-08-19,16.3355,16.3355,16.3355,16.3355,424.41198823363
2015-08-20,16.1859,16.1859,16.1644,16.1644,991.99910502801
2015-08-21,15.6559,15.8183,15.6559,15.7419,707.69420688596
2015-08-24,15.3293,15.5053,15.3293,15.5053,1767.1901582355
2015-08-25,15.4144,15.4144,14.9636,14.9636,3253.143456798
2015-08-26,14.9842,15.0194,14.947,15.0194,707.69420688596
2015-08-27,16.1859,16.1859,15.8105,15.8105,285.32757763177
2015-08-28,15.8994,16.05,15.8994,16.0304,4664.4411526111
2015-08-31,15.8183,16.1028,15.8183,16.1028,1695.6025939551
2015-09-01,15.7693,15.7693,15.7479,15.7479,564.51907832522
2015-09-02,15.5347,15.5347,15.4779,15.4779,285.32757763177
2015-09-03,15.5405,15.7419,15.5405,15.6637,2969.8612381457
2015-09-04,15.4603,15.4603,15.4301,15.4369,1413.3430547925
2015-09-08,15.6442,15.6442,15.6442,15.6442,140.10709009158
2015-09-09,15.6119,15.6119,15.6119,15.6119,140.10709009158
2015-09-10,15.4467,15.4467,15.4144,15.4301,1577.9944526373
2015-09-11,15.1191,15.1191,14.9695,14.9695,991.99910502801
2015-09-14,14.9842,14.9842,14.9147,14.9274,21344.343629938
2015-09-15,14.9773,14.9773,14.9773,14.9773,140.10709009158
2015-09-16,15.0683,15.0683,15.0683,15.0683,140.10709009158
2015-09-17,15.3509,15.3509,15.3293,15.3293,285.32757763177
2015-09-18,15.3293,15.3293,15.3019,15.3019,1413.3430547925
2015-09-21,15.3421,15.5015,15.3186,15.5015,564.51907832522
2015-09-22,15.3019,15.3019,15.2599,15.2931,564.51907832522
2015-09-23,15.212,15.212,14.8258,14.8258,419.29859078503
2015-09-24,14.5892,14.5892,14.5754,14.5754,299.64509048784
2015-09-25,14.9969,14.9969,14.8042,14.8121,2378.7524930878
2015-09-28,14.5256,14.5256,14.5256,14.5256,139.08441060187
2015-09-29,14.2762,14.2762,13.6524,13.6524,2378.7524930878
2015-09-30,14.0533,14.0533,14.0249,14.0249,2936.112814985
2015-10-01,14.4669,14.4669,14.3604,14.3604,2238.6454029962
2015-10-02,14.4904,14.8756,14.4904,14.8756,283.28221865233
2015-10-05,15.2541,15.2541,15.2541,15.2541,248.51111600186
2015-10-06,15.4487,15.6549,15.4487,15.5465,22664.622851166
2015-10-07,15.8769,15.8769,15.8769,15.8769,139.08441060187
2015-10-08,15.8427,15.8427,15.8427,15.8427,419.29859078503
2015-10-09,16.0129,16.0129,15.9923,15.9923,419.29859078503
2015-10-12,15.8681,15.8681,15.8339,15.8339,283.28221865233
2015-10-13,15.7049,15.7049,15.7049,15.7049,1117.7886822635
2015-10-14,15.6785,15.6785,15.6549,15.6549,283.28221865233
2015-10-15,15.5543,15.7557,15.5543,15.7557,1398.0028624467
2015-10-16,15.9835,15.9835,15.8994,15.8994,1816.278773742
2015-10-19,15.6843,15.6843,15.6423,15.6423,419.29859078503
2015-10-20,15.7557,15.7557,15.7557,15.7557,139.08441060187
2015-10-21,15.7185,15.7185,15.7185,15.7185,139.08441060187
2015-10-22,15.4633,15.4633,15.3049,15.3049,1816.278773742
2015-10-23,15.2433,15.2433,15.2433,15.2433,1258.9184518448
2015-10-26,15.0047,15.0683,14.9333,14.9402,4336.1610364111
2015-10-27,14.7759,14.7759,14.7456,14.7456,559.40568087662
2015-10-28,14.9685,14.9685,14.9627,14.9627,8253.0234820371
2015-11-02,15.2541,15.2541,15.2189,15.2189,7061.6018765138
2015-11-04,15.2189,15.2189,15.2189,15.2189,3.0680384691588
2015-11-06,14.5314,14.5314,14.5118,14.5178,146329.07210704
2015-11-10,14.4542,14.4542,14.3964,14.3964,419.29859078503
2015-11-12,14.3964,14.3964,14.3964,14.3964,139.08441060187
2015-11-13,13.8685,13.8685,13.8636,13.8636,283.28221865233
2015-11-18,13.8636,13.8636,13.8636,13.8636,139.08441060187
2015-11-20,14.3084,14.3084,14.3084,14.3084,16788.306503237
2015-11-23,14.1452,14.2166,14.1413,14.2166,1957.4085433233
2015-11-24,14.2166,14.2166,14.2166,14.2166,700.53545045792
2015-11-25,14.1334,14.152,14.1334,14.152,7273.2965308858
2015-11-30,14.0621,14.0621,13.9966,14.0533,886778.68036923
2015-12-01,14.0533,14.0533,14.0533,14.0533,106.35866693084
2015-12-02,13.6328,13.6328,13.6328,13.6328,238.28432110467
2015-12-03,13.2525,13.2525,13.2525,13.2525,22664.622851166
2015-12-04,12.9982,12.9982,12.9982,12.9982,283.28221865233
2015-12-07,12.1308,12.1308,12.1308,12.1308,843.71057901867
2015-12-08,12.2032,12.2541,12.2032,12.2482,4346.3878313083
2015-12-09,12.6159,12.8369,12.6159,12.6677,14826.807241955
2015-12-10,12.7675,12.8672,12.7244,12.7675,16924.32287537
2015-12-11,12.3245,12.3245,12.2032,12.2032,9793.1787935549
2015-12-15,12.3078,12.3176,12.3078,12.3078,1258.9184518448
2015-12-16,12.5112,12.6208,12.5112,12.6208,9929.1951656876
2015-12-17,12.7528,12.7528,12.216,12.3176,1535.0419140691
2015-12-18,12.167,12.1748,12.1162,12.1308,8812.4291629138
2015-12-21,12.2082,12.2541,12.0928,12.2218,29380.559060154
2015-12-22,12.4232,12.5973,12.4232,12.524,14759.310395633
2015-12-23,12.9601,13.1311,12.9601,13.0765,108138.12924295
2015-12-24,13.1449,13.2035,12.9982,12.9982,71105.882240714
2015-12-28,12.8672,12.8672,12.6863,12.8584,54650.969251126
2015-12-29,12.875,12.875,12.8731,12.8731,1555.4955038635
2015-12-30,12.7537,12.7616,12.6892,12.6892,1512.5429652953
2015-12-31,12.7763,12.7763,12.6863,12.6863,1780.4849916018
2016-01-04,12.8271,12.9669,12.8271,12.9669,21523.312540639
2016-01-06,12.655,12.655,12.5905,12.5905,692.35401454017
2016-01-07,12.3587,12.4369,12.3587,12.4369,800.75804045044
2016-01-11,11.8718,11.8718,11.8268,11.8268,839.61986105979
2016-01-15,11.5334,11.5334,11.5334,11.5334,236.23896212523
2016-01-19,11.3711,11.3711,11.1971,11.1971,551.22424495886
