date,open,high,low,close,volume
2025-12-30,24.96,25.7,24.91,24.9782,29455
2025-12-31,25.0,25.07,24.8395,24.8395,10726
2026-01-02,24.74,25.01,24.7399,24.7904,7624
2026-01-05,24.697,24.89,24.69,24.7607,13867
2026-01-06,24.81,25.02,24.76,24.9773,27596
2026-01-07,25.16,25.17,24.85,25.08,29209
2026-01-08,24.81,25.395,24.81,25.33,29398
2026-01-09,25.342,25.51,25.2201,25.5085,21413
2026-01-12,25.48,25.75,25.4,25.75,20762
2026-01-13,25.67,25.8802,25.64,25.8802,9138
2026-01-14,25.93,25.9543,25.86,25.9293,9346
2026-01-15,26.02,26.04,25.94,26.0192,17001
2026-01-16,26.0,26.02,25.86,25.9656,11235
2026-01-20,25.81,25.85,25.7,25.7,21871
2026-01-21,25.7,25.903,25.64,25.903,6645
2026-01-22,25.92,25.92,25.7651,25.7784,16414
2026-01-23,25.86,25.94,25.835,25.94,4438
2026-01-26,26.0,26.0,25.88,25.895,5540
2026-01-27,25.82,25.9099,25.81,25.87,3380
2026-01-28,25.85,25.9,25.6,25.6522,13483
2026-01-29,25.6,25.6624,25.5939,25.5939,9473
2026-01-30,25.57,25.8003,25.54,25.8003,9756
2026-02-02,25.8,26.1041,25.8,26.0796,3701
2026-02-03,26.3799,26.3799,26.2,26.3003,5240
2026-02-04,26.4318,26.59,26.4318,26.4605,2547
2026-02-05,26.6,26.64,26.43,26.4587,5370
2026-02-06,26.5,26.8304,26.5,26.8304,2855
2026-02-09,26.55,26.6211,26.55,26.6211,2248
2026-02-10,26.76,26.79,26.65,26.65,3094
