date,open,high,low,close,volume
2005-02-25,3.55,3.59,3.55,3.59,800
2005-02-28,3.52,3.52,3.52,3.52,348
2005-03-01,3.66,3.69,3.66,3.68,1953
2005-03-02,3.64,3.64,3.61,3.61,2000
2005-03-04,3.68,3.69,3.61,3.61,1000
2005-03-07,3.69,3.69,3.6,3.6,1764
2005-03-08,3.6,3.95,3.6,3.67,22182
2005-03-09,3.61,3.61,3.6,3.6,2100
2005-03-10,3.62,3.9,3.62,3.63,5262
2005-03-11,3.74,3.74,3.74,3.74,100
2005-03-14,3.74,3.74,3.74,3.74,100
2005-03-16,3.65,3.65,3.6,3.6,7050
2005-03-17,3.73,3.8,3.73,3.8,2000
2005-03-18,4.0,5.73,3.92,5.3,608264
2005-03-21,5.44,5.44,4.37,4.57,247474
2005-03-22,4.5,6.1,4.25,5.95,924988
2005-03-23,5.71,6.25,5.0,5.01,520234
2005-03-24,5.42,5.71,4.84,5.3,245144
2005-03-28,5.49,6.39,5.31,5.98,716743
2005-03-29,5.94,6.38,5.3,5.49,398249
2005-03-30,5.55,5.77,5.04,5.45,150284
2005-03-31,5.45,5.49,4.9,4.97,113326
2005-04-01,4.97,5.2,4.67,4.82,254570
2005-04-04,4.92,5.2,4.74,4.86,89641
2005-04-05,4.65,4.92,4.53,4.63,62637
2005-04-06,4.53,5.5,4.33,5.32,393660
2005-04-07,5.4,5.88,4.84,4.91,548996
2005-04-08,4.93,5.09,4.59,4.66,114691
2005-04-11,5.27,5.27,4.33,4.45,121923
2005-04-12,4.43,4.48,4.15,4.25,99627
2005-04-13,4.24,4.62,4.2,4.52,84357
2005-04-14,4.54,4.61,4.2,4.2,50940
2005-04-15,4.14,4.19,3.86,3.9,45784
2005-04-18,3.86,4.45,3.85,4.29,125112
2005-04-19,4.51,4.51,4.05,4.13,61790
2005-04-20,4.13,4.28,3.91,3.99,43449
2005-04-21,4.09,4.29,3.95,4.2,52369
2005-04-22,4.32,4.32,3.95,3.95,38855
2005-04-25,3.89,4.19,3.7,4.13,86265
2005-04-26,4.2,4.2,4.02,4.11,8524
2005-04-27,4.05,4.17,4.0,4.17,18589
2005-04-28,4.14,4.2,4.03,4.2,18266
2005-04-29,4.12,4.24,3.9,4.02,37048
2005-05-02,3.87,4.1,3.82,4.1,26711
2005-05-03,4.18,4.25,3.96,4.23,68421
2005-05-04,4.21,4.45,4.21,4.37,31386
2005-05-05,4.37,4.44,4.04,4.23,40735
2005-05-06,3.94,4.21,3.94,4.2,11535
2005-05-09,4.35,4.35,4.0,4.05,10905
2005-05-10,4.14,4.14,3.85,3.89,42302
2005-05-11,3.84,3.89,3.3,3.5,149213
2005-05-12,3.5,3.58,3.36,3.37,37761
2005-05-13,3.4,3.43,3.3,3.32,17589
2005-05-16,3.31,3.32,3.05,3.31,77070
2005-05-17,3.25,3.32,3.2,3.32,20100
2005-05-18,3.31,3.32,3.19,3.3,20696
2005-05-19,3.3,3.47,3.3,3.4,15900
2005-05-20,3.24,3.41,3.15,3.41,16895
2005-05-23,3.26,3.4,3.15,3.17,25416
2005-05-24,3.38,3.38,3.21,3.26,10653
2005-05-25,3.21,3.34,3.17,3.25,34663
2005-05-26,3.21,3.4,3.21,3.3,15100
2005-05-27,3.28,3.31,3.17,3.28,12875
2005-05-31,3.21,3.26,3.1,3.16,8646
2005-06-01,2.94,3.12,2.94,3.12,43789
2005-06-02,3.1,3.23,3.08,3.14,13408
2005-06-03,3.27,3.37,3.17,3.32,5778
2005-06-06,3.4,3.4,3.16,3.16,11970
2005-06-07,3.07,3.25,3.07,3.11,15160
2005-06-08,3.3,3.31,3.15,3.31,29198
2005-06-09,3.35,3.35,3.15,3.2,7486
2005-06-10,3.22,3.27,3.07,3.27,9225
2005-06-13,3.27,3.27,3.1,3.19,12000
2005-06-14,3.2,3.2,3.1,3.2,41640
2005-06-15,3.21,3.3,3.2,3.3,3824
2005-06-16,3.37,3.37,3.1,3.28,17200
2005-06-17,3.28,3.63,3.18,3.4,42702
2005-06-20,3.52,3.52,3.4,3.49,6800
2005-06-21,3.47,3.8,3.47,3.7,21690
2005-06-22,3.68,3.95,3.66,3.81,34124
2005-06-23,3.87,4.0,3.71,3.77,34995
2005-06-24,3.69,3.69,3.5,3.6,10590
2005-06-27,3.38,3.59,3.36,3.59,13725
2005-06-28,3.55,3.72,3.53,3.69,14065
2005-06-29,3.57,3.57,3.38,3.42,19734
2005-06-30,3.52,3.68,3.4,3.68,24850
2005-07-01,3.7,3.7,3.53,3.55,4100
2005-07-05,3.49,3.49,3.36,3.41,7800
2005-07-06,3.4,3.5,3.36,3.48,13450
2005-07-07,3.4,3.48,3.36,3.48,4500
2005-07-08,3.59,3.59,3.32,3.45,10603
2005-07-11,3.58,3.58,3.4,3.4,14175
2005-07-12,3.43,3.59,3.43,3.55,5639
2005-07-13,3.58,3.58,3.51,3.57,1743
2005-07-14,3.48,3.66,3.48,3.66,6500
2005-07-15,3.71,3.78,3.65,3.7,15820
2005-07-18,3.76,3.87,3.7,3.87,5304
2005-07-19,3.86,3.98,3.72,3.92,15017
2005-07-20,3.94,4.0,3.91,3.91,2713
2005-07-21,3.98,3.98,3.73,3.73,6550
2005-07-22,3.9,3.9,3.89,3.89,3000
2005-07-25,3.9,3.91,3.79,3.86,7630
2005-07-26,3.75,3.85,3.75,3.85,3750
2005-07-27,3.89,4.15,3.89,4.15,15976
2005-07-28,4.19,4.25,4.03,4.15,6150
2005-07-29,4.17,4.17,4.15,4.17,4100
2005-08-01,3.7,3.94,3.12,3.85,99201
2005-08-02,3.79,3.9,3.79,3.9,9200
2005-08-03,3.75,3.9,3.75,3.8,2585
2005-08-04,3.79,3.79,3.52,3.54,15025
2005-08-05,3.51,3.7,3.41,3.65,14650
2005-08-08,3.73,3.73,3.43,3.6,15074
2005-08-09,3.6,3.61,3.6,3.6,7000
2005-08-10,3.82,3.87,3.65,3.65,17420
2005-08-11,3.8,3.9,3.69,3.81,9600
2005-08-12,3.75,3.76,3.7,3.75,17430
2005-08-15,3.9,3.9,3.7,3.81,42280
2005-08-16,3.82,3.83,3.66,3.83,1800
2005-08-17,3.71,3.71,3.63,3.65,15600
2005-08-18,3.73,3.75,3.6,3.6,8500
2005-08-19,3.61,3.75,3.6,3.67,5574
2005-08-22,3.75,3.85,3.7,3.75,38795
2005-08-23,3.75,3.8,3.69,3.69,8340
2005-08-24,3.76,3.76,3.68,3.68,7650
2005-08-25,3.71,3.89,3.71,3.85,11100
2005-08-26,3.8,3.85,3.75,3.85,4000
2005-08-29,3.89,3.89,3.69,3.7,9739
2005-08-30,3.83,3.89,3.68,3.68,6200
2005-08-31,3.69,3.84,3.68,3.84,1398
2005-09-01,3.8,3.8,3.8,3.8,300
2005-09-02,3.68,3.7,3.65,3.66,12180
2005-09-06,3.69,3.69,3.65,3.65,8650
2005-09-07,3.8,3.8,3.67,3.77,6733
2005-09-08,3.65,3.68,3.65,3.65,4900
2005-09-09,3.68,3.7,3.65,3.65,1783
2005-09-12,3.8,3.8,3.62,3.64,4800
2005-09-13,3.8,3.8,3.6,3.62,15000
2005-09-14,3.52,3.62,3.52,3.57,6680
2005-09-15,3.53,3.6,3.53,3.56,4487
2005-09-16,3.57,3.57,3.52,3.52,6955
2005-09-19,3.51,3.52,3.25,3.45,12410
2005-09-20,3.47,3.48,3.38,3.45,9100
2005-09-21,3.48,3.48,3.44,3.45,2900
2005-09-22,3.44,3.46,3.21,3.45,2020
2005-09-23,3.45,3.5,3.45,3.46,1700
2005-09-26,3.46,3.53,3.44,3.5,9000
2005-09-27,3.44,3.44,3.25,3.35,14500
2005-09-28,3.53,3.58,3.27,3.5,5858
2005-09-29,3.5,3.52,3.5,3.5,4800
2005-09-30,3.36,3.52,3.36,3.51,6550
2005-10-03,3.55,3.55,3.11,3.34,25405
2005-10-04,3.34,3.65,3.31,3.65,2925
2005-10-05,3.5,3.54,3.36,3.52,4000
2005-10-06,3.46,3.46,3.19,3.38,1475
2005-10-07,3.35,3.49,3.34,3.44,4100
2005-10-10,3.36,3.45,3.36,3.45,772
2005-10-11,3.45,3.48,3.45,3.45,4250
2005-10-12,3.34,3.34,3.24,3.24,600
2005-10-13,3.1,3.25,2.93,3.24,12064
2005-10-14,3.23,3.35,3.23,3.35,3438
2005-10-17,3.16,3.43,3.1,3.43,8200
2005-10-18,3.4,3.4,3.4,3.4,1300
2005-10-19,3.3,3.5,3.13,3.5,10670
2005-10-20,3.49,3.5,3.21,3.5,6957
2005-10-21,3.41,3.43,3.27,3.34,2100
2005-10-24,3.49,3.5,3.28,3.39,6660
2005-10-25,3.35,3.36,3.35,3.36,1000
2005-10-27,3.27,3.46,3.27,3.46,4200
2005-10-28,3.46,3.46,3.27,3.33,1842
2005-10-31,3.25,3.33,3.25,3.3,4395
2005-11-01,3.29,3.29,3.1,3.29,10799
2005-11-02,3.3,3.3,3.1,3.2,6400
2005-11-03,3.2,3.45,3.15,3.45,20975
2005-11-04,3.26,3.35,3.16,3.35,3600
2005-11-07,3.19,3.32,3.19,3.32,5875
2005-11-08,3.06,3.06,2.73,2.73,60393
2005-11-09,2.7,2.76,2.59,2.71,24445
2005-11-10,2.63,2.76,2.59,2.75,8168
2005-11-11,2.81,2.88,2.45,2.45,44900
2005-11-14,2.39,3.2,2.38,2.61,39452
2005-11-15,2.57,2.7,2.57,2.63,37600
2005-11-16,2.63,2.65,2.63,2.64,18200
2005-11-17,2.66,2.66,2.65,2.65,1189
2005-11-18,2.7,2.7,2.62,2.68,23024
2005-11-21,2.62,2.7,2.61,2.67,18521
2005-11-22,2.66,2.66,2.62,2.63,14331
2005-11-23,2.65,2.7,2.43,2.55,25452
2005-11-25,2.6,2.6,2.6,2.6,100
2005-11-28,2.6,2.6,2.46,2.5,6036
2005-11-29,2.46,2.5,2.45,2.5,7600
2005-11-30,2.5,2.5,2.43,2.45,12525
2005-12-01,2.41,2.45,2.32,2.39,33173
2005-12-02,2.38,2.54,2.38,2.54,5826
2005-12-05,2.59,2.59,2.51,2.54,2450
2005-12-06,2.41,2.48,2.33,2.35,28705
2005-12-07,2.39,2.39,2.31,2.31,6989
2005-12-08,2.33,2.39,2.32,2.38,7150
2005-12-09,2.31,2.39,2.31,2.39,3320
2005-12-12,2.39,2.39,2.34,2.38,2050
2005-12-13,2.37,2.39,2.35,2.39,6477
2005-12-14,2.39,2.57,2.39,2.53,4900
2005-12-15,2.46,2.52,2.4,2.49,7100
2005-12-16,2.51,2.52,2.51,2.52,2000
2005-12-19,2.51,2.51,2.46,2.48,3361
2005-12-20,2.5,2.5,2.38,2.41,6045
2005-12-21,2.4,2.55,2.38,2.55,10856
2005-12-22,2.51,2.59,2.44,2.57,18581
2005-12-23,2.46,2.61,2.45,2.6,30209
2005-12-27,2.51,2.52,2.46,2.52,6150
2005-12-28,2.52,2.56,2.4,2.45,21880
2005-12-29,2.38,2.49,2.31,2.4,14500
2005-12-30,2.4,2.4,2.17,2.37,45736
2006-01-03,2.35,2.38,2.35,2.38,400
2006-01-04,2.24,2.51,2.22,2.48,12490
2006-01-05,2.46,2.6,2.45,2.59,13100
2006-01-06,2.6,2.6,2.41,2.41,10100
2006-01-09,2.45,2.45,2.29,2.4,28923
2006-01-10,2.32,2.36,2.31,2.35,3200
2006-01-11,2.32,2.59,2.32,2.54,2800
2006-01-12,2.6,2.6,2.37,2.6,14104
2006-01-13,2.6,2.69,2.54,2.69,16839
2006-01-17,2.73,2.75,2.48,2.59,11101
2006-01-18,2.6,2.7,2.6,2.6,2600
