date,open,high,low,close,volume
1977-01-03,259.4,262.6,259.4,259.7,2830
1977-01-04,259.7,260.8,255.8,255.8,3900
1977-01-05,255.8,256.2,251.9,251.9,6440
1977-01-06,251.9,255.8,248.3,248.3,6600
1977-01-07,248.3,250.4,248.3,249.0,2420
1977-01-10,249.0,250.4,247.9,249.4,4270
1977-01-11,249.4,249.7,245.4,247.9,4680
1977-01-12,247.6,247.6,244.0,246.8,6050
1977-01-13,246.8,248.3,244.7,246.1,7920
1977-01-14,246.1,246.1,240.8,241.5,5630
1977-01-17,241.5,243.3,239.0,241.1,4780
1977-01-18,241.1,241.5,227.5,229.0,31200
1977-01-19,229.0,230.4,223.2,225.7,19020
1977-01-20,225.7,228.6,224.3,227.5,9860
1977-01-21,227.5,228.2,224.3,224.7,5850
1977-01-24,224.7,226.1,218.2,219.7,4940
1977-01-25,219.7,220.4,208.9,210.7,15760
1977-01-26,210.7,215.7,208.6,212.9,8470
1977-01-27,212.9,216.4,209.6,212.1,6630
1977-01-28,212.5,216.8,212.5,215.4,7420
1977-01-31,215.7,219.7,215.7,217.5,4830
1977-02-01,217.5,220.7,212.5,214.7,8660
1977-02-02,214.7,215.4,211.1,211.8,5720
1977-02-03,211.8,212.5,207.1,209.6,6560
1977-02-04,209.6,210.4,206.8,207.9,6440
1977-02-07,207.9,210.0,204.3,204.6,8600
1977-02-08,204.6,207.1,198.2,198.2,7880
1977-02-09,198.2,200.7,195.3,196.8,13590
1977-02-10,198.9,202.1,198.9,200.7,7880
1977-02-11,200.7,202.8,199.6,202.5,6210
1977-02-14,202.5,207.5,200.3,207.5,7040
1977-02-15,207.5,208.2,204.6,207.1,3930
1977-02-16,207.1,211.1,206.8,208.9,4350
1977-02-17,208.6,208.6,206.1,206.1,3460
1977-02-18,205.3,205.3,202.8,202.8,3130
1977-02-22,203.9,206.1,203.9,205.3,3170
1977-02-23,205.0,205.0,200.7,202.1,11560
1977-02-24,202.1,202.1,198.9,198.9,5330
1977-02-25,198.9,200.0,197.8,199.6,4770
1977-02-28,199.6,200.0,197.8,199.3,2740
1977-03-01,199.3,201.4,198.9,200.3,6050
1977-03-02,200.3,201.4,196.4,196.4,6560
1977-03-03,196.4,199.3,196.4,198.6,3260
1977-03-04,198.6,199.6,197.5,198.6,3130
1977-03-07,197.1,197.1,194.3,194.3,7090
1977-03-08,194.3,196.4,192.1,192.1,7180
1977-03-09,191.4,191.4,187.8,188.9,6610
1977-03-10,188.9,193.9,188.2,191.8,4640
1977-03-11,192.1,194.3,192.1,193.9,6170
1977-03-14,193.9,196.0,193.2,194.6,4870
1977-03-15,195.7,200.3,195.7,197.8,5620
1977-03-16,197.8,200.3,197.5,198.6,4940
1977-03-17,198.6,199.6,196.8,199.6,6470
1977-03-18,199.6,200.0,195.0,196.8,2270
1977-03-21,196.8,198.2,195.0,195.3,2900
1977-03-22,195.3,196.0,192.8,195.0,5190
1977-03-23,195.0,195.0,188.9,191.4,8140
1977-03-24,189.6,189.6,182.5,183.2,8700
1977-03-25,183.2,183.2,173.9,176.0,21670
1977-03-28,176.0,179.2,175.3,178.9,12400
1977-03-29,180.0,182.5,180.0,180.3,8680
1977-03-30,180.3,182.5,171.7,173.9,11580
1977-03-31,173.9,177.4,173.9,174.6,7230
1977-04-01,174.6,178.9,174.6,176.0,11800
1977-04-04,176.0,177.4,172.1,173.2,6230
1977-04-05,173.2,176.0,172.4,175.7,3480
1977-04-06,175.7,178.5,173.5,175.3,5430
1977-04-07,175.3,177.4,174.9,176.7,3570
1977-04-11,177.8,182.5,177.8,180.0,5470
1977-04-12,180.0,181.7,178.9,181.0,4880
1977-04-13,181.0,181.0,171.0,180.0,8860
1977-04-14,180.0,181.0,174.6,176.7,9980
1977-04-15,176.7,178.2,175.3,176.4,8350
1977-04-18,176.0,176.0,173.2,174.2,5470
1977-04-19,174.2,176.7,173.9,176.0,4080
1977-04-20,176.0,176.4,174.2,174.6,9770
1977-04-21,174.6,175.3,170.3,170.6,15260
1977-04-22,170.3,170.3,163.1,164.2,13290
1977-04-25,163.1,163.1,156.7,159.2,9850
1977-04-26,159.2,161.0,156.0,158.1,7790
1977-04-27,159.2,162.8,159.2,161.3,5860
1977-04-28,161.3,163.9,159.2,162.4,5810
1977-04-29,162.4,163.9,161.0,163.1,3880
1977-05-02,163.1,166.0,162.4,163.5,5630
1977-05-03,164.9,168.9,164.9,166.4,6350
1977-05-04,166.4,167.4,165.6,167.4,13500
1977-05-05,167.1,167.1,164.6,165.6,3180
1977-05-06,165.6,166.4,163.1,164.6,3090
1977-05-09,164.6,166.4,164.2,165.3,1980
1977-05-10,165.3,167.4,164.9,166.7,7420
1977-05-11,166.7,167.4,163.1,164.2,4550
1977-05-12,162.1,162.1,160.3,160.3,4540
1977-05-13,160.3,162.8,159.2,159.6,4900
1977-05-16,159.6,164.6,159.2,163.5,4790
1977-05-17,163.5,170.3,162.4,169.9,4610
1977-05-18,169.9,173.2,169.2,171.7,13860
1977-05-19,171.7,172.1,168.9,169.9,5320
1977-05-20,169.9,171.0,168.5,171.0,3700
1977-05-23,170.6,170.6,166.0,166.0,1990
1977-05-24,166.0,166.7,163.5,166.7,5500
1977-05-25,166.7,168.5,165.3,166.0,4050
1977-05-26,166.0,167.1,164.9,166.7,2720
1977-05-27,165.3,165.3,158.8,161.0,5370
1977-05-31,161.0,163.9,159.6,162.1,3590
1977-06-01,162.1,164.6,160.3,163.5,4270
1977-06-02,163.5,163.9,160.3,162.1,4360
1977-06-03,162.4,166.7,162.4,166.0,5140
1977-06-06,166.0,168.1,163.5,164.2,8030
1977-06-07,164.2,166.7,162.4,166.7,7320
1977-06-08,166.7,170.3,166.0,167.1,7500
1977-06-09,167.1,167.8,165.3,167.1,2650
1977-06-10,167.1,168.9,166.0,168.9,2600
1977-06-13,168.9,172.8,168.9,171.7,3840
1977-06-14,171.7,176.7,171.4,176.7,6690
1977-06-15,176.7,177.1,173.5,173.5,5530
1977-06-16,173.5,176.4,173.2,174.2,2780
1977-06-17,174.2,177.4,173.2,176.0,3890
1977-06-20,176.0,177.1,174.6,176.7,3750
1977-06-21,176.7,176.7,173.2,173.2,9240
1977-06-22,173.2,173.2,168.5,169.9,6840
1977-06-23,169.9,170.3,168.9,170.3,5180
1977-06-24,170.3,172.8,170.3,172.4,6530
1977-06-27,172.4,173.9,171.7,173.2,3690
1977-06-28,173.2,176.0,172.1,174.6,10640
1977-06-29,174.6,177.8,170.3,176.4,7910
1977-06-30,176.4,178.9,176.0,178.5,6370
1977-07-01,178.5,179.2,175.3,177.4,4530
1977-07-05,178.2,180.0,178.2,178.2,5560
1977-07-06,177.4,177.4,175.7,175.7,4080
1977-07-07,176.7,177.4,176.7,176.7,5140
1977-07-08,177.4,181.0,176.7,176.7,5460
1977-07-11,176.7,178.2,175.7,178.2,2270
1977-07-12,178.2,179.6,176.4,177.4,10400
1977-07-13,177.4,178.9,176.0,178.9,8400
1977-07-15,180.7,187.1,180.7,187.1,35190
1977-07-18,187.1,193.2,186.7,193.2,20580
1977-07-19,193.2,198.6,193.2,195.0,14940
1977-07-20,195.0,196.4,192.5,196.4,11690
1977-07-21,196.4,198.9,195.0,198.9,7080
1977-07-22,198.6,198.6,195.7,198.2,6130
1977-07-25,197.8,197.8,196.0,196.4,4220
1977-07-26,196.4,196.4,193.2,194.3,3260
1977-07-27,194.3,194.3,186.7,188.9,5760
1977-07-28,188.9,190.7,187.5,189.6,5200
1977-07-29,189.6,191.4,187.5,189.6,4350
1977-08-01,189.6,191.8,188.9,188.9,3270
1977-08-02,188.9,188.9,185.7,187.5,3820
1977-08-03,187.5,191.4,186.4,191.0,5530
1977-08-04,191.0,196.8,189.3,196.0,8830
1977-08-05,196.0,197.8,195.3,195.7,4010
1977-08-08,195.7,196.8,194.3,195.0,2940
1977-08-09,196.0,201.8,196.0,201.1,10830
1977-08-10,201.1,205.7,199.6,205.7,13540
1977-08-11,205.7,207.5,202.5,202.8,13020
1977-08-12,202.8,205.7,201.1,203.6,10370
1977-08-15,203.6,208.6,202.1,207.9,6740
1977-08-16,207.9,208.9,205.0,205.3,7670
1977-08-17,205.3,208.2,203.9,205.3,8100
1977-08-18,205.3,207.9,204.3,204.3,5340
1977-08-19,204.3,206.4,203.2,205.3,4830
1977-08-22,206.1,208.6,206.1,208.6,6060
1977-08-23,208.6,208.9,205.0,205.3,4050
1977-08-24,205.3,206.4,200.3,202.1,5970
1977-08-25,202.1,202.8,198.6,200.0,6200
1977-08-26,200.0,204.3,198.6,203.2,4250
1977-08-29,203.2,205.3,203.2,205.0,2460
1977-08-30,205.0,207.1,199.6,200.3,6790
1977-08-31,200.3,203.9,197.5,203.9,2590
1977-09-01,203.9,204.6,200.3,202.8,3810
1977-09-02,203.2,206.1,203.2,204.6,2460
1977-09-06,204.6,205.7,202.1,202.5,2190
1977-09-07,202.5,203.9,200.3,201.8,1780
1977-09-08,201.8,202.1,198.6,199.6,2660
1977-09-09,199.3,199.3,196.0,196.0,2960
1977-09-12,196.0,196.8,195.3,195.7,3150
1977-09-13,195.7,197.5,195.7,196.8,1870
1977-09-14,197.5,201.8,197.5,199.6,4840
1977-09-15,199.6,201.1,197.5,199.3,2840
1977-09-16,199.3,200.0,195.7,196.0,6240
1977-09-19,196.0,196.0,195.0,195.3,4370
1977-09-20,195.3,199.3,193.9,199.3,3270
1977-09-21,192.8,199.3,192.8,192.8,5400
1977-09-22,192.8,194.6,191.8,192.1,5080
1977-09-23,192.1,195.3,191.8,191.8,3200
1977-09-26,191.8,196.8,191.8,196.0,2620
1977-09-27,196.0,197.5,194.6,195.3,2970
1977-09-28,196.0,198.9,196.0,196.8,3550
1977-09-29,196.8,200.0,196.8,199.6,5360
1977-09-30,199.6,201.1,198.6,198.6,3320
1977-10-03,198.6,200.7,195.3,200.7,3840
1977-10-04,200.7,201.1,197.1,197.5,4730
1977-10-05,197.5,197.8,195.3,195.7,2950
1977-10-06,195.7,197.8,195.7,197.1,5450
1977-10-07,196.8,196.8,193.5,193.9,3730
1977-10-10,193.9,194.6,193.5,194.3,1310
1977-10-11,194.3,194.6,188.9,188.9,3710
1977-10-12,188.2,188.2,186.0,187.8,5120
1977-10-13,187.8,190.3,186.7,190.0,5140
1977-10-14,190.0,192.1,188.9,190.3,7270
1977-10-17,190.0,190.0,187.8,188.9,1900
1977-10-18,188.9,191.0,187.5,187.5,6350
1977-10-19,187.5,187.8,185.3,186.0,3790
1977-10-20,186.0,190.0,185.7,189.6,6000
1977-10-21,189.6,190.7,187.5,190.0,3520
1977-10-24,190.0,190.7,186.4,186.4,5780
1977-10-25,186.4,186.4,183.2,186.0,10370
1977-10-26,186.0,191.0,184.6,189.6,14410
1977-10-27,189.6,193.2,187.8,191.4,7170
1977-10-28,191.0,191.0,188.2,189.3,5060
1977-10-31,189.3,190.3,186.0,186.4,2720
1977-11-01,186.0,186.0,183.9,185.0,3980
1977-11-02,185.0,185.0,182.5,182.8,5020
1977-11-03,182.8,184.6,182.8,184.2,3200
1977-11-04,184.6,188.2,184.6,186.7,3220
1977-11-07,186.7,190.7,186.7,188.9,4410
1977-11-08,188.2,188.2,185.3,185.3,3800
1977-11-09,185.3,187.5,184.6,187.1,3890
1977-11-10,187.1,194.3,186.7,193.9,7890
1977-11-11,196.8,199.6,196.8,198.9,7400
1977-11-14,198.2,198.2,196.0,196.4,3790
1977-11-15,196.4,201.8,196.0,201.4,7840
1977-11-16,201.4,202.1,197.1,197.1,8520
1977-11-17,197.1,198.9,194.6,197.5,4320
1977-11-18,197.5,200.3,197.5,199.6,6410
1977-11-21,199.3,199.3,196.4,198.6,7560
1977-11-22,198.9,203.9,198.9,202.8,4980
1977-11-23,203.6,206.4,203.6,205.3,6960
1977-11-25,205.3,206.4,203.9,205.0,4280
1977-11-28,205.0,205.7,202.8,202.8,4000
1977-11-29,202.1,202.1,197.5,197.5,3890
1977-11-30,197.5,198.9,196.0,198.2,3990
1977-12-01,198.2,200.3,195.3,196.0,4280
1977-12-02,196.0,198.9,196.0,197.8,2120
1977-12-05,197.8,198.9,197.5,198.2,2450
1977-12-06,196.8,196.8,191.8,191.8,4050
1977-12-07,191.8,194.3,191.8,193.2,3620
1977-12-08,193.2,195.3,193.2,193.2,3250
1977-12-09,194.3,196.4,194.3,196.0,5800
1977-12-12,196.0,197.8,196.0,196.8,5700
1977-12-13,196.8,197.8,195.0,196.0,5750
1977-12-14,196.0,198.2,195.3,198.2,4220
1977-12-15,198.6,200.3,198.6,198.9,4320
1977-12-16,198.9,201.1,198.2,198.9,3230
1977-12-19,198.9,198.9,195.3,195.7,4500
1977-12-20,195.7,197.5,195.0,196.8,5490
1977-12-21,196.8,200.0,195.7,197.5,4130
1977-12-22,199.6,203.6,199.6,203.2,3850
1977-12-23,203.6,207.9,203.6,207.5,3430
1977-12-27,207.5,208.6,203.6,206.8,2300
1977-12-28,206.8,210.4,204.6,208.2,5000
1977-12-29,208.2,212.1,206.1,211.1,8620
1977-12-30,211.1,212.9,208.6,208.6,6410
1978-01-03,208.6,208.6,201.4,201.8,6530
1978-01-04,201.8,207.1,200.0,206.1,9620
1978-01-05,206.1,208.9,200.7,201.1,10410
1978-01-06,201.1,201.4,195.0,195.3,12170
1978-01-09,195.3,196.4,192.5,195.0,11210
1978-01-10,195.0,197.5,192.8,193.5,10320
1978-01-11,193.5,195.7,189.3,190.7,9140
1978-01-12,191.0,195.3,191.0,192.5,9550
1978-01-13,192.5,193.9,191.0,191.0,7040
1978-01-16,191.0,195.7,191.0,194.6,12270
1978-01-17,194.6,195.0,191.8,193.5,9550
1978-01-18,193.5,193.5,188.9,192.1,7460
1978-01-19,191.8,191.8,188.2,188.9,6280
1978-01-20,188.5,188.5,183.9,185.0,6040
1978-01-23,185.0,185.3,182.1,182.8,6920
1978-01-24,182.8,185.0,182.1,183.5,4050
1978-01-25,183.5,188.9,183.2,186.7,6670
1978-01-26,186.7,186.7,183.2,185.0,8170
1978-01-27,185.0,186.7,184.2,185.7,3840
1978-01-30,186.0,190.0,186.0,190.0,1770
1978-01-31,190.0,190.7,185.7,187.8,3900
1978-02-01,187.8,190.0,187.1,189.6,2910
1978-02-02,189.6,190.3,186.0,186.0,3760
1978-02-03,185.3,185.3,180.3,180.7,4450
1978-02-06,180.7,180.7,179.6,180.0,2150
1978-02-07,180.7,183.2,180.7,183.2,3100
1978-02-08,183.2,185.3,182.8,182.8,2780
1978-02-09,182.8,183.2,181.4,181.4,6610
1978-02-10,181.4,182.5,178.9,179.6,3480
1978-02-13,179.6,181.0,178.2,180.3,6660
1978-02-14,179.6,179.6,178.2,178.2,4430
1978-02-15,178.2,178.2,175.7,175.7,5750
1978-02-16,173.9,173.9,171.0,171.7,8510
1978-02-17,172.1,173.9,172.1,172.4,4130
1978-02-21,172.4,173.2,170.6,172.8,4530
1978-02-22,172.8,173.2,171.4,171.4,4730
1978-02-23,171.4,173.2,169.9,173.2,3500
1978-02-24,174.6,178.5,174.6,176.7,5600
1978-02-27,176.7,177.4,171.7,171.7,5470
1978-02-28,171.7,171.7,169.6,170.6,7540
1978-03-01,170.6,173.9,170.3,171.7,7480
1978-03-02,171.7,173.2,170.6,170.6,4030
1978-03-03,170.6,172.4,167.4,170.3,3750
1978-03-06,169.2,169.2,167.1,168.9,2980
1978-03-07,168.9,174.6,168.9,172.4,4670
1978-03-08,172.4,176.7,171.7,176.7,4070
1978-03-09,176.7,179.6,176.4,177.8,5720
1978-03-10,178.9,181.0,178.9,178.9,4930
1978-03-13,178.9,180.0,175.3,176.0,3780
1978-03-14,176.0,177.4,174.6,176.7,3600
1978-03-15,176.4,176.4,173.2,173.5,7350
1978-03-16,173.5,176.0,170.6,176.0,2730
1978-03-17,176.0,177.1,173.9,176.4,2750
1978-03-20,176.4,178.9,176.0,177.1,3710
1978-03-21,177.1,177.1,174.2,174.2,3000
1978-03-22,174.2,174.2,172.4,172.4,5100
1978-03-23,172.4,172.4,171.7,171.7,5060
1978-03-27,171.7,171.7,169.9,170.3,3840
1978-03-28,170.3,172.4,169.6,172.4,3230
1978-03-29,172.4,174.2,172.1,172.4,3350
1978-03-30,171.4,171.4,169.6,169.6,2750
1978-03-31,168.9,168.9,167.4,168.5,7730
1978-04-03,168.5,168.5,167.1,168.1,5400
1978-04-04,168.1,169.6,167.8,168.1,3240
1978-04-05,168.1,172.4,168.1,171.7,6790
1978-04-06,171.7,172.8,170.3,171.4,3210
1978-04-07,171.7,175.3,171.7,173.5,3790
1978-04-10,173.5,175.3,173.2,174.6,4080
1978-04-11,174.6,175.3,173.2,174.2,5290
1978-04-12,174.2,175.7,170.6,171.0,9120
1978-04-13,171.4,173.9,171.4,173.9,3830
1978-04-14,177.1,183.9,177.1,183.9,22170
1978-04-17,188.9,193.9,188.9,190.7,22550
1978-04-18,190.7,191.4,187.5,190.0,8230
1978-04-19,190.0,192.1,186.0,191.0,7220
1978-04-20,191.8,196.4,191.8,192.5,12680
1978-04-21,192.5,193.9,190.7,191.8,6120
1978-04-24,191.8,203.9,189.6,203.9,7930
1978-04-25,203.9,206.1,197.8,199.3,28250
1978-04-26,199.3,203.9,197.8,200.0,8460
1978-04-27,199.3,199.3,195.0,199.3,6230
1978-04-28,199.3,199.6,196.4,199.6,10030
1978-05-01,199.6,206.1,198.2,201.8,9330
1978-05-02,201.8,201.8,196.4,198.6,9890
1978-05-03,198.6,199.6,194.6,194.6,5190
1978-05-04,194.6,195.3,191.0,195.3,7750
1978-05-05,195.3,196.8,192.8,192.8,6050
1978-05-08,192.8,196.4,192.8,193.5,3010
1978-05-09,193.5,195.0,193.2,193.5,2580
1978-05-10,193.5,196.0,193.2,194.6,2760
1978-05-11,194.6,204.6,194.3,204.6,8160
1978-05-12,204.6,206.8,203.2,204.3,7920
1978-05-15,204.3,209.6,202.1,209.6,4390
1978-05-16,211.8,215.7,211.8,214.3,13170
1978-05-17,214.3,214.3,208.2,210.7,11600
1978-05-18,210.7,211.4,204.3,205.0,4980
1978-05-19,205.0,205.7,200.7,202.1,5010
1978-05-22,203.2,211.8,203.2,210.4,4210
1978-05-23,210.4,210.7,203.9,205.0,4690
1978-05-24,205.0,205.7,202.1,205.7,5030
1978-05-25,205.7,211.8,205.3,209.3,5890
1978-05-26,208.9,208.9,204.6,204.6,3770
1978-05-30,204.6,208.6,204.3,208.6,4260
1978-05-31,208.6,212.5,206.1,206.1,4550
1978-06-01,206.1,208.6,203.6,206.4,3780
1978-06-02,206.8,209.3,206.8,208.2,4990
1978-06-05,210.0,216.8,210.0,216.8,10740
1978-06-06,220.0,226.8,220.0,220.4,15980
1978-06-07,220.4,221.1,217.5,217.9,18190
1978-06-08,218.9,225.7,218.9,221.4,6950
1978-06-09,221.4,224.0,218.2,221.1,6050
1978-06-12,221.1,224.0,218.2,218.2,6110
1978-06-13,218.2,227.5,216.4,227.5,7300
1978-06-14,227.2,227.2,218.9,220.4,7500
1978-06-15,220.4,222.5,213.9,216.8,2730
1978-06-16,215.7,215.7,209.3,209.3,9650
1978-06-19,209.6,214.7,209.6,214.3,2990
1978-06-20,213.9,213.9,207.9,208.2,4390
1978-06-21,208.2,211.1,207.9,209.6,3820
1978-06-22,209.6,211.1,208.2,211.1,8040
1978-06-23,211.1,213.2,208.9,209.3,11830
1978-06-26,209.3,210.0,203.6,205.0,3790
1978-06-27,205.0,210.0,204.3,207.5,4650
1978-06-28,207.5,209.3,205.3,206.1,4790
1978-06-29,206.1,208.6,206.1,206.4,3210
1978-06-30,206.4,207.5,205.3,206.8,2770
1978-07-03,206.8,207.1,204.6,205.3,3130
1978-07-05,205.3,206.1,203.9,206.1,5660
1978-07-06,206.1,208.9,205.3,207.1,6280
1978-07-07,207.1,208.9,207.1,208.2,3040
1978-07-10,208.2,210.0,207.1,209.6,3490
1978-07-11,209.6,212.9,209.3,209.3,6190
1978-07-12,209.3,212.9,208.9,209.6,4540
1978-07-13,209.3,209.3,203.9,208.6,4600
1978-07-14,208.9,216.1,208.9,216.1,11570
1978-07-17,216.1,218.9,213.6,213.9,7490
1978-07-18,213.9,214.7,209.3,209.3,4090
1978-07-19,211.1,213.6,211.1,213.2,6260
1978-07-20,213.2,213.9,210.0,210.0,4700
1978-07-21,208.2,208.2,206.1,206.4,8300
1978-07-24,206.4,208.9,204.3,207.5,7700
1978-07-25,207.9,214.7,207.9,213.9,4980
1978-07-26,216.1,221.8,216.1,220.0,16290
1978-07-27,220.7,225.4,220.7,222.5,11420
1978-07-28,222.5,225.4,219.7,224.7,7760
1978-07-31,224.7,229.7,224.3,229.0,7770
1978-08-01,229.0,229.3,226.1,226.8,7460
1978-08-02,226.8,236.1,226.1,236.1,14920
1978-08-03,237.2,241.8,237.2,237.2,18780
1978-08-04,237.2,239.0,233.6,237.2,5360
1978-08-07,237.2,237.5,233.3,233.6,3740
1978-08-08,233.6,235.4,231.8,234.7,5350
1978-08-09,235.8,240.4,235.8,235.8,12460
1978-08-10,235.8,236.8,233.6,233.6,4380
1978-08-11,233.6,236.8,233.3,234.7,5920
1978-08-14,235.4,239.3,235.4,235.4,5480
1978-08-15,235.4,236.1,231.8,235.4,3560
1978-08-16,235.4,243.3,235.4,243.3,8580
1978-08-17,243.3,244.3,239.3,239.3,5600
1978-08-18,239.3,242.2,231.8,234.0,8550
1978-08-21,234.0,235.8,232.5,232.5,6680
1978-08-22,232.5,236.5,232.5,233.6,5460
1978-08-23,235.8,240.4,235.8,238.3,3870
1978-08-24,238.3,243.3,237.5,240.4,11030
1978-08-25,240.4,243.3,239.7,242.6,5360
1978-08-28,241.1,241.1,238.3,238.6,3870
1978-08-29,238.6,239.0,237.2,237.5,7670
1978-08-30,238.3,243.6,238.3,240.4,6730
1978-08-31,240.4,242.6,239.7,241.1,2910
1978-09-01,241.1,245.4,241.1,243.3,6270
1978-09-05,243.6,249.0,243.6,249.0,8800
1978-09-06,249.0,251.9,248.6,248.6,6350
1978-09-07,248.6,249.7,244.3,246.1,3700
1978-09-08,246.1,249.7,244.3,247.2,4430
1978-09-11,247.2,248.6,242.6,242.9,4950
1978-09-12,242.9,244.0,241.5,242.9,6160
1978-09-13,242.9,244.3,237.5,237.5,5830
1978-09-14,237.5,238.6,236.5,237.2,3610
1978-09-15,236.8,236.8,234.7,236.1,4970
1978-09-18,236.1,238.3,230.4,230.4,9320
1978-09-19,230.4,233.3,226.1,226.1,7680
1978-09-20,226.1,228.6,220.7,222.2,4790
1978-09-21,222.2,226.5,221.1,226.5,7300
1978-09-22,226.5,226.8,222.5,224.7,5770
1978-09-25,224.0,224.0,221.4,222.5,8270
1978-09-26,222.5,224.0,221.4,222.5,6400
1978-09-27,222.5,223.6,217.9,217.9,7750
1978-09-28,217.9,221.4,216.4,221.4,5980
1978-09-29,221.4,223.6,221.4,223.2,5230
1978-10-02,223.2,223.2,221.4,222.5,3940
1978-10-03,222.5,222.5,220.0,220.0,5090
1978-10-04,219.7,219.7,216.8,218.2,14150
1978-10-05,218.2,220.7,217.5,218.2,4800
1978-10-06,218.2,220.0,215.4,215.7,4140
1978-10-09,216.1,218.2,216.1,217.2,5090
1978-10-10,217.2,218.6,215.0,216.8,7370
1978-10-11,216.8,221.1,215.4,221.1,5210
1978-10-12,221.1,223.2,217.5,217.9,4120
1978-10-13,217.5,217.5,213.9,213.9,2790
1978-10-16,213.9,214.7,208.9,208.9,4670
1978-10-17,208.9,210.4,206.8,208.2,5180
1978-10-18,208.2,208.9,203.6,206.8,6750
1978-10-19,206.8,206.8,201.4,201.4,4220
1978-10-20,201.4,208.6,201.4,207.9,13630
1978-10-23,207.9,209.6,203.9,209.6,5270
1978-10-24,209.6,210.4,206.1,206.1,6620
1978-10-25,206.1,208.9,203.2,203.9,6250
1978-10-26,203.9,205.7,201.4,202.8,3060
