date,open,high,low,close,volume
2018-10-18,59.485,59.485,59.485,59.485,131
2018-10-19,59.641,59.667,59.435,59.444,1425
2018-10-22,58.64,59.406,58.64,59.311,872
2018-10-25,60.467,60.467,59.695,59.695,441
2018-10-30,58.466,58.466,58.466,58.466,219
2018-10-31,58.5,58.788,58.5,58.788,273
2018-11-05,59.135,59.135,59.135,59.135,420
2018-11-07,59.77,59.77,59.76,59.76,332
2018-11-09,59.55,59.55,59.55,59.55,222
2018-12-06,57.194,57.194,57.194,57.194,508
2018-12-10,58.037,58.037,58.037,58.037,1
2018-12-11,57.754,57.754,57.754,57.754,1
2018-12-12,58.129,58.129,58.129,58.129,12
2018-12-13,58.331,58.331,58.331,58.331,1
2018-12-14,57.982,57.982,57.982,57.982,24
2018-12-17,57.121,57.121,57.121,57.121,1
2018-12-18,56.618,57.374,56.618,57.374,122
2018-12-19,55.799,55.799,55.799,55.799,6
2018-12-20,56.48,56.49,54.598,54.752,1051
2018-12-21,54.611,54.611,54.611,54.611,5
2018-12-24,53.583,53.583,53.583,53.583,1
2018-12-26,54.781,54.781,54.781,54.781,5
2018-12-27,55.133,55.133,55.133,55.133,1
2018-12-28,54.909,54.909,54.909,54.909,85
2018-12-31,55.9,55.9,55.45,55.45,105
2019-01-02,55.899,55.899,54.537,54.537,647
2019-01-03,55.844,55.844,55.844,55.844,7
2019-01-04,55.743,57.376,55.743,57.376,333
2019-01-07,58.119,58.119,58.119,58.119,4
2019-01-08,58.7,58.7,58.7,58.7,1
2019-01-09,59.236,59.236,59.236,59.236,1
2019-01-10,58.882,58.882,58.882,58.882,1
2019-01-11,59.122,59.122,59.122,59.122,1
2019-01-14,58.668,58.668,58.668,58.668,2
2019-01-15,59.12,59.12,59.12,59.12,2
2019-01-16,59.263,59.263,59.263,59.263,27
2019-01-17,58.861,59.202,58.861,59.202,1504
2019-01-18,59.468,59.96,59.468,59.96,246
2019-01-22,59.051,59.604,59.051,59.604,321
2019-01-23,59.505,59.505,59.505,59.505,27
2019-01-24,59.555,59.555,59.555,59.555,1
2019-01-25,59.133,60.002,59.114,60.002,450
2019-01-28,58.846,60.256,58.846,60.256,217
2019-01-29,59.059,60.01,59.059,60.01,164
2019-01-30,59.418,60.276,59.418,60.276,646
2019-01-31,60.461,60.781,60.461,60.781,243
2019-02-01,60.156,61.434,60.156,61.434,560
2019-02-04,60.666,60.666,60.666,60.666,1
2019-02-05,61.328,61.328,61.328,61.328,5
2019-02-06,61.507,61.507,61.261,61.261,105
2019-02-07,60.992,60.992,60.992,60.992,80
2019-02-08,60.843,60.843,60.843,60.843,83
2019-02-11,60.95,60.95,60.95,60.95,13
2019-02-12,61.322,61.322,61.322,61.322,95
2019-02-13,61.271,61.271,61.271,61.271,10
2019-02-14,61.079,61.079,61.079,61.079,79
2019-02-15,61.359,61.359,61.359,61.359,10
2019-02-19,61.376,61.376,61.376,61.376,95
2019-02-20,61.538,61.538,61.538,61.538,10
2019-02-21,61.562,61.562,61.562,61.562,10
2019-02-22,61.77,61.77,61.77,61.77,10
2019-02-25,62.373,62.373,62.204,62.204,145
2019-02-26,62.353,62.353,62.353,62.353,7
2019-02-27,62.38,62.38,62.38,62.38,13
2019-02-28,63.036,63.036,62.702,62.702,1176
2019-03-01,63.314,63.314,62.993,62.993,130
2019-03-04,62.687,62.687,62.687,62.687,9
2019-03-05,62.623,62.623,62.623,62.623,1
2019-03-06,63.175,63.175,62.852,62.852,413
2019-03-07,62.663,62.663,61.648,61.648,372
2019-03-08,62.002,62.002,61.964,61.964,269
2019-03-11,61.642,61.846,61.642,61.846,308
2019-03-12,63.175,63.249,61.733,62.045,1737
2019-03-13,62.499,62.499,62.499,62.499,47
2019-03-14,62.022,62.782,62.022,62.491,696
2019-03-15,62.52,62.702,62.386,62.386,507
2019-03-18,62.468,62.468,62.468,62.468,1
2019-03-19,62.561,62.561,62.561,62.561,1
2019-03-20,62.88,62.88,62.88,62.88,1
2019-03-21,63.056,63.056,63.056,63.056,1
2019-03-22,63.053,63.053,62.676,62.676,116
2019-03-25,63.765,63.765,62.822,62.822,181
2019-03-26,62.764,62.764,62.764,62.764,7
2019-03-27,63.345,63.345,63.047,63.047,116
2019-03-28,63.07,63.07,63.07,63.07,62
2019-03-29,63.378,63.378,63.378,63.378,1
2019-04-01,63.299,63.299,63.299,63.299,1
2019-04-02,63.579,63.579,63.463,63.463,390
2019-04-03,63.845,63.845,63.845,63.845,27
2019-04-04,64.095,64.095,64.036,64.036,2371
2019-04-05,63.318,64.353,63.318,64.318,3115
2019-04-08,64.142,64.142,63.756,63.823,759
2019-04-09,64.278,64.278,63.747,63.747,848
2019-04-10,63.971,63.971,63.971,63.971,97
2019-04-11,64.371,64.371,64.073,64.073,219
2019-04-12,65.071,65.071,65.071,65.071,1291
2019-04-15,65.978,65.978,65.053,65.24,537
2019-04-16,65.502,65.502,65.329,65.329,313
2019-04-17,64.193,64.193,64.193,64.193,45
2019-04-18,64.261,64.261,64.261,64.261,15
2019-04-22,65.462,65.462,64.147,64.147,168
2019-04-23,64.723,64.723,64.723,64.723,21
2019-04-24,65.204,65.204,64.689,64.689,906
2019-04-25,64.628,64.628,64.628,64.628,15
2019-04-26,64.905,64.905,64.905,64.905,68
2019-04-29,65.141,65.141,65.141,65.141,20
2019-04-30,65.931,66.216,65.744,65.982,2552
2019-05-01,64.722,64.722,64.722,64.722,67
2019-05-02,65.744,65.744,64.008,64.215,2442
2019-05-03,65.904,65.904,65.254,65.254,605
2019-05-06,64.604,64.604,64.604,64.604,20
2019-05-07,64.737,64.923,64.703,64.703,1583
2019-05-08,64.97,65.222,64.709,64.709,613
2019-05-09,64.294,64.294,63.817,63.817,171
2019-05-10,64.028,64.028,64.028,64.028,5
2019-05-13,64.409,64.409,63.719,63.719,612
2019-05-14,64.015,64.015,64.015,64.015,6
2019-05-15,64.233,64.233,64.233,64.233,72
2019-05-16,64.082,64.082,64.082,64.082,37
2019-05-17,64.495,64.495,64.077,64.077,420
2019-05-20,64.353,64.353,64.03,64.03,337
2019-05-21,64.367,64.367,64.367,64.367,4
2019-05-22,64.396,64.396,64.396,64.396,81
2019-05-23,64.003,64.003,64.003,64.003,94
2019-05-24,64.538,64.538,63.983,63.983,214
2019-05-28,64.353,64.353,63.931,63.931,452
2019-05-29,63.714,63.714,63.714,63.714,20
2019-05-30,63.579,63.911,63.579,63.911,351
2019-05-31,63.504,63.504,62.102,62.102,427
2019-06-03,62.269,62.382,62.269,62.382,535
2019-06-04,63.618,63.618,63.618,63.618,20
2019-06-05,63.905,63.905,63.905,63.905,1
2019-06-06,64.278,64.278,64.278,64.278,20
2019-06-07,64.86,65.586,64.86,65.443,5505
2019-06-10,65.207,65.531,65.155,65.531,1286
2019-06-11,65.557,66.183,64.297,64.704,4188
2019-06-12,65.213,65.213,64.677,64.677,523
2019-06-13,65.353,65.474,65.175,65.175,3862
2019-06-14,64.826,64.826,64.826,64.826,1246
2019-06-17,65.101,65.101,65.094,65.094,366
2019-06-18,65.614,65.96,65.39,65.707,2062
2019-06-19,66.095,66.095,66.095,66.095,309
2019-06-20,66.778,67.22,66.754,66.947,706
2019-06-21,66.342,66.342,66.342,66.342,90
