date,open,high,low,close,volume
2020-11-17,97.45,97.45,97.45,97.45,18.2
2020-11-18,98.9,100.749,98.9,99.161,53.4
2020-11-19,99.2,99.2,99.2,99.2,48.0
2020-11-20,102.199,102.199,96.52,96.52,75.9
2020-11-23,97.2,97.2,97.0,97.0,18060.9
2020-11-24,97.1,98.5,96.5,98.5,1935.2
2020-11-25,101.1,101.2,98.8,98.8,140.0
2020-11-27,97.554,99.0,96.5,98.5,2670.1
2020-11-30,99.0,101.2,96.601,99.05,71.2
2020-12-01,100.422,101.15,98.87,100.6,382.8
2020-12-02,100.0,100.0,97.8,97.8,37706.7
2020-12-03,97.7,98.5,97.7,98.5,48.1
2020-12-04,98.85,98.85,98.85,98.85,202.9
2020-12-07,100.4,100.4,99.007,99.007,74.6
2020-12-08,98.5,98.5,98.0,98.2,1449.3
2020-12-09,99.001,99.4,97.9,98.6,489.4
2020-12-10,98.8,100.0,98.2,98.576,240.4
2020-12-11,99.8,100.0,98.9,99.4,4594.0
2020-12-14,100.5,100.5,98.4,98.4,2865.2
2020-12-15,98.7,99.5,98.6,99.5,21493.7
2020-12-16,99.604,100.2,99.6,100.1,3083.5
2020-12-17,100.0,100.9,99.8,100.0,783.8
2020-12-18,101.1,101.1,99.8,100.0,8755.5
2020-12-21,99.7,99.9,99.5,99.5,667.3
2020-12-22,100.0,100.5,99.8,100.3,1505.3
2020-12-23,101.0,101.0,99.5,99.9,3012.5
2020-12-24,102.5,102.5,100.1,100.2,416.7
2020-12-28,100.5,101.3,100.3,100.5,24316.9
2020-12-29,101.7,101.7,100.5,100.6,9485.9
2020-12-30,101.2,101.9,100.9,101.8,2571.9
2020-12-31,102.6,102.6,99.7,99.7,8632.5
2021-01-04,100.1,102.4,100.1,100.8,3517.7
2021-01-05,102.0,102.0,100.8,101.05,1821.4
2021-01-06,100.7,101.8,100.5,100.7,6069.8
2021-01-07,102.3,102.3,101.25,101.35,917.6
2021-01-08,101.5,102.3,100.0,101.8,11451.5
2021-01-11,101.5,102.9,101.4,102.4,7274.8
2021-01-12,102.1,102.7,102.1,102.2,839.4
2021-01-13,102.6,103.0,101.701,102.5,5080.6
2021-01-14,102.2,104.5,102.2,103.6,4632.0
2021-01-15,104.5,104.5,101.6,101.6,15439.6
2021-01-19,102.5,103.5,101.6,101.7,11971.8
2021-01-20,102.101,102.6,102.1,102.1,2446.3
2021-01-21,103.4,107.2,101.9,102.45,4504.7
2021-01-22,102.2,103.1,102.0,102.4,6373.6
2021-01-25,104.8,104.8,102.7,102.9,10965.2
2021-01-26,108.4,110.0,105.6,109.0,168753.6
2021-01-27,110.0,111.2,103.0,104.0,52288.0
2021-01-28,106.9,107.0,104.1,105.0,39937.4
2021-01-29,104.2,106.8,104.0,105.3,28789.3
2021-02-01,113.2,116.0,106.8,111.0,1176060.7
2021-02-02,116.6,117.5,112.2,113.4,467477.2
2021-02-03,114.5,115.9,111.101,112.6,147732.6
2021-02-04,111.7,112.5,108.45,108.6,112871.2
2021-02-05,110.0,110.0,106.5,106.8,141583.9
2021-02-08,110.0,110.4,107.0,108.5,145424.7
2021-02-09,107.8,113.1,107.8,111.8,164325.4
2021-02-10,112.8,113.5,108.8,110.8,93670.1
2021-02-11,111.1,111.4,108.0,109.1,46747.3
2021-02-12,109.1,110.0,107.0,107.3,72171.4
2021-02-16,107.9,109.3,107.5,109.1,70520.4
2021-02-17,108.5,110.5,105.899,110.2,56670.0
2021-02-18,108.5,109.465,106.6,108.4,46935.9
2021-02-19,108.2,111.0,107.2,110.3,44209.3
2021-02-22,110.3,110.3,107.7,109.0,54022.4
