date,open,high,low,close,volume
2019-12-05,11.5605,11.721,11.5605,11.6835,24968
2019-12-06,11.7485,11.877,11.7485,11.8305,16968
2019-12-09,11.886,11.886,11.633,11.633,20858
2019-12-10,11.62,11.73,11.62,11.6465,14646
2019-12-11,11.6475,11.7435,11.6475,11.713,19604
2019-12-12,11.8585,11.904,11.762,11.78,34882
2019-12-13,11.7805,11.8065,11.7155,11.7375,10044
2019-12-16,11.8265,11.8265,11.716,11.716,13072
2019-12-17,11.6565,11.6565,11.588,11.597,10020
2019-12-18,11.6015,11.748,11.6015,11.7445,4772
2019-12-19,11.762,11.7665,11.6935,11.7265,14798
2019-12-20,11.7795,11.8325,11.6795,11.6795,8306
2019-12-23,11.7395,11.814,11.7395,11.814,5126
2019-12-24,11.873,11.873,11.8015,11.8015,1910
2019-12-26,11.872,11.996,11.872,11.918,14132
2019-12-27,11.918,11.991,11.918,11.952,12820
2019-12-30,12.0055,12.0095,11.9685,11.9775,7320
2019-12-31,11.9975,12.0255,11.9615,11.9955,47050
2020-01-02,12.0465,12.0465,11.987,12.0325,8980
2020-01-03,12.0145,12.1015,12.0145,12.074,6638
2020-01-06,12.0715,12.129,12.0265,12.1245,21880
2020-01-07,12.039,12.0465,11.8835,11.8835,25684
2020-01-08,11.808,11.822,11.285,11.797,17252
2020-01-09,11.81,11.8585,11.643,11.651,41800
2020-01-10,11.659,11.7185,11.652,11.6935,31152
2020-01-13,11.785,11.849,11.731,11.79,13454
2020-01-14,11.7855,11.817,11.762,11.762,9398
2020-01-15,11.7755,11.7755,11.661,11.666,6440
2020-01-16,11.762,11.794,11.7435,11.7685,14894
2020-01-17,11.808,11.8355,11.6335,11.707,16830
2020-01-21,11.6475,11.6475,11.5325,11.5325,8308
2020-01-22,11.5325,11.5375,11.481,11.5035,6544
2020-01-23,11.455,11.455,11.3035,11.3555,19530
2020-01-24,11.3955,12.34,11.2395,11.2395,14996
2020-01-27,11.065,11.065,10.9735,10.9735,14368
2020-01-28,11.0285,11.0285,10.9185,10.9185,6812
2020-01-29,10.8905,10.8905,10.781,10.822,4872
2020-01-30,10.6615,10.8035,10.6615,10.8035,1310
2020-01-31,10.781,10.798,10.73,10.7675,22166
2020-02-03,10.845,11.0265,10.845,11.0055,2608
2020-02-04,11.1775,11.2485,11.1775,11.2315,6954
2020-02-05,11.2435,11.274,11.166,11.274,19904
2020-02-06,11.258,11.258,11.1935,11.2115,1578
2020-02-07,11.2115,11.384,11.1705,11.1705,1476
2020-02-10,11.166,11.166,11.079,11.1065,7066
2020-02-11,11.079,11.3585,11.079,11.336,4838
2020-02-12,11.322,11.602,11.322,11.602,10386
2020-02-13,11.5465,11.57,11.526,11.544,3076
2020-02-14,11.4285,11.4525,11.42,11.4245,7866
2020-02-18,11.4185,11.4185,11.3235,11.345,7924
2020-02-19,11.377,11.4,11.333,11.3675,13966
2020-02-20,11.3265,11.3875,11.3265,11.3265,7608
2020-02-21,11.317,11.317,11.2025,11.2115,15150
2020-02-24,11.0695,11.0695,10.8105,10.8585,7082
2020-02-25,10.749,10.749,10.5545,10.5545,4050
2020-02-26,10.5535,10.556,10.409,10.4245,8354
2020-02-27,10.143,10.377,10.111,10.214,10820
2020-02-28,9.969,10.1,9.772,10.1,31650
2020-03-02,10.148,10.322,10.148,10.321,8988
2020-03-03,10.5695,10.595,10.3705,10.3705,4380
2020-03-04,10.46,10.5815,10.46,10.518,2292
2020-03-05,10.345,10.363,10.3105,10.3255,4602
2020-03-06,10.2215,10.2215,10.092,10.1885,2958
2020-03-09,9.74,9.74,9.263,9.327,5640
2020-03-10,9.5655,9.7555,9.295,9.6335,3812
2020-03-11,9.41,9.41,9.0965,9.0965,2262
2020-03-12,8.621,8.621,8.1535,8.3155,13908
2020-03-13,8.598,8.598,8.2685,8.562,11286
2020-03-16,7.7635,7.8345,7.617,7.6905,24008
2020-03-17,8.1025,8.2725,7.9885,8.2505,4462
2020-03-18,8.176,8.176,7.602,7.602,2846
2020-03-19,7.149,7.8325,7.131,7.738,8110
2020-03-20,7.673,7.673,7.673,7.673,108
2020-03-23,7.676,7.676,7.337,7.47,4120
2020-03-24,8.025,8.0725,8.025,8.0725,7008
2020-03-25,8.0705,8.56,8.0705,8.444,3110
2020-03-26,8.6485,8.81,8.4835,8.5475,20028
2020-03-27,8.616,8.616,8.433,8.535,3182
2020-03-30,8.715,8.9995,8.667,8.9995,2356
2020-03-31,9.0005,9.13,8.997,9.0315,8900
2020-04-01,9.171,9.171,8.96,9.107,2416
2020-04-02,9.346,9.346,9.346,9.346,46
2020-04-03,9.524,9.539,9.4305,9.539,2290
2020-04-06,9.6665,9.795,9.6295,9.778,4542
2020-04-07,9.859,10.2855,9.859,10.274,6144
2020-04-08,10.446,10.5055,10.281,10.3695,13832
