date,open,high,low,close,volume
2017-10-27,46.8773,46.8962,46.8773,46.8883,4529.3624206824
2017-10-30,46.9042,46.9142,46.8962,46.9142,5098.9229646005
2017-10-31,46.9231,46.9231,46.8873,46.8873,1527.8687606693
2017-11-01,46.8962,46.8962,46.8962,46.8962,267391.09634044
2017-11-02,46.9042,46.9042,46.8982,46.9042,3885.4676964292
2017-11-03,46.9231,46.9231,46.9042,46.9042,4877.9294554965
2017-11-06,46.951,46.9609,46.942,46.9609,4057.2399239601
2017-11-07,46.8962,46.8962,46.8793,46.8962,5294.8035749427
2017-11-08,46.9142,46.9142,46.8962,46.8962,6434.9291787295
2017-11-09,46.8932,46.9042,46.8932,46.8962,3440.4671303697
2017-11-10,46.9042,46.9042,46.9042,46.9042,331.49026365606
2017-11-13,46.942,46.942,46.9142,46.9142,3051.7194575367
2017-11-14,46.8713,46.8713,46.8633,46.8633,3554.9819487236
2017-11-15,46.8633,46.8713,46.8395,46.8713,8046.172763288
2017-11-16,46.8445,46.8445,46.8355,46.8355,2513.2989080832
2017-11-17,46.8633,46.8633,46.8375,46.8535,2812.6446613242
2017-11-20,46.8445,46.8445,46.8265,46.8265,2157.7002616158
2017-11-21,46.8355,46.8355,46.8166,46.8265,2445.9963394015
2017-11-22,46.8505,46.8693,46.8325,46.8603,2627.8137264371
2017-11-24,46.8693,46.8693,46.8325,46.8693,1278.748804952
2017-11-27,46.8225,46.8693,46.8225,46.8603,3117.0129943174
2017-11-28,46.8415,46.8693,46.8415,46.8603,2442.9827915501
2017-11-29,46.8325,46.8415,46.8325,46.8415,2143.6370383092
2017-11-30,46.8385,46.8455,46.8225,46.8225,2403.8066694817
2017-12-01,46.8415,46.8603,46.8225,46.8505,2807.6220815718
2017-12-04,46.8325,46.8325,46.8225,46.8225,3835.2418989056
2017-12-05,46.8126,46.8225,46.8126,46.8225,2601.6963117248
2017-12-06,46.8603,46.8603,46.8505,46.8505,2338.5131327009
2017-12-07,46.8693,46.8773,46.8603,46.8693,2421.8879565902
2017-12-08,46.8773,46.8773,46.8773,46.8773,236.06124836113
2017-12-11,46.8693,46.8693,46.8603,46.8693,2182.8131603776
2017-12-12,46.8026,46.8026,46.7937,46.7937,2919.1233520743
2017-12-13,46.8126,46.8505,46.8126,46.8505,3949.7567172595
2017-12-14,46.8325,46.8505,46.8126,46.8325,3928.6618822996
2017-12-15,46.8225,46.8225,46.7937,46.8225,4717.2069034208
2017-12-18,46.8335,46.8425,46.8036,46.8235,4640.8636911849
2017-12-19,46.8036,46.8036,46.7568,46.7857,2921.1323839752
2017-12-20,46.9112,46.9112,46.8952,46.9022,2589.6421203192
2017-12-21,46.9122,46.9212,46.9122,46.9122,2765.4324116519
2017-12-22,46.9022,46.9022,46.8932,46.9022,3706.663857245
2017-12-26,46.8783,46.9212,46.8783,46.9212,2700.1388748712
2017-12-27,46.941,46.9589,46.941,46.949,2253.1292769107
2017-12-28,46.9589,46.9589,46.941,46.949,2406.8202173331
2017-12-29,46.9789,46.9789,46.9689,46.9689,2186.8312241795
2018-01-02,46.9689,46.9689,46.931,46.949,3332.9839236691
2018-01-03,46.949,46.9589,46.949,46.949,2244.0886333565
2018-01-04,46.941,46.949,46.8952,46.941,4778.4823763996
2018-01-05,46.8515,46.8515,46.8245,46.8335,3044.6878458834
2018-01-08,46.8515,46.8515,46.8425,46.8515,9417.3370356836
2018-01-09,46.8136,46.8515,46.8136,46.8235,109958.33400256
