date,open,high,low,close,volume
2005-02-25,22.73,22.95,22.4,22.84,274234
2005-02-28,22.9,22.9,22.37,22.71,455134
2005-03-01,22.68,22.85,22.29,22.39,611936
2005-03-02,22.4,22.8,22.36,22.46,496306
2005-03-03,22.43,22.52,21.88,21.98,625588
2005-03-04,21.98,22.07,21.41,21.75,1100204
2005-03-07,21.7,22.05,21.7,21.95,594948
2005-03-08,21.93,22.23,21.93,22.16,803206
2005-03-09,22.01,22.22,21.8,22.09,998528
2005-03-10,22.09,22.18,21.48,21.64,715682
2005-03-11,21.55,21.66,21.15,21.22,785216
2005-03-14,21.32,21.79,21.16,21.7,673446
2005-03-15,21.78,22.11,21.48,21.6,1244254
2005-03-16,21.52,21.84,21.43,21.54,515834
2005-03-17,21.43,21.68,21.32,21.57,518276
2005-03-18,21.64,21.69,21.11,21.43,1175386
2005-03-21,21.5,21.62,21.43,21.58,429812
2005-03-22,21.59,22.21,21.54,21.55,708226
2005-03-23,21.3,22.12,21.3,21.98,637602
2005-03-24,21.87,22.48,21.87,22.02,832076
2005-03-28,22.07,22.23,22.0,22.2,775040
2005-03-29,22.14,22.68,22.0,22.29,1360442
2005-03-30,22.34,22.54,22.07,22.43,660172
2005-03-31,22.41,23.06,22.3,22.85,1072306
2005-04-01,22.85,22.88,22.05,22.57,1054954
2005-04-04,22.59,22.59,21.92,22.11,526228
2005-04-05,22.09,22.65,22.02,22.51,447672
2005-04-06,22.59,22.74,22.36,22.57,487988
2005-04-07,22.57,23.7,22.38,23.15,1301630
2005-04-08,23.27,23.36,22.62,22.75,556504
2005-04-11,22.68,22.87,22.43,22.87,309620
2005-04-12,22.68,23.77,22.48,23.75,1161020
2005-04-13,23.92,24.11,23.5,23.67,934508
2005-04-14,23.77,23.77,23.38,23.43,660730
2005-04-15,23.25,23.25,22.43,23.13,1142628
2005-04-18,23.02,23.7,23.0,23.51,971380
2005-04-19,23.51,24.5,23.51,24.3,2410018
2005-04-20,24.34,24.95,24.18,24.83,1420454
2005-04-21,24.95,25.98,24.77,25.68,1605542
2005-04-22,25.57,25.69,25.12,25.36,1312056
2005-04-25,25.25,26.0,25.23,25.95,904784
2005-04-26,25.88,26.46,25.7,26.09,1250576
2005-04-27,26.07,26.07,25.38,25.45,737234
2005-04-28,25.55,25.55,24.43,24.5,972280
2005-04-29,24.8,24.8,23.92,24.0,1417836
2005-05-02,24.23,24.87,24.11,24.86,1137418
2005-05-03,24.0,25.83,23.8,25.61,2085100
2005-05-04,25.55,26.66,25.55,26.33,786166
2005-05-05,26.46,27.18,26.15,27.16,1087260
2005-05-06,27.27,27.27,26.52,26.8,1007132
2005-05-09,26.8,27.2,26.43,27.14,710356
2005-05-10,27.11,27.14,26.8,27.14,1271896
2005-05-11,27.0,27.21,26.59,27.1,686930
2005-05-12,27.0,27.38,26.93,27.36,1071786
2005-05-13,27.39,27.88,26.52,26.94,782428
2005-05-16,26.89,27.8,26.66,27.79,740532
2005-05-17,27.6,28.01,27.35,28.0,608978
2005-05-18,28.0,28.82,27.89,28.55,1240344
2005-05-19,28.5,28.73,28.1,28.16,864852
2005-05-20,28.28,28.33,27.82,27.91,874226
2005-05-23,27.98,28.19,27.8,27.9,744676
2005-05-24,27.95,27.95,26.38,26.69,2662162
2005-05-25,26.55,26.55,25.02,25.82,4046648
2005-05-26,25.77,26.29,25.59,25.98,1337912
2005-05-27,25.05,25.47,24.18,24.41,3912450
2005-05-31,24.36,25.14,24.3,24.98,1975000
2005-06-01,25.09,25.59,25.0,25.16,1363550
2005-06-02,25.5,25.54,25.15,25.25,748306
2005-06-03,25.34,25.47,24.25,24.57,1410774
2005-06-06,24.38,24.83,23.73,23.98,1506966
2005-06-07,23.98,24.4,23.6,23.65,808608
2005-06-08,23.65,24.05,23.39,23.75,1238486
2005-06-09,23.66,24.48,23.5,24.11,1097724
2005-06-10,24.2,24.68,24.1,24.5,834572
2005-06-13,24.52,24.96,24.46,24.74,1054652
2005-06-14,24.8,24.8,24.27,24.59,339988
2005-06-15,24.59,24.88,24.43,24.87,402720
2005-06-16,24.93,25.18,24.76,25.05,541578
2005-06-17,24.93,25.21,24.88,24.96,936920
2005-06-20,25.0,25.14,24.77,24.9,327428
2005-06-21,24.93,25.0,24.66,24.8,514174
2005-06-22,24.82,25.08,24.55,24.8,285078
2005-06-23,24.74,24.96,24.45,24.45,402400
2005-06-24,24.43,24.62,24.26,24.6,509488
2005-06-27,24.65,24.69,23.98,24.09,549944
2005-06-28,24.0,24.55,23.68,24.5,697234
2005-06-29,24.52,24.73,24.09,24.39,668200
2005-06-30,24.46,24.46,24.02,24.1,402546
2005-07-01,24.15,24.17,23.86,24.03,280234
2005-07-05,23.84,25.07,23.84,25.0,919536
2005-07-06,24.99,25.16,24.68,24.76,421808
2005-07-07,24.64,25.73,24.34,25.68,883710
2005-07-08,25.71,26.95,25.66,26.7,1054412
2005-07-11,26.74,26.81,26.23,26.62,366804
2005-07-12,26.58,26.98,26.55,26.82,523262
2005-07-13,26.84,26.84,26.05,26.25,526958
2005-07-14,26.41,26.45,26.09,26.25,257074
2005-07-15,26.13,26.61,26.06,26.47,372822
2005-07-18,26.5,26.54,26.19,26.27,398040
2005-07-19,26.34,26.51,26.08,26.38,281728
2005-07-20,26.33,27.32,26.29,27.16,1175974
2005-07-21,27.2,27.75,26.52,27.49,868838
2005-07-22,27.49,27.65,26.66,27.0,747052
2005-07-25,27.08,27.15,26.55,26.66,573102
2005-07-26,26.66,26.71,25.55,25.6,2550446
2005-07-27,25.64,25.82,24.86,25.04,1250942
2005-07-28,25.2,26.04,25.13,26.03,952328
2005-07-29,26.04,26.7,25.88,26.68,1235806
2005-08-01,26.68,27.23,26.55,27.02,829800
2005-08-02,31.1,34.49,30.85,34.13,14135538
2005-08-03,34.15,34.97,33.08,34.88,5735516
2005-08-04,34.7,34.88,33.77,34.45,3326080
2005-08-05,34.5,34.74,32.93,33.38,1882464
2005-08-08,33.05,33.66,31.93,32.35,1832276
2005-08-09,32.34,33.22,32.3,33.15,951336
2005-08-10,33.29,33.63,32.75,32.99,1605578
2005-08-11,33.0,33.73,32.44,33.56,1408180
2005-08-12,33.44,34.27,33.32,33.85,730012
2005-08-15,33.98,34.59,33.62,34.25,929638
2005-08-16,34.15,35.75,34.02,34.9,3401078
2005-08-17,34.79,35.4,34.66,34.93,966076
2005-08-18,34.75,35.47,34.36,34.92,1025194
2005-08-19,34.7,35.76,34.67,34.95,957400
2005-08-22,35.27,36.06,34.91,35.68,1125712
2005-08-23,35.83,36.31,34.74,35.26,713734
2005-08-24,35.09,35.76,34.63,34.99,544606
2005-08-25,35.1,35.51,34.88,35.38,303924
2005-08-26,35.38,35.48,34.3,34.76,624684
2005-08-29,34.6,35.11,34.38,34.94,515780
2005-08-30,34.87,35.42,34.33,34.97,740614
2005-08-31,35.01,35.35,34.6,35.1,720298
2005-09-01,35.1,35.73,34.51,34.98,808154
