date,open,high,low,close,volume
2022-08-10,49.8165,49.8165,49.6871,49.6871,43533.974614365
2022-08-11,49.7344,49.7344,49.6871,49.6871,254.8839303886
2022-08-12,49.6821,49.6821,49.6821,49.6821,20.069600818
2022-08-15,49.7668,49.7768,49.7469,49.7568,6317.9103375064
2022-08-16,49.7269,49.7568,49.71,49.712,21998.28945661
2022-08-17,49.6373,49.6971,49.6273,49.6971,21213.568064626
2022-08-18,49.7469,49.7768,49.717,49.7568,47898.109312239
2022-08-19,49.707,49.717,49.6861,49.717,17142.449538695
2022-08-22,49.6771,49.6921,49.6402,49.6672,22366.56663162
2022-08-23,49.6472,49.7618,49.6472,49.6871,165516.00490613
2022-08-24,49.6771,49.6771,49.6223,49.6273,3398.7868985283
2022-08-25,49.6482,49.6672,49.6472,49.6572,9551.1230292862
2022-08-26,49.6204,49.6373,49.5575,49.6373,14535.408392437
2022-08-29,49.6373,49.6373,49.5818,49.6074,12340.797542988
2022-08-30,49.5775,49.5776,49.5376,49.5675,8551.6569085498
2022-08-31,49.5675,49.5974,49.5675,49.5675,38384.115044466
2022-09-01,49.5675,49.5675,49.5276,49.5376,19753.504605117
2022-09-02,49.6372,49.6472,49.6372,49.6472,10236.499897221
2022-09-06,49.6273,49.6273,49.5476,49.5675,12228.407778407
2022-09-07,49.5775,49.6173,49.5765,49.6173,15896.127327897
2022-09-08,49.5775,49.6472,49.5625,49.5775,7192.9449331712
2022-09-09,49.5575,49.5625,49.5067,49.5077,5104.7029680583
2022-09-12,49.5575,49.5736,49.5269,49.5376,6078.0786077313
2022-09-13,49.3782,49.3782,49.3383,49.3573,528094.41676416
2022-09-14,49.3273,49.3473,49.3084,49.3283,41251.057521317
2022-09-15,49.3084,49.3084,49.2611,49.2785,17710.419241844
2022-09-16,49.2685,49.2984,49.2277,49.2984,46083.817398292
2022-09-19,49.2088,49.2337,49.1938,49.2187,124060.23745647
2022-09-20,49.1888,49.2187,49.1739,49.1888,32438.495802133
2022-09-21,49.1988,49.1988,49.0892,49.144,54592.324665083
2022-09-22,49.1191,49.1191,49.0294,49.0792,163918.46468102
2022-09-23,49.0792,49.0792,48.9995,49.0194,299475.57296607
2022-09-26,48.9995,49.0194,48.8948,48.9297,141922.18218449
2022-09-27,48.9596,48.9895,48.9007,48.9198,41590.233775141
2022-09-28,49.0593,49.129,49.0194,49.1191,40168.302557186
2022-09-29,49.0991,49.0991,49.0144,49.0792,42285.645443485
2022-09-30,49.129,49.129,49.0393,49.0493,79733.513609791
2022-10-03,49.1191,49.1191,49.0344,49.0593,45486.746773956
2022-10-04,49.0792,49.3084,49.0593,49.0692,51972.238278293
2022-10-05,49.0194,49.0692,48.9845,49.0294,34705.357214526
2022-10-06,49.0393,49.0393,48.9596,48.9696,19226.677583644
2022-10-07,48.9098,48.9297,48.8998,48.9098,26365.434594607
2022-10-10,48.9098,48.9198,48.8998,48.9198,41008.215351419
2022-10-11,48.9247,48.9696,48.9247,48.9397,48591.514020501
2022-10-12,48.9198,48.9497,48.9108,48.9397,118406.63090604
2022-10-13,48.8002,48.845,48.7429,48.7902,55863.733876903
2022-10-14,48.8998,48.8998,48.7704,48.7802,34055.102148023
2022-10-17,48.86,48.9198,48.8101,48.8201,254455.44441114
2022-10-18,48.8799,48.8799,48.8101,48.85,258641.96314177
2022-10-19,48.7703,48.7802,48.7304,48.7503,148568.23049537
2022-10-20,48.7205,48.7503,48.6806,48.7005,99173.932442147
2022-10-21,48.6806,48.845,48.6806,48.8301,80861.425175763
2022-10-24,48.8002,48.84,48.7938,48.8101,50701.832546513
2022-10-25,48.8899,48.8998,48.8301,48.8404,87732.253015805
2022-10-26,48.86,48.8998,48.85,48.8799,58148.657930032
2022-10-27,48.9297,48.9795,48.8998,48.9795,64992.39180897
2022-10-28,48.9198,48.9397,48.8799,48.8998,58507.903784674
2022-10-31,48.84,48.85,48.8065,48.85,78642.730805333
2022-11-01,48.9,48.9,48.77,48.785,65177.0
2022-11-02,48.79,48.8899,48.73,48.75,66983.0
2022-11-03,48.68,48.68,48.63,48.67,74220.0
2022-11-04,48.69,48.72,48.64,48.72,108789.0
2022-11-07,48.67,48.69,48.65,48.66,62263.0
2022-11-08,48.67,48.7299,48.67,48.7,58692.0
2022-11-09,48.73,48.8,48.713,48.8,43875.0
2022-11-10,49.01,49.075,49.0,49.04,99504.0
2022-11-11,48.97,49.04,48.97,49.03,22608.0
2022-11-14,49.0,49.0,48.96,48.98,72858.0
2022-11-15,49.05,49.05,49.0,49.04,45502.0
2022-11-16,49.05,49.06,49.02,49.0342,93324.0
2022-11-17,49.0,49.01,48.94,48.97,65678.0
2022-11-18,48.96,48.98,48.915,48.92,112375.0
2022-11-21,48.95,48.95,48.8727,48.89,86615.0
2022-11-22,48.91,48.92,48.8811,48.905,60792.0
2022-11-23,48.91,48.96,48.9078,48.96,54592.0
2022-11-25,48.97,48.97,48.93,48.955,32268.0
2022-11-28,48.99,49.02,48.98,48.98,53837.0
2022-11-29,48.99,49.0,48.96,48.96,65262.0
2022-11-30,48.93,49.1,48.9097,49.0866,63653.0
2022-12-01,48.94,49.0495,48.94,49.045,46438.0
2022-12-02,48.96,49.04,48.93,49.04,69182.0
2022-12-05,48.99,48.99,48.89,48.89,74274.0
2022-12-06,48.93,48.97,48.92,48.97,76962.0
2022-12-07,49.01,49.07,49.01,49.055,17424.0
2022-12-08,49.04,49.05,49.0019,49.01,50919.0
2022-12-09,49.01,49.03,49.0,49.01,39146.0
2022-12-12,49.01,49.03,48.93,48.96,51961.0
2022-12-13,49.13,49.16,49.1,49.11,60844.0
2022-12-14,49.15,49.1799,49.05,49.125,66163.0
2022-12-15,49.14,49.14,49.1001,49.13,103961.0
2022-12-16,49.09,49.2,49.0801,49.18,85301.0
2022-12-19,49.15,49.17,49.12,49.13,58546.0
2022-12-20,49.08,49.12,49.08,49.115,134097.0
2022-12-21,49.21,49.29,49.15,49.165,133835.0
2022-12-22,49.14,49.18,49.14,49.145,124124.0
2022-12-23,49.1,49.117,49.07,49.105,91582.0
2022-12-27,49.06,49.08,49.0,49.035,99720.0
2022-12-28,48.89,48.89,48.86,48.865,77982.0
2022-12-29,48.9,48.9,48.85,48.875,82910.0
2022-12-30,48.84,48.87,48.81,48.825,142284.0
2023-01-03,48.89,48.89,48.82,48.84,134763.0
2023-01-04,48.92,48.92,48.8445,48.88,95006.0
2023-01-05,48.8,48.84,48.7728,48.83,58328.0
2023-01-06,48.85,49.01,48.84,48.995,228203.0
2023-01-09,49.0,49.07,49.0,49.055,94603.0
2023-01-10,49.03,49.03,48.985,49.025,84106.0
2023-01-11,49.03,49.05,49.0,49.05,60434.0
2023-01-12,49.14,49.16,49.09,49.155,133592.0
2023-01-13,49.15,49.15,49.07,49.075,71867.0
2023-01-17,49.04,49.12,49.04,49.11,85100.0
2023-01-18,49.17,49.22,49.17,49.2125,96575.0
2023-01-19,49.23,49.23,49.18,49.195,64321.0
2023-01-20,49.15,49.16,49.13,49.155,119567.0
2023-01-23,49.11,49.135,49.1,49.105,128323.0
2023-01-24,49.1,49.14,49.09,49.125,89697.0
2023-01-25,49.14,49.1693,49.13,49.145,121622.0
2023-01-26,49.15,49.15,49.1,49.115,136252.0
2023-01-27,49.1,49.11,49.08,49.11,73141.0
2023-01-30,49.06,49.07,49.05,49.07,86059.0
2023-01-31,49.096,49.12,49.09,49.11,70455.0
2023-02-01,48.98,49.05,48.91,49.05,72385.0
2023-02-02,49.09,49.0909,49.05,49.06,103676.0
2023-02-03,48.93,48.95,48.86,48.8659,626443.0
2023-02-06,48.78,48.78,48.7,48.72,242247.0
2023-02-07,48.71,48.78,48.71,48.73,171366.0
2023-02-08,48.76,48.77,48.72,48.7639,50059.0
2023-02-09,48.79,48.79,48.71,48.725,68078.0
2023-02-10,48.76,48.76,48.705,48.71,89647.0
2023-02-13,48.7,48.715,48.68,48.7,152085.0
2023-02-14,48.66,48.67,48.6101,48.63,65669.0
2023-02-15,48.63,48.66,48.61,48.63,420704.0
2023-02-16,48.65,48.68,48.61,48.635,89426.0
2023-02-17,48.63,48.6705,48.61,48.67,103962.0
2023-02-21,48.62,48.62,48.57,48.575,119043.0
2023-02-22,48.6001,48.63,48.575,48.58,59089.0
2023-02-23,48.61,48.61,48.59,48.61,83786.0
2023-02-24,48.52,48.52,48.47,48.495,157558.0
2023-02-27,48.53,48.53,48.5,48.53,443343.0
2023-02-28,48.51,48.5289,48.48,48.52,346034.0
2023-03-01,48.33,48.33,48.27,48.28,166211.0
2023-03-02,48.26,48.3,48.2422,48.3,181527.0
2023-03-03,48.34,48.34,48.28,48.33,163577.0
2023-03-06,48.36,48.36,48.29,48.31,74421.0
2023-03-07,48.33,48.33,48.19,48.2,169783.0
2023-03-08,48.22,48.24,48.1501,48.17,695435.0
2023-03-09,48.26,48.3417,48.24,48.33,177509.0
2023-03-10,48.54,48.625,48.4701,48.6191,568452.0
2023-03-13,49.0,49.15,48.9107,49.13,550010.0
2023-03-14,48.91,48.9795,48.8,48.94,124774.0
2023-03-15,49.29,49.39,49.13,49.23,212717.0
2023-03-16,49.26,49.29,48.985,49.01,104356.0
2023-03-17,49.11,49.34,49.11,49.305,178250.0
2023-03-20,49.35,49.35,49.1701,49.23,103775.0
2023-03-21,49.06,49.105,49.0101,49.02,111204.0
2023-03-22,48.99,49.2601,48.96,49.25,85990.0
2023-03-23,49.27,49.42,49.2498,49.4,239214.0
2023-03-24,49.55,49.565,49.4,49.415,87652.0
2023-03-27,49.27,49.28,49.19,49.21,64892.0
2023-03-28,49.17,49.18,49.13,49.14,73157.0
2023-03-29,49.08,49.15,49.07,49.1,95439.0
2023-03-30,49.07,49.12,49.065,49.1,47674.0
2023-03-31,49.1,49.17,49.08,49.16,280625.0
2023-04-03,48.91,49.04,48.9,49.035,58964.0
2023-04-04,49.02,49.19,49.0,49.18,127838.0
2023-04-05,49.25,49.36,49.23,49.24,80966.0
2023-04-06,49.24,49.28,49.21,49.22,80009.0
2023-04-10,49.1,49.1,49.045,49.07,96091.0
2023-04-11,49.05,49.0598,48.98,49.0332,97676.0
2023-04-12,49.12,49.12,49.05,49.09,89408.0
2023-04-13,49.16,49.185,49.1,49.11,58761.0
2023-04-14,49.02,49.03,48.975,49.01,49368.0
2023-04-17,48.95,48.96,48.9,48.915,84759.0
2023-04-18,48.92,48.9451,48.89,48.8953,92272.0
2023-04-19,48.89,48.89,48.85,48.87,67609.0
2023-04-20,48.96,48.98,48.95,48.97,69398.0
2023-04-21,49.04,49.04,48.94,48.96,54630.0
2023-04-24,48.95,49.0095,48.95,48.99,81830.0
2023-04-25,49.09,49.21,49.08,49.21,40774.0
2023-04-26,49.19,49.1989,49.081,49.14,82388.0
2023-04-27,49.06,49.06,49.0,49.01,51863.0
2023-04-28,49.05,49.08,49.03,49.08,153624.0
2023-05-01,48.88,48.88,48.79,48.8,79352.0
2023-05-02,48.83,49.0,48.825,48.97,28059.0
2023-05-03,49.01,49.0983,48.99,49.09,58917.0
2023-05-04,49.08,49.2857,49.08,49.19,63318.0
2023-05-05,49.1,49.1,49.0201,49.04,64517.0
2023-05-08,48.99,49.02,48.96,48.96,64798.0
2023-05-09,48.95,48.97,48.92,48.95,38994.0
2023-05-10,49.0,49.08,49.0,49.06,68965.0
2023-05-11,49.15,49.17,49.08,49.09,30350.0
2023-05-12,49.09,49.09,48.99,49.01,79903.0
2023-05-15,49.0,49.02,48.9901,49.0,87251.0
2023-05-16,48.96,48.98,48.91,48.95,33093.0
2023-05-17,48.95,48.95,48.86,48.87,51162.0
2023-05-18,48.83,48.84,48.785,48.8,37388.0
2023-05-19,48.77,48.8561,48.73,48.76,39996.0
2023-05-22,48.78,48.78,48.73,48.74,46311.0
2023-05-23,48.72,48.749,48.6801,48.74,61114.0
2023-05-24,48.75,48.75,48.6534,48.675,31443.0
2023-05-25,48.6,48.66,48.54,48.56,133173.0
2023-05-26,48.53,48.54,48.47,48.52,94839.0
2023-05-30,48.54,48.625,48.54,48.62,52749.0
2023-05-31,48.65,48.7,48.62,48.67,51924.0
2023-06-01,48.56,48.61,48.56,48.59,28426.0
2023-06-02,48.54,48.54,48.43,48.44,57327.0
2023-06-05,48.41,48.5098,48.4,48.48,111837.0
2023-06-06,48.48,48.48,48.4296,48.445,47602.0
2023-06-07,48.44,48.4479,48.37,48.425,47997.0
2023-06-08,48.47,48.5096,48.45,48.47,30754.0
2023-06-09,48.44,48.44,48.4,48.405,45452.0
2023-06-12,48.42,48.43,48.39,48.43,28198.0
2023-06-13,48.47,48.4855,48.32,48.35,118354.0
2023-06-14,48.39,48.41,48.24,48.31,71569.0
2023-06-15,48.41,48.47,48.37,48.47,88254.0
2023-06-16,48.33,48.36,48.295,48.35,30121.0
2023-06-20,48.35,48.39,48.35,48.37,46157.0
2023-06-21,48.34,48.38,48.33,48.36,23580.0
2023-06-22,48.35,48.3699,48.305,48.32,39656.0
2023-06-23,48.39,48.39,48.33,48.35,28233.0
2023-06-26,48.36,48.39,48.3488,48.37,30896.0
2023-06-27,48.39,48.39,48.285,48.29,47972.0
2023-06-28,48.31,48.35,48.3,48.35,18972.0
2023-06-29,48.24,48.24,48.21,48.23,30999.0
2023-06-30,48.24,48.24,48.2,48.24,36501.0
2023-07-03,48.04,48.0899,48.01,48.01,88662.0
2023-07-05,48.02,48.05,48.0,48.01,43346.0
2023-07-06,47.93,47.99,47.9,47.98,55051.0
2023-07-07,47.99,48.0899,47.99,48.04,66670.0
2023-07-10,48.09,48.12,48.065,48.11,114887.0
2023-07-11,48.1,48.1105,48.08,48.1,58176.0
2023-07-12,48.21,48.25,48.21,48.24,47545.0
2023-07-13,48.33,48.37,48.31,48.365,35692.0
2023-07-14,48.3,48.32,48.23,48.23,67407.0
2023-07-17,48.25,48.27,48.2301,48.25,37597.0
2023-07-18,48.29,48.3098,48.24,48.24,60793.0
2023-07-19,48.29,48.3,48.235,48.25,66400.0
2023-07-20,48.19,48.2262,48.17,48.21,34958.0
2023-07-21,48.21,48.23,48.19,48.2,41499.0
