date,open,high,low,close,volume
2012-09-19,24.274,24.274,24.186,24.215,18106
2012-09-20,24.157,24.157,24.137,24.137,16627
2012-09-21,24.186,24.186,24.157,24.166,23299
2012-09-24,24.137,24.166,24.137,24.166,8997
2012-09-25,24.157,24.157,24.087,24.087,20656
2012-09-26,23.973,23.993,23.934,23.953,68762
2012-09-27,24.041,24.097,24.041,24.087,7539
2012-09-28,24.022,24.06,24.022,24.022,31975
2012-10-01,24.087,24.127,24.06,24.06,16648
2012-10-02,24.06,24.07,24.041,24.07,53650
2012-10-03,24.205,24.205,24.07,24.07,12616
2012-10-04,24.157,24.157,24.078,24.107,16245
2012-10-05,24.127,24.127,24.097,24.097,36924
2012-10-08,24.06,24.078,24.022,24.078,6589
2012-10-09,24.225,24.225,24.022,24.022,18619
2012-10-10,23.944,23.953,23.944,23.944,17803
2012-10-11,24.041,24.041,24.013,24.013,11121
2012-10-12,24.003,24.003,23.924,23.963,15314
2012-10-15,26.101,26.101,23.915,23.963,11796
2012-10-16,24.013,24.051,24.013,24.022,16219
2012-10-17,24.022,24.107,24.022,24.107,5159
2012-10-18,24.107,24.107,24.078,24.078,4539
2012-10-19,24.078,24.078,24.003,24.003,14336
2012-10-22,23.983,23.983,23.963,23.963,7291
2012-10-23,23.79,23.838,23.79,23.819,22336
2012-10-24,23.838,23.848,23.79,23.79,19824
2012-10-25,23.838,23.848,23.809,23.848,35656
2012-10-26,23.79,23.829,23.79,23.819,20755
2012-11-01,23.915,23.953,23.885,23.934,34094
2012-11-02,24.078,24.078,23.819,23.838,10874
2012-11-05,23.819,23.819,23.819,23.819,3637
2012-11-06,23.876,23.953,23.876,23.953,4598
2012-11-07,23.819,23.848,23.819,23.848,10082
2012-11-08,23.819,23.829,23.74,23.809,15589
2012-11-09,23.809,23.819,23.77,23.77,3283
2012-11-12,23.73,23.77,23.73,23.76,6960
2012-11-13,23.71,23.76,23.71,23.74,8143
2012-11-14,23.692,23.692,23.596,23.596,3945
2012-11-15,23.645,23.645,23.499,23.557,19361
2012-11-16,23.519,23.596,23.499,23.577,5377
2012-11-19,23.74,23.885,23.74,23.799,26134
2012-11-20,23.79,23.848,23.79,23.848,914
2012-11-21,23.905,23.905,23.77,23.829,2059
2012-11-23,23.924,23.924,23.924,23.924,418
2012-11-26,23.924,23.983,23.905,23.983,16653
2012-11-27,23.885,23.895,23.885,23.885,7544
2012-11-28,23.867,23.895,23.819,23.895,11095
2012-11-29,23.953,23.993,23.953,23.953,19843
2012-11-30,23.934,23.934,23.924,23.924,25155
2012-12-03,23.963,23.983,23.915,23.915,10666
2012-12-04,23.895,24.06,23.895,23.924,22440
2012-12-05,23.934,23.934,23.934,23.934,9100
2012-12-06,23.953,23.973,23.953,23.973,3976
2012-12-07,23.953,23.953,23.905,23.905,3309
2012-12-10,24.032,24.032,24.022,24.032,5780
2012-12-11,24.06,24.06,24.032,24.032,5745
2012-12-12,24.032,24.032,24.032,24.032,709
2012-12-13,23.944,24.022,23.944,24.022,1241
2012-12-14,24.022,24.022,23.885,24.013,1749
2012-12-17,24.022,24.022,23.963,23.963,1873
2012-12-18,24.003,24.078,24.003,24.032,12514
2012-12-19,23.983,24.032,23.983,24.032,2719
2012-12-20,24.013,24.013,23.993,23.993,1965
2012-12-21,24.013,24.013,24.013,24.013,7486
2012-12-26,23.993,24.003,23.993,24.003,1034
2012-12-27,24.624,24.624,24.001,24.001,5694
2012-12-28,24.011,24.086,23.991,24.011,4309
2012-12-31,24.126,24.126,24.126,24.126,102
2013-01-02,25.404,25.404,24.146,24.166,17837
2013-01-03,24.146,24.146,24.146,24.146,1026
2013-01-04,24.156,24.166,24.116,24.166,1662
2013-01-07,24.156,24.156,24.156,24.156,882
2013-01-08,24.136,24.146,24.086,24.146,1970
2013-01-09,24.156,24.166,24.146,24.156,3313
2013-01-10,24.254,24.351,24.205,24.205,4062
2013-01-11,24.166,24.166,24.146,24.166,5745
2013-01-14,24.156,24.156,24.146,24.146,1436
