date,open,high,low,close,volume
2017-12-15,24.9,25,24.8,24.99,130469
2017-12-15,24.9,25,24.8,24.99,130469
2017-12-18,25,25.59,24.87,25.05,418569
2017-12-19,25.08,25.13,24.94,25.02,253289
2017-12-20,25,25.09,24.96,24.99,223989
2017-12-21,25.09,25.369,25,25.2,336097
2017-12-22,25.16,25.405,25.16,25.32,198491
2017-12-26,25.42,25.45,25.21,25.31,570977
2017-12-27,25.31,25.39,25.3,25.35,56426
2017-12-28,25.35,25.57,25.29,25.54,110991
2017-12-29,25.54,26.44,25.54,26.16,328177
2018-01-02,26.07,26.07,25.6,25.65,136747
2018-01-03,25.51,25.65,25.42,25.5,154732
2018-01-04,25.5,25.69,25.4,25.5,167100
2018-01-05,25.54,25.64,25.46,25.63,130171
2018-01-08,25.65,25.65,25.17,25.22,342356
2018-01-09,25.16,25.24,25.05,25.2,264209
2018-01-10,25.09,25.18,24.94,25.1,230676
2018-01-11,25.07,25.17,24.93,25.04,249261
2018-01-12,25,25.05,24.94,25.03,190999
2018-01-16,25.03,25.08,24.96,25.08,146592
2018-01-17,25.07,25.16,24.9,24.91,167045
2018-01-18,24.8,24.85,24.48,24.71,319451
2018-01-19,24.73,24.76,24.27,24.59,1613254
2018-01-22,24.42,24.51,24.33,24.49,121725
2018-01-23,24.47,24.68,24.4,24.63,72883
2018-01-24,24.48,24.69,24.48,24.69,68208
2018-01-25,24.6121,24.73,24.5783,24.73,125386
2018-01-26,24.73,24.82,24.62,24.63,103767
2018-01-29,24.55,24.6,24.22,24.4,247981
2018-01-30,24.4,24.4,24.1,24.19,91637
2018-01-31,24.2,24.292,24.04,24.19,42531
2018-02-01,24.1,24.17,23.94,24,39453
2018-02-02,23.75,23.88,23.48,23.6,55390
2018-02-05,23.5,23.61,23.14,23.35,52903
2018-02-06,23.32,23.49,23.17,23.47,22223
2018-02-07,23.48,23.68,23.31,23.65,70114
2018-02-08,23.54,23.54,23.2657,23.38,28191
2018-02-09,23.25,23.25,23.25,23.25,66109
2018-02-12,23.364,23.4475,23.23,23.39,35314
2018-02-13,23.3199,23.3199,23.3199,23.3199,51032
2018-02-14,23.141,23.1832,22.58,22.93,73704
2018-02-15,22.93,22.93,22.69,22.69,42626
2018-02-16,22.94,22.95,22.68,22.8206,26556
2018-02-20,22.96,22.99,22.96,22.96,56142
2018-02-21,23.01,23.2,22.94,23.03,33804
2018-02-22,23.0453,23.05,22.88,22.9,41451
2018-02-23,23.03,23.03,22.88,23,87196
2018-02-26,23.07,23.46,23.07,23.32,93227
2018-02-27,23.35,23.6,23.3396,23.59,84557
2018-02-28,23.58,23.84,23.37,23.75,67150
2018-03-01,23.84,23.84,23.43,23.558,17035
2018-03-02,23.45,23.59,23.45,23.59,20010
2018-03-05,23.45,23.65,23.45,23.64,25136
2018-03-06,23.6899,23.77,23.63,23.72,11654
2018-03-07,23.6,23.79,23.6,23.74,26963
2018-03-08,23.74,24,23.74,23.97,20853
2018-03-09,23.9,24.19,23.87,24.15,37885
2018-03-12,24.0001,24.0513,23.9001,24,20962
2018-03-13,24.03,24.1136,23.92,23.92,42716
2018-03-14,23.58,23.74,23.57,23.7,45894
2018-03-15,23.63,23.71,23.41,23.62,51351
2018-03-16,23.53,23.59,23.3532,23.5,50712
2018-03-19,23.475,23.52,23.2925,23.395,73419
2018-03-20,23.34,23.3418,23.11,23.125,57687
2018-03-21,23.15,23.24,23.11,23.145,37336
2018-03-22,23.05,23.33,23.05,23.22,24571
2018-03-23,23.07,23.3,23.07,23.23,130061
2018-03-26,23.13,23.1604,22.9,23,54050
2018-03-27,23.16,23.16,22.92,22.99,18089
2018-03-28,23.05,23.0841,22.75,22.9,55107
2018-03-29,22.85,22.98,22.83,22.98,30124
2018-04-02,23.06,23.14,23,23.05,39719
2018-04-03,23.05,23.0633,22.8201,22.86,35548
2018-04-04,22.94,23.09,22.84,22.94,39359
2018-04-05,22.9925,22.9925,22.75,22.8,43871
2018-04-06,22.76,22.7622,22.57,22.72,35872
2018-04-09,22.65,22.68,22.52,22.55,26435
2018-04-10,22.55,22.6,22.16,22.26,64502
2018-04-11,22.25,22.55,22.18,22.45,44440
2018-04-12,22.45,22.48,22.14,22.15,34662
2018-04-13,22.26,22.27,22,22.01,22436
2018-04-16,22.01,22.15,21.82,21.91,33028
2018-04-17,21.92,22.02,21.87,21.99,42155
2018-04-18,21.9,21.958,21.82,21.88,47150
2018-04-19,21.87,21.87,21.75,21.84,41154
2018-04-20,21.8,22.09,21.72,22.05,61935
2018-04-23,22.0062,22.1,21.9,21.97,32672
2018-04-24,21.97,22.1,21.97,22.1,35645
2018-04-25,22.08,22.1,21.57,21.96,77042
2018-04-26,21.8,21.95,21.782,21.79,21360
2018-04-27,21.93,21.99,21.77,21.9,20279
2018-04-30,21.92,21.93,21.64,21.77,22981
2018-05-01,21.8,21.83,21.7,21.7607,10122
2018-05-02,21.76,21.98,21.76,21.95,13183
2018-05-03,21.88,21.96,21.77,21.96,18540
