date,open,high,low,close,volume
2015-12-09,600.0,600.0,600.0,600.0,4.6000000000000005
2015-12-10,600.0,648.0,600.0,648.0,25.0
2015-12-14,624.0,636.0,492.0,600.0,18.6
2015-12-15,600.0,660.0,600.0,660.0,9.0
2015-12-16,654.0,654.0,654.0,654.0,2.9000000000000004
2015-12-17,654.0,654.0,654.0,654.0,2.1
2015-12-22,660.0,660.0,660.0,660.0,0.3
2015-12-30,516.0,516.0,516.0,516.0,2.1
2015-12-31,660.0,660.0,660.0,660.0,0.8
2016-01-04,660.0,660.0,612.0,612.0,7.300000000000001
2016-01-05,636.0,660.0,612.0,612.0,5.800000000000001
2016-02-01,480.0,480.0,480.0,480.0,0.3
2016-02-02,480.0,480.0,480.0,480.0,0.3
2016-02-08,468.0,480.0,468.0,480.0,6.300000000000001
2016-02-09,480.0,480.0,480.0,480.0,2.1
2016-02-22,360.0,384.0,360.0,384.0,6.300000000000001
2016-02-23,360.0,540.0,360.0,540.0,6.300000000000001
2016-02-26,360.0,360.0,360.0,360.0,0.8
2016-04-04,216.0,480.0,216.0,480.0,14.6
2016-04-05,516.0,516.0,516.0,516.0,0.4
2016-05-05,264.0,264.0,264.0,264.0,0.3
2016-05-10,480.0,480.0,480.0,480.0,0.4
2016-05-11,528.0,528.0,528.0,528.0,0.4
2016-05-31,252.0,528.0,192.0,204.0,13.8
2016-06-01,210.0,210.0,210.0,210.0,5.800000000000001
2016-06-02,210.0,210.0,210.0,210.0,10.8
2016-06-03,210.0,456.0,192.0,456.0,9.6
2016-06-06,180.0,180.0,180.0,180.0,3.3000000000000003
2016-07-07,180.0,180.0,180.0,180.0,0.4
2016-09-09,180.0,180.0,180.0,180.0,4.2
2016-09-12,186.0,186.0,186.0,186.0,2.1
2016-10-19,144.0,144.0,96.0,96.0,12.5
2016-11-04,72.0,72.0,72.0,72.0,3.8
2016-11-22,60.0,60.0,60.0,60.0,8.3
2016-12-01,25.3,30.0,25.3,30.0,9.2
2016-12-02,19.0,30.0,15.7,30.0,17.5
2016-12-07,36.0,36.0,36.0,36.0,8.3
2016-12-20,42.0,42.0,42.0,42.0,0.1
2017-01-09,27.0,27.0,27.0,27.0,2.5
2017-01-23,19.2,36.0,18.0,36.0,1553.7
2017-01-25,17.9,22.8,16.2,22.8,1436.2
2017-02-16,13.8,25.0,12.2,22.8,35329.8
2017-02-17,24.2,32.3,20.4,30.0,20604.4
2017-02-21,32.1,34.8,22.8,26.4,16455.0
2017-02-22,27.0,31.1,24.1,27.6,8635.7
2017-02-23,25.8,42.8,25.2,42.0,20231.9
2017-02-24,40.8,53.9,31.8,50.5,22271.0
2017-02-27,43.2,68.9,43.1,60.7,12321.9
2017-02-28,63.5,63.5,48.1,58.7,5244.8
2017-03-01,57.6,57.7,49.2,54.0,3019.5
2017-03-02,54.0,54.2,39.6,43.2,4789.7
2017-03-03,47.8,55.2,45.7,47.0,5836.900000000001
2017-03-06,48.6,49.2,42.0,48.0,1846.5
2017-03-07,48.6,56.5,42.0,44.4,6133.400000000001
2017-03-08,43.2,45.6,35.6,39.6,2887.3
2017-03-09,38.4,40.8,33.4,40.8,4256.1
2017-03-10,40.8,48.4,36.1,48.0,3746.1
2017-03-13,47.9,59.8,42.0,59.3,3171.5
2017-03-14,59.4,59.4,48.0,53.1,3666.7
2017-03-15,52.8,52.8,46.9,51.0,2000.7
2017-03-16,49.2,60.0,47.9,57.6,3318.4
2017-03-17,54.7,64.8,54.7,59.3,2410.6
2017-03-20,59.8,65.3,55.7,61.2,1952.2
2017-03-21,61.2,63.6,51.6,58.7,1351.0
2017-03-22,56.4,57.6,49.2,55.8,1600.2
2017-03-23,57.6,57.6,47.0,52.8,1150.7
2017-03-24,54.0,59.6,49.2,58.8,1054.8
2017-03-27,59.9,60.0,52.2,58.8,324.0
2017-03-28,53.4,59.8,51.3,56.3,1206.0
2017-03-29,56.3,56.3,46.1,53.2,1751.1
2017-03-30,53.2,55.0,46.8,48.0,1280.6
2017-03-31,48.0,56.4,46.7,50.6,1365.8000000000002
2017-04-03,49.2,56.4,47.6,52.6,1996.7
2017-04-04,54.0,54.0,48.0,51.0,632.0
2017-04-05,50.4,50.4,45.1,45.6,800.1
2017-04-06,47.5,49.7,43.3,47.3,951.5
2017-04-07,45.7,47.3,43.2,44.5,404.1
2017-04-10,44.5,49.4,40.6,40.6,516.5
2017-04-11,43.2,49.2,41.4,49.2,1787.6
2017-04-12,49.3,55.7,46.8,52.8,2213.0
2017-04-13,53.6,53.6,45.2,46.0,449.5
2017-04-17,45.6,46.8,37.4,44.3,1165.8
2017-04-18,44.3,48.0,36.2,48.0,1826.7
2017-04-19,46.8,46.8,39.8,42.0,629.2
2017-04-20,43.8,43.8,40.1,40.1,138.9
2017-04-21,42.0,42.0,34.4,41.2,654.4000000000001
2017-04-24,38.8,38.8,35.4,37.9,598.6
2017-04-25,43.0,44.4,36.2,43.1,565.2
2017-04-26,38.9,44.3,38.9,44.3,237.3
2017-04-27,44.3,51.0,43.2,47.0,1512.9
2017-04-28,48.0,48.0,43.2,47.9,696.2
2017-05-01,47.9,51.0,45.1,46.2,1121.8
2017-05-02,49.2,49.2,41.4,42.0,657.1
2017-05-03,45.0,45.0,41.8,44.4,424.2000000000001
2017-05-04,41.4,46.8,38.4,46.0,684.4000000000001
2017-05-05,44.6,44.6,39.6,42.6,422.7000000000001
2017-05-08,42.6,42.6,39.0,39.0,383.7000000000001
2017-05-09,41.6,41.8,34.4,41.8,627.7
2017-05-10,40.8,40.8,31.9,40.4,970.0
2017-05-11,40.4,40.4,36.2,39.6,79.10000000000001
2017-05-12,38.9,45.7,37.9,45.1,637.3000000000001
2017-05-15,45.2,47.0,40.8,45.6,799.2
2017-05-16,45.6,45.6,40.8,42.0,283.2
2017-05-17,42.0,42.0,37.1,37.1,252.8
2017-05-18,36.2,44.3,36.2,43.8,112.2
2017-05-19,42.6,43.2,39.0,42.6,256.7
2017-05-22,43.7,44.4,39.1,44.4,546.4
2017-05-23,39.8,44.2,39.0,44.0,312.0
2017-05-24,39.6,40.7,34.3,40.7,1189.5
2017-05-25,40.7,40.7,35.8,39.9,320.20000000000005
2017-05-26,40.0,40.4,35.4,40.3,299.3
2017-05-30,35.9,35.9,30.0,35.9,741.7
2017-05-31,35.6,39.6,31.8,36.0,373.9
2017-06-01,36.5,36.5,36.0,36.0,31.6
2017-06-02,33.8,35.9,32.0,35.3,166.3
2017-06-05,32.2,32.4,30.6,31.2,421.1
2017-06-06,31.2,36.0,29.4,36.0,539.2
2017-06-07,36.0,36.0,30.6,36.0,417.6
2017-06-08,35.9,39.6,31.9,35.5,556.2
2017-06-09,35.6,36.0,32.4,36.0,275.7
2017-06-12,33.7,33.9,30.1,32.5,598.2
2017-06-13,32.4,36.0,31.2,33.0,523.5
2017-06-14,35.2,43.4,35.2,43.4,531.5
2017-06-15,43.4,48.0,41.5,46.8,1238.6
2017-06-16,48.0,57.0,43.3,46.8,890.3000000000001
