date,open,high,low,close,volume
2025-04-04,23.05,23.05,22.6555,22.8338,2344
2025-04-07,22.23,22.89,22.23,22.5547,3759
2025-04-09,24.04,24.13,23.82,24.0676,2348
2025-04-11,23.55,23.85,23.28,23.85,2106
2025-04-14,23.8402,24.0449,23.8402,24.0449,115
2025-04-15,24.23,24.23,24.155,24.155,694
2025-04-23,24.7,24.728,24.62,24.6436,2434
2025-05-05,25.74,25.74,25.6785,25.6785,214
2025-05-08,25.78,25.8707,25.78,25.8707,211
2025-05-12,26.59,26.59,26.4959,26.4959,270
2025-05-13,26.58,26.6759,26.57,26.6759,37500
2025-05-15,26.47,26.6359,26.47,26.6359,100
2025-05-19,26.72,26.7995,26.67,26.7995,43223
2025-05-20,26.73,26.798,26.73,26.798,4189
2025-05-22,26.37,26.39,26.3055,26.3055,3634
2025-05-27,26.69,26.8365,26.69,26.8365,160
2025-05-29,26.66,26.6743,26.66,26.6743,982
2025-06-02,26.68,26.765,26.645,26.765,423
2025-06-10,27.423,27.423,27.3838,27.3838,844
2025-06-12,27.34,27.3841,27.34,27.3841,1630
2025-06-13,27.0,27.03,26.98,27.002,1678
2025-06-20,27.04,27.04,26.9403,26.9403,344
2025-06-25,27.36,27.36,27.3086,27.3086,1659
2025-06-27,27.78,27.7987,27.7799,27.7987,1521
2025-06-30,27.855,27.8946,27.855,27.8946,514
2025-07-01,28.05,28.05,28.045,28.045,586
2025-07-02,28.0128,28.2353,28.01,28.2353,969
2025-07-07,28.349,28.35,28.04,28.0672,1741
2025-07-08,28.296,28.296,28.2384,28.2384,426
2025-07-09,28.38,28.445,28.38,28.445,150
2025-07-11,28.385,28.4,28.2817,28.2817,1467
2025-07-14,28.4,28.4,28.3739,28.3739,1564
2025-07-15,28.21,28.22,27.996,27.996,1521
2025-07-25,28.6567,28.8201,28.6567,28.8201,4237
2025-07-28,28.6548,28.6548,28.615,28.615,701
2025-07-29,28.615,28.615,28.5147,28.5147,216
2025-07-30,28.59,28.62,28.3632,28.3632,1649
2025-07-31,28.31,28.31,28.1507,28.1507,162
2025-08-01,27.98,27.98,27.83,27.9193,572
2025-08-04,28.14,28.32,28.14,28.32,676
2025-08-05,28.33,28.41,28.2098,28.3661,2204
2025-08-07,28.445,28.445,28.4314,28.4314,2208
2025-08-08,28.54,28.5401,28.475,28.475,276
2025-08-11,28.505,28.505,28.3907,28.3907,538
2025-08-12,28.53,28.9508,28.53,28.9508,2641
2025-08-15,29.015,29.05,29.015,29.0213,211
2025-08-18,29.045,29.1,29.045,29.1,2418
2025-08-19,29.0799,29.0799,29.0,29.0255,1878
2025-08-20,28.96,29.01,28.96,28.9741,2152122
2025-08-21,28.959,28.96,28.775,28.9456,3486
2025-08-22,29.14,29.79,29.105,29.74,13944
