date,open,high,low,close,volume
2015-11-11,17.05,17.9,16.0,16.0,1364100
2015-11-12,15.8,16.33,15.79,16.0,90600
2015-11-13,16.0,16.03,15.1,15.9,62000
2015-11-16,16.0,16.08,15.89,15.89,7800
2015-11-17,16.0,16.14,15.9,15.9,49700
2015-11-18,16.0,16.0,15.8,15.89,26100
2015-11-19,15.89,15.98,15.51,15.79,48600
2015-11-20,15.52,16.0,15.45,16.0,24900
2015-11-23,16.0,16.5,15.65,16.0,49000
2015-11-24,15.98,16.0,15.9,16.0,11600
2015-11-25,16.0,17.0,15.6,16.08,26100
2015-11-27,15.94,16.13,15.88,16.09,18000
2015-11-30,16.08,16.47,15.81,16.25,94500
2015-12-01,16.35,16.5,16.13,16.49,32767
2015-12-02,17.0,17.21,16.6,16.87,14540
2015-12-03,16.6,17.15,16.12,16.75,108765
2015-12-04,16.1,17.16,16.1,16.4,120900
2015-12-07,13.16,16.0,11.52,14.14,104800
2015-12-08,14.2,15.4,14.0,14.22,124375
2015-12-09,14.22,14.85,12.8,14.16,108800
2015-12-10,14.16,14.59,13.25,14.28,45800
2015-12-11,13.75,14.52,13.02,13.78,65800
2015-12-14,13.71,14.95,12.45,13.08,115041
2015-12-15,12.88,14.44,12.64,13.51,36700
2015-12-16,13.94,14.26,12.77,13.79,44700
2015-12-17,13.7,16.42,13.7,16.05,45800
2015-12-18,15.98,16.8,14.6,15.32,193800
2015-12-21,15.61,17.85,15.49,17.31,67100
2015-12-22,17.61,20.999,17.01,19.58,93654
2015-12-23,19.47,19.5,17.04,17.69,76200
2015-12-24,17.5,17.5,15.32,16.39,38706
2015-12-28,16.28,17.5,15.528,15.59,95154
2015-12-29,15.59,16.425,14.31,14.65,49928
2015-12-30,14.8,15.704,14.57,15.02,13413
2015-12-31,14.91,16.75,14.87,15.95,54770
2016-01-04,15.8,15.95,14.69,15.07,36973
2016-01-05,15.1,15.14,14.0,14.58,21664
2016-01-06,14.58,15.39,14.0,14.17,18371
2016-01-07,14.21,14.51,14.06,14.06,13404
2016-01-08,14.05,14.91,12.88,13.2,49534
2016-01-11,13.565,14.84,13.19,13.36,24822
2016-01-12,13.56,13.9,12.31,13.23,27995
2016-01-13,13.1,14.31,13.04,13.25,24505
2016-01-14,14.48,14.48,12.9,13.1,27475
2016-01-15,12.98,14.35,12.67,13.98,36038
2016-01-19,14.21,15.77,14.03,15.31,9800
2016-01-20,15.17,16.33,14.59,15.92,35778
2016-01-21,15.46,16.68,15.0,15.2,23989
2016-01-22,15.48,16.4,15.0581,15.21,7856
