date,open,high,low,close,volume
2025-12-09,10.74,11.94,10.38,11.42,10776354
2025-12-10,12.3,12.51,11.54,11.96,6040650
2025-12-11,11.9,12.2,11.39,11.99,2388555
2025-12-12,12.15,12.35,11.3,11.5,2026785
2025-12-15,11.542,11.542,10.58,11.12,1535551
2025-12-16,10.9973,11.0082,10.55,10.55,1798972
2025-12-17,10.85,11.3599,10.46,10.46,1607446
2025-12-18,10.71,10.9153,10.02,10.63,1409449
2025-12-19,10.73,11.44,10.42,11.44,1731477
2025-12-22,11.45,11.49,10.33,10.48,1986275
2025-12-23,10.58,10.58,9.38,9.61,2816193
2025-12-24,9.635,9.64,9.16,9.53,1492245
2025-12-26,9.5,9.5,9.05,9.4,1005734
2025-12-29,9.22,9.4,8.96,9.15,1321521
2025-12-30,9.02,9.2472,8.9,9.05,772888
2025-12-31,9.01,9.14,8.7,8.76,1213704
2026-01-02,8.9,9.52,8.66,9.3,957389
2026-01-05,9.65,10.005,9.5,9.9,1697870
2026-01-06,9.75,9.79,9.32,9.63,1449316
2026-01-07,9.575,9.575,9.06,9.45,1426657
2026-01-08,9.3793,9.7099,9.06,9.48,1415003
2026-01-09,9.5,9.5499,9.16,9.2,882820
2026-01-12,9.26,9.41,8.96,9.21,949141
2026-01-13,9.26,9.83,9.15,9.7,1615787
2026-01-14,9.75,9.93,9.56,9.73,1408559
2026-01-15,9.78,9.9,9.38,9.44,900874
2026-01-16,9.44,9.49,9.15,9.28,917958
2026-01-20,9.0,9.14,8.265,8.4,2283200
2026-01-21,8.505,8.54,8.0775,8.39,1437072
2026-01-22,8.49,8.49,8.03,8.13,979926
2026-01-23,8.1,8.86,8.02,8.44,1852622
2026-01-26,8.33,8.4,8.09,8.15,848013
2026-01-27,8.275,8.64,8.26,8.5,974555
2026-01-28,8.575,8.6,8.22,8.33,705440
2026-01-29,8.385,8.41,7.6,7.6,1058844
2026-01-30,7.54,7.85,7.41,7.6,1029615
2026-02-02,7.375,7.69,7.277,7.54,1534909
2026-02-03,7.5,7.51,6.75,7.06,1180104
2026-02-04,7.05,7.09,6.62,6.76,1058716
2026-02-05,6.47,6.7407,5.88,5.92,1448574
2026-02-06,6.36,6.68,6.1601,6.51,1514594
2026-02-09,6.46,6.6,6.31,6.43,784705
2026-02-10,6.4,6.48,6.12,6.29,862260
