Date,Open,High,Low,Close,Volume
2025-12-08,9.87,9.88,9.8599,9.86,30768
2025-12-09,9.85,9.85,9.83,9.85,5251
2025-12-10,9.85,9.86,9.85,9.86,79325
2025-12-11,9.85,9.86,9.84,9.85,368023
2025-12-12,9.855,9.86,9.84,9.85,529535
2025-12-15,9.855,9.86,9.85,9.86,303809
2025-12-16,9.8502,9.86,9.8502,9.86,194854
2025-12-17,9.86,9.86,9.86,9.86,15958
2025-12-18,9.86,9.86,9.86,9.86,292601
2025-12-19,9.86,9.86,9.86,9.86,629
2025-12-22,9.86,9.86,9.86,9.86,328
2025-12-23,9.855,9.86,9.84,9.85,85006
2025-12-24,9.85,9.85,9.85,9.85,2895
2025-12-26,9.8566,9.8566,9.85,9.85,913
2025-12-29,9.86,9.86,9.85,9.86,11637
2025-12-30,9.857,9.86,9.85,9.86,26692
2025-12-31,9.86,9.86,9.84,9.85,226571
2026-01-02,9.85,9.87,9.85,9.87,11325
2026-01-05,9.86,9.87,9.85,9.85,320793
2026-01-06,9.86,9.86,9.86,9.86,149378
2026-01-07,9.87,9.88,9.87,9.88,2410
2026-01-08,9.87,9.88,9.87,9.87,16289
2026-01-09,9.88,9.88,9.87,9.87,101419
