Date,Open,High,Low,Close,Volume
2024-06-14,40,43.88,37,40.25,6338800
2024-06-17,42.79,43,33.84,36.48,3747445
2024-06-18,36.99,37.75,30.19,30.33,4184885
2024-06-20,30.87,31.2,24,27.26,4586261
2024-06-21,27.26,29,26.2,28.64,932510
2024-06-24,29.5,29.5,25.29,25.31,1558252
2024-06-25,25.31,26.1,22.89,24.96,2234970
2024-06-26,24.96,27.74,23.05,27.56,1513789
2024-06-27,28.4,31.25,27.68,30.83,1481470
2024-06-28,32.77,35.17,31.25,35,1191485
2024-07-01,37,37,32,33.34,897237
2024-07-02,34.45,36.34,33.74,35.98,721098
2024-07-03,37,37.65,32.8,34.39,1092567
2024-07-05,36.22,36.63,30.77,30.88,622032
2024-07-08,31.07,33.8,31,33.2,511514
2024-07-09,34.71,35.75,30.81,34.5,2065089
2024-07-10,35.5,36.49,34.45,35,1079337
2024-07-11,35.78,37.585,34.82,37.5,982889
2024-07-12,38.88,41.78,37.68,39.76,1633543
2024-07-15,39.76,40.8,36.4,36.6,1039671
2024-07-16,38.5,41.88,37.3065,40.74,1161680
2024-07-17,40,45.11,38.71,39.85,1146184
2024-07-18,41.56,42.25,39.5,40.14,959130
2024-07-19,41,42.8451,39.9,41.4,442787
2024-07-22,42.45,43.85,41.1,42.98,926987
2024-07-23,43,43.4,40.2,40.7,448166
2024-07-24,40.82,40.9254,37.68,38.05,623887
2024-07-25,38.5,40.1,37.2601,40.02,651257
2024-07-26,40.1,42.07,39.71,41.92,711779
2024-07-29,41.71,44.17,41.4182,43.87,519513
2024-07-30,44.71,46.55,42.76,45.97,865501
2024-07-31,46.58,47.09,43.12,43.28,573705
2024-08-01,44.92,45.58,39.01,39.28,605515
2024-08-02,38,39.48,36.11,39.045,680750
2024-08-05,32.82,38.8299,32.8,38.22,1005658
2024-08-06,41.51,41.99,38,40.65,999984
2024-08-07,39.91,40.93,38.55,38.82,1210522
2024-08-08,40.71,40.71,36.8,38.93,686635
2024-08-09,39,39.78,38.57,38.75,336632
2024-08-12,38.86,39.75,38.165,38.68,372948
