"symbol","security_name","is_etf","theme_count","themes"
"AAPG","Ascentage Pharma Group International - American Depository Shares","False","1","Biomed"
"ABAT","American Battery Technology Company - Common Stock","False","1","Infrastructure_Energy"
"ACET","Adicet Bio, Inc. - Common Stock","False","1","Biomed"
"ADGM","Adagio Medical Holdings, Inc - Common Stock","False","1","Biomed"
"AEMD","Aethlon Medical, Inc. - Common Stock","False","1","Biomed"
"AEP","American Electric Power Company, Inc. - Common Stock","False","1","Infrastructure_Energy"
"AG","First Majestic Silver Corp. Ordinary Shares (Canada)","False","1","Critical_Metals_Batteries"
"AGIQ","SoFi Agentic AI ETF","True","1","AI_Chips_DataCenters"
"AGMI","Themes Silver Miners ETF","True","1","Critical_Metals_Batteries"
"AGPU","Axe Compute Inc. - Common Stock","False","1","AI_Chips_DataCenters"
"AGQ","ProShares Ultra Silver","True","1","Critical_Metals_Batteries"
"AI","C3.ai, Inc. Class A Common Stock","False","1","AI_Chips_DataCenters"
"AIBD","Direxion Daily AI and Big Data Bear 2X Shares","True","1","AI_Chips_DataCenters"
"AIBU","Direxion Daily AI and Big Data Bull 2X Shares","True","1","AI_Chips_DataCenters"
"AIEQ","Amplify AI Powered Equity ETF","True","1","AI_Chips_DataCenters"
"AIIA","AI Infrastructure Acquisition Corp. Class A Ordinary Shares","False","1","AI_Chips_DataCenters"
"AIIA.R","AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share","False","1","AI_Chips_DataCenters"
"AIIA.U","AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right","False","1","AI_Chips_DataCenters"
"AIIO","Robo.ai Inc. - Class B Ordinary Shares","False","1","AI_Chips_DataCenters"
"AIIOW","Robo.ai Inc. - Warrant","False","1","AI_Chips_DataCenters"
"AIPI","REX AI Equity Premium Income ETF","True","1","AI_Chips_DataCenters"
"AIPO","Defiance AI & Power Infrastructure ETF","True","2","AI_Chips_DataCenters;Infrastructure_Energy"
"AISP","Airship AI Holdings, Inc - Class A Common Stock","False","1","AI_Chips_DataCenters"
"AISPW","Airship AI Holdings, Inc - Warrants","False","1","AI_Chips_DataCenters"
"AIVC","Amplify Bloomberg AI Value Chain ETF","True","1","AI_Chips_DataCenters"
"AIVI","WisdomTree International AI Enhanced Value Fund","True","1","AI_Chips_DataCenters"
"AIVL","WisdomTree U.S. AI Enhanced Value Fund","True","1","AI_Chips_DataCenters"
"AIYY","YieldMax AI Option Income Strategy ETF","True","1","AI_Chips_DataCenters"
"AKTS","Aktis Oncology, Inc. - Common stock","False","1","Biomed"
"ALAI","Alger AI Enablers & Adopters ETF","True","1","AI_Chips_DataCenters"
"ALXO","ALX Oncology Holdings Inc. - Common Stock","False","1","Biomed"
"AMIX","Autonomix Medical, Inc. - Common Stock","False","1","Biomed"
"AMOM","QRAFT AI-Enhanced U.S. Large Cap Momentum ETF","True","1","AI_Chips_DataCenters"
"ANVS","Annovis Bio, Inc. Common Stock","False","1","Biomed"
"AOSL","Alpha and Omega Semiconductor Limited - Common Shares","False","1","AI_Chips_DataCenters"
"APYX","Apyx Medical Corporation - Common Stock","False","1","Biomed"
"AQN","Algonquin Power & Utilities Corp. Common Shares","False","1","Infrastructure_Energy"
"AQNB","Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079","False","1","Infrastructure_Energy"
"ARAI","Arrive AI Inc. - Common Stock","False","1","AI_Chips_DataCenters"
"ARKX","ARK Space & Defense Innovation ETF","True","1","Defense"
"ARTY","iShares Future AI & Tech ETF","True","1","AI_Chips_DataCenters"
"ASM","Avino Silver & Gold Mines Ltd. Common Shares (Canada)","False","1","Critical_Metals_Batteries"
"ASND","Ascendis Pharma A/S - American Depositary Shares","False","1","Biomed"
"ASTI","Ascent Solar Technologies, Inc - Common Stock","False","1","Infrastructure_Energy"
"ATHA","Athira Pharma, Inc. - Common Stock","False","1","Biomed"
"ATLX","Atlas Lithium Corporation - Common Stock","False","1","Critical_Metals_Batteries"
"ATYR","aTyr Pharma, Inc. - Common Stock","False","1","Biomed"
"AVNS","Avanos Medical, Inc. Common Stock","False","1","Biomed"
"BAER","Bridger Aerospace Group Holdings, Inc. - Common Stock","False","1","Defense"
"BAERW","Bridger Aerospace Group Holdings, Inc. - Warrant","False","1","Defense"
"BATT","Amplify Lithium & Battery Technology ETF","True","2","Critical_Metals_Batteries;Infrastructure_Energy"
"BBAI","BigBear.ai, Inc. Common Stock","False","1","AI_Chips_DataCenters"
"BBAI.W","BigBear.ai, Inc. Redeemable Warrants, each exercisable for one share of Common Stock at an exercise price of $11.50 per share","False","1","AI_Chips_DataCenters"
"BBB","CYBER HORNET S&P 500 and Bitcoin 75/25 Strategy ETF","True","1","Defense"
"BBC","Virtus LifeSci Biotech Clinical Trials ETF","True","1","Biomed"
"BBH","VanEck Biotech ETF","True","1","Biomed"
"BBIO","BridgeBio Pharma, Inc. - Common Stock","False","1","Biomed"
"BBLU","EA Bridgeway Blue Chip ETF","True","1","AI_Chips_DataCenters"
"BBOT","BridgeBio Oncology Therapeutics, Inc. - Common Stock","False","1","Biomed"
"BBP","Virtus LifeSci Biotech Products ETF","True","1","Biomed"
"BCHP","Principal Focused Blue Chip ETF","True","1","AI_Chips_DataCenters"
"BDMD","Baird Medical Investment Holdings Ltd - Ordinary Share","False","1","Biomed"
"BDMDW","Baird Medical Investment Holdings Ltd - Warrant","False","1","Biomed"
"BEP","Brookfield Renewable Partners L.P. Limited Partnership Units","False","1","Infrastructure_Energy"
"BEP$A","Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units, Series 17","False","1","Infrastructure_Energy"
"BEPC","Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares","False","1","Infrastructure_Energy"
"BFLY","Butterfly Network, Inc. Class A Common Stock","False","1","AI_Chips_DataCenters"
"BFLY.W","Butterfly Network, Inc. Warrants","False","1","AI_Chips_DataCenters"
"BFRG","Bullfrog AI Holdings, Inc. - Common Stock","False","1","AI_Chips_DataCenters"
"BFRGW","Bullfrog AI Holdings, Inc. - Warrants","False","1","AI_Chips_DataCenters"
"BGMS","Bio Green Med Solution, Inc. - Common Stock","False","1","Biomed"
"BGMSP","Bio Green Med Solution, Inc. - 6% Convertible Preferred Stock","False","1","Biomed"
"BIO","Bio-Rad Laboratories, Inc. Class A Common Stock","False","1","Biomed"
"BIO.B","Bio-Rad Laboratories, Inc. Class B  Common Stock","False","1","Biomed"
"BKYI","BIO-key International, Inc. - Common Stock","False","1","Biomed"
"BLDP","Ballard Power Systems, Inc. - Common Shares","False","1","Infrastructure_Energy"
"BLTE","Belite Bio, Inc - American Depositary Shares","False","1","Biomed"
"BMGL","Basel Medical Group Ltd - ordinary shares","False","1","Biomed"
"BNAI","Brand Engagement Network Inc. - Common Stock","False","1","AI_Chips_DataCenters"
"BNAIW","Brand Engagement Network Inc. - Warrant","False","1","AI_Chips_DataCenters"
"BNGE","First Trust S-Network Streaming and Gaming ETF","True","1","AI_Chips_DataCenters"
"BNGO","Bionano Genomics, Inc. - Common Stock","False","1","Biomed"
"BNR","Burning Rock Biotech Limited - American Depositary Shares","False","1","Biomed"
"BOLD","Boundless Bio, Inc. - Common Stock","False","1","Biomed"
"BUFF","Innovator Laddered Allocation Power Buffer ETF","True","1","Infrastructure_Energy"
"BUI","BlackRock Utility, Infrastructure & Power Opportunities Trust","False","1","Infrastructure_Energy"
"CABA","Cabaletta Bio, Inc. - Common Stock","False","1","Biomed"
"CANC","Tema Oncology ETF","True","1","Biomed"
"CARZ","First Trust S-Network Future Vehicles & Technology ETF","True","1","AI_Chips_DataCenters"
"CCM","Concord Medical Services Holdings Limited American Depositary Shares (Each represents thirty (30) Class A ordinary shares)","False","1","Biomed"
"CDP","COPT Defense Properties Common Shares of Beneficial Interest","False","1","Defense"
"CEF","Sprott Physical Gold and Silver Trust Units","True","1","Critical_Metals_Batteries"
"CELZ","Creative Medical Technology Holdings, Inc. - Common Stock","False","1","Biomed"
"CENX","Century Aluminum Company - Common Stock","False","1","Critical_Metals_Batteries"
"CGON","CG Oncology, Inc. - Common stock","False","1","Biomed"
"CHAI","Core AI Holdings, Inc. - Common Shares","False","1","AI_Chips_DataCenters"
"CHAT","Roundhill Generative AI & Technology ETF","True","1","AI_Chips_DataCenters"
"CHPS","Xtrackers Semiconductor Select Equity ETF","True","1","AI_Chips_DataCenters"
"CHPX","Global X AI Semiconductor & Quantum ETF","True","1","AI_Chips_DataCenters"
"CHPY","YieldMax Semiconductor Portfolio Option Income ETF","True","1","AI_Chips_DataCenters"
"CHRS","Coherus Oncology, Inc. - Common Stock","False","1","Biomed"
"CLYM","Climb Bio, Inc. - Common Stock","False","1","Biomed"
"CNRG","State Street SPDR S&P Kensho Clean Power ETF","True","1","Infrastructure_Energy"
"COCH","Envoy Medical, Inc. - Class A Common Stock","False","1","Biomed"
"COCHW","Envoy Medical, Inc. - Warrant","False","1","Biomed"
"COCP","Cocrystal Pharma, Inc. - Common Stock","False","1","Biomed"
"COPA","Themes Copper Miners ETF","True","1","Critical_Metals_Batteries"
"COPJ","Sprott Junior Copper Miners ETF","True","1","Critical_Metals_Batteries"
"COPP","Sprott Copper Miners ETF","True","1","Critical_Metals_Batteries"
"COPX","Global X Copper Miners ETF","True","1","Critical_Metals_Batteries"
"CPER","United States Copper Index Fund ETV","True","1","Critical_Metals_Batteries"
